# This data file was created on Tue Mar  7 11:10:02 2017,,,,,,
# capacitor 2-19; sample GBA120; nitrogen cool down,,,,,,
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO,,,,,,
1488910219.548667,350.002,326.274,10000,1.760037,0.0001284,15
1488910231.954621,350.001,326.274,1000,1.76032,4.6E-05,15
1488910279.478815,349.239,326.274,100,1.759986,-0.000114,1.5
1488910289.902295,348.853,326.273,10000,1.7600209,0.0001317,15
1488910302.328697,348.397,326.271,1000,1.7602989,5.18E-05,15
1488910349.856254,346.737,326.243,100,1.760028,-0.00013,1.5
1488910360.279226,346.391,326.233,10000,1.759973,0.0001272,15
1488910372.697968,345.984,326.219,1000,1.76025,6.6E-05,15
1488910420.240325,344.495,326.15,100,1.760089,-0.000135,1.5
1488910430.6506,344.181,326.131,10000,1.759932,0.000125,15
1488910443.059308,343.814,326.107,1000,1.760205,7.6E-05,15
1488910490.593559,342.477,326.004,100,1.760135,-0.00012,1.5
1488910501.009324,342.193,325.978,10000,1.759903,0.0001238,15
1488910513.543014,341.86,325.947,1000,1.760164,8.06E-05,15
1488910561.378751,340.634,325.815,100,1.760173,-9.5E-05,1.5
1488910571.907451,340.374,325.784,10000,1.7598808,0.0001226,15
1488910584.451432,340.072,325.746,1000,1.760139,8.6E-05,15
1488910632.303535,338.96,325.591,100,1.760217,-8.1E-05,1.5
1488910642.841099,338.724,325.556,10000,1.759853,0.000119,15
1488910655.408656,338.448,325.512,1000,1.760111,8.86E-05,15
1488910703.25191,337.436,325.34,100,1.760223,-5.3E-05,1.5
1488910713.812996,337.221,325.3,10000,1.759836,0.0001204,15
1488910726.352056,336.969,325.253,1000,1.76009,9.1E-05,15
1488910774.198366,336.044,325.066,100,1.760241,-2.8E-05,1.5
1488910784.747364,335.848,325.023,10000,1.7598269,0.0001238,15
1488910797.30362,335.617,324.96,1000,1.7600785,8.93E-05,15
1488910845.148578,334.764,324.565,100,1.760237,-1.93E-05,1.5
1488910855.708543,334.581,324.456,10000,1.759821,0.000119,15
1488910868.258712,334.364,324.227,1000,1.7600669,9.32E-05,15
1488910916.107301,333.512,321.618,100,1.760257,4E-06,1.5
1488910926.673126,333.311,320.934,10000,1.7598171,0.000118,15
1488910939.216753,333.066,320.17,1000,1.760055,9.4E-05,15
1488910987.028769,332.085,318.031,100,1.760227,7E-06,1.5
1488910997.583202,331.864,317.614,10000,1.759814,0.0001198,15
1488911010.127865,331.598,317.126,1000,1.760053,9.14E-05,15
1488911057.853455,330.569,315.515,100,1.760241,3.1E-05,1.5
1488911068.275474,330.343,315.212,10000,1.759804,0.0001244,15
1488911080.691773,330.072,314.863,1000,1.7600404,9.26E-05,15
1488911128.218535,329.04,313.679,100,1.760241,4.7E-05,1.5
1488911138.646796,328.815,313.456,10000,1.7598033,0.0001203,15
1488911151.068712,328.547,313.199,1000,1.760031,9.2E-05,15
1488911198.637538,327.533,312.282,100,1.760231,5.9E-05,1.5
1488911209.057686,327.314,312.095,10000,1.7598,0.000126,15
1488911221.485684,327.053,311.876,1000,1.760031,9.2E-05,15
1488911269.011943,326.072,311.126,100,1.760212,7.1E-05,1.5
1488911279.444593,325.859,310.971,10000,1.759794,0.0001261,15
1488911291.87387,325.608,310.788,1000,1.760029,9.31E-05,15
1488911339.418432,324.663,310.083,100,1.760227,7.8E-05,1.5
1488911349.839517,324.458,309.939,10000,1.7597896,0.0001309,15
1488911362.257022,324.216,309.771,1000,1.760031,9.31E-05,15
1488911409.80389,323.306,309.18,100,1.760218,8.8E-05,1.5
1488911420.224749,323.11,309.052,10000,1.759794,0.0001301,15
1488911432.774518,322.877,308.896,1000,1.760039,9.31E-05,15
1488911480.633876,322.001,308.331,100,1.760232,7.8E-05,1.5
1488911491.199787,321.812,308.208,10000,1.7598003,0.0001286,15
1488911503.773112,321.588,308.05,1000,1.760046,9.43E-05,15
1488911551.608326,320.75,307.435,100,1.76025,7.89E-05,1.5
1488911562.147332,320.568,307.299,10000,1.759797,0.000134,15
1488911574.707604,320.353,307.15,1000,1.7600504,9.48E-05,15
1488911622.553956,319.549,306.665,100,1.760234,9.2E-05,1.5
1488911633.108404,319.376,306.571,10000,1.759803,0.000133,15
1488911645.676979,319.17,306.457,1000,1.760061,9.8E-05,15
1488911693.543257,318.406,306.018,100,1.76025,8.1E-05,1.5
1488911704.112872,318.24,305.914,10000,1.759801,0.000135,15
1488911716.670695,318.045,305.8,1000,1.760074,9.88E-05,15
1488911764.513896,317.318,305.386,100,1.760275,8E-05,1.5
1488911775.070628,317.161,305.279,10000,1.759806,0.0001409,15
1488911787.645462,316.975,305.153,1000,1.760086,0.0001034,15
1488911835.4919,316.281,304.77,100,1.760285,7.6E-05,1.5
1488911846.062412,316.131,304.693,10000,1.759811,0.0001386,15
1488911858.621829,315.954,304.593,1000,1.760099,0.0001045,15
1488911906.480239,315.295,304.231,100,1.760293,9E-05,1.5
1488911917.03355,315.152,304.165,10000,1.759816,0.0001448,15
1488911929.593754,314.985,304.09,1000,1.760099,0.000106,15
1488911977.439887,314.361,303.773,100,1.760304,9.4E-05,1.5
1488911987.991946,314.227,303.709,10000,1.759821,0.000147,15
1488912000.57129,314.068,303.644,1000,1.76011,0.0001085,15
1488912048.393561,313.48,303.429,100,1.760314,9.4E-05,1.5
1488912058.959735,313.353,303.391,10000,1.759824,0.000146,15
1488912071.527053,313.205,303.342,1000,1.760116,0.00011,15
1488912119.367821,312.653,303.081,100,1.760327,9.7E-05,1.5
1488912129.9175,312.534,303.029,10000,1.7598281,0.0001509,15
1488912142.495653,312.393,302.973,1000,1.760128,0.000112,15
1488912190.318617,311.872,302.669,100,1.760325,8.5E-05,1.5
1488912200.889031,311.759,302.583,10000,1.759827,0.000145,15
1488912213.46522,311.625,302.484,1000,1.760134,0.0001136,15
1488912261.311479,311.122,302.085,100,1.760352,0.000103,1.5
1488912271.863881,311.013,302.007,10000,1.7598349,0.0001495,15
1488912284.422494,310.883,301.911,1000,1.7601417,0.0001172,15
1488912332.262404,310.397,301.589,100,1.76038,0.0001017,1.5
1488912342.774061,310.292,301.522,10000,1.75984,0.0001505,15
1488912355.348527,310.168,301.44,1000,1.760147,0.0001187,15
1488912403.190941,309.7,301.084,100,1.760374,0.0001017,1.5
1488912413.751767,309.598,301.002,10000,1.759842,0.000157,15
1488912426.325101,309.478,300.918,1000,1.760155,0.00012,15
