# This data file was created on Tue Mar  7 14:13:09 2017
# capacitor 2-19, sample GBA120, nitrogen cool down part 2
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to OFF
1488921210.347416, 94.224, 76.177, 10000.0, 1.765608, 0.00033, 15.0
1488921222.779783, 94.009, 76.19, 1000.0, 1.765991, 0.000162, 15.0
1488921270.310874, 93.212, 76.187, 100.0, 1.766229, 0.000169, 1.5
1488921280.719352, 93.043, 76.181, 10000.0, 1.765545, 0.000373, 15.0
1488921293.139685, 92.842, 76.176, 1000.0, 1.7659461, 0.0001662, 15.0
1488921340.636852, 92.102, 76.183, 100.0, 1.76624, 0.000128, 1.5
1488921351.063665, 91.944, 76.188, 10000.0, 1.7654696, 0.0004111, 15.0
1488921363.490605, 91.758, 76.193, 1000.0, 1.765899, 0.000172, 15.0
1488921411.018894, 91.07, 76.179, 100.0, 1.766154, 0.000154, 1.5
1488921421.42759, 90.925, 76.17, 10000.0, 1.765395, 0.0004623, 15.0
1488921433.881296, 90.751, 76.163, 1000.0, 1.765851, 0.000177, 15.0
1488921481.421168, 90.111, 76.161, 100.0, 1.76614, 0.000165, 1.5
1488921491.829507, 89.975, 76.15, 10000.0, 1.765306, 0.0005144, 15.0
1488921504.246935, 89.812, 76.156, 1000.0, 1.7657959, 0.0001835, 15.0
1488921551.808475, 89.209, 76.159, 100.0, 1.76614, 0.000133, 1.5
1488921562.224576, 89.082, 76.155, 10000.0, 1.765208, 0.000576, 15.0
1488921574.646088, 88.93, 76.154, 1000.0, 1.765728, 0.000194, 15.0
1488921622.169022, 88.374, 76.156, 100.0, 1.765987, 0.000138, 1.5
1488921632.593721, 88.255, 76.156, 10000.0, 1.7650918, 0.0006411, 15.0
1488921645.012927, 88.117, 76.149, 1000.0, 1.765683, 0.0002027, 15.0
1488921692.533163, 87.602, 76.15, 100.0, 1.765916, 0.000125, 1.5
1488921702.963056, 87.493, 76.151, 10000.0, 1.764982, 0.000703, 15.0
1488921715.392998, 87.365, 76.149, 1000.0, 1.765634, 0.000213, 15.0
