# This data file was created on Thu Mar  9 10:03:05 2017
# capacitor 2-19; sample GBA120; helium cool down after nitrogen to check DC Bias experiment
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO
1489079002.60912, 296.227, 295.49, 10000.0, 1.76608, 0.0001732, 15.0
1489079015.02526, 296.227, 295.491, 1000.0, 1.766458, 0.0001477, 15.0
1489079062.564301, 296.229, 295.5, 100.0, 1.766781, 0.00012, 1.5
1489079072.973292, 296.23, 295.5, 10000.0, 1.766076, 0.0001749, 15.0
1489079085.381111, 296.23, 295.409, 1000.0, 1.766458, 0.000147, 15.0
1489079132.926263, 296.197, 293.648, 100.0, 1.766764, 0.0001305, 1.5
1489079143.342016, 296.177, 293.12, 10000.0, 1.7660807, 0.00017767, 15.0
1489079155.763719, 296.145, 292.474, 1000.0, 1.76646, 0.0001474, 15.0
1489079203.297197, 295.952, 290.133, 100.0, 1.766765, 0.000127, 1.5
1489079213.716361, 295.895, 289.633, 10000.0, 1.766086, 0.0001783, 15.0
1489079226.13875, 295.821, 289.057, 1000.0, 1.766466, 0.0001463, 15.0
1489079273.663256, 295.481, 287.165, 100.0, 1.766784, 0.0001305, 1.5
1489079284.090993, 295.397, 286.817, 10000.0, 1.766097, 0.0001746, 15.0
1489079296.640918, 295.293, 286.421, 1000.0, 1.766472, 0.000149, 15.0
1489079344.471386, 294.864, 285.319, 100.0, 1.766804, 0.000123, 1.5
1489079355.025739, 294.766, 285.159, 10000.0, 1.766102, 0.0001755, 15.0
1489079367.564682, 294.648, 284.997, 1000.0, 1.7664859, 0.0001456, 15.0
1489079415.389688, 294.2, 284.627, 100.0, 1.766804, 0.0001214, 1.5
1489079425.93276, 294.103, 284.594, 10000.0, 1.766108, 0.000177, 15.0
1489079438.49919, 293.988, 284.577, 1000.0, 1.766495, 0.000149, 15.0
1489079486.339957, 293.567, 284.643, 100.0, 1.766825, 0.0001271, 1.5
1489079496.863468, 293.477, 284.678, 10000.0, 1.7661187, 0.0001763, 15.0
1489079509.406782, 293.373, 284.726, 1000.0, 1.766508, 0.0001474, 15.0
1489079557.249189, 292.999, 284.936, 100.0, 1.76683, 0.000123, 1.5
1489079567.797534, 292.92, 284.981, 10000.0, 1.7661363, 0.0001805, 15.0
1489079580.319623, 292.829, 285.035, 1000.0, 1.766515, 0.000149, 15.0
1489079628.134934, 292.502, 285.223, 100.0, 1.766848, 0.000126, 1.5
1489079638.67335, 292.434, 285.257, 10000.0, 1.7661513, 0.0001804, 15.0
1489079651.247328, 292.353, 285.29, 1000.0, 1.76653, 0.0001477, 15.0
1489079699.096398, 292.066, 285.429, 100.0, 1.766849, 0.000127, 1.5
1489079709.631646, 292.005, 285.447, 10000.0, 1.7661594, 0.0001799, 15.0
1489079722.194902, 291.934, 285.476, 1000.0, 1.766539, 0.0001471, 15.0
1489079770.020346, 291.681, 285.669, 100.0, 1.766865, 0.0001271, 1.5
1489079780.558483, 291.629, 285.709, 10000.0, 1.766167, 0.000174, 15.0
1489079793.118988, 291.567, 285.755, 1000.0, 1.766552, 0.000149, 15.0
1489079840.928201, 291.345, 285.56, 100.0, 1.766866, 0.000131, 1.5
1489079851.466877, 291.296, 285.34, 10000.0, 1.7661742, 0.0001808, 15.0
1489079864.032642, 291.234, 284.979, 1000.0, 1.76656, 0.000149, 15.0
1489079911.868227, 290.951, 282.694, 100.0, 1.766862, 0.0001271, 1.5
1489079922.419355, 290.874, 281.903, 10000.0, 1.7661835, 0.0001756, 15.0
1489079934.961049, 290.772, 280.808, 1000.0, 1.76657, 0.0001488, 15.0
1489079982.765204, 290.257, 275.983, 100.0, 1.766899, 0.000131, 1.5
1489079993.338909, 290.115, 274.865, 10000.0, 1.766195, 0.00018, 15.0
1489080005.88595, 289.93, 273.613, 1000.0, 1.7665831, 0.0001474, 15.0
1489080053.694598, 289.113, 269.412, 100.0, 1.766909, 0.000127, 1.5
1489080064.249027, 288.913, 268.618, 10000.0, 1.766222, 0.000177, 15.0
1489080076.798579, 288.666, 267.735, 1000.0, 1.7666071, 0.0001481, 15.0
1489080124.623476, 287.641, 263.642, 100.0, 1.766941, 0.0001282, 1.5
1489080135.170418, 287.395, 262.6, 10000.0, 1.76625, 0.0001783, 15.0
1489080147.610745, 287.095, 261.321, 1000.0, 1.7666346, 0.0001491, 15.0
1489080195.142374, 285.82, 255.34, 100.0, 1.76696, 0.0001237, 1.5
1489080205.570566, 285.506, 253.767, 10000.0, 1.766284, 0.0001795, 15.0
1489080217.988426, 285.116, 251.828, 1000.0, 1.766675, 0.000149, 15.0
1489080265.511569, 283.453, 244.119, 100.0, 1.767012, 0.000136, 1.5
1489080275.932407, 283.056, 242.417, 10000.0, 1.766325, 0.00018, 15.0
1489080288.3737, 282.567, 240.655, 1000.0, 1.766724, 0.0001505, 15.0
1489080335.896667, 280.622, 235.538, 100.0, 1.767069, 0.0001329, 1.5
1489080346.312547, 280.18, 234.097, 10000.0, 1.766384, 0.0001783, 15.0
1489080358.728745, 279.64, 232.388, 1000.0, 1.7667819, 0.0001491, 15.0
1489080406.258106, 277.478, 225.964, 100.0, 1.767125, 0.000125, 1.5
1489080416.670926, 276.983, 224.497, 10000.0, 1.7664553, 0.0001832, 15.0
1489080429.103276, 276.382, 222.794, 1000.0, 1.7668504, 0.0001498, 15.0
1489080476.634895, 273.988, 216.676, 100.0, 1.767204, 0.000129, 1.5
1489080487.07223, 273.444, 215.396, 10000.0, 1.766525, 0.0001794, 15.0
1489080499.505898, 272.791, 213.942, 1000.0, 1.76693, 0.0001499, 15.0
1489080547.035881, 270.232, 208.608, 100.0, 1.767286, 0.000119, 1.5
1489080557.452324, 269.663, 207.549, 10000.0, 1.766783, 0.000182, 15.0
1489080569.889868, 268.976, 206.317, 1000.0, 1.7671826, 0.0001503, 15.0
1489080617.463955, 266.32, 201.436, 100.0, 1.767561, 0.0001299, 1.5
1489080627.894381, 265.734, 200.588, 10000.0, 1.766866, 0.0001822, 15.0
1489080640.322973, 265.029, 199.538, 1000.0, 1.767273, 0.0001505, 15.0
1489080687.864855, 262.322, 195.562, 100.0, 1.767655, 0.00013, 1.5
1489080698.297114, 261.73, 194.659, 10000.0, 1.7669556, 0.0001798, 15.0
1489080710.720033, 261.019, 193.647, 1000.0, 1.767364, 0.000153, 15.0
1489080758.250532, 258.312, 190.231, 100.0, 1.767733, 0.0001265, 1.5
1489080768.68199, 257.722, 189.398, 10000.0, 1.7670488, 0.0001839, 15.0
1489080781.098703, 257.018, 188.451, 1000.0, 1.767464, 0.000153, 15.0
1489080828.646258, 254.318, 184.959, 100.0, 1.767833, 0.000128, 1.5
1489080839.062241, 253.725, 184.164, 10000.0, 1.7671527, 0.0001838, 15.0
1489080851.486355, 253.02, 183.286, 1000.0, 1.7675665, 0.0001536, 15.0
1489080899.034702, 250.32, 180.064, 100.0, 1.767923, 0.000126, 1.5
1489080909.457887, 249.726, 179.424, 10000.0, 1.767253, 0.000185, 15.0
1489080922.002303, 249.016, 178.662, 1000.0, 1.76767, 0.0001532, 15.0
1489080969.806165, 246.304, 175.629, 100.0, 1.768041, 0.000144, 1.5
1489080980.365965, 245.707, 174.876, 10000.0, 1.767369, 0.0001873, 15.0
1489080992.921138, 244.997, 173.99, 1000.0, 1.76778, 0.000155, 15.0
1489081040.767476, 242.289, 170.756, 100.0, 1.768161, 0.0001276, 1.5
1489081051.305622, 241.692, 170.07, 10000.0, 1.7674783, 0.0001864, 15.0
1489081063.888119, 240.985, 169.239, 1000.0, 1.767897, 0.000155, 15.0
1489081111.723627, 238.281, 166.427, 100.0, 1.768283, 0.000133, 1.5
1489081122.272299, 237.691, 165.865, 10000.0, 1.767592, 0.0001866, 15.0
1489081134.846252, 236.983, 165.228, 1000.0, 1.768013, 0.0001544, 15.0
1489081182.700635, 234.313, 162.676, 100.0, 1.768402, 0.000134, 1.5
1489081193.249867, 233.725, 162.126, 10000.0, 1.7677135, 0.000185, 15.0
1489081205.783767, 233.025, 161.437, 1000.0, 1.768136, 0.0001555, 15.0
1489081253.624823, 230.375, 158.544, 100.0, 1.768514, 0.0001407, 1.5
