# This data file was created on Thu Mar  9 19:36:20 2017
# capacitor 2-19; sample GBA120; helium cool down after nitrogen, and after poling DC bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489113398.117614, 87.224, 81.783, 10000.0, 1.810881, 0.001833, 15.0
1489113410.525496, 87.236, 81.738, 1000.0, 1.812131, 0.004101, 15.0
1489113458.067351, 87.278, 81.829, 100.0, 1.81255, 0.000303, 1.5
1489113468.486246, 87.288, 81.716, 10000.0, 1.810883, 0.0018294, 15.0
1489113480.906068, 87.298, 81.982, 1000.0, 1.812135, 0.00406, 15.0
1489113528.461509, 87.379, 83.277, 100.0, 1.812469, 0.000306, 1.5
1489113538.887393, 87.407, 83.575, 10000.0, 1.810535, 0.0017971, 15.0
1489113551.327901, 87.445, 83.928, 1000.0, 1.811777, 0.004082, 15.0
1489113598.878511, 87.64, 85.224, 100.0, 1.812103, 0.000371, 1.5
1489113609.303021, 87.693, 85.496, 10000.0, 1.8106258, 0.0017515, 15.0
1489113621.716008, 87.759, 85.815, 1000.0, 1.8118058, 0.0040401, 15.0
1489113669.244527, 88.049, 86.99, 100.0, 1.812141, 0.000431, 1.5
1489113679.658057, 88.119, 87.235, 10000.0, 1.810694, 0.0016932, 15.0
1489113692.186592, 88.206, 87.522, 1000.0, 1.812129, 0.00416, 15.0
1489113740.043543, 88.571, 88.581, 100.0, 1.812444, 0.000364, 1.5
1489113750.619259, 88.659, 88.812, 10000.0, 1.81107, 0.001608, 15.0
1489113763.164054, 88.764, 89.082, 1000.0, 1.812142, 0.004036, 15.0
1489113810.988616, 89.189, 90.087, 100.0, 1.812509, 0.000345, 1.5
1489113821.505705, 89.287, 90.303, 10000.0, 1.811229, 0.001522, 15.0
1489113834.077164, 89.406, 90.56, 1000.0, 1.812228, 0.00404, 15.0
1489113881.901585, 89.878, 91.516, 100.0, 1.81256, 0.000361, 1.5
1489113892.45331, 89.985, 91.721, 10000.0, 1.811399, 0.001433, 15.0
1489113905.011736, 90.114, 91.966, 1000.0, 1.812303, 0.00402, 15.0
1489113952.820673, 90.618, 92.881, 100.0, 1.812662, 0.000318, 1.5
1489113963.337795, 90.731, 93.078, 10000.0, 1.811522, 0.001342, 15.0
1489113975.892978, 90.868, 93.313, 1000.0, 1.81237, 0.004023, 15.0
1489114023.723267, 91.402, 94.182, 100.0, 1.81271, 0.000375, 1.5
1489114034.282803, 91.522, 94.37, 10000.0, 1.811635, 0.001275, 15.0
1489114046.811293, 91.666, 94.592, 1000.0, 1.812448, 0.004057, 15.0
1489114094.620459, 92.224, 95.43, 100.0, 1.812875, 0.000345, 1.5
1489114105.169523, 92.349, 95.613, 10000.0, 1.811778, 0.001208, 15.0
1489114117.715888, 92.498, 95.828, 1000.0, 1.812532, 0.004057, 15.0
1489114165.539208, 93.076, 96.642, 100.0, 1.81292, 0.00041, 1.5
1489114176.072219, 93.206, 96.82, 10000.0, 1.811819, 0.001144, 15.0
1489114188.622178, 93.359, 97.03, 1000.0, 1.81259, 0.004018, 15.0
1489114236.44686, 93.953, 97.825, 100.0, 1.81298, 0.000375, 1.5
1489114247.00693, 94.085, 97.998, 10000.0, 1.8119235, 0.0010875, 15.0
1489114259.556764, 94.243, 98.205, 1000.0, 1.81265, 0.004125, 15.0
1489114307.402997, 94.851, 98.981, 100.0, 1.813077, 0.000386, 1.5
1489114317.946843, 94.985, 99.151, 10000.0, 1.8120241, 0.0010472, 15.0
1489114330.509265, 95.144, 99.352, 1000.0, 1.812737, 0.004142, 15.0
1489114378.342494, 95.753, 100.114, 100.0, 1.813124, 0.000423, 1.5
1489114388.883091, 95.888, 100.28, 10000.0, 1.812108, 0.001013, 15.0
1489114401.300459, 96.049, 100.476, 1000.0, 1.812756, 0.00429, 15.0
1489114448.829597, 96.662, 101.204, 100.0, 1.81333, 0.00039, 1.5
1489114459.263382, 96.796, 101.362, 10000.0, 1.812169, 0.000977, 15.0
1489114471.704109, 96.959, 101.551, 1000.0, 1.812821, 0.00426, 15.0
1489114519.235955, 97.587, 103.753, 100.0, 1.812129, 0.000418, 1.5
1489114529.662538, 97.737, 104.936, 10000.0, 1.811135, 0.000926, 15.0
1489114542.092971, 97.932, 106.654, 1000.0, 1.811802, 0.004248, 15.0
1489114589.610727, 98.872, 114.567, 100.0, 1.812216, 0.000487, 1.5
1489114600.031661, 99.127, 116.469, 10000.0, 1.811158, 0.000896, 15.0
1489114612.458824, 99.454, 118.799, 1000.0, 1.811824, 0.004302, 15.0
1489114660.004062, 100.936, 128.943, 100.0, 1.81235, 0.000475, 1.5
1489114670.43083, 101.316, 131.547, 10000.0, 1.8112425, 0.0008585, 15.0
1489114682.849317, 101.797, 134.083, 1000.0, 1.81192, 0.004381, 15.0
1489114730.63495, 103.556, 112.399, 100.0, 1.812509, 0.000471, 1.5
1489114741.175632, 103.77, 102.928, 10000.0, 1.811276, 0.000837, 15.0
1489114753.716061, 103.892, 91.394, 1000.0, 1.811925, 0.004401, 15.0
1489114801.581955, 102.955, 52.201, 100.0, 1.81257, 0.00053, 1.5
1489114812.126247, 102.411, 43.761, 10000.0, 1.811267, 0.000842, 15.0
1489114824.576064, 101.563, 34.662, 1000.0, 1.811893, 0.004328, 15.0
