# This data file was created on Thu Mar  9 21:14:06 2017
# capacitor 2-19; sample GBA120; helium cool down after nitrogen, and after poling DC bias different freqs
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489119263.066151, 100.006, 27.305, 14000.0, 1.811382, 0.000871, 15.0
1489119275.500694, 100.007, 27.357, 1400.0, 1.8121, 0.002905, 15.0
1489119315.021074, 98.909, 27.472, 400.0, 1.812257, 0.001808, 6.0
1489119325.44811, 98.485, 27.5, 14000.0, 1.811339, 0.0009271, 15.0
1489119337.878186, 97.992, 27.479, 1400.0, 1.812036, 0.0028526, 15.0
1489119377.379372, 96.574, 27.504, 400.0, 1.812084, 0.0015771, 6.0
1489119387.808508, 96.224, 27.511, 14000.0, 1.811181, 0.001038, 15.0
1489119400.228125, 95.814, 27.517, 1400.0, 1.811881, 0.002778, 15.0
1489119439.754079, 94.506, 27.555, 400.0, 1.811961, 0.001579, 6.0
1489119450.176589, 94.161, 27.553, 14000.0, 1.810955, 0.001194, 15.0
1489119462.605759, 93.75, 27.571, 1400.0, 1.811739, 0.002686, 15.0
1489119502.121115, 92.438, 27.597, 400.0, 1.811811, 0.001538, 6.0
1489119512.545969, 92.092, 27.593, 14000.0, 1.810614, 0.001412, 15.0
1489119524.97492, 91.677, 27.583, 1400.0, 1.81159, 0.002632, 15.0
1489119564.460374, 90.362, 27.599, 400.0, 1.811741, 0.0014497, 6.0
1489119574.873532, 90.016, 27.562, 14000.0, 1.810154, 0.0017136, 15.0
1489119587.292658, 89.599, 27.576, 1400.0, 1.811332, 0.002612, 15.0
1489119626.802633, 88.288, 27.55, 400.0, 1.811391, 0.0014411, 6.0
1489119637.237877, 87.941, 27.559, 14000.0, 1.809412, 0.0021161, 15.0
1489119649.656499, 87.529, 27.535, 1400.0, 1.81108, 0.002621, 15.0
1489119689.211713, 86.217, 27.543, 400.0, 1.811178, 0.001392, 6.0
1489119699.763549, 85.865, 27.521, 14000.0, 1.808339, 0.002611, 15.0
1489119712.313529, 85.449, 27.521, 1400.0, 1.810768, 0.002658, 15.0
1489119751.927692, 84.126, 27.495, 400.0, 1.810881, 0.0014395, 6.0
1489119762.361746, 83.778, 27.49, 14000.0, 1.806845, 0.003142, 15.0
1489119774.775434, 83.367, 27.465, 1400.0, 1.810348, 0.002748, 15.0
1489119814.283295, 82.055, 27.427, 400.0, 1.810539, 0.001443, 6.0
1489119824.709617, 81.71, 27.423, 14000.0, 1.8048255, 0.0036515, 15.0
1489119837.150052, 81.295, 27.412, 1400.0, 1.809835, 0.002914, 15.0
1489119876.657524, 79.982, 27.37, 400.0, 1.8102215, 0.0014417, 6.0
1489119887.074019, 79.636, 27.351, 14000.0, 1.802354, 0.004053, 15.0
1489119899.492759, 79.229, 27.352, 1400.0, 1.809137, 0.0032082, 15.0
1489119939.005155, 77.936, 27.285, 400.0, 1.8097163, 0.0016074, 6.0
1489119949.413431, 77.595, 27.283, 14000.0, 1.799581, 0.004285, 15.0
1489119961.839658, 77.188, 27.262, 1400.0, 1.808015, 0.003633, 15.0
1489120001.339842, 75.881, 27.185, 400.0, 1.809167, 0.0017923, 6.0
1489120011.774492, 75.536, 27.159, 14000.0, 1.796638, 0.00433, 15.0
1489120024.185393, 75.124, 27.172, 1400.0, 1.806407, 0.0041125, 15.0
1489120063.682228, 73.803, 27.126, 400.0, 1.808312, 0.0021395, 6.0
1489120074.095411, 73.456, 27.1, 14000.0, 1.793589, 0.004184, 15.0
1489120086.501268, 73.043, 27.083, 1400.0, 1.804147, 0.004653, 15.0
1489120126.013983, 71.731, 27.029, 400.0, 1.8070684, 0.0026239, 6.0
1489120136.446157, 71.386, 27.021, 14000.0, 1.790694, 0.003909, 15.0
1489120148.881231, 70.973, 26.996, 1400.0, 1.8012887, 0.0050418, 15.0
1489120188.403245, 69.657, 26.9, 400.0, 1.805262, 0.003249, 6.0
1489120198.838767, 69.307, 26.885, 14000.0, 1.788057, 0.003552, 15.0
1489120211.265583, 68.895, 26.871, 1400.0, 1.797997, 0.005231, 15.0
1489120250.786685, 67.586, 26.794, 400.0, 1.802636, 0.003786, 6.0
1489120261.205254, 67.239, 26.807, 14000.0, 1.785607, 0.003187, 15.0
1489120273.640623, 66.827, 26.786, 1400.0, 1.794566, 0.005152, 15.0
1489120313.153642, 65.518, 26.687, 400.0, 1.799418, 0.004178, 6.0
1489120323.574629, 65.173, 26.671, 14000.0, 1.783417, 0.00284, 15.0
1489120336.004201, 64.756, 26.658, 1400.0, 1.791107, 0.004879, 15.0
1489120375.522053, 63.448, 26.566, 400.0, 1.795753, 0.00432, 6.0
1489120385.937921, 63.106, 26.58, 14000.0, 1.781424, 0.002556, 15.0
1489120398.351393, 62.698, 26.551, 1400.0, 1.7879553, 0.0044491, 15.0
1489120437.865376, 61.394, 26.455, 400.0, 1.792051, 0.004143, 6.0
1489120448.28314, 61.048, 26.395, 14000.0, 1.779505, 0.00233, 15.0
1489120460.699734, 60.636, 26.397, 1400.0, 1.785133, 0.003959, 15.0
1489120500.188516, 59.325, 26.296, 400.0, 1.788563, 0.0037845, 6.0
1489120510.623064, 58.981, 26.272, 14000.0, 1.777726, 0.0021645, 15.0
1489120523.04478, 58.566, 26.253, 1400.0, 1.782598, 0.003492, 15.0
1489120562.57865, 57.243, 26.117, 400.0, 1.78536, 0.0033068, 6.0
1489120573.01059, 56.894, 26.097, 14000.0, 1.776025, 0.002036, 15.0
1489120585.443141, 56.481, 26.044, 1400.0, 1.780376, 0.003079, 15.0
1489120624.923655, 55.17, 25.909, 400.0, 1.782614, 0.002824, 6.0
1489120635.353097, 54.824, 25.858, 14000.0, 1.774352, 0.001933, 15.0
1489120647.78537, 54.41, 25.812, 1400.0, 1.778361, 0.002783, 15.0
1489120687.336199, 53.1, 25.681, 400.0, 1.780137, 0.0024122, 6.0
1489120697.75399, 52.755, 25.643, 14000.0, 1.772695, 0.0018406, 15.0
1489120710.175997, 52.341, 25.58, 1400.0, 1.776492, 0.0025426, 15.0
1489120749.680611, 51.02, 25.428, 400.0, 1.777998, 0.002078, 6.0
1489120760.095656, 50.674, 25.378, 14000.0, 1.771084, 0.0017435, 15.0
1489120772.523626, 50.264, 25.329, 1400.0, 1.774741, 0.0023637, 15.0
1489120812.161729, 48.952, 25.134, 400.0, 1.7761317, 0.0018509, 6.0
1489120822.700272, 48.602, 25.09, 14000.0, 1.769609, 0.0016193, 15.0
1489120835.25556, 48.185, 25.029, 1400.0, 1.773097, 0.0022135, 15.0
1489120875.043039, 46.909, 24.833, 400.0, 1.7743566, 0.0016754, 6.0
1489120885.581243, 46.565, 24.789, 14000.0, 1.768224, 0.001499, 15.0
1489120898.126113, 46.156, 24.715, 1400.0, 1.771503, 0.0020965, 15.0
1489120937.883457, 44.845, 24.52, 400.0, 1.772696, 0.0015569, 6.0
1489120948.45167, 44.496, 24.465, 14000.0, 1.766958, 0.001362, 15.0
1489120961.023469, 44.082, 24.395, 1400.0, 1.7699523, 0.0019742, 15.0
1489121000.804745, 42.77, 24.188, 400.0, 1.771079, 0.0014579, 6.0
1489121011.333062, 42.422, 24.122, 14000.0, 1.765799, 0.00122, 15.0
1489121023.861478, 42.009, 24.037, 1400.0, 1.7685029, 0.0018252, 15.0
1489121063.606483, 40.694, 23.805, 400.0, 1.769554, 0.001358, 6.0
1489121074.140138, 40.344, 23.739, 14000.0, 1.764799, 0.001084, 15.0
1489121086.694392, 39.929, 23.654, 1400.0, 1.767176, 0.0016845, 15.0
1489121126.47154, 38.626, 23.41, 400.0, 1.768137, 0.0012674, 6.0
1489121137.020484, 38.28, 23.347, 14000.0, 1.763914, 0.000958, 15.0
1489121149.565217, 37.867, 23.271, 1400.0, 1.766011, 0.0015243, 15.0
1489121189.176261, 36.561, 23.082, 400.0, 1.766818, 0.0011482, 6.0
1489121199.603248, 36.217, 23.007, 14000.0, 1.763155, 0.000839, 15.0
1489121212.035213, 35.813, 22.939, 1400.0, 1.7649443, 0.0013751, 15.0
1489121251.558462, 34.518, 22.692, 400.0, 1.765654, 0.0010271, 6.0
1489121261.99538, 34.184, 22.638, 14000.0, 1.762518, 0.00074, 15.0
1489121274.412595, 34.174, 22.596, 1400.0, 1.764097, 0.001221, 15.0
1489121313.919885, 35.284, 22.762, 400.0, 1.7650417, 0.0009505, 6.0
1489121324.331895, 35.621, 22.842, 14000.0, 1.762767, 0.000777, 15.0
1489121336.758467, 36.027, 22.946, 1400.0, 1.764695, 0.001314, 15.0
1489121376.294404, 37.352, 23.255, 400.0, 1.765939, 0.0010554, 6.0
1489121386.726286, 37.702, 23.341, 14000.0, 1.763391, 0.000876, 15.0
1489121399.137876, 38.119, 23.452, 1400.0, 1.7656284, 0.0014647, 15.0
1489121438.663868, 39.452, 23.775, 400.0, 1.7670582, 0.0011787, 6.0
1489121449.082561, 39.805, 23.853, 14000.0, 1.764186, 0.000996, 15.0
1489121461.506544, 40.223, 23.935, 1400.0, 1.7667676, 0.0016138, 15.0
1489121501.027322, 41.554, 24.254, 400.0, 1.76843, 0.0012745, 6.0
1489121511.453753, 41.905, 24.339, 14000.0, 1.765093, 0.001127, 15.0
1489121523.886321, 42.326, 24.446, 1400.0, 1.768028, 0.00177, 15.0
1489121563.396416, 43.656, 24.751, 400.0, 1.7698087, 0.0013755, 6.0
1489121573.815115, 44.009, 24.82, 14000.0, 1.766127, 0.001268, 15.0
1489121586.231984, 44.426, 24.928, 1400.0, 1.76942, 0.001922, 15.0
1489121625.749227, 45.761, 25.225, 400.0, 1.7713287, 0.0014821, 6.0
1489121636.165368, 46.111, 25.32, 14000.0, 1.767332, 0.001408, 15.0
1489121648.584256, 46.526, 25.433, 1400.0, 1.77097, 0.00205, 15.0
1489121688.064937, 47.872, 25.729, 400.0, 1.773, 0.0015837, 6.0
1489121698.589871, 48.253, 25.793, 14000.0, 1.76872, 0.00155, 15.0
1489121711.140334, 48.698, 25.923, 1400.0, 1.77263, 0.0021888, 15.0
1489121750.887799, 50.067, 26.219, 400.0, 1.7747718, 0.0017154, 6.0
1489121761.436721, 50.426, 26.303, 14000.0, 1.770224, 0.0016789, 15.0
1489121773.987713, 50.852, 26.388, 1400.0, 1.7743732, 0.0023395, 15.0
1489121813.763443, 52.188, 26.665, 400.0, 1.776724, 0.0019052, 6.0
1489121824.285883, 52.537, 26.749, 14000.0, 1.771829, 0.001787, 15.0
1489121836.868047, 52.958, 26.823, 1400.0, 1.776133, 0.00251, 15.0
1489121876.540111, 54.292, 27.085, 400.0, 1.778677, 0.0021869, 6.0
1489121886.960939, 54.641, 27.152, 14000.0, 1.773447, 0.001892, 15.0
1489121899.375127, 55.057, 27.226, 1400.0, 1.77799, 0.002735, 15.0
1489121938.890819, 56.382, 27.479, 400.0, 1.780952, 0.0025311, 6.0
1489121949.31396, 56.732, 27.544, 14000.0, 1.775092, 0.001987, 15.0
1489121961.741747, 57.148, 27.626, 1400.0, 1.779968, 0.003048, 15.0
1489122001.265425, 58.466, 27.865, 400.0, 1.783437, 0.002971, 6.0
1489122011.688632, 58.816, 27.926, 14000.0, 1.776818, 0.002095, 15.0
1489122024.113159, 59.235, 28.0, 1400.0, 1.782201, 0.003438, 15.0
1489122063.611361, 60.56, 28.225, 400.0, 1.7864769, 0.0034873, 6.0
1489122074.045785, 60.905, 28.283, 14000.0, 1.778622, 0.0022405, 15.0
1489122086.468562, 61.311, 28.356, 1400.0, 1.784679, 0.003896, 15.0
1489122125.987583, 62.628, 28.584, 400.0, 1.789752, 0.0038954, 6.0
1489122136.407862, 62.977, 28.651, 14000.0, 1.78042, 0.002441, 15.0
1489122148.817889, 63.392, 28.722, 1400.0, 1.787492, 0.004371, 15.0
1489122188.334754, 64.736, 28.946, 400.0, 1.793352, 0.004191, 6.0
1489122198.769525, 65.089, 29.003, 14000.0, 1.782437, 0.002694, 15.0
1489122211.199649, 65.505, 29.072, 1400.0, 1.790648, 0.004822, 15.0
1489122250.724418, 66.83, 29.286, 400.0, 1.79716, 0.004273, 6.0
1489122261.13194, 67.178, 29.343, 14000.0, 1.784515, 0.003024, 15.0
1489122273.563335, 67.596, 29.406, 1400.0, 1.79407, 0.005139, 15.0
1489122313.068252, 68.915, 29.61, 400.0, 1.800672, 0.004019, 6.0
1489122323.472983, 69.262, 29.664, 14000.0, 1.786822, 0.003387, 15.0
1489122335.889862, 69.676, 29.731, 1400.0, 1.797523, 0.005252, 15.0
1489122375.394321, 70.989, 29.937, 400.0, 1.803603, 0.0035545, 6.0
1489122385.799829, 71.337, 29.991, 14000.0, 1.789405, 0.00375, 15.0
1489122398.229992, 71.75, 30.053, 1400.0, 1.800861, 0.005079, 15.0
1489122437.725866, 73.066, 30.252, 400.0, 1.805934, 0.0029497, 6.0
1489122448.136598, 73.413, 30.302, 14000.0, 1.792218, 0.004063, 15.0
1489122460.548303, 73.826, 30.362, 1400.0, 1.803755, 0.004673, 15.0
1489122500.062136, 75.14, 30.547, 400.0, 1.807545, 0.00236, 6.0
1489122510.478978, 75.483, 30.593, 14000.0, 1.795171, 0.004278, 15.0
1489122522.913854, 75.896, 30.649, 1400.0, 1.806037, 0.004163, 15.0
1489122562.425042, 77.21, 30.812, 400.0, 1.808535, 0.001908, 6.0
1489122572.835844, 77.556, 30.852, 14000.0, 1.798192, 0.004308, 15.0
1489122585.264881, 77.971, 30.893, 1400.0, 1.80775, 0.0036486, 15.0
1489122624.764005, 79.288, 31.099, 400.0, 1.809266, 0.001653, 6.0
1489122635.174511, 79.638, 31.175, 14000.0, 1.8011, 0.004159, 15.0
1489122647.591076, 80.059, 31.259, 1400.0, 1.808887, 0.003201, 15.0
1489122687.103724, 81.419, 31.498, 400.0, 1.8098, 0.0014857, 6.0
1489122697.528156, 81.768, 31.556, 14000.0, 1.803792, 0.003816, 15.0
1489122709.955242, 82.181, 31.624, 1400.0, 1.809682, 0.002895, 15.0
1489122749.469867, 83.49, 31.829, 400.0, 1.8102149, 0.0013852, 6.0
1489122759.89681, 83.838, 31.88, 14000.0, 1.806005, 0.003342, 15.0
