# This data file was created on Thu Mar  9 22:18:22 2017
# capacitor 2-19; sample GBA120; helium cool down after nitrogen, and after poling DC bias different freqs... Frequencies: 400Hz, 1400Hz, 14000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1489119315.0210741, 98.909000000000006, 27.472000000000001, 1.812257, 0.0018079999999999999, 6.0, 400, 1489119275.500694, 100.00700000000001, 27.356999999999999, 1.8121, 0.002905, 15.0, 1400, 1489119263.0661509, 100.006, 27.305, 1.811382, 0.00087100000000000003, 15.0, 14000
1489119377.3793719, 96.573999999999998, 27.504000000000001, 1.812084, 0.0015770999999999999, 6.0, 400, 1489119337.878186, 97.992000000000004, 27.478999999999999, 1.812036, 0.0028525999999999998, 15.0, 1400, 1489119325.4481101, 98.484999999999999, 27.5, 1.811339, 0.00092710000000000004, 15.0, 14000
1489119439.7540791, 94.506, 27.555, 1.8119609999999999, 0.0015790000000000001, 6.0, 400, 1489119400.2281251, 95.813999999999993, 27.516999999999999, 1.8118810000000001, 0.0027780000000000001, 15.0, 1400, 1489119387.8085079, 96.224000000000004, 27.510999999999999, 1.8111809999999999, 0.0010380000000000001, 15.0, 14000
1489119502.121115, 92.438000000000002, 27.597000000000001, 1.8118110000000001, 0.0015380000000000001, 6.0, 400, 1489119462.6057589, 93.75, 27.571000000000002, 1.811739, 0.002686, 15.0, 1400, 1489119450.176589, 94.161000000000001, 27.553000000000001, 1.8109550000000001, 0.001194, 15.0, 14000
1489119564.4603741, 90.361999999999995, 27.599, 1.811741, 0.0014496999999999999, 6.0, 400, 1489119524.97492, 91.677000000000007, 27.582999999999998, 1.81159, 0.0026319999999999998, 15.0, 1400, 1489119512.545969, 92.091999999999999, 27.593, 1.8106139999999999, 0.0014120000000000001, 15.0, 14000
1489119626.802633, 88.287999999999997, 27.550000000000001, 1.811391, 0.0014411000000000001, 6.0, 400, 1489119587.2926581, 89.599000000000004, 27.576000000000001, 1.8113319999999999, 0.0026120000000000002, 15.0, 1400, 1489119574.8735321, 90.016000000000005, 27.562000000000001, 1.810154, 0.0017136, 15.0, 14000
1489119689.2117131, 86.216999999999999, 27.542999999999999, 1.811178, 0.001392, 6.0, 400, 1489119649.6564989, 87.528999999999996, 27.535, 1.81108, 0.0026210000000000001, 15.0, 1400, 1489119637.2378769, 87.941000000000003, 27.559000000000001, 1.809412, 0.0021161000000000001, 15.0, 14000
1489119751.9276919, 84.126000000000005, 27.495000000000001, 1.810881, 0.0014395, 6.0, 400, 1489119712.313529, 85.448999999999998, 27.521000000000001, 1.8107679999999999, 0.0026580000000000002, 15.0, 1400, 1489119699.7635491, 85.864999999999995, 27.521000000000001, 1.8083389999999999, 0.002611, 15.0, 14000
1489119814.2832949, 82.055000000000007, 27.427, 1.8105389999999999, 0.0014430000000000001, 6.0, 400, 1489119774.775434, 83.367000000000004, 27.465, 1.8103480000000001, 0.002748, 15.0, 1400, 1489119762.3617461, 83.778000000000006, 27.489999999999998, 1.806845, 0.0031419999999999998, 15.0, 14000
1489119876.6575241, 79.981999999999999, 27.370000000000001, 1.8102214999999999, 0.0014417, 6.0, 400, 1489119837.1500521, 81.295000000000002, 27.411999999999999, 1.8098350000000001, 0.0029139999999999999, 15.0, 1400, 1489119824.7096169, 81.709999999999994, 27.422999999999998, 1.8048255, 0.0036514999999999998, 15.0, 14000
1489119939.0051551, 77.936000000000007, 27.285, 1.8097163000000001, 0.0016073999999999999, 6.0, 400, 1489119899.492759, 79.228999999999999, 27.352, 1.809137, 0.0032082, 15.0, 1400, 1489119887.074019, 79.635999999999996, 27.350999999999999, 1.802354, 0.0040530000000000002, 15.0, 14000
1489120001.3398421, 75.881, 27.184999999999999, 1.809167, 0.0017922999999999999, 6.0, 400, 1489119961.839658, 77.188000000000002, 27.262, 1.8080149999999999, 0.0036329999999999999, 15.0, 1400, 1489119949.4134309, 77.594999999999999, 27.283000000000001, 1.7995810000000001, 0.0042849999999999997, 15.0, 14000
1489120063.6822281, 73.802999999999997, 27.126000000000001, 1.8083119999999999, 0.0021394999999999999, 6.0, 400, 1489120024.1853931, 75.123999999999995, 27.172000000000001, 1.8064070000000001, 0.0041124999999999998, 15.0, 1400, 1489120011.774492, 75.536000000000001, 27.158999999999999, 1.796638, 0.0043299999999999996, 15.0, 14000
1489120126.013983, 71.730999999999995, 27.029, 1.8070683999999999, 0.0026239000000000002, 6.0, 400, 1489120086.5012679, 73.043000000000006, 27.082999999999998, 1.8041469999999999, 0.004653, 15.0, 1400, 1489120074.0954111, 73.456000000000003, 27.100000000000001, 1.7935890000000001, 0.0041840000000000002, 15.0, 14000
