# This data file was created on Thu Mar  9 22:18:33 2017
# capacitor 2-19; sample GBA120; helium cool down after nitrogen, and after poling DC bias different freqs (even different)
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489123130.935165, 96.171, 33.632, 20000.0, 1.810847, 0.001211, 15.0
1489123141.364608, 96.521, 33.684, 2000.0, 1.811733, 0.002061, 15.0
1489123153.797151, 96.936, 33.744, 800.0, 1.81194, 0.002974, 12.0
1489123164.214354, 97.277, 33.79, 20000.0, 1.810982, 0.0011098, 15.0
1489123174.63619, 97.346, 33.839, 2000.0, 1.811817, 0.0020703, 15.0
1489123187.056226, 97.028, 28.998, 800.0, 1.812009, 0.002992, 12.0
1489123197.481751, 96.52, 22.168, 20000.0, 1.8109847, 0.0011267, 15.0
1489123207.888401, 95.827, 18.447, 2000.0, 1.811741, 0.002076, 15.0
1489123220.307984, 95.036, 17.484, 800.0, 1.811883, 0.002953, 12.0
1489123230.736404, 94.546, 17.324, 20000.0, 1.810707, 0.0013243, 15.0
1489123241.163311, 94.196, 17.2, 2000.0, 1.8116389, 0.001998, 15.0
1489123253.585291, 93.865, 17.054, 800.0, 1.811808, 0.00286, 12.0
1489123264.004134, 93.608, 17.046, 20000.0, 1.810547, 0.0014509, 15.0
1489123274.428272, 93.34, 16.952, 2000.0, 1.81157, 0.001983, 15.0
1489123286.849541, 92.991, 16.873, 800.0, 1.81174, 0.002803, 12.0
1489123297.28712, 92.679, 16.929, 20000.0, 1.81034, 0.001575, 15.0
1489123307.708726, 92.351, 16.754, 2000.0, 1.8114962, 0.0019873, 15.0
1489123320.136186, 91.946, 16.786, 800.0, 1.811711, 0.002763, 12.0
1489123330.56766, 91.601, 16.731, 20000.0, 1.810089, 0.001743, 15.0
1489123340.989033, 91.252, 16.692, 2000.0, 1.81138, 0.001992, 15.0
1489123353.413899, 90.836, 16.603, 800.0, 1.81155, 0.002726, 12.0
1489123363.821887, 90.489, 16.543, 20000.0, 1.809742, 0.0019467, 15.0
1489123374.248583, 90.14, 16.581, 2000.0, 1.811254, 0.00197, 15.0
1489123386.673485, 89.723, 16.523, 800.0, 1.811466, 0.002718, 12.0
1489123397.091512, 89.376, 16.523, 20000.0, 1.809304, 0.002175, 15.0
1489123407.499651, 89.03, 16.459, 2000.0, 1.8111256, 0.0020112, 15.0
1489123419.918596, 88.617, 16.367, 800.0, 1.81132, 0.002653, 12.0
1489123430.350696, 88.273, 16.29, 20000.0, 1.8087775, 0.0024212, 15.0
1489123440.777642, 87.926, 16.215, 2000.0, 1.810973, 0.002022, 15.0
1489123453.213078, 87.514, 16.29, 800.0, 1.811186, 0.002623, 12.0
1489123463.651622, 87.166, 16.212, 20000.0, 1.808195, 0.002685, 15.0
1489123474.097195, 86.819, 16.191, 2000.0, 1.8108035, 0.0020445, 15.0
1489123486.514713, 86.407, 16.148, 800.0, 1.811039, 0.002584, 12.0
1489123496.949129, 86.06, 16.078, 20000.0, 1.807389, 0.0029644, 15.0
