# This data file was created on Thu Mar  9 23:07:56 2017
# capacitor 2-19; sample GBA120; baking after weird cold behavior
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489126096.209538, 41.066, 23.957, 10000.0, 1.765288, 0.001168, 15.0
1489126108.646476, 40.938, 23.906, 1000.0, 1.767888, 0.001955, 15.0
1489126156.175091, 42.28, 24.239, 100.0, 1.770624, 0.001113, 1.5
1489126166.599571, 42.648, 24.38, 10000.0, 1.765767, 0.001229, 15.0
1489126179.00027, 43.092, 24.53, 1000.0, 1.768893, 0.0020696, 15.0
1489126226.526333, 44.765, 25.024, 100.0, 1.77231, 0.0012, 1.5
1489126236.947636, 45.127, 25.43, 10000.0, 1.76708, 0.0013779, 15.0
1489126249.362072, 45.583, 26.15, 1000.0, 1.77056, 0.002231, 15.0
1489126296.90851, 47.402, 28.169, 100.0, 1.774311, 0.001306, 1.5
1489126307.327279, 47.762, 28.358, 10000.0, 1.768733, 0.0015412, 15.0
1489126319.743934, 48.186, 28.564, 1000.0, 1.772568, 0.002422, 15.0
1489126367.290833, 49.763, 29.124, 100.0, 1.776585, 0.001541, 1.5
1489126377.723174, 50.105, 29.223, 10000.0, 1.770396, 0.0016845, 15.0
1489126390.28079, 50.515, 29.341, 1000.0, 1.77445, 0.00261, 15.0
1489126438.108606, 52.198, 32.133, 100.0, 1.779043, 0.001853, 1.5
1489126448.65256, 52.599, 32.766, 10000.0, 1.772241, 0.001799, 15.0
1489126461.202164, 53.064, 33.367, 1000.0, 1.776595, 0.0028532, 15.0
1489126509.022093, 54.685, 34.871, 100.0, 1.78233, 0.00234, 1.5
1489126519.576756, 55.024, 35.095, 10000.0, 1.77415, 0.0019135, 15.0
1489126532.153391, 55.424, 35.335, 1000.0, 1.778801, 0.003182, 15.0
1489126579.95977, 56.943, 36.104, 100.0, 1.785621, 0.002956, 1.5
1489126590.479221, 57.279, 36.25, 10000.0, 1.7760147, 0.0020354, 15.0
1489126603.028379, 57.682, 36.419, 1000.0, 1.781172, 0.003607, 15.0
1489126650.853926, 59.228, 37.022, 100.0, 1.789567, 0.00336, 1.5
1489126661.419327, 59.574, 37.154, 10000.0, 1.778011, 0.002202, 15.0
1489126673.974099, 59.988, 37.305, 1000.0, 1.783894, 0.004156, 15.0
1489126721.81388, 61.572, 37.848, 100.0, 1.79406, 0.003656, 1.5
1489126732.332999, 61.924, 37.966, 10000.0, 1.7801137, 0.0024325, 15.0
1489126744.903717, 62.345, 38.099, 1000.0, 1.787166, 0.0047409, 15.0
1489126792.728836, 63.949, 40.261, 100.0, 1.798593, 0.003502, 1.5
1489126803.256833, 64.36, 41.303, 10000.0, 1.7822794, 0.002807, 15.0
1489126815.807974, 64.847, 42.368, 1000.0, 1.790775, 0.005335, 15.0
1489126863.607198, 66.568, 45.713, 100.0, 1.802803, 0.002898, 1.5
1489126874.174826, 66.929, 46.365, 10000.0, 1.7850935, 0.0032459, 15.0
1489126886.708875, 67.346, 47.115, 1000.0, 1.795446, 0.005648, 15.0
1489126934.517527, 68.907, 49.574, 100.0, 1.805654, 0.002084, 1.5
1489126945.061486, 69.245, 50.046, 10000.0, 1.787793, 0.003668, 15.0
1489126957.606457, 69.648, 50.591, 1000.0, 1.799163, 0.0056664, 15.0
1489127005.457653, 71.18, 52.518, 100.0, 1.80728, 0.001422, 1.5
1489127015.986906, 71.522, 52.918, 10000.0, 1.791082, 0.004051, 15.0
1489127028.54635, 71.929, 53.38, 1000.0, 1.802835, 0.0053, 15.0
1489127076.38698, 73.498, 55.035, 100.0, 1.8082, 0.000883, 1.5
1489127086.94653, 73.845, 55.381, 10000.0, 1.794529, 0.004306, 15.0
1489127099.496631, 74.259, 55.787, 1000.0, 1.80557, 0.00475, 15.0
1489127147.339293, 75.831, 57.263, 100.0, 1.80889, 0.000635, 1.5
1489127157.876114, 76.178, 57.576, 10000.0, 1.798099, 0.0043456, 15.0
1489127170.452955, 76.594, 57.943, 1000.0, 1.807583, 0.004138, 15.0
1489127218.257197, 78.181, 59.304, 100.0, 1.809548, 0.000466, 1.5
1489127228.808227, 78.532, 59.596, 10000.0, 1.801521, 0.004124, 15.0
1489127241.354069, 78.95, 59.94, 1000.0, 1.8088842, 0.003661, 15.0
1489127289.177644, 80.542, 61.224, 100.0, 1.81001, 0.000375, 1.5
1489127299.692166, 80.896, 61.5, 10000.0, 1.80447, 0.0036663, 15.0
1489127312.231126, 81.315, 61.828, 1000.0, 1.809719, 0.003352, 15.0
1489127360.084838, 82.91, 63.057, 100.0, 1.810521, 0.000331, 1.5
1489127370.618299, 83.26, 63.319, 10000.0, 1.806835, 0.00306, 15.0
1489127383.155335, 83.676, 63.628, 1000.0, 1.810309, 0.00322, 15.0
1489127431.002421, 85.263, 64.794, 100.0, 1.81089, 0.000232, 1.5
1489127441.529351, 85.612, 65.048, 10000.0, 1.808474, 0.0024495, 15.0
1489127454.09248, 86.029, 65.349, 1000.0, 1.81074, 0.0031993, 15.0
1489127501.904039, 87.623, 66.48, 100.0, 1.81132, 0.00024, 1.5
1489127512.448111, 87.973, 66.728, 10000.0, 1.809594, 0.001927, 15.0
1489127524.987133, 88.391, 67.021, 1000.0, 1.81117, 0.003246, 15.0
1489127572.774794, 89.98, 68.126, 100.0, 1.811582, 0.000322, 1.5
1489127583.30267, 90.327, 68.367, 10000.0, 1.8103119, 0.0015295, 15.0
1489127595.857853, 90.741, 68.655, 1000.0, 1.811391, 0.0033101, 15.0
1489127643.698553, 92.336, 69.727, 100.0, 1.81189, 0.000298, 1.5
1489127654.242417, 92.687, 69.96, 10000.0, 1.810728, 0.001252, 15.0
1489127666.781829, 93.105, 70.237, 1000.0, 1.811641, 0.003458, 15.0
1489127714.628098, 94.694, 71.288, 100.0, 1.81205, 0.000353, 1.5
1489127725.175667, 95.044, 71.518, 10000.0, 1.811083, 0.0010806, 15.0
1489127737.736854, 95.459, 71.792, 1000.0, 1.811874, 0.003637, 15.0
1489127785.541201, 97.051, 72.83, 100.0, 1.812331, 0.000408, 1.5
1489127796.095834, 97.403, 73.058, 10000.0, 1.811251, 0.000969, 15.0
1489127808.650957, 97.821, 73.329, 1000.0, 1.812015, 0.003728, 15.0
1489127856.481521, 99.413, 74.357, 100.0, 1.812509, 0.000428, 1.5
1489127867.014556, 99.763, 74.582, 10000.0, 1.8114364, 0.0008959, 15.0
1489127879.580255, 100.179, 74.85, 1000.0, 1.812102, 0.003876, 15.0
1489127927.410489, 101.768, 75.854, 100.0, 1.812684, 0.000474, 1.5
1489127937.938507, 102.119, 76.074, 10000.0, 1.811545, 0.000851, 15.0
1489127950.519989, 102.537, 76.336, 1000.0, 1.812161, 0.004021, 15.0
1489127998.334329, 104.129, 77.331, 100.0, 1.812869, 0.000502, 1.5
1489128008.899699, 104.48, 77.55, 10000.0, 1.811574, 0.000821, 15.0
1489128021.460605, 104.898, 77.811, 1000.0, 1.812265, 0.004198, 15.0
1489128069.274299, 106.484, 78.802, 100.0, 1.813027, 0.000515, 1.5
1489128079.813309, 106.834, 79.02, 10000.0, 1.811643, 0.0008167, 15.0
1489128092.373136, 107.253, 79.28, 1000.0, 1.81231, 0.004464, 15.0
1489128140.182509, 108.846, 80.268, 100.0, 1.813069, 0.000479, 1.5
1489128150.715645, 109.195, 80.486, 10000.0, 1.811589, 0.0008211, 15.0
1489128163.265369, 109.613, 80.746, 1000.0, 1.812326, 0.004733, 15.0
1489128211.11158, 111.2, 81.721, 100.0, 1.813108, 0.000541, 1.5
1489128221.650382, 111.551, 81.935, 10000.0, 1.811467, 0.0008387, 15.0
1489128234.213857, 111.97, 82.189, 1000.0, 1.812278, 0.004829, 15.0
1489128282.019549, 113.561, 83.159, 100.0, 1.81307, 0.000527, 1.5
1489128292.575319, 113.912, 83.373, 10000.0, 1.811409, 0.0008531, 15.0
1489128305.134496, 114.329, 83.628, 1000.0, 1.812294, 0.005072, 15.0
1489128352.962106, 115.916, 84.6, 100.0, 1.81288, 0.000602, 1.5
1489128363.519448, 116.267, 84.814, 10000.0, 1.81135, 0.000883, 15.0
1489128376.069172, 116.685, 85.069, 1000.0, 1.81215, 0.005309, 15.0
1489128423.89447, 118.277, 86.041, 100.0, 1.812868, 0.000517, 1.5
1489128434.427381, 118.628, 86.257, 10000.0, 1.811151, 0.000885, 15.0
1489128446.961584, 119.046, 86.511, 1000.0, 1.81209, 0.005463, 15.0
1489128494.781055, 120.632, 87.477, 100.0, 1.81256, 0.000486, 1.5
1489128505.305698, 120.983, 87.688, 10000.0, 1.811025, 0.000929, 15.0
1489128517.837472, 121.399, 87.939, 1000.0, 1.8119, 0.0056, 15.0
1489128565.640665, 122.993, 88.899, 100.0, 1.812434, 0.000473, 1.5
1489128576.200678, 123.342, 89.111, 10000.0, 1.810824, 0.000953, 15.0
1489128588.755515, 123.76, 89.364, 1000.0, 1.81175, 0.005652, 15.0
1489128636.57537, 125.348, 90.327, 100.0, 1.812245, 0.000515, 1.5
1489128647.135274, 125.698, 90.54, 10000.0, 1.810634, 0.000981, 15.0
1489128659.685473, 126.116, 90.795, 1000.0, 1.81154, 0.00562, 15.0
1489128707.504475, 127.707, 91.761, 100.0, 1.81192, 0.000499, 1.5
1489128718.069742, 128.058, 91.975, 10000.0, 1.810502, 0.000949, 15.0
1489128730.635784, 128.475, 92.23, 1000.0, 1.811334, 0.005478, 15.0
1489128778.492931, 130.052, 93.203, 100.0, 1.811676, 0.00036, 1.5
1489128789.034087, 130.397, 93.417, 10000.0, 1.810279, 0.000919, 15.0
1489128801.586169, 130.81, 93.67, 1000.0, 1.81109, 0.00537, 15.0
1489128849.410819, 132.392, 94.627, 100.0, 1.811448, 0.000386, 1.5
