# This data file was created on Thu Mar  9 12:39:33 2017
# testing
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1489088394.41632, 99.999, 76.035, 10000.0, 1.811546, 0.000458, 15.0, -100
1489088404.839414, 99.999, 76.032, 10000.0, 1.811547, 0.000459, 15.0, -80
1489088415.264562, 100.0, 76.034, 10000.0, 1.811545, 0.000458, 15.0, -60
1489088425.68064, 100.0, 76.037, 10000.0, 1.81154, 0.000459, 15.0, -40
1489088436.110064, 100.0, 76.043, 10000.0, 1.811547, 0.0004575, 15.0, -20
1489088446.534423, 100.0, 76.043, 10000.0, 1.811545, 0.000459, 15.0, 0
1489088456.952375, 99.999, 76.045, 10000.0, 1.8115449, 0.0004572, 15.0, 20
1489088467.369795, 100.0, 76.042, 10000.0, 1.811545, 0.00046, 15.0, 40
1489088477.772056, 100.0, 76.04, 10000.0, 1.811544, 0.0004635, 15.0, 60
1489088488.207772, 100.0, 76.04, 10000.0, 1.81155, 0.00046, 15.0, 80
1489088498.641742, 100.001, 76.04, 10000.0, 1.811547, 0.000461, 15.0, 100
