# This data file was created on Thu Mar  9 13:33:40 2017
# 100K positive data
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1489091637.559432, 100.0, 76.037, 10000.0, 1.812031, 0.000594, 15.0, 0.48160381450000006
1489091649.986235, 100.0, 76.036, 1000.0, 1.812577, 0.001078, 15.0, 0.47370867000000005
1489091697.524468, 100.0, 76.038, 100.0, 1.81319, 0.00027, 1.5, 0.47370867000000005
1489091707.9497, 100.0, 76.038, 10000.0, 1.811893, 0.001073, 15.0, 19.137830268000002
1489091720.371524, 100.0, 76.038, 1000.0, 1.812584, 0.006507, 15.0, 19.145725412500003
1489091767.884728, 100.0, 76.034, 100.0, 1.81303, 0.0341, 1.5, 19.145725412500003
1489091778.30252, 100.0, 76.037, 10000.0, 1.811945, 0.003317, 15.0, 38.583571171500004
1489091790.734784, 100.0, 76.038, 1000.0, 1.81259, 0.028252, 15.0, 38.583571171500004
1489091838.272047, 100.0, 76.035, 100.0, 1.8117, 0.24336, 1.5, 38.583571171500004
1489091848.671823, 100.0, 76.04, 10000.0, 1.811904, 0.007778, 15.0, 57.91878005200001
1489091861.100892, 100.0, 76.038, 1000.0, 1.81248, 0.07267, 15.0, 57.91878005200001
1489091908.631953, 100.0, 76.036, 100.0, 1.8108, 0.6301, 1.5, 57.91878005200001
1489091919.046511, 100.0, 76.037, 10000.0, 1.81187, 0.01422, 15.0, 79.31462164700001
1489091931.596459, 100.0, 76.034, 1000.0, 1.8121, 0.1425, 15.0, 79.3067265025
1489091978.935793, 100.0, 76.034, 100.0, 1.804, 1.3791, 0.75, 79.3067265025
1489091989.471581, 100.0, 76.039, 10000.0, 1.811898, 0.023001, 15.0, 98.74457226150001
1489092002.045972, 100.0, 76.033, 1000.0, 1.81198, 0.23503, 15.0, 98.74457226150001
# 
1489092049.374599, 100.0, 76.036, -1, -1, -1, -1, -1, 98.74457226150001
1489092059.928858, 100.0, 76.036, 10000.0, 1.811996, 0.000564, 15.0, 0.47370867000000005
1489092072.468139, 100.0, 76.035, 1000.0, 1.812626, 0.000971, 15.0, 0.48160381450000006
1489092120.180959, 100.0, 76.037, 100.0, 1.81328, 0.00041, 1.5, 0.47370867000000005
1489092130.623408, 100.0, 76.035, 10000.0, 1.811919, 0.000993, 15.0, 19.137830268000002
1489092143.05097, 100.0, 76.038, 1000.0, 1.812691, 0.0056131, 15.0, 19.145725412500003
1489092190.592929, 100.0, 76.035, 100.0, 1.81313, 0.025602, 1.5, 19.145725412500003
1489092201.013961, 100.0, 76.035, 10000.0, 1.8119537, 0.0030642, 15.0, 38.583571171500004
1489092213.452035, 100.0, 76.035, 1000.0, 1.81257, 0.026277, 15.0, 38.583571171500004
1489092260.978206, 100.0, 76.038, 100.0, 1.8127, 0.2067, 1.5, 38.57567602700001
1489092271.409831, 100.001, 76.031, 10000.0, 1.811902, 0.007365, 15.0, 57.91878005200001
1489092283.848007, 100.0, 76.034, 1000.0, 1.81249, 0.06833, 15.0, 57.926675196500014
1489092331.37959, 100.0, 76.031, 100.0, 1.811, 0.6503, 1.5, 57.91878005200001
1489092341.809232, 100.0, 76.036, 10000.0, 1.811959, 0.014719, 15.0, 79.29883135800002
1489092354.232678, 100.0, 76.036, 1000.0, 1.8123, 0.14771, 15.0, 79.3067265025
1489092401.745255, 100.0, 76.034, 100.0, 1.812, 1.4188, 0.75, 79.3067265025
1489092412.261698, 100.0, 76.032, 10000.0, 1.81192, 0.02391, 15.0, 98.74457226150001
1489092424.858144, 100.0, 76.032, 1000.0, 1.812, 0.2402, 15.0, 98.74457226150001
# 
1489092471.663953, 99.999, 76.032, -1, -1, -1, -1, -1, 98.736677117
