# This data file was created on Fri Mar 10 16:58:54 2017
# capacitor 2-19; sample GBA120; did second set of DC measurements and now warming up
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489190355.251504, 84.969, 75.923, 10000.0, 1.806705, 0.002044, 15.0
1489190367.676848, 84.861, 75.924, 1000.0, 1.808703, 0.0005942, 15.0
1489190415.199578, 97.063, 75.931, 100.0, 1.809674, 0.00027, 1.5
1489190425.620492, 99.904, 75.935, 10000.0, 1.809309, 0.000523, 15.0
1489190438.019423, 102.465, 75.94, 1000.0, 1.809997, 0.000392, 15.0
1489190485.570754, 112.057, 75.949, 100.0, 1.81105, 0.000392, 1.5
1489190496.003384, 114.15, 75.953, 10000.0, 1.809458, 0.0003195, 15.0
1489190508.44028, 116.624, 75.956, 1000.0, 1.810129, 0.000523, 15.0
1489190555.975173, 125.764, 75.967, 100.0, 1.810745, 0.000313, 1.5
1489190566.385727, 127.682, 75.967, 10000.0, 1.808798, 0.000362, 15.0
1489190578.791825, 129.928, 75.975, 1000.0, 1.809502, 0.0005116, 15.0
1489190626.335264, 138.098, 75.989, 100.0, 1.809475, 0.000223, 1.5
1489190636.754953, 139.808, 75.985, 10000.0, 1.807792, 0.0003473, 15.0
1489190649.198322, 141.827, 75.99, 1000.0, 1.808253, 0.000483, 15.0
1489190696.745627, 149.241, 76.001, 100.0, 1.808148, 0.000199, 1.5
1489190707.163552, 150.794, 75.999, 10000.0, 1.8065575, 0.0002993, 15.0
1489190719.592089, 152.621, 76.01, 1000.0, 1.8068844, 0.0005129, 15.0
1489190767.122811, 159.297, 76.019, 100.0, 1.806745, 0.000176, 1.5
1489190777.541472, 160.707, 76.019, 10000.0, 1.805276, 0.0002731, 15.0
1489190789.975284, 162.344, 76.023, 1000.0, 1.80558, 0.0005564, 15.0
1489190837.494515, 168.328, 76.036, 100.0, 1.805505, 0.00019, 1.5
