# This data file was created on Fri Mar 10 16:25:15 2017
# 85K positive data day 2 (after material sucked in)
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1489188338.453075, 85.0, 75.903, 10000.0, 1.806696, 0.002042, 15.0, 0.48160381450000006
1489188348.874538, 85.0, 75.9, 10000.0, 1.806695, 0.002042, 15.0, 1.7685123680000001
1489188359.285419, 85.0, 75.9, 10000.0, 1.806689, 0.002041, 15.0, 3.6949276260000006
1489188369.698605, 85.0, 75.901, 10000.0, 1.8066805, 0.0020432, 15.0, 5.621342884000001
1489188380.112352, 85.0, 75.9, 10000.0, 1.806682, 0.002048, 15.0, 9.489963689000001
1489188390.520847, 85.0, 75.898, 10000.0, 1.8066788, 0.002052, 15.0, 11.416378947000002
1489188400.950821, 85.0, 75.901, 10000.0, 1.806674, 0.002062, 15.0, 13.3506893495
1489188411.371281, 85.0, 75.902, 10000.0, 1.806676, 0.0020739, 15.0, 17.211415010000003
1489188421.783508, 85.0, 75.9, 10000.0, 1.806674, 0.0020883, 15.0, 19.153620557
1489188432.217734, 85.0, 75.9, 10000.0, 1.8066798, 0.0021006, 15.0, 21.0721406705
1489188442.635875, 85.0, 75.9, 10000.0, 1.806679, 0.002111, 15.0, 23.014346217500005
1489188453.058238, 85.0, 75.902, 10000.0, 1.806683, 0.00215, 15.0, 26.875071878
1489188463.468615, 85.001, 75.902, 10000.0, 1.806684, 0.002171, 15.0, 28.8093822805
1489188473.881201, 85.001, 75.901, 10000.0, 1.8066955, 0.0022011, 15.0, 30.854224706000004
1489188484.287763, 85.0, 75.902, 10000.0, 1.806712, 0.0022615, 15.0, 34.714950366500005
1489188494.7061, 85.0, 75.904, 10000.0, 1.806718, 0.002294, 15.0, 36.657155913500006
1489188505.117069, 84.999, 75.902, 10000.0, 1.806732, 0.002332, 15.0, 38.59146631600001
1489188515.538575, 85.0, 75.898, 10000.0, 1.806702, 0.0020407, 15.0, 0.48949895900000007
1489188525.965447, 85.0, 75.899, 10000.0, 1.80669, 0.00204, 15.0, 1.7685123680000001
1489188536.387065, 85.0, 75.905, 10000.0, 1.806696, 0.00204, 15.0, 3.6949276260000006
1489188546.797916, 85.0, 75.902, 10000.0, 1.8066921, 0.0020424, 15.0, 5.6292380285000005
1489188557.203235, 85.0, 75.903, 10000.0, 1.8066886, 0.0020503, 15.0, 9.4978588335
1489188567.630476, 84.999, 75.902, 10000.0, 1.806683, 0.0020529, 15.0, 11.416378947000002
1489188578.052819, 85.0, 75.903, 10000.0, 1.8066807, 0.0020559, 15.0, 13.358584494
1489188588.483915, 84.999, 75.905, 10000.0, 1.8066809, 0.0020745, 15.0, 17.2193101545
1489188598.905278, 85.0, 75.902, 10000.0, 1.80668, 0.002085, 15.0, 19.153620557
1489188609.321531, 85.0, 75.905, 10000.0, 1.8066829, 0.0020995, 15.0, 21.080035815000002
1489188619.806833, 85.0, 75.908, 10000.0, 1.806684, 0.0021137, 15.0, 23.006451073000004
1489188630.345877, 85.001, 75.915, 10000.0, 1.80669, 0.0021505, 15.0, 26.867176733500003
1489188640.903954, 85.0, 75.914, 10000.0, 1.806695, 0.002176, 15.0, 28.8093822805
1489188651.455445, 85.001, 75.91, 10000.0, 1.806702, 0.0022089, 15.0, 30.870014995000002
1489188661.978305, 85.0, 75.909, 10000.0, 1.806715, 0.002261, 15.0, 34.722845511
1489188672.523085, 85.0, 75.909, 10000.0, 1.806727, 0.00229, 15.0, 36.657155913500006
1489188683.054765, 85.0, 75.907, 10000.0, 1.8067364, 0.0023333, 15.0, 38.59146631600001
1489188693.605065, 85.0, 75.907, 10000.0, 1.806696, 0.002045, 15.0, 0.48160381450000006
1489188704.150991, 85.0, 75.905, 10000.0, 1.806699, 0.0020451, 15.0, 1.7606172235000002
1489188714.678155, 85.0, 75.905, 10000.0, 1.806696, 0.002044, 15.0, 3.6949276260000006
1489188725.227602, 85.0, 75.905, 10000.0, 1.806693, 0.002044, 15.0, 5.621342884000001
1489188735.77188, 85.0, 75.9, 10000.0, 1.806683, 0.0020495, 15.0, 9.489963689000001
1489188746.313227, 84.999, 75.904, 10000.0, 1.8066857, 0.002051, 15.0, 11.416378947000002
1489188756.85468, 85.0, 75.905, 10000.0, 1.806676, 0.002057, 15.0, 13.3506893495
1489188767.390699, 85.0, 75.903, 10000.0, 1.8066831, 0.0020762, 15.0, 17.2193101545
1489188777.921811, 85.0, 75.902, 10000.0, 1.8066813, 0.00209, 15.0, 19.153620557
1489188788.444504, 85.0, 75.904, 10000.0, 1.80668, 0.0021056, 15.0, 21.080035815000002
1489188798.983527, 85.0, 75.907, 10000.0, 1.8066829, 0.0021186, 15.0, 23.006451073000004
1489188809.538225, 85.0, 75.906, 10000.0, 1.8066912, 0.0021512, 15.0, 26.882967022500004
1489188820.077077, 84.999, 75.905, 10000.0, 1.806699, 0.0021785, 15.0, 28.8093822805
1489188830.616844, 85.0, 75.906, 10000.0, 1.806699, 0.002204, 15.0, 30.8621198505
1489188841.150065, 85.0, 75.903, 10000.0, 1.806715, 0.002256, 15.0, 34.722845511
1489188851.718093, 85.0, 75.9, 10000.0, 1.806724, 0.002292, 15.0, 36.649260769
1489188862.250914, 85.0, 75.906, 10000.0, 1.806738, 0.002324, 15.0, 38.583571171500004
