# This data file was created on Mon Mar 13 15:02:11 2017
# capacitor 2-19; sample GBA120; confirmation cooldown
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489438949.296211, 350.001, 326.199, 10000.0, 1.789785, 0.000447, 15.0
1489438961.709724, 350.001, 326.199, 1000.0, 1.790189, 0.002802, 15.0
1489439009.260948, 350.001, 326.199, 100.0, 1.790218, 0.000229, 1.5
1489439019.667668, 349.755, 326.199, 10000.0, 1.789793, 0.0004296, 15.0
1489439032.08091, 349.303, 326.199, 1000.0, 1.790203, 0.002603, 15.0
1489439079.605202, 347.575, 326.185, 100.0, 1.7903018, 0.0002706, 1.5
1489439090.020755, 347.213, 326.178, 10000.0, 1.7898095, 0.0004303, 15.0
1489439102.444659, 346.789, 326.168, 1000.0, 1.79023, 0.002648, 15.0
1489439149.974456, 345.239, 326.112, 100.0, 1.790435, 0.0002273, 1.5
1489439160.405972, 344.913, 326.096, 10000.0, 1.789832, 0.000428, 15.0
1489439172.822221, 344.528, 326.076, 1000.0, 1.79025, 0.002636, 15.0
1489439220.353901, 343.125, 325.982, 100.0, 1.790564, 0.000143, 1.5
1489439230.786037, 342.83, 325.959, 10000.0, 1.789858, 0.000426, 15.0
1489439243.321584, 342.493, 325.93, 1000.0, 1.790262, 0.0026174, 15.0
1489439291.150963, 341.22, 325.807, 100.0, 1.790654, 0.0001898, 1.5
1489439301.673314, 340.95, 325.777, 10000.0, 1.78989, 0.000413, 15.0
1489439314.211454, 340.634, 325.741, 1000.0, 1.790293, 0.002494, 15.0
1489439362.034731, 339.481, 325.593, 100.0, 1.790741, 0.000243, 1.5
1489439372.566847, 339.236, 325.559, 10000.0, 1.78991, 0.000424, 15.0
1489439385.119862, 338.949, 325.517, 1000.0, 1.790315, 0.002556, 15.0
1489439432.951495, 337.901, 325.35, 100.0, 1.790808, 0.0003048, 1.5
1489439443.493929, 337.678, 325.312, 10000.0, 1.789938, 0.0004149, 15.0
1489439456.038086, 337.416, 325.265, 1000.0, 1.790334, 0.00246, 15.0
1489439503.879454, 336.458, 325.082, 100.0, 1.790863, 0.0003757, 1.5
1489439514.402822, 336.255, 325.041, 10000.0, 1.789956, 0.000411, 15.0
1489439526.952194, 336.016, 324.991, 1000.0, 1.79035, 0.00251, 15.0
1489439574.792837, 335.138, 324.796, 100.0, 1.790912, 0.000373, 1.5
1489439585.336448, 334.951, 324.752, 10000.0, 1.79014, 0.000403, 15.0
1489439597.891916, 334.732, 324.7, 1000.0, 1.790534, 0.002394, 15.0
1489439645.73799, 333.926, 324.495, 100.0, 1.791085, 0.0004338, 1.5
1489439656.276876, 333.754, 324.45, 10000.0, 1.790161, 0.0004067, 15.0
1489439668.852808, 333.552, 324.395, 1000.0, 1.790552, 0.002414, 15.0
1489439716.6938, 332.81, 324.183, 100.0, 1.791113, 0.000391, 1.5
1489439727.241249, 332.651, 324.136, 10000.0, 1.790187, 0.0003966, 15.0
1489439739.809064, 332.465, 324.079, 1000.0, 1.790576, 0.002362, 15.0
1489439787.633589, 331.778, 323.862, 100.0, 1.791154, 0.0003902, 1.5
1489439798.15815, 331.632, 323.815, 10000.0, 1.7902142, 0.0004017, 15.0
1489439810.716705, 331.459, 323.757, 1000.0, 1.7906, 0.002428, 15.0
1489439858.5363, 330.822, 323.535, 100.0, 1.791188, 0.0003344, 1.5
1489439869.076101, 330.686, 323.483, 10000.0, 1.789488, 0.000404, 15.0
1489439881.61895, 330.526, 323.404, 1000.0, 1.789883, 0.002417, 15.0
1489439929.412274, 329.928, 322.934, 100.0, 1.790463, 0.000476, 1.5
1489439939.936093, 329.798, 322.794, 10000.0, 1.789517, 0.000406, 15.0
1489439952.495702, 329.644, 322.614, 1000.0, 1.78991, 0.002402, 15.0
1489440000.053662, 329.057, 321.846, 100.0, 1.790479, 0.000477, 1.5
1489440010.474721, 328.928, 321.667, 10000.0, 1.789546, 0.0004083, 15.0
1489440022.906905, 328.775, 321.45, 1000.0, 1.78993, 0.002352, 15.0
1489440070.463173, 328.182, 320.572, 100.0, 1.790505, 0.00048, 1.5
1489440080.881575, 328.052, 320.366, 10000.0, 1.7895741, 0.000405, 15.0
1489440093.314674, 327.894, 320.112, 1000.0, 1.789959, 0.002332, 15.0
