# This data file was created on Mon Mar 13 21:05:43 2017
# capacitor 2-19; sample GBA120; confirmation cooldown 2
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489460760.191609, 35.0, 10.041, 10000.0, 1.7611, 0.000634, 15.0
1489460772.624142, 35.115, 10.084, 1000.0, 1.7628388, 0.00077, 15.0
1489460820.16316, 37.663, 23.602, 100.0, 1.76544, 0.00089, 1.5
1489460830.571875, 38.028, 24.267, 10000.0, 1.7619685, 0.0007655, 15.0
1489460842.987775, 38.388, 24.757, 1000.0, 1.764246, 0.000923, 15.0
1489460890.519867, 39.61, 25.618, 100.0, 1.767129, 0.000964, 1.5
1489460900.949136, 39.884, 25.708, 10000.0, 1.762746, 0.000871, 15.0
1489460913.346384, 40.217, 25.814, 1000.0, 1.765293, 0.001023, 15.0
1489460960.867727, 41.575, 26.275, 100.0, 1.768303, 0.001018, 1.5
1489460971.274505, 41.887, 26.382, 10000.0, 1.763622, 0.0009903, 15.0
1489460983.705169, 42.266, 26.483, 1000.0, 1.766501, 0.001118, 15.0
1489461031.215316, 43.76, 26.932, 100.0, 1.76982, 0.001096, 1.5
1489461041.64181, 44.094, 27.001, 10000.0, 1.764746, 0.001122, 15.0
1489461054.165059, 44.495, 27.068, 1000.0, 1.767961, 0.001215, 15.0
1489461102.027353, 46.052, 27.455, 100.0, 1.77154, 0.001163, 1.5
1489461112.587146, 46.396, 27.552, 10000.0, 1.766079, 0.0012616, 15.0
1489461125.174338, 46.813, 27.682, 1000.0, 1.769621, 0.0012972, 15.0
1489461172.999013, 48.461, 28.142, 100.0, 1.773439, 0.001356, 1.5
1489461183.548169, 48.833, 28.37, 10000.0, 1.767664, 0.001393, 15.0
1489461196.092398, 49.277, 28.705, 1000.0, 1.771607, 0.001393, 15.0
1489461243.939752, 51.254, 34.866, 100.0, 1.77588, 0.001604, 1.5
1489461254.493507, 51.731, 37.629, 10000.0, 1.7697604, 0.0015436, 15.0
1489461267.049455, 52.298, 37.472, 1000.0, 1.773783, 0.0015717, 15.0
1489461314.884717, 53.476, 34.492, 100.0, 1.778732, 0.002074, 1.5
1489461325.428538, 53.715, 34.03, 10000.0, 1.771183, 0.001615, 15.0
1489461337.983542, 54.023, 33.61, 1000.0, 1.775402, 0.001715, 15.0
1489461385.830119, 55.736, 38.099, 100.0, 1.7814, 0.002487, 1.5
1489461396.368482, 56.167, 38.999, 10000.0, 1.773056, 0.001719, 15.0
1489461408.928786, 56.666, 39.996, 1000.0, 1.77778, 0.0020237, 15.0
1489461456.772821, 58.391, 43.092, 100.0, 1.78557, 0.003051, 1.5
1489461467.318916, 58.741, 43.675, 10000.0, 1.775153, 0.001864, 15.0
1489461479.873747, 59.157, 44.337, 1000.0, 1.780552, 0.0024547, 15.0
1489461527.720371, 60.695, 46.592, 100.0, 1.7898, 0.003391, 1.5
1489461538.253629, 61.033, 47.048, 10000.0, 1.777046, 0.0020615, 15.0
1489461550.822381, 61.435, 47.579, 1000.0, 1.7834299, 0.0029186, 15.0
1489461598.660393, 62.976, 49.518, 100.0, 1.79401, 0.00335, 1.5
1489461609.209322, 63.318, 49.93, 10000.0, 1.778848, 0.002362, 15.0
1489461621.780174, 63.726, 50.413, 1000.0, 1.786492, 0.003403, 15.0
1489461669.607321, 65.268, 52.056, 100.0, 1.797483, 0.003011, 1.5
1489461680.149891, 65.607, 52.386, 10000.0, 1.7808564, 0.0026414, 15.0
1489461692.704693, 66.012, 52.773, 1000.0, 1.789853, 0.003641, 15.0
1489461740.525514, 67.588, 54.206, 100.0, 1.80059, 0.002365, 1.5
1489461751.092565, 67.94, 54.516, 10000.0, 1.783741, 0.003033, 15.0
1489461763.660761, 68.357, 54.877, 1000.0, 1.793871, 0.003635, 15.0
1489461811.51731, 69.941, 56.175, 100.0, 1.80255, 0.001586, 1.5
1489461822.055883, 70.287, 56.452, 10000.0, 1.7866036, 0.0033757, 15.0
1489461834.61085, 70.7, 56.775, 1000.0, 1.797344, 0.0033455, 15.0
1489461882.457625, 72.288, 57.978, 100.0, 1.803784, 0.001014, 1.5
1489461892.996463, 72.639, 58.238, 10000.0, 1.7898114, 0.0036629, 15.0
1489461905.577387, 73.058, 58.548, 1000.0, 1.800366, 0.0027869, 15.0
1489461953.439867, 74.653, 59.706, 100.0, 1.80394, 0.000666, 1.5
1489461963.990133, 75.003, 59.956, 10000.0, 1.793019, 0.00375, 15.0
1489461976.544949, 75.415, 60.252, 1000.0, 1.802389, 0.002115, 15.0
1489462024.379976, 77.001, 61.367, 100.0, 1.80481, 0.000522, 1.5
1489462034.902237, 77.352, 61.609, 10000.0, 1.7962431, 0.0036563, 15.0
1489462047.473062, 77.772, 61.899, 1000.0, 1.803847, 0.001518, 15.0
1489462095.293142, 79.364, 62.985, 100.0, 1.805373, 0.000361, 1.5
1489462105.842837, 79.715, 63.219, 10000.0, 1.799163, 0.0033181, 15.0
1489462118.397396, 80.134, 63.496, 1000.0, 1.804773, 0.001074, 15.0
1489462166.265274, 81.76, 64.544, 100.0, 1.80583, 0.00028, 1.5
1489462176.809642, 82.113, 64.774, 10000.0, 1.8016092, 0.0027949, 15.0
1489462189.390723, 82.531, 65.048, 1000.0, 1.80541, 0.0007728, 15.0
1489462237.2422, 84.117, 66.079, 100.0, 1.806177, 0.000286, 1.5
1489462247.796756, 84.468, 66.305, 10000.0, 1.8034015, 0.0022181, 15.0
1489462260.341601, 84.886, 66.573, 1000.0, 1.805879, 0.0005913, 15.0
1489462308.187822, 86.472, 67.591, 100.0, 1.806517, 0.000251, 1.5
1489462318.741948, 86.825, 67.814, 10000.0, 1.8046298, 0.0016755, 15.0
1489462331.302732, 87.244, 68.079, 1000.0, 1.806243, 0.000483, 15.0
1489462379.11167, 88.834, 69.083, 100.0, 1.80684, 0.000243, 1.5
1489462389.660776, 89.186, 69.3, 10000.0, 1.8054134, 0.0012417, 15.0
1489462402.19962, 89.603, 69.558, 1000.0, 1.806548, 0.000416, 15.0
