# This data file was created on Tue Mar 14 10:43:02 2017
# capacitor 2-19; sample GBA120; confirmation cooldown 2... Frequencies: 100Hz, 1000Hz, 10000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1489460820.1631601, 37.662999999999997, 23.602, 1.7654399999999999, 0.00088999999999999995, 1.5, 100, 1489460772.6241419, 35.115000000000002, 10.084, 1.7628387999999999, 0.00076999999999999996, 15.0, 1000, 1489460760.1916089, 35.0, 10.041, 1.7611000000000001, 0.00063400000000000001, 15.0, 10000
1489460890.5198669, 39.609999999999999, 25.617999999999999, 1.7671289999999999, 0.00096400000000000001, 1.5, 100, 1489460842.9877751, 38.387999999999998, 24.757000000000001, 1.764246, 0.00092299999999999999, 15.0, 1000, 1489460830.5718751, 38.027999999999999, 24.266999999999999, 1.7619685, 0.00076550000000000001, 15.0, 10000
1489460960.867727, 41.575000000000003, 26.274999999999999, 1.768303, 0.001018, 1.5, 100, 1489460913.346384, 40.216999999999999, 25.814, 1.765293, 0.001023, 15.0, 1000, 1489460900.949136, 39.884, 25.707999999999998, 1.7627459999999999, 0.00087100000000000003, 15.0, 10000
1489461031.2153161, 43.759999999999998, 26.931999999999999, 1.7698199999999999, 0.001096, 1.5, 100, 1489460983.705169, 42.265999999999998, 26.483000000000001, 1.7665010000000001, 0.0011180000000000001, 15.0, 1000, 1489460971.2745049, 41.887, 26.382000000000001, 1.763622, 0.00099029999999999995, 15.0, 10000
1489461102.027353, 46.052, 27.454999999999998, 1.7715399999999999, 0.001163, 1.5, 100, 1489461054.1650591, 44.494999999999997, 27.068000000000001, 1.7679609999999999, 0.0012149999999999999, 15.0, 1000, 1489461041.6418099, 44.094000000000001, 27.001000000000001, 1.7647459999999999, 0.001122, 15.0, 10000
1489461172.9990129, 48.460999999999999, 28.141999999999999, 1.773439, 0.001356, 1.5, 100, 1489461125.1743381, 46.813000000000002, 27.681999999999999, 1.7696210000000001, 0.0012972000000000001, 15.0, 1000, 1489461112.587146, 46.396000000000001, 27.552, 1.766079, 0.0012616000000000001, 15.0, 10000
1489461243.9397521, 51.253999999999998, 34.866, 1.7758799999999999, 0.001604, 1.5, 100, 1489461196.0923979, 49.277000000000001, 28.704999999999998, 1.7716069999999999, 0.0013929999999999999, 15.0, 1000, 1489461183.5481689, 48.832999999999998, 28.370000000000001, 1.7676639999999999, 0.0013929999999999999, 15.0, 10000
1489461314.884717, 53.475999999999999, 34.491999999999997, 1.778732, 0.0020739999999999999, 1.5, 100, 1489461267.0494549, 52.298000000000002, 37.472000000000001, 1.7737830000000001, 0.0015717000000000001, 15.0, 1000, 1489461254.4935069, 51.731000000000002, 37.628999999999998, 1.7697604, 0.0015436, 15.0, 10000
1489461385.8301189, 55.735999999999997, 38.098999999999997, 1.7814000000000001, 0.0024870000000000001, 1.5, 100, 1489461337.983542, 54.023000000000003, 33.609999999999999, 1.7754019999999999, 0.0017149999999999999, 15.0, 1000, 1489461325.4285381, 53.715000000000003, 34.030000000000001, 1.771183, 0.0016149999999999999, 15.0, 10000
1489461456.7728209, 58.390999999999998, 43.091999999999999, 1.7855700000000001, 0.0030509999999999999, 1.5, 100, 1489461408.928786, 56.665999999999997, 39.996000000000002, 1.7777799999999999, 0.0020236999999999998, 15.0, 1000, 1489461396.3684821, 56.167000000000002, 38.999000000000002, 1.773056, 0.001719, 15.0, 10000
1489461527.720371, 60.695, 46.591999999999999, 1.7898000000000001, 0.0033909999999999999, 1.5, 100, 1489461479.8737471, 59.156999999999996, 44.337000000000003, 1.7805519999999999, 0.0024547000000000002, 15.0, 1000, 1489461467.3189161, 58.741, 43.674999999999997, 1.775153, 0.001864, 15.0, 10000
1489461598.660393, 62.975999999999999, 49.518000000000001, 1.7940100000000001, 0.0033500000000000001, 1.5, 100, 1489461550.822381, 61.435000000000002, 47.579000000000001, 1.7834299, 0.0029185999999999999, 15.0, 1000, 1489461538.253629, 61.033000000000001, 47.048000000000002, 1.7770459999999999, 0.0020615, 15.0, 10000
1489461669.607321, 65.268000000000001, 52.055999999999997, 1.7974829999999999, 0.0030109999999999998, 1.5, 100, 1489461621.780174, 63.725999999999999, 50.412999999999997, 1.786492, 0.0034030000000000002, 15.0, 1000, 1489461609.209322, 63.317999999999998, 49.93, 1.778848, 0.002362, 15.0, 10000
1489461740.5255139, 67.587999999999994, 54.206000000000003, 1.8005899999999999, 0.0023649999999999999, 1.5, 100, 1489461692.7046931, 66.012, 52.773000000000003, 1.7898529999999999, 0.0036410000000000001, 15.0, 1000, 1489461680.1498909, 65.606999999999999, 52.386000000000003, 1.7808564, 0.0026413999999999999, 15.0, 10000
1489461811.5173099, 69.941000000000003, 56.174999999999997, 1.8025500000000001, 0.001586, 1.5, 100, 1489461763.6607611, 68.356999999999999, 54.877000000000002, 1.793871, 0.0036350000000000002, 15.0, 1000, 1489461751.0925651, 67.939999999999998, 54.515999999999998, 1.783741, 0.0030330000000000001, 15.0, 10000
1489461882.4576249, 72.287999999999997, 57.978000000000002, 1.8037840000000001, 0.0010139999999999999, 1.5, 100, 1489461834.6108501, 70.700000000000003, 56.774999999999999, 1.7973440000000001, 0.0033454999999999999, 15.0, 1000, 1489461822.0558829, 70.287000000000006, 56.451999999999998, 1.7866036000000001, 0.0033757000000000001, 15.0, 10000
1489461953.439867, 74.653000000000006, 59.706000000000003, 1.8039400000000001, 0.00066600000000000003, 1.5, 100, 1489461905.5773871, 73.058000000000007, 58.548000000000002, 1.8003659999999999, 0.0027869000000000001, 15.0, 1000, 1489461892.9964631, 72.638999999999996, 58.238, 1.7898114000000001, 0.0036629000000000002, 15.0, 10000
