# This data file was created on Mon Mar 13 12:03:04 2017
# test capacitor
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1489428206.970641, 350.001, 326.105, 10000.0, 0.997849, 6e-06, 15.0, -39.388878405
1489428219.375813, 350.001, 326.105, 1000.0, 0.997842, 0.0, 15.0, -39.396773550000006
1489428266.913274, 350.001, 326.106, 100.0, 0.99776, -0.00012, 1.5, -39.396773550000006
1489428277.333972, 350.001, 326.105, 10000.0, 0.997849, 5e-06, 15.0, -34.493888505
1489428289.76494, 350.001, 326.105, 1000.0, 0.997842, -1e-06, 15.0, -34.493888505
1489428337.298032, 349.999, 326.106, 100.0, 0.9979, 0.00043, 1.5, -34.48599336
1489428347.730317, 349.998, 326.106, 10000.0, 0.997851, 8e-06, 15.0, -29.409415125
1489428360.167838, 349.998, 326.106, 1000.0, 0.997844, 0.0, 15.0, -29.401519980000003
1489428407.678196, 349.998, 326.107, 100.0, 0.99743, -0.00018, 1.5, -29.409415125
1489428418.115269, 349.999, 326.107, 10000.0, 0.997849, 5e-06, 15.0, -24.514425225
1489428430.558344, 349.999, 326.107, 1000.0, 0.997841, 0.0, 15.0, -24.52232037
1489428478.095036, 350.0, 326.108, 100.0, 0.99779, -0.00014, 1.5, -24.52232037
1489428488.530299, 350.0, 326.108, 10000.0, 0.997851, 7e-06, 15.0, -19.445742135
1489428500.957324, 350.0, 326.108, 1000.0, 0.997844, -1e-06, 15.0, -19.43784699
1489428548.483094, 350.0, 326.109, 100.0, 0.99754, -0.00012, 1.5, -19.429951845
1489428558.907619, 350.0, 326.109, 10000.0, 0.9978491, 5.6e-06, 15.0, -14.519171655
1489428571.344741, 350.0, 326.109, 1000.0, 0.997842, 0.0, 15.0, -14.503381365000001
1489428618.870905, 350.0, 326.11, 100.0, 0.99765, 4e-05, 1.5, -14.511276510000002
1489428629.372418, 350.001, 326.109, 10000.0, 0.9978492, 4e-07, 15.0, -9.450488564999999
1489428641.953687, 350.0, 326.11, 1000.0, 0.997842, 1e-06, 15.0, -9.450488564999999
1489428689.530632, 350.001, 326.11, 100.0, 0.99812, -8e-05, 1.5, -9.450488564999999
1489428699.955145, 350.0, 326.11, 10000.0, 0.9978494, 5.6e-06, 15.0, -4.555498665
1489428712.376618, 350.001, 326.111, 1000.0, 0.997842, 1e-06, 15.0, -4.54760352
1489428759.920474, 350.001, 326.111, 100.0, 0.99779, -0.0002, 1.5, -4.539708375
1489428770.340345, 350.0, 326.111, 10000.0, 0.997849, 4e-06, 15.0, 0.5289746815
1489428782.765498, 350.0, 326.111, 1000.0, 0.997842, -1e-06, 15.0, 0.5368698260000001
1489428830.301823, 350.0, 326.112, 100.0, 0.99769, 0.0, 1.5, 0.521079537
1489428840.738366, 350.0, 326.112, 10000.0, 0.997849, 6e-06, 15.0, 5.447649705
1489428853.169875, 350.001, 326.112, 1000.0, 0.997842, 1e-06, 15.0, 5.447649705
1489428900.694456, 350.001, 326.112, 100.0, 0.99776, -4e-05, 1.5, 5.447649705
1489428911.115895, 350.0, 326.113, 10000.0, 0.997845, 8e-06, 15.0, 10.358429584000001
1489428923.544476, 350.0, 326.113, 1000.0, 0.997841, 0.0, 15.0, 10.3663247285
1489428971.084821, 350.0, 326.114, 100.0, 0.99779, 0.00016, 1.5, 10.3505344395
1489428981.490413, 350.0, 326.114, 10000.0, 0.997848, 9e-06, 15.0, 15.411322064000002
1489428993.926372, 350.0, 326.114, 1000.0, 0.997843, 0.0, 15.0, 15.403426919500001
1489429041.464465, 350.0, 326.115, 100.0, 0.99773, -4e-05, 1.5, 15.395531775000002
1489429051.891918, 350.0, 326.115, 10000.0, 0.9978498, 5.6e-06, 15.0, 20.337892232
1489429064.32891, 350.0, 326.115, 1000.0, 0.997841, 0.0, 15.0, 20.3299970875
1489429111.869097, 350.0, 326.116, 100.0, 0.99761, 0.0, 1.5, 20.345787376500002
1489429122.306738, 350.0, 326.116, 10000.0, 0.997848, 6e-06, 15.0, 25.4144701455
1489429134.751257, 350.0, 326.116, 1000.0, 0.997842, 1e-06, 15.0, 25.406575001000004
1489429182.288109, 350.0, 326.116, 100.0, 0.99805, -8e-05, 1.5, 25.422365290000005
1489429192.723969, 350.0, 326.117, 10000.0, 0.9978488, 9.8e-06, 15.0, 30.309459735500006
1489429205.150227, 350.0, 326.117, 1000.0, 0.997841, 1e-06, 15.0, 30.309459735500006
1489429252.671471, 350.0, 326.117, 100.0, 0.99787, 0.0, 1.5, 30.301564591
1489429263.111066, 350.001, 326.118, 10000.0, 0.997846, 7.6e-06, 15.0, 35.386037649
1489429275.543491, 350.001, 326.117, 1000.0, 0.997841, 0.0, 15.0, 35.386037649
1489429323.213635, 350.0, 326.118, 100.0, 0.99805, 0.00022, 1.5, 35.378142504500005
1489429333.777422, 350.001, 326.118, 10000.0, 0.9978492, 5.8e-06, 15.0, 40.312607817
1489429346.355572, 350.0, 326.118, 1000.0, 0.997841, 0.0, 15.0, 40.328398106
1489429394.201249, 350.001, 326.119, 100.0, 0.99805, 8e-05, 1.5, 40.328398106
1489429404.751182, 350.0, 326.119, 10000.0, 0.997848, 9e-06, 15.0, 40.336293250500006
1489429417.308674, 350.0, 326.119, 1000.0, 0.997839, 0.0, 15.0, 40.320502961500004
1489429465.152026, 350.0, 326.12, 100.0, 0.99794, -0.00012, 1.5, 40.328398106
1489429475.686034, 350.0, 326.12, 10000.0, 0.997845, 6e-06, 15.0, 35.386037649
1489429488.243045, 350.0, 326.12, 1000.0, 0.99784, 1e-06, 15.0, 35.386037649
1489429536.076308, 350.001, 326.121, 100.0, 0.99768, -0.00018, 1.5, 35.378142504500005
1489429546.625791, 350.001, 326.121, 10000.0, 0.9978468, 8e-06, 15.0, 30.293669446500004
1489429559.174717, 350.001, 326.121, 1000.0, 0.997842, 1e-06, 15.0, 30.301564591
1489429607.027116, 350.0, 326.122, 100.0, 0.99805, 0.00023, 1.5, 30.309459735500006
1489429617.565767, 350.0, 326.122, 10000.0, 0.997842, 8e-06, 15.0, 25.4144701455
1489429630.118755, 350.0, 326.122, 1000.0, 0.997841, 0.0, 15.0, 25.406575001000004
1489429677.95002, 349.999, 326.123, 100.0, 0.99787, 8e-05, 1.5, 25.4144701455
1489429688.481508, 350.0, 326.123, 10000.0, 0.9978459, 4.9e-06, 15.0, 20.345787376500002
1489429701.038608, 349.999, 326.122, 1000.0, 0.997841, 3e-06, 15.0, 20.345787376500002
1489429748.844732, 350.0, 326.123, 100.0, 0.99788, 0.00014, 1.5, 20.337892232
1489429759.386785, 349.999, 326.124, 10000.0, 0.997846, 4e-06, 15.0, 15.403426919500001
1489429771.947177, 350.0, 326.124, 1000.0, 0.997842, 1e-06, 15.0, 15.403426919500001
1489429819.774413, 350.0, 326.124, 100.0, 0.99816, 0.00012, 1.5, 15.419217208500003
1489429830.332226, 350.0, 326.124, 10000.0, 0.9978474, 6.8e-06, 15.0, 10.3663247285
1489429842.897438, 350.0, 326.124, 1000.0, 0.997842, -1e-06, 15.0, 10.3663247285
1489429890.745513, 350.0, 326.125, 100.0, 0.99787, -0.00032, 1.5, 10.3663247285
1489429901.288002, 350.0, 326.125, 10000.0, 0.9978484, 9e-06, 15.0, 5.463439994000001
1489429913.848314, 350.001, 326.125, 1000.0, 0.997841, 3e-06, 15.0, 5.455544849500001
1489429961.667325, 350.0, 326.126, 100.0, 0.99808, -0.00016, 1.5, 5.463439994000001
1489429972.201325, 350.0, 326.126, 10000.0, 0.9978491, 7.2e-06, 15.0, 0.552660115
1489429984.772218, 350.001, 326.127, 1000.0, 0.997842, 0.0, 15.0, 0.5368698260000001
1489430032.618709, 350.0, 326.127, 100.0, 0.99732, -0.00012, 1.5, 0.552660115
1489430043.173438, 350.0, 326.127, 10000.0, 0.997847, 5.2e-06, 15.0, -4.523918085
1489430055.755627, 350.0, 326.127, 1000.0, 0.997842, -1e-06, 15.0, -4.523918085
1489430103.569472, 350.0, 326.127, 100.0, 0.99769, 0.0, 1.5, -4.523918085
1489430114.096865, 350.0, 326.128, 10000.0, 0.9978447, 5.4e-06, 15.0, -9.42680313
1489430126.635712, 350.0, 326.128, 1000.0, 0.997841, 0.0, 15.0, -9.442593420000001
1489430174.471351, 350.001, 326.129, 100.0, 0.99798, -0.00027, 1.5, -9.450488564999999
