# This data file was created on Mon Mar 13 19:35:06 2017
# 35K GBA120 -30 to 30V DC bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1489455329.584736, 34.993, 9.9685, 10000.0, 1.761263, 0.000659, 15.0, 0.521079537
1489455342.01865, 34.991, 9.9335, 1000.0, 1.76302, 0.000786, 15.0, 0.5131843925
1489455389.563194, 34.991, 9.93, 100.0, 1.764809, 0.000875, 1.5, 0.521079537
1489455399.984378, 34.991, 9.9463, 10000.0, 1.761229, 0.000653, 15.0, 5.423964271500001
1489455412.41967, 34.992, 9.9076, 1000.0, 1.762988, 0.000784, 15.0, 5.439754560500001
1489455459.95903, 34.993, 9.9789, 100.0, 1.76486, 0.000863, 1.5, 5.431859416
1489455470.374862, 34.994, 9.9756, 10000.0, 1.76121, 0.000651, 15.0, 10.3505344395
1489455482.803044, 34.994, 9.9141, 1000.0, 1.762959, 0.000783, 15.0, 10.3505344395
1489455530.333844, 34.995, 9.9275, 100.0, 1.764852, 0.000846, 1.5, 10.3505344395
1489455540.761524, 34.996, 9.922, 10000.0, 1.7612009, 0.000649, 15.0, 15.387636630500001
1489455553.192302, 34.996, 9.9586, 1000.0, 1.762956, 0.000777, 15.0, 15.395531775000002
1489455600.732306, 34.997, 9.9524, 100.0, 1.764754, 0.000893, 1.5, 15.395531775000002
1489455611.236088, 34.997, 9.9251, 10000.0, 1.761192, 0.000649, 15.0, 20.322101943
1489455623.80191, 34.996, 9.9334, 1000.0, 1.762943, 0.00078, 15.0, 20.337892232
1489455671.664188, 34.998, 9.8999, 100.0, 1.76481, 0.00077, 1.5, 20.3299970875
1489455682.219026, 34.997, 9.9264, 10000.0, 1.761191, 0.000646, 15.0, 25.4144701455
1489455694.768921, 34.997, 9.926, 1000.0, 1.7629402, 0.0007787, 15.0, 25.406575001000004
1489455742.609247, 34.997, 9.9688, 100.0, 1.76482, 0.000828, 1.5, 25.406575001000004
1489455753.158759, 34.998, 9.9586, 10000.0, 1.761191, 0.000648, 15.0, 30.301564591
1489455765.708214, 34.998, 9.9389, 1000.0, 1.7629346, 0.0007811, 15.0, 30.301564591
1489455813.527991, 34.999, 9.9405, 100.0, 1.764769, 0.000846, 1.5, 30.293669446500004
1489455824.093091, 34.997, 9.9384, 10000.0, 1.761181, 0.000644, 15.0, 30.285774302
1489455836.664104, 34.998, 9.8968, 1000.0, 1.762924, 0.000773, 15.0, 30.301564591
1489455884.521059, 34.998, 9.953, 100.0, 1.764819, 0.000836, 1.5, 30.301564591
1489455895.065673, 34.998, 9.9355, 10000.0, 1.761185, 0.000648, 15.0, 25.406575001000004
