# This data file was created on Tue Mar 14 10:43:18 2017
# capacitor 2-19; sample GBA120; nitrogen precool for 100K and 85K DC bias experiments
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489509819.344057, 349.983, 325.677, 10000.0, 1.788116, 0.000379, 15.0
1489509831.777793, 349.877, 325.578, 1000.0, 1.788535, 0.002128, 15.0
1489509879.286705, 348.756, 324.566, 100.0, 1.788548, 0.000211, 1.5
1489509889.702364, 348.411, 324.013, 10000.0, 1.788133, 0.000376, 15.0
1489509902.145158, 347.974, 323.269, 1000.0, 1.788555, 0.002098, 15.0
1489509949.649748, 346.159, 320.072, 100.0, 1.788666, 0.000141, 1.5
1489509960.041978, 345.748, 319.377, 10000.0, 1.7881614, 0.0003719, 15.0
1489509972.471515, 345.255, 318.563, 1000.0, 1.788589, 0.002034, 15.0
1489510019.987455, 343.346, 315.775, 100.0, 1.788812, 0.0002308, 1.5
1489510030.408496, 342.928, 315.241, 10000.0, 1.788194, 0.0003691, 15.0
1489510042.822785, 342.439, 314.634, 1000.0, 1.788612, 0.0020082, 15.0
1489510090.364523, 340.596, 312.656, 100.0, 1.788973, 0.0002068, 1.5
1489510100.78879, 340.217, 312.294, 10000.0, 1.788227, 0.0003691, 15.0
1489510113.218016, 339.779, 311.908, 1000.0, 1.788651, 0.001965, 15.0
1489510160.74696, 338.26, 310.759, 100.0, 1.789106, 0.0002275, 1.5
1489510171.173444, 337.954, 310.602, 10000.0, 1.7882772, 0.000365, 15.0
1489510183.594942, 337.598, 310.451, 1000.0, 1.788694, 0.001993, 15.0
1489510231.133523, 336.261, 309.97, 100.0, 1.789175, 0.000273, 1.5
1489510241.558994, 335.967, 309.903, 10000.0, 1.788311, 0.000353, 15.0
1489510253.989246, 335.609, 309.838, 1000.0, 1.788715, 0.001868, 15.0
1489510301.517034, 334.2, 309.572, 100.0, 1.789235, 0.0002923, 1.5
1489510311.933582, 333.883, 309.491, 10000.0, 1.78835, 0.0003568, 15.0
1489510324.373881, 333.501, 309.392, 1000.0, 1.788748, 0.001917, 15.0
1489510371.907738, 332.017, 308.855, 100.0, 1.7892874, 0.0003145, 1.5
1489510382.332314, 331.69, 308.742, 10000.0, 1.788396, 0.0003618, 15.0
1489510394.75294, 331.305, 308.624, 1000.0, 1.7887935, 0.0019667, 15.0
1489510442.31196, 329.878, 308.309, 100.0, 1.789338, 0.000325, 1.5
1489510452.762744, 329.575, 308.254, 10000.0, 1.788445, 0.0003517, 15.0
1489510465.200459, 329.219, 308.149, 1000.0, 1.788844, 0.001874, 15.0
1489510512.76315, 327.894, 307.41, 100.0, 1.789388, 0.0003638, 1.5
1489510523.168605, 327.611, 307.267, 10000.0, 1.7884976, 0.0003594, 15.0
1489510535.617049, 327.277, 307.12, 1000.0, 1.788897, 0.001843, 15.0
1489510583.166768, 326.033, 306.785, 100.0, 1.78943, 0.0003761, 1.5
1489510593.585691, 325.77, 306.724, 10000.0, 1.788549, 0.000362, 15.0
1489510606.023684, 325.46, 306.65, 1000.0, 1.788959, 0.00186, 15.0
1489510653.560605, 324.309, 306.34, 100.0, 1.789501, 0.0003782, 1.5
1489510663.985083, 324.064, 306.246, 10000.0, 1.788593, 0.0003583, 15.0
1489510676.399044, 323.776, 306.14, 1000.0, 1.789012, 0.001788, 15.0
1489510723.955883, 322.704, 305.79, 100.0, 1.7895514, 0.0003721, 1.5
1489510734.396602, 322.475, 305.713, 10000.0, 1.7886412, 0.0003602, 15.0
1489510746.836319, 322.206, 305.619, 1000.0, 1.789059, 0.001861, 15.0
1489510794.38377, 321.208, 305.315, 100.0, 1.789573, 0.000379, 1.5
1489510804.805242, 320.996, 305.261, 10000.0, 1.788683, 0.000371, 15.0
1489510817.237895, 320.745, 305.208, 1000.0, 1.789106, 0.001847, 15.0
1489510864.785351, 319.821, 305.001, 100.0, 1.7896332, 0.0003503, 1.5
1489510875.207966, 319.626, 304.951, 10000.0, 1.788727, 0.000364, 15.0
1489510887.618433, 319.394, 304.892, 1000.0, 1.789164, 0.0018348, 15.0
1489510935.184002, 318.536, 304.573, 100.0, 1.78968, 0.0003832, 1.5
1489510945.600156, 318.354, 304.529, 10000.0, 1.788767, 0.0003616, 15.0
1489510958.021485, 318.138, 304.481, 1000.0, 1.789209, 0.00175, 15.0
1489511005.566256, 317.34, 304.261, 100.0, 1.7897197, 0.000358, 1.5
1489511015.990128, 317.169, 304.219, 10000.0, 1.788808, 0.000365, 15.0
1489511028.419931, 316.97, 304.183, 1000.0, 1.789255, 0.001703, 15.0
1489511075.977818, 316.23, 304.014, 100.0, 1.789765, 0.000353, 1.5
1489511086.402792, 316.073, 303.969, 10000.0, 1.788844, 0.0003627, 15.0
1489511098.831366, 315.887, 303.92, 1000.0, 1.789297, 0.001683, 15.0
1489511146.374242, 315.191, 303.028, 100.0, 1.789822, 0.0003541, 1.5
1489511156.793357, 315.037, 302.649, 10000.0, 1.788883, 0.0003583, 15.0
1489511169.216705, 314.85, 302.132, 1000.0, 1.78934, 0.001675, 15.0
1489511216.762146, 314.089, 299.301, 100.0, 1.789883, 0.0003335, 1.5
1489511227.191196, 313.906, 298.126, 10000.0, 1.78892, 0.0003638, 15.0
1489511239.621446, 313.674, 296.465, 1000.0, 1.789384, 0.001652, 15.0
1489511287.152706, 312.594, 288.072, 100.0, 1.789922, 0.000358, 1.5
1489511297.565573, 312.308, 285.889, 10000.0, 1.788983, 0.000365, 15.0
1489511310.015939, 311.939, 283.456, 1000.0, 1.789464, 0.0016652, 15.0
1489511357.547889, 310.313, 274.724, 100.0, 1.790041, 0.0003463, 1.5
1489511367.961884, 309.91, 272.467, 10000.0, 1.7890689, 0.0003608, 15.0
1489511380.389502, 309.404, 269.509, 1000.0, 1.789563, 0.00164, 15.0
1489511427.917102, 307.191, 257.395, 100.0, 1.7901552, 0.0003501, 1.5
1489511438.351933, 306.643, 254.678, 10000.0, 1.789186, 0.000358, 15.0
1489511450.79506, 305.962, 251.37, 1000.0, 1.789694, 0.001601, 15.0
