# This data file was created on Tue Mar 14 21:09:50 2017
# capacitor 2-19; sample GBA120; helium after nitrogen precool
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489547407.421284, 84.992, 75.853, 10000.0, 1.803534, 0.001899, 15.0
1489547419.825176, 84.891, 75.852, 1000.0, 1.805395, 0.0005379, 15.0
1489547467.389959, 84.485, 75.955, 100.0, 1.805873, 0.000218, 1.5
1489547477.803498, 84.402, 76.136, 10000.0, 1.803258, 0.002008, 15.0
1489547490.233501, 84.306, 76.358, 1000.0, 1.8053118, 0.0005629, 15.0
1489547537.766964, 83.996, 77.141, 100.0, 1.805743, 0.000273, 1.5
1489547548.180544, 83.939, 77.302, 10000.0, 1.8030079, 0.0021174, 15.0
1489547560.58122, 83.874, 77.491, 1000.0, 1.805242, 0.000591, 15.0
1489547608.118696, 83.671, 78.179, 100.0, 1.805717, 0.000228, 1.5
1489547618.548115, 83.634, 78.324, 10000.0, 1.8028169, 0.0021909, 15.0
1489547630.96934, 83.594, 78.495, 1000.0, 1.805193, 0.0006033, 15.0
1489547678.492686, 83.468, 78.581, 100.0, 1.80563, 0.000261, 1.5
1489547688.892414, 83.442, 78.688, 10000.0, 1.8026453, 0.0022313, 15.0
1489547701.428485, 83.414, 78.839, 1000.0, 1.805146, 0.000619, 15.0
1489547749.246181, 83.333, 79.466, 100.0, 1.80566, 0.000237, 1.5
1489547759.778859, 83.321, 79.6, 10000.0, 1.80258, 0.0022633, 15.0
1489547772.351288, 83.31, 79.758, 1000.0, 1.805109, 0.000623, 15.0
1489547820.182793, 83.294, 80.341, 100.0, 1.805605, 0.000241, 1.5
1489547830.710674, 83.297, 80.465, 10000.0, 1.802557, 0.0022722, 15.0
1489547843.265505, 83.301, 80.612, 1000.0, 1.805109, 0.000626, 15.0
1489547891.103757, 83.343, 81.157, 100.0, 1.805652, 0.00025, 1.5
1489547901.629968, 83.357, 81.273, 10000.0, 1.8025959, 0.0022586, 15.0
1489547914.190265, 83.376, 81.409, 1000.0, 1.805107, 0.000619, 15.0
1489547962.052362, 83.465, 81.921, 100.0, 1.805699, 0.000277, 1.5
1489547972.590492, 83.488, 82.031, 10000.0, 1.802672, 0.0022299, 15.0
1489547985.135331, 83.517, 82.162, 1000.0, 1.805142, 0.000612, 15.0
1489548032.975938, 83.647, 82.653, 100.0, 1.80575, 0.000273, 1.5
1489548043.514719, 83.679, 82.76, 10000.0, 1.802786, 0.0021835, 15.0
1489548056.069996, 83.718, 82.886, 1000.0, 1.8051761, 0.0006, 15.0
1489548103.916472, 83.867, 83.12, 100.0, 1.804968, 0.000281, 1.5
1489548114.475742, 83.902, 83.502, 10000.0, 1.802746, 0.002107, 15.0
1489548127.041314, 83.951, 84.516, 1000.0, 1.805122, 0.000591, 15.0
1489548174.84059, 84.547, 90.988, 100.0, 1.805721, 0.000215, 1.5
1489548185.375725, 84.676, 92.68, 10000.0, 1.803228, 0.001952, 15.0
1489548197.87311, 84.856, 94.757, 1000.0, 1.805257, 0.0005396, 15.0
1489548245.428082, 85.8, 103.113, 100.0, 1.805844, 0.000267, 1.5
1489548255.853637, 86.063, 105.018, 10000.0, 1.8038434, 0.0016676, 15.0
1489548268.27728, 86.402, 107.319, 1000.0, 1.805456, 0.00048, 15.0
1489548315.803983, 87.951, 116.915, 100.0, 1.80598, 0.000254, 1.5
1489548326.212904, 88.347, 119.214, 10000.0, 1.804576, 0.0012667, 15.0
1489548338.648003, 88.845, 121.655, 1000.0, 1.80574, 0.000392, 15.0
1489548386.193194, 90.841, 119.817, 100.0, 1.806242, 0.000296, 1.5
1489548396.624854, 91.237, 117.538, 10000.0, 1.805199, 0.000894, 15.0
1489548409.051536, 91.667, 114.432, 1000.0, 1.806049, 0.000367, 15.0
1489548456.588872, 92.87, 102.19, 100.0, 1.806666, 0.000271, 1.5
1489548467.010283, 93.038, 99.561, 10000.0, 1.805484, 0.0007224, 15.0
1489548479.439607, 93.195, 96.447, 1000.0, 1.806198, 0.00035, 15.0
1489548526.981726, 93.369, 85.053, 100.0, 1.806664, 0.000241, 1.5
1489548537.411269, 93.321, 82.683, 10000.0, 1.8055407, 0.0006897, 15.0
1489548549.811779, 93.224, 79.916, 1000.0, 1.8062268, 0.0003482, 15.0
1489548597.343172, 92.471, 69.938, 100.0, 1.80662, 0.000298, 1.5
1489548607.755426, 92.234, 67.886, 10000.0, 1.805445, 0.0007562, 15.0
1489548620.169924, 91.906, 65.501, 1000.0, 1.806143, 0.000355, 15.0
1489548667.696663, 90.286, 57.109, 100.0, 1.80656, 0.000298, 1.5
1489548678.09681, 89.854, 55.431, 10000.0, 1.805128, 0.00097, 15.0
1489548690.517799, 89.365, 53.501, 1000.0, 1.80595, 0.0003887, 15.0
1489548738.170088, 87.842, 46.98, 100.0, 1.8063, 0.000231, 1.5
1489548748.705694, 87.553, 45.713, 10000.0, 1.804596, 0.0013019, 15.0
