# This data file was created on Tue Mar 14 23:36:06 2017
# capacitor 2-19; sample GBA120; warming up from 25K
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489556187.070604, 25.102, 19.829, 10000.0, 1.760259, 0.0003244, 15.0
1489556199.502905, 25.414, 20.542, 1000.0, 1.761095, 0.000382, 15.0
1489556247.029314, 26.91, 21.576, 100.0, 1.76209, 0.00042, 1.5
1489556257.42901, 27.22, 21.672, 10000.0, 1.760548, 0.0003651, 15.0
1489556269.8592, 27.583, 21.811, 1000.0, 1.761544, 0.0004511, 15.0
1489556317.385103, 28.996, 22.184, 100.0, 1.762817, 0.000506, 1.5
1489556327.803436, 29.328, 22.259, 10000.0, 1.7609183, 0.00042, 15.0
1489556340.225336, 29.713, 22.36, 1000.0, 1.762103, 0.000528, 15.0
1489556387.773002, 31.238, 22.759, 100.0, 1.76353, 0.000602, 1.5
1489556398.194084, 31.676, 22.858, 10000.0, 1.7614052, 0.0004976, 15.0
1489556410.632022, 32.147, 22.989, 1000.0, 1.762871, 0.000625, 15.0
1489556458.17959, 33.787, 23.428, 100.0, 1.764917, 0.000749, 1.5
1489556468.628862, 34.147, 23.52, 10000.0, 1.7620743, 0.0005966, 15.0
1489556481.198228, 34.576, 23.628, 1000.0, 1.763825, 0.000745, 15.0
1489556529.055161, 36.193, 23.879, 100.0, 1.76614, 0.00086, 1.5
1489556539.604744, 36.542, 23.869, 10000.0, 1.7628088, 0.0007066, 15.0
1489556552.154605, 36.956, 23.866, 1000.0, 1.764901, 0.000871, 15.0
1489556599.958035, 38.533, 23.875, 100.0, 1.76763, 0.000926, 1.5
1489556610.507581, 38.887, 23.9, 10000.0, 1.763682, 0.000833, 15.0
1489556623.073156, 39.316, 23.926, 1000.0, 1.766159, 0.00099, 15.0
1489556670.882691, 40.938, 24.1, 100.0, 1.76927, 0.001033, 1.5
1489556681.441761, 41.295, 24.157, 10000.0, 1.76474, 0.0009688, 15.0
1489556693.997017, 41.721, 24.211, 1000.0, 1.767583, 0.0011085, 15.0
1489556741.817335, 43.344, 24.476, 100.0, 1.770952, 0.001103, 1.5
1489556752.351964, 43.703, 24.536, 10000.0, 1.7659518, 0.001112, 15.0
1489556764.779561, 44.126, 24.605, 1000.0, 1.76917, 0.001214, 15.0
1489556812.326867, 45.731, 24.822, 100.0, 1.7728, 0.001271, 1.5
1489556822.751011, 46.081, 24.866, 10000.0, 1.76734, 0.001257, 15.0
1489556835.177981, 46.495, 24.926, 1000.0, 1.770883, 0.001315, 15.0
1489556882.711235, 48.137, 25.153, 100.0, 1.77471, 0.001397, 1.5
1489556893.141628, 48.51, 25.209, 10000.0, 1.7688959, 0.0013921, 15.0
1489556905.558043, 48.947, 25.288, 1000.0, 1.772736, 0.0014077, 15.0
1489556953.078993, 50.922, 26.704, 100.0, 1.77709, 0.001654, 1.5
1489556963.500641, 51.589, 26.868, 10000.0, 1.770923, 0.001531, 15.0
1489556975.925448, 52.402, 27.027, 1000.0, 1.775271, 0.00158, 15.0
1489557023.442748, 55.604, 27.493, 100.0, 1.78158, 0.002312, 1.5
1489557033.855997, 56.31, 27.588, 10000.0, 1.7743519, 0.0017268, 15.0
1489557046.274846, 57.152, 27.704, 1000.0, 1.779383, 0.0020551, 15.0
1489557093.801271, 60.355, 28.096, 100.0, 1.78857, 0.003247, 1.5
1489557104.223021, 61.058, 28.189, 10000.0, 1.7781109, 0.0020225, 15.0
1489557116.64948, 61.897, 28.292, 1000.0, 1.784701, 0.002865, 15.0
1489557164.316279, 65.155, 28.674, 100.0, 1.79696, 0.003183, 1.5
1489557174.842536, 65.871, 28.755, 10000.0, 1.7824188, 0.0025888, 15.0
1489557187.375931, 66.723, 28.857, 1000.0, 1.7916414, 0.003577, 15.0
1489557235.195731, 69.967, 29.228, 100.0, 1.80306, 0.001945, 1.5
1489557245.755694, 70.666, 29.306, 10000.0, 1.7877558, 0.0033494, 15.0
1489557258.310977, 71.511, 29.501, 1000.0, 1.79894, 0.0033159, 15.0
1489557306.108996, 75.053, 38.712, 100.0, 1.80562, 0.000812, 1.5
1489557316.637501, 75.809, 39.983, 10000.0, 1.7946662, 0.0038219, 15.0
1489557329.197818, 76.688, 41.355, 1000.0, 1.804422, 0.001979, 15.0
1489557377.037985, 79.881, 45.536, 100.0, 1.80672, 0.000392, 1.5
1489557387.561829, 80.53, 46.324, 10000.0, 1.8009481, 0.0033411, 15.0
1489557400.12124, 81.268, 47.221, 1000.0, 1.806565, 0.0009928, 15.0
1489557447.946386, 84.374, 50.276, 100.0, 1.80763, 0.00028, 1.5
1489557458.506735, 85.079, 50.869, 10000.0, 1.80492, 0.0022937, 15.0
1489557471.066072, 85.914, 51.542, 1000.0, 1.807534, 0.000572, 15.0
1489557518.897016, 89.103, 53.919, 100.0, 1.808335, 0.000197, 1.5
1489557529.421756, 89.806, 54.385, 10000.0, 1.806989, 0.001289, 15.0
1489557541.983701, 90.632, 54.971, 1000.0, 1.808192, 0.0003982, 15.0
1489557589.815574, 93.821, 57.083, 100.0, 1.80808, 0.00027, 1.5
1489557600.381902, 94.528, 57.52, 10000.0, 1.807226, 0.0007338, 15.0
1489557612.961098, 95.361, 58.031, 1000.0, 1.808066, 0.000332, 15.0
1489557660.797369, 98.548, 59.915, 100.0, 1.80864, 0.000331, 1.5
1489557671.343148, 99.253, 60.32, 10000.0, 1.807699, 0.000484, 15.0
1489557683.890696, 100.09, 60.797, 1000.0, 1.808347, 0.000326, 15.0
1489557731.739004, 103.274, 62.574, 100.0, 1.80904, 0.00043, 1.5
1489557742.302524, 103.979, 62.958, 10000.0, 1.807894, 0.0003683, 15.0
1489557754.887148, 104.817, 63.406, 1000.0, 1.808497, 0.000362, 15.0
1489557802.73576, 108.006, 65.082, 100.0, 1.80945, 0.000397, 1.5
1489557813.274619, 108.708, 65.445, 10000.0, 1.8079143, 0.0003214, 15.0
1489557825.837652, 109.548, 65.877, 1000.0, 1.808558, 0.000417, 15.0
1489557873.673442, 112.729, 67.502, 100.0, 1.809453, 0.000361, 1.5
1489557884.198543, 113.434, 67.857, 10000.0, 1.807834, 0.000309, 15.0
1489557896.748186, 114.275, 68.277, 1000.0, 1.80859, 0.0004577, 15.0
1489557944.567436, 117.456, 69.849, 100.0, 1.80941, 0.000287, 1.5
1489557955.106407, 118.161, 70.191, 10000.0, 1.807688, 0.000322, 15.0
1489557967.666722, 119.0, 70.597, 1000.0, 1.808481, 0.000479, 15.0
1489558015.507699, 122.186, 72.135, 100.0, 1.8092, 0.000265, 1.5
1489558026.056793, 122.891, 72.472, 10000.0, 1.807456, 0.0003397, 15.0
1489558038.623871, 123.73, 72.873, 1000.0, 1.808315, 0.0004469, 15.0
1489558086.458359, 126.912, 74.394, 100.0, 1.80889, 0.000232, 1.5
1489558096.981289, 127.611, 74.727, 10000.0, 1.807188, 0.0003591, 15.0
1489558109.525258, 128.445, 75.123, 1000.0, 1.807996, 0.000442, 15.0
1489558157.363351, 131.592, 76.607, 100.0, 1.808316, 0.000272, 1.5
