# This data file was created on Wed Mar 15 11:33:07 2017
# capacitor 2-19; sample GBA120; warming up from 25K... Frequencies: 100Hz, 1000Hz, 10000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1489556247.029314, 26.91, 21.576000000000001, 1.7620899999999999, 0.00042000000000000002, 1.5, 100, 1489556199.5029049, 25.414000000000001, 20.542000000000002, 1.7610950000000001, 0.00038200000000000002, 15.0, 1000, 1489556187.0706041, 25.102, 19.829000000000001, 1.760259, 0.00032440000000000002, 15.0, 10000
1489556317.385103, 28.995999999999999, 22.184000000000001, 1.7628170000000001, 0.00050600000000000005, 1.5, 100, 1489556269.8592, 27.582999999999998, 21.811, 1.761544, 0.00045110000000000001, 15.0, 1000, 1489556257.4290099, 27.219999999999999, 21.672000000000001, 1.760548, 0.00036509999999999998, 15.0, 10000
1489556387.7730019, 31.238, 22.759, 1.76353, 0.000602, 1.5, 100, 1489556340.2253361, 29.713000000000001, 22.359999999999999, 1.762103, 0.00052800000000000004, 15.0, 1000, 1489556327.803436, 29.327999999999999, 22.259, 1.7609182999999999, 0.00042000000000000002, 15.0, 10000
1489556458.17959, 33.786999999999999, 23.428000000000001, 1.7649170000000001, 0.00074899999999999999, 1.5, 100, 1489556410.6320219, 32.146999999999998, 22.989000000000001, 1.7628710000000001, 0.00062500000000000001, 15.0, 1000, 1489556398.1940839, 31.675999999999998, 22.858000000000001, 1.7614052, 0.00049759999999999995, 15.0, 10000
1489556529.055161, 36.192999999999998, 23.879000000000001, 1.76614, 0.00085999999999999998, 1.5, 100, 1489556481.1982279, 34.576000000000001, 23.628, 1.763825, 0.000745, 15.0, 1000, 1489556468.6288619, 34.146999999999998, 23.52, 1.7620743000000001, 0.00059659999999999997, 15.0, 10000
1489556599.958035, 38.533000000000001, 23.875, 1.76763, 0.00092599999999999996, 1.5, 100, 1489556552.1546049, 36.956000000000003, 23.866, 1.7649010000000001, 0.00087100000000000003, 15.0, 1000, 1489556539.604744, 36.542000000000002, 23.869, 1.7628088, 0.00070660000000000004, 15.0, 10000
1489556670.8826909, 40.938000000000002, 24.100000000000001, 1.7692699999999999, 0.0010330000000000001, 1.5, 100, 1489556623.0731561, 39.316000000000003, 23.925999999999998, 1.766159, 0.00098999999999999999, 15.0, 1000, 1489556610.507581, 38.887, 23.899999999999999, 1.763682, 0.00083299999999999997, 15.0, 10000
1489556741.8173349, 43.344000000000001, 24.475999999999999, 1.7709520000000001, 0.001103, 1.5, 100, 1489556693.9970169, 41.720999999999997, 24.210999999999999, 1.7675829999999999, 0.0011084999999999999, 15.0, 1000, 1489556681.441761, 41.295000000000002, 24.157, 1.76474, 0.00096880000000000002, 15.0, 10000
1489556812.3268671, 45.731000000000002, 24.821999999999999, 1.7727999999999999, 0.001271, 1.5, 100, 1489556764.779561, 44.125999999999998, 24.605, 1.7691699999999999, 0.001214, 15.0, 1000, 1489556752.351964, 43.703000000000003, 24.536000000000001, 1.7659518000000001, 0.0011119999999999999, 15.0, 10000
1489556882.711235, 48.137, 25.152999999999999, 1.77471, 0.001397, 1.5, 100, 1489556835.1779809, 46.494999999999997, 24.925999999999998, 1.770883, 0.001315, 15.0, 1000, 1489556822.7510109, 46.081000000000003, 24.866, 1.7673399999999999, 0.0012570000000000001, 15.0, 10000
1489556953.0789931, 50.921999999999997, 26.704000000000001, 1.7770900000000001, 0.0016540000000000001, 1.5, 100, 1489556905.558043, 48.947000000000003, 25.288, 1.7727360000000001, 0.0014077, 15.0, 1000, 1489556893.141628, 48.509999999999998, 25.209, 1.7688959, 0.0013921000000000001, 15.0, 10000
1489557023.4427481, 55.603999999999999, 27.492999999999999, 1.7815799999999999, 0.0023119999999999998, 1.5, 100, 1489556975.9254479, 52.402000000000001, 27.027000000000001, 1.775271, 0.00158, 15.0, 1000, 1489556963.5006411, 51.588999999999999, 26.867999999999999, 1.770923, 0.001531, 15.0, 10000
1489557093.801271, 60.354999999999997, 28.096, 1.78857, 0.0032469999999999999, 1.5, 100, 1489557046.2748461, 57.152000000000001, 27.704000000000001, 1.7793829999999999, 0.0020550999999999998, 15.0, 1000, 1489557033.8559971, 56.310000000000002, 27.588000000000001, 1.7743519000000001, 0.0017267999999999999, 15.0, 10000
1489557164.3162789, 65.155000000000001, 28.673999999999999, 1.7969599999999999, 0.0031830000000000001, 1.5, 100, 1489557116.6494801, 61.896999999999998, 28.292000000000002, 1.7847010000000001, 0.0028649999999999999, 15.0, 1000, 1489557104.223021, 61.058, 28.189, 1.7781108999999999, 0.0020225, 15.0, 10000
1489557235.1957309, 69.966999999999999, 29.228000000000002, 1.8030600000000001, 0.0019449999999999999, 1.5, 100, 1489557187.375931, 66.722999999999999, 28.856999999999999, 1.7916414000000001, 0.0035769999999999999, 15.0, 1000, 1489557174.842536, 65.870999999999995, 28.754999999999999, 1.7824188000000001, 0.0025888, 15.0, 10000
1489557306.1089959, 75.052999999999997, 38.712000000000003, 1.80562, 0.000812, 1.5, 100, 1489557258.310977, 71.510999999999996, 29.501000000000001, 1.79894, 0.0033159000000000001, 15.0, 1000, 1489557245.7556939, 70.665999999999997, 29.306000000000001, 1.7877558, 0.0033494000000000002, 15.0, 10000
1489557377.0379851, 79.881, 45.536000000000001, 1.8067200000000001, 0.00039199999999999999, 1.5, 100, 1489557329.197818, 76.688000000000002, 41.354999999999997, 1.804422, 0.0019789999999999999, 15.0, 1000, 1489557316.637501, 75.808999999999997, 39.982999999999997, 1.7946662, 0.0038219, 15.0, 10000
1489557447.9463861, 84.373999999999995, 50.276000000000003, 1.8076300000000001, 0.00027999999999999998, 1.5, 100, 1489557400.1212399, 81.268000000000001, 47.220999999999997, 1.806565, 0.00099280000000000006, 15.0, 1000, 1489557387.5618291, 80.530000000000001, 46.323999999999998, 1.8009481000000001, 0.0033411000000000001, 15.0, 10000
1489557518.897016, 89.102999999999994, 53.918999999999997, 1.808335, 0.00019699999999999999, 1.5, 100, 1489557471.066072, 85.914000000000001, 51.542000000000002, 1.807534, 0.00057200000000000003, 15.0, 1000, 1489557458.5067351, 85.078999999999994, 50.869, 1.8049200000000001, 0.0022937000000000001, 15.0, 10000
1489557589.8155739, 93.820999999999998, 57.082999999999998, 1.8080799999999999, 0.00027, 1.5, 100, 1489557541.983701, 90.632000000000005, 54.970999999999997, 1.808192, 0.00039819999999999998, 15.0, 1000, 1489557529.421756, 89.805999999999997, 54.384999999999998, 1.806989, 0.001289, 15.0, 10000
1489557660.797369, 98.548000000000002, 59.914999999999999, 1.80864, 0.00033100000000000002, 1.5, 100, 1489557612.961098, 95.361000000000004, 58.030999999999999, 1.808066, 0.00033199999999999999, 15.0, 1000, 1489557600.381902, 94.528000000000006, 57.520000000000003, 1.807226, 0.00073379999999999995, 15.0, 10000
1489557731.7390039, 103.274, 62.573999999999998, 1.80904, 0.00042999999999999999, 1.5, 100, 1489557683.890696, 100.09, 60.796999999999997, 1.8083469999999999, 0.00032600000000000001, 15.0, 1000, 1489557671.343148, 99.253, 60.32, 1.8076989999999999, 0.000484, 15.0, 10000
1489557802.73576, 108.006, 65.081999999999994, 1.80945, 0.000397, 1.5, 100, 1489557754.8871479, 104.81699999999999, 63.405999999999999, 1.808497, 0.00036200000000000002, 15.0, 1000, 1489557742.3025241, 103.979, 62.957999999999998, 1.8078939999999999, 0.00036830000000000001, 15.0, 10000
1489557873.6734419, 112.729, 67.501999999999995, 1.809453, 0.00036099999999999999, 1.5, 100, 1489557825.837652, 109.548, 65.876999999999995, 1.8085580000000001, 0.000417, 15.0, 1000, 1489557813.2746191, 108.708, 65.444999999999993, 1.8079143, 0.00032140000000000001, 15.0, 10000
1489557944.567436, 117.456, 69.849000000000004, 1.80941, 0.00028699999999999998, 1.5, 100, 1489557896.7481861, 114.27500000000001, 68.277000000000001, 1.8085899999999999, 0.00045770000000000001, 15.0, 1000, 1489557884.1985431, 113.434, 67.856999999999999, 1.8078339999999999, 0.00030899999999999998, 15.0, 10000
1489558015.507699, 122.18600000000001, 72.135000000000005, 1.8091999999999999, 0.00026499999999999999, 1.5, 100, 1489557967.6667221, 119.0, 70.596999999999994, 1.808481, 0.00047899999999999999, 15.0, 1000, 1489557955.1064069, 118.161, 70.191000000000003, 1.807688, 0.00032200000000000002, 15.0, 10000
1489558086.458359, 126.91200000000001, 74.394000000000005, 1.8088900000000001, 0.000232, 1.5, 100, 1489558038.6238711, 123.73, 72.873000000000005, 1.8083149999999999, 0.00044690000000000002, 15.0, 1000, 1489558026.056793, 122.89100000000001, 72.471999999999994, 1.807456, 0.00033970000000000002, 15.0, 10000
1489558157.3633511, 131.59200000000001, 76.606999999999999, 1.808316, 0.000272, 1.5, 100, 1489558109.5252581, 128.44499999999999, 75.123000000000005, 1.8079959999999999, 0.00044200000000000001, 15.0, 1000, 1489558096.9812889, 127.611, 74.727000000000004, 1.807188, 0.0003591, 15.0, 10000
1489558228.3457489, 136.28700000000001, 78.802999999999997, 1.8078000000000001, 0.00022599999999999999, 1.5, 100, 1489558180.479784, 133.12, 77.322999999999993, 1.807604, 0.00040400000000000001, 15.0, 1000, 1489558167.9053149, 132.28800000000001, 76.933999999999997, 1.8068636, 0.00036099999999999999, 15.0, 10000
1489558299.262156, 141.023, 81.006, 1.80738, 0.00019799999999999999, 1.5, 100, 1489558251.4314051, 137.827, 79.521000000000001, 1.80711, 0.00039800000000000002, 15.0, 1000, 1489558238.8871, 136.989, 79.131, 1.8064709999999999, 0.00034929999999999998, 15.0, 10000
1489558370.1808331, 145.74799999999999, 83.180000000000007, 1.80681, 0.00011, 1.5, 100, 1489558322.3553791, 142.56100000000001, 81.712000000000003, 1.806586, 0.00040200000000000001, 15.0, 1000, 1489558309.8055561, 141.726, 81.328999999999994, 1.806028, 0.0003322, 15.0, 10000
1489558441.0727279, 150.45699999999999, 85.369, 1.8062750000000001, 0.000165, 1.5, 100, 1489558393.2636099, 147.285, 83.891000000000005, 1.8060210000000001, 0.000406, 15.0, 1000, 1489558380.7300899, 146.44999999999999, 83.504999999999995, 1.8055140000000001, 0.00031559999999999997, 15.0, 10000
1489558512.023586, 155.14500000000001, 87.566999999999993, 1.80569, 0.00014300000000000001, 1.5, 100, 1489558464.176852, 151.97999999999999, 86.085999999999999, 1.805436, 0.00040200000000000001, 15.0, 1000, 1489558451.6165969, 151.154, 85.695999999999998, 1.804978, 0.0002965, 15.0, 10000
1489558582.901628, 159.834, 89.753, 1.80498, 0.00018799999999999999, 1.5, 100, 1489558535.1112981, 156.67099999999999, 88.275999999999996, 1.804864, 0.000437, 15.0, 1000, 1489558522.557126, 155.84, 87.890000000000001, 1.8044163, 0.00028219999999999997, 15.0, 10000
1489558653.7965009, 164.57599999999999, 91.962999999999994, 1.80446, 0.000222, 1.5, 100, 1489558606.003592, 161.36099999999999, 90.469999999999999, 1.8042750000000001, 0.00044999999999999999, 15.0, 1000, 1489558593.453795, 160.53100000000001, 90.079999999999998, 1.803844, 0.00027500000000000002, 15.0, 10000
1489558724.7369449, 169.36500000000001, 94.191000000000003, 1.803882, 0.00018200000000000001, 1.5, 100, 1489558676.886641, 166.14400000000001, 92.689999999999998, 1.803671, 0.00047449999999999999, 15.0, 1000, 1489558664.325994, 165.29300000000001, 92.293000000000006, 1.803256, 0.00027300000000000002, 15.0, 10000
1489558795.6497631, 174.05199999999999, 96.414000000000001, 1.803304, 0.00012400000000000001, 1.5, 100, 1489558747.821701, 170.88999999999999, 94.911000000000001, 1.8030826, 0.00046579999999999999, 15.0, 1000, 1489558735.2717719, 170.066, 94.519000000000005, 1.8026800000000001, 0.00026499999999999999, 15.0, 10000
1489558866.5735371, 178.76400000000001, 98.664000000000001, 1.8026800000000001, 0.00017699999999999999, 1.5, 100, 1489558818.737982, 175.596, 97.144000000000005, 1.802519, 0.000475, 15.0, 1000, 1489558806.1988089, 174.75700000000001, 96.748000000000005, 1.8021011, 0.00026289999999999999, 15.0, 10000
1489558937.5190461, 183.46100000000001, 100.93000000000001, 1.8021510000000001, 0.00016699999999999999, 1.5, 100, 1489558889.6831169, 180.29599999999999, 99.403000000000006, 1.8019594000000001, 0.00050259999999999997, 15.0, 1000, 1489558877.1234939, 179.46299999999999, 99.001000000000005, 1.8015471999999999, 0.00026289999999999999, 15.0, 10000
1489559008.432653, 188.20099999999999, 103.18300000000001, 1.8015650000000001, 0.00015100000000000001, 1.5, 100, 1489558960.59113, 185.005, 101.66, 1.801396, 0.00055599999999999996, 15.0, 1000, 1489558948.063328, 184.16499999999999, 101.264, 1.80098, 0.0002654, 15.0, 10000
1489559079.361789, 192.892, 105.467, 1.801112, 0.000184, 1.5, 100, 1489559031.5286641, 189.744, 103.92400000000001, 1.800861, 0.00058900000000000001, 15.0, 1000, 1489559018.9762659, 188.90600000000001, 103.521, 1.800467, 0.0002633, 15.0, 10000
1489559150.27443, 197.62200000000001, 107.777, 1.8005, 0.000222, 1.5, 100, 1489559102.4710569, 194.42599999999999, 106.217, 1.8003260000000001, 0.00059900000000000003, 15.0, 1000, 1489559089.900239, 193.59200000000001, 105.809, 1.7999341, 0.0002676, 15.0, 10000
1489559221.214699, 202.38, 110.098, 1.8002359999999999, 0.00021900000000000001, 1.5, 100, 1489559173.3845611, 199.16900000000001, 108.53700000000001, 1.7998320000000001, 0.00062, 15.0, 1000, 1489559160.819016, 198.33000000000001, 108.124, 1.7994213999999999, 0.00027040000000000001, 15.0, 10000
1489559292.138835, 207.06100000000001, 112.425, 1.7996799999999999, 0.00023800000000000001, 1.5, 100, 1489559244.303124, 203.916, 110.851, 1.799328, 0.00069300000000000004, 15.0, 1000, 1489559231.758657, 203.083, 110.44199999999999, 1.7989193000000001, 0.0002743, 15.0, 10000
1489559363.068095, 211.727, 114.786, 1.7991699999999999, 0.00021100000000000001, 1.5, 100, 1489559315.2482951, 208.58099999999999, 113.191, 1.798851, 0.00066600000000000003, 15.0, 1000, 1489559302.667275, 207.75800000000001, 112.774, 1.7984290000000001, 0.00027500000000000002, 15.0, 10000
1489559433.9494059, 216.547, 117.182, 1.7986800000000001, 0.00021100000000000001, 1.5, 100, 1489559386.1452961, 213.30600000000001, 115.56100000000001, 1.7983899999999999, 0.00071599999999999995, 15.0, 1000, 1489559373.5959339, 212.44800000000001, 115.13800000000001, 1.797949, 0.00028190000000000002, 15.0, 10000
1489559504.902396, 221.27000000000001, 119.59, 1.79833, 0.00021599999999999999, 1.5, 100, 1489559457.0589881, 218.09, 117.97199999999999, 1.7979339999999999, 0.00074859999999999998, 15.0, 1000, 1489559444.4986379, 217.256, 117.542, 1.7974870000000001, 0.00028899999999999998, 15.0, 10000
1489559575.8371429, 226.17400000000001, 122.017, 1.7978000000000001, 0.00021100000000000001, 1.5, 100, 1489559528.025439, 222.83099999999999, 120.376, 1.797499, 0.00075199999999999996, 15.0, 1000, 1489559515.4602909, 221.976, 119.94799999999999, 1.7970379999999999, 0.00029300000000000002, 15.0, 10000
1489559646.7635419, 230.46199999999999, 124.476, 1.7972999999999999, 0.000233, 1.5, 100, 1489559598.9280469, 227.49299999999999, 122.815, 1.796918, 0.00082100000000000001, 15.0, 1000, 1489559586.386606, 226.779, 122.381, 1.7964465999999999, 0.00029579999999999998, 15.0, 10000
1489559717.6715059, 235.303, 126.96599999999999, 1.7968299999999999, 0.000261, 1.5, 100, 1489559669.846761, 232.024, 125.282, 1.796556, 0.00086300000000000005, 15.0, 1000, 1489559657.29739, 231.16999999999999, 124.842, 1.796081, 0.00030400000000000002, 15.0, 10000
1489559788.5305669, 240.07300000000001, 129.465, 1.7965500000000001, 0.00025500000000000002, 1.5, 100, 1489559740.7281129, 236.87299999999999, 127.78100000000001, 1.796162, 0.00086970000000000005, 15.0, 1000, 1489559728.1789219, 236.02099999999999, 127.34099999999999, 1.7956939999999999, 0.00030509999999999999, 15.0, 10000
