# This data file was created on Tue Mar 14 22:19:24 2017
# 25K GBA120 -20 to 20V DC bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1489551584.038074, 24.993, 18.096, 10000.0, 1.760317, 0.000347, 15.0, 0.5289746815
1489551596.463864, 24.992, 18.093, 1000.0, 1.761179, 0.000408, 15.0, 0.5447649705000001
1489551643.996856, 24.994, 18.098, 100.0, 1.76221, 0.00032, 1.5, 0.5368698260000001
1489551654.421624, 24.994, 18.097, 10000.0, 1.760302, 0.0003481, 15.0, 2.9212034650000005
1489551666.833581, 24.994, 18.096, 1000.0, 1.761176, 0.000409, 15.0, 2.9369937540000004
1489551714.397989, 24.996, 18.103, 100.0, 1.76183, 0.00038, 1.5, 2.9290986095000004
1489551724.824279, 24.996, 18.098, 10000.0, 1.760293, 0.0003444, 15.0, 5.455544849500001
1489551737.231589, 24.996, 18.096, 1000.0, 1.761155, 0.0004048, 15.0, 5.447649705
1489551784.78219, 24.996, 18.108, 100.0, 1.76173, 0.00038, 1.5, 5.439754560500001
1489551795.218805, 24.997, 18.108, 10000.0, 1.760282, 0.000347, 15.0, 7.9504105115
1489551807.65652, 24.997, 18.101, 1000.0, 1.761145, 0.0004099, 15.0, 7.9504105115
1489551855.191286, 24.998, 18.103, 100.0, 1.76205, 0.00048, 1.5, 7.9504105115
1489551865.624207, 24.998, 18.114, 10000.0, 1.760277, 0.0003477, 15.0, 10.3505344395
1489551878.052671, 24.998, 18.111, 1000.0, 1.7611312, 0.0004046, 15.0, 10.358429584000001
1489551925.591758, 24.999, 18.114, 100.0, 1.76179, 0.00036, 1.5, 10.3505344395
1489551936.026915, 24.999, 18.121, 10000.0, 1.760283, 0.0003482, 15.0, 12.8927709685
1489551948.448433, 24.998, 18.12, 1000.0, 1.761142, 0.0004145, 15.0, 12.884875824
1489551995.985334, 25.0, 18.128, 100.0, 1.76218, 0.00044, 1.5, 12.876980679500003
1489552006.422407, 25.0, 18.132, 10000.0, 1.7602906, 0.0003456, 15.0, 15.395531775000002
1489552018.846847, 25.0, 18.131, 1000.0, 1.761134, 0.000424, 15.0, 15.395531775000002
1489552066.394786, 25.003, 18.148, 100.0, 1.76178, 0.00035, 1.5, 15.403426919500001
1489552076.826329, 25.001, 18.141, 10000.0, 1.760298, 0.000343, 15.0, 17.9298731595
1489552089.256479, 25.001, 18.143, 1000.0, 1.761146, 0.000437, 15.0, 17.9298731595
1489552137.022931, 25.0, 18.144, 100.0, 1.76194, 0.00065, 1.5, 17.921978015
1489552147.582661, 25.0, 18.15, 10000.0, 1.7603216, 0.0003459, 15.0, 20.337892232
1489552160.148203, 25.002, 18.157, 1000.0, 1.761146, 0.000457, 15.0, 20.345787376500002
1489552207.991533, 25.001, 18.165, 100.0, 1.76176, 0.00066, 1.5, 20.337892232
1489552218.530522, 25.002, 18.164, 10000.0, 1.7603093, 0.0003372, 15.0, 20.337892232
1489552231.112681, 25.003, 18.175, 1000.0, 1.761143, 0.000459, 15.0, 20.337892232
1489552278.945457, 25.003, 18.181, 100.0, 1.76177, 0.00076, 1.5, 20.337892232
1489552289.494461, 25.003, 18.184, 10000.0, 1.7603062, 0.0003366, 15.0, 17.9298731595
1489552302.038741, 25.002, 18.184, 1000.0, 1.761125, 0.0004349, 15.0, 17.9298731595
1489552349.87509, 25.006, 18.197, 100.0, 1.76213, 0.00055, 1.5, 17.921978015
1489552360.402031, 25.004, 18.195, 10000.0, 1.760289, 0.0003323, 15.0, 15.403426919500001
1489552372.973678, 25.004, 18.204, 1000.0, 1.761107, 0.0004162, 15.0, 15.403426919500001
1489552420.798053, 25.005, 18.22, 100.0, 1.76213, 0.00044, 1.5, 15.411322064000002
1489552431.344869, 25.005, 18.212, 10000.0, 1.760282, 0.0003346, 15.0, 12.8927709685
1489552443.902326, 25.004, 18.217, 1000.0, 1.761104, 0.000403, 15.0, 12.900666113
