# This data file was created on Tue Mar 14 23:04:27 2017
# 25K GBA120 -20 to 20V DC bias without 100Hz to speed things up
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1489554289.686683, 25.014, 18.923, 10000.0, 1.760229, 0.000331, 15.0, 0.5368698260000001
1489554302.102112, 25.013, 18.922, 1000.0, 1.761046, 0.000384, 15.0, 0.5289746815
1489554312.537355, 25.013, 18.936, 10000.0, 1.760226, 0.0003301, 15.0, 2.9369937540000004
1489554324.969395, 25.015, 18.942, 1000.0, 1.761045, 0.0003833, 15.0, 2.9290986095000004
1489554335.394152, 25.014, 18.944, 10000.0, 1.760228, 0.000328, 15.0, 5.455544849500001
1489554347.807347, 25.014, 18.943, 1000.0, 1.761039, 0.000388, 15.0, 5.447649705
1489554358.232118, 25.014, 18.958, 10000.0, 1.76023, 0.000328, 15.0, 7.966200800500001
1489554370.655954, 25.014, 18.963, 1000.0, 1.761043, 0.0003867, 15.0, 7.958305656
1489554381.082819, 25.014, 18.97, 10000.0, 1.760236, 0.0003261, 15.0, 10.358429584000001
1489554393.530643, 25.014, 18.971, 1000.0, 1.7610352, 0.0003859, 15.0, 10.358429584000001
1489554403.946982, 25.014, 18.974, 10000.0, 1.76024, 0.0003284, 15.0, 12.8927709685
1489554416.373634, 25.013, 18.977, 1000.0, 1.76103, 0.000399, 15.0, 12.8927709685
1489554426.808649, 25.012, 18.98, 10000.0, 1.760239, 0.000328, 15.0, 15.395531775000002
1489554439.235116, 25.012, 18.977, 1000.0, 1.761045, 0.000411, 15.0, 15.403426919500001
1489554449.675733, 25.01, 18.973, 10000.0, 1.7602396, 0.0003306, 15.0, 17.921978015
1489554462.107898, 25.009, 18.977, 1000.0, 1.761042, 0.000427, 15.0, 17.921978015
1489554472.523865, 25.011, 18.994, 10000.0, 1.760241, 0.00033, 15.0, 20.337892232
1489554484.952954, 25.011, 18.996, 1000.0, 1.761045, 0.000446, 15.0, 20.353682521000003
1489554495.391439, 25.012, 18.997, 10000.0, 1.760246, 0.0003329, 15.0, 20.337892232
1489554507.83, 25.012, 18.999, 1000.0, 1.761046, 0.000449, 15.0, 20.345787376500002
1489554518.271497, 25.01, 19.016, 10000.0, 1.7602413, 0.0003301, 15.0, 17.937768304000002
1489554530.690327, 25.013, 19.02, 1000.0, 1.761035, 0.0004202, 15.0, 17.9298731595
1489554541.108505, 25.012, 19.018, 10000.0, 1.7602302, 0.0003278, 15.0, 15.403426919500001
1489554553.533402, 25.011, 19.026, 1000.0, 1.761023, 0.000409, 15.0, 15.395531775000002
1489554563.976807, 25.011, 19.03, 10000.0, 1.760233, 0.0003267, 15.0, 12.900666113
1489554576.398195, 25.013, 19.043, 1000.0, 1.761029, 0.0004, 15.0, 12.8927709685
1489554586.840415, 25.014, 19.05, 10000.0, 1.7602238, 0.0003254, 15.0, 10.342639295000001
1489554599.26269, 25.014, 19.048, 1000.0, 1.7610308, 0.0003893, 15.0, 10.3505344395
1489554609.689226, 25.013, 19.054, 10000.0, 1.760223, 0.0003284, 15.0, 7.958305656
1489554622.110465, 25.012, 19.063, 1000.0, 1.761029, 0.000385, 15.0, 7.958305656
1489554632.542929, 25.013, 19.064, 10000.0, 1.760223, 0.0003267, 15.0, 5.439754560500001
1489554644.963413, 25.013, 19.066, 1000.0, 1.7610382, 0.0003831, 15.0, 5.439754560500001
1489554655.398525, 25.013, 19.071, 10000.0, 1.7602124, 0.0003296, 15.0, 2.9212034650000005
1489554667.815903, 25.013, 19.079, 1000.0, 1.761033, 0.000386, 15.0, 2.9290986095000004
1489554678.245328, 25.013, 19.085, 10000.0, 1.760215, 0.0003261, 15.0, 0.5447649705000001
1489554690.677671, 25.015, 19.097, 1000.0, 1.76104, 0.000385, 15.0, 0.5368698260000001
1489554701.109259, 25.015, 19.1, 10000.0, 1.7602169, 0.0003269, 15.0, 0.5447649705000001
1489554713.536055, 25.013, 19.097, 1000.0, 1.761031, 0.00039, 15.0, 0.5368698260000001
1489554723.973427, 25.012, 19.109, 10000.0, 1.7602195, 0.0003283, 15.0, -2.0132619750000003
1489554736.393295, 25.014, 19.121, 1000.0, 1.76103, 0.000382, 15.0, -2.0053668300000003
1489554746.824358, 25.016, 19.122, 10000.0, 1.7602201, 0.0003268, 15.0, -4.53181323
1489554759.243644, 25.013, 19.125, 1000.0, 1.761034, 0.000379, 15.0, -4.539708375
1489554769.670422, 25.014, 19.134, 10000.0, 1.760218, 0.0003295, 15.0, -7.050364485
1489554782.101294, 25.015, 19.138, 1000.0, 1.76103, 0.000383, 15.0, -7.058259629999999
1489554792.531736, 25.014, 19.139, 10000.0, 1.760218, 0.000328, 15.0, -9.450488564999999
1489554804.951129, 25.013, 19.145, 1000.0, 1.761029, 0.000387, 15.0, -9.450488564999999
1489554815.384815, 25.012, 19.151, 10000.0, 1.760244, 0.000328, 15.0, -11.98483011
1489554827.82629, 25.014, 19.157, 1000.0, 1.761045, 0.000391, 15.0, -11.96903982
1489554838.370386, 25.014, 19.156, 10000.0, 1.760246, 0.0003261, 15.0, -14.511276510000002
1489554850.907392, 25.013, 19.171, 1000.0, 1.761045, 0.000399, 15.0, -14.511276510000002
1489554861.464094, 25.014, 19.18, 10000.0, 1.760253, 0.000327, 15.0, -17.03772291
1489554874.040348, 25.016, 19.188, 1000.0, 1.7610498, 0.0004116, 15.0, -17.029827765
1489554884.600515, 25.015, 19.189, 10000.0, 1.760261, 0.0003267, 15.0, -19.429951845
1489554897.161078, 25.014, 19.189, 1000.0, 1.761062, 0.000424, 15.0, -19.445742135
1489554907.706118, 25.014, 19.197, 10000.0, 1.7602634, 0.0003284, 15.0, -19.445742135
1489554920.273072, 25.016, 19.212, 1000.0, 1.761062, 0.000429, 15.0, -19.43784699
1489554930.81915, 25.016, 19.213, 10000.0, 1.7602587, 0.0003285, 15.0, -17.03772291
1489554943.363294, 25.015, 19.225, 1000.0, 1.761062, 0.0004082, 15.0, -17.045618055
1489554953.898092, 25.017, 19.224, 10000.0, 1.76025, 0.000325, 15.0, -14.503381365000001
1489554966.32457, 25.014, 19.227, 1000.0, 1.761062, 0.000393, 15.0, -14.511276510000002
1489554976.746164, 25.014, 19.229, 10000.0, 1.76025, 0.000326, 15.0, -11.976934965
1489554989.187918, 25.014, 19.236, 1000.0, 1.76105, 0.000393, 15.0, -11.96903982
1489554999.610349, 25.014, 19.241, 10000.0, 1.760245, 0.0003261, 15.0, -9.45838371
1489555012.037931, 25.014, 19.248, 1000.0, 1.761045, 0.000382, 15.0, -9.45838371
1489555022.454038, 25.014, 19.25, 10000.0, 1.760243, 0.0003267, 15.0, -7.066154774999999
1489555034.875103, 25.013, 19.252, 1000.0, 1.761046, 0.000384, 15.0, -7.050364485
1489555045.289, 25.014, 19.26, 10000.0, 1.760237, 0.0003278, 15.0, -4.555498665
1489555057.734045, 25.015, 19.272, 1000.0, 1.761045, 0.000386, 15.0, -4.539708375
1489555068.162433, 25.014, 19.265, 10000.0, 1.7602399, 0.0003231, 15.0, -2.0053668300000003
1489555080.580458, 25.013, 19.27, 1000.0, 1.761046, 0.000382, 15.0, -2.0053668300000003
1489555091.022216, 25.015, 19.284, 10000.0, 1.7602406, 0.0003247, 15.0, 0.5447649705000001
1489555103.441539, 25.014, 19.296, 1000.0, 1.761045, 0.000386, 15.0, 0.5368698260000001
1489555113.89712, 25.017, 19.303, 10000.0, 1.76024, 0.000326, 15.0, 0.5368698260000001
1489555126.332958, 25.016, 19.313, 1000.0, 1.7610512, 0.0003843, 15.0, 0.5368698260000001
1489555136.748838, 25.016, 19.311, 10000.0, 1.760243, 0.0003227, 15.0, 2.9290986095000004
1489555149.173951, 25.018, 19.324, 1000.0, 1.76105, 0.000389, 15.0, 2.9212034650000005
1489555159.600355, 25.017, 19.326, 10000.0, 1.760239, 0.0003255, 15.0, 5.463439994000001
1489555172.030192, 25.016, 19.334, 1000.0, 1.761046, 0.000386, 15.0, 5.455544849500001
1489555182.450837, 25.016, 19.331, 10000.0, 1.76024, 0.0003255, 15.0, 7.958305656
1489555194.867582, 25.015, 19.337, 1000.0, 1.761046, 0.000384, 15.0, 7.9504105115
1489555205.294184, 25.015, 19.34, 10000.0, 1.7602434, 0.0003252, 15.0, 10.358429584000001
1489555217.719846, 25.015, 19.353, 1000.0, 1.761049, 0.0003895, 15.0, 10.3663247285
1489555228.153013, 25.015, 19.352, 10000.0, 1.760243, 0.0003232, 15.0, 12.900666113
1489555240.575062, 25.016, 19.365, 1000.0, 1.761044, 0.000394, 15.0, 12.884875824
1489555250.996103, 25.016, 19.369, 10000.0, 1.760256, 0.0003244, 15.0, 15.403426919500001
1489555263.425312, 25.017, 19.371, 1000.0, 1.761045, 0.000414, 15.0, 15.403426919500001
1489555273.860574, 25.015, 19.376, 10000.0, 1.760257, 0.0003272, 15.0, 17.9298731595
1489555286.297519, 25.016, 19.384, 1000.0, 1.761046, 0.000429, 15.0, 17.921978015
1489555296.73045, 25.016, 19.391, 10000.0, 1.760263, 0.0003295, 15.0, 20.3299970875
1489555309.163109, 25.018, 19.399, 1000.0, 1.76106, 0.000451, 15.0, 20.337892232
1489555319.594574, 25.017, 19.412, 10000.0, 1.7602773, 0.0003282, 15.0, 20.353682521000003
1489555332.01303, 25.016, 19.403, 1000.0, 1.7610679, 0.0004493, 15.0, 20.337892232
1489555342.440355, 25.015, 19.414, 10000.0, 1.760272, 0.0003284, 15.0, 17.9298731595
1489555354.880455, 25.016, 19.419, 1000.0, 1.761065, 0.000426, 15.0, 17.921978015
1489555365.31295, 25.016, 19.426, 10000.0, 1.760266, 0.0003261, 15.0, 15.403426919500001
1489555377.745029, 25.015, 19.435, 1000.0, 1.761066, 0.000407, 15.0, 15.411322064000002
1489555388.179248, 25.016, 19.439, 10000.0, 1.760266, 0.0003221, 15.0, 12.8927709685
1489555400.598268, 25.015, 19.442, 1000.0, 1.761063, 0.000398, 15.0, 12.8927709685
