# This data file was created on Wed Mar 15 12:46:06 2017
# capacitor 2-19; sample GBA120; nitrogen cooldown for more DC measurements... Frequencies: 100Hz, 1000Hz, 10000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1489599285.0647781, 350.0, 326.01299999999998, 1.7900720000000001, 0.00027300000000000002, 1.5, 100, 1489599237.5225899, 350.00099999999998, 326.01299999999998, 1.790103, 0.0021129999999999999, 15.0, 1000, 1489599225.085186, 350.0, 326.01299999999998, 1.789687, 0.00038499999999999998, 15.0, 10000
1489599355.4498861, 350.0, 326.01299999999998, 1.7900769999999999, 0.0002407, 1.5, 100, 1489599307.9341309, 350.0, 326.01299999999998, 1.790103, 0.0020709999999999999, 15.0, 1000, 1489599295.4917171, 350.00099999999998, 326.01299999999998, 1.7896829999999999, 0.0003882, 15.0, 10000
1489599425.845804, 349.64699999999999, 326.01400000000001, 1.790076, 0.00025799999999999998, 1.5, 100, 1489599378.3144701, 350.0, 326.01400000000001, 1.790106, 0.0020769999999999999, 15.0, 1000, 1489599365.8823371, 350.00099999999998, 326.01299999999998, 1.789685, 0.0003815, 15.0, 10000
1489599496.2496009, 347.08800000000002, 325.99099999999999, 1.790179, 0.000263, 1.5, 100, 1489599448.720856, 348.79700000000003, 326.012, 1.790117, 0.0020040000000000001, 15.0, 1000, 1489599436.2779131, 349.26299999999998, 326.01299999999998, 1.78969, 0.00037819999999999998, 15.0, 10000
1489599567.0324471, 344.76799999999997, 325.90499999999997, 1.7903249999999999, 0.0002273, 1.5, 100, 1489599519.191294, 346.30799999999999, 325.97000000000003, 1.790144, 0.002039, 15.0, 1000, 1489599506.664844, 346.73000000000002, 325.98200000000003, 1.7897160000000001, 0.00038039999999999998, 15.0, 10000
1489599637.9564409, 342.66300000000001, 325.76400000000001, 1.7904340000000001, 0.00031110000000000003, 1.5, 100, 1489599590.12637, 344.05799999999999, 325.86500000000001, 1.7901670000000001, 0.0020439999999999998, 15.0, 1000, 1489599577.5712521, 344.44099999999997, 325.88799999999998, 1.7897460000000001, 0.00037149999999999998, 15.0, 10000
1489599708.880007, 340.774, 325.57900000000001, 1.790567, 0.00034949999999999998, 1.5, 100, 1489599661.0677669, 342.03399999999999, 325.709, 1.790198, 0.0020600000000000002, 15.0, 1000, 1489599648.5061231, 342.37900000000002, 325.73899999999998, 1.7897749999999999, 0.00037300000000000001, 15.0, 10000
1489599779.7933259, 339.05399999999997, 325.35700000000003, 1.790672, 0.00028469999999999998, 1.5, 100, 1489599731.964426, 340.19600000000003, 325.50999999999999, 1.7902305000000001, 0.0019476999999999999, 15.0, 1000, 1489599719.406316, 340.50799999999998, 325.548, 1.7898147, 0.00036460000000000003, 15.0, 10000
1489599850.7653949, 337.488, 325.09500000000003, 1.789563, 0.00030899999999999998, 1.5, 100, 1489599802.924509, 338.52699999999999, 325.27800000000002, 1.790257, 0.0019750000000000002, 15.0, 1000, 1489599790.3536141, 338.81200000000001, 325.322, 1.789844, 0.00036919999999999998, 15.0, 10000
1489599921.6734819, 336.05700000000002, 324.70400000000001, 1.789696, 0.00035199999999999999, 1.5, 100, 1489599873.8682261, 337.00799999999998, 324.98099999999999, 1.789207, 0.001964, 15.0, 1000, 1489599861.2990179, 337.26799999999997, 325.04500000000002, 1.7887886, 0.0003636, 15.0, 10000
