# This data file was created on Wed Mar 15 13:07:11 2017
# capacitor 2-19; sample GBA120; nitrogen cooldown for more DC measurements
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489604851.023131, 146.393, 76.618, 14000.0, 1.802341, 0.000279, 15.0
1489604860.330343, 145.886, 76.609, 1400.0, 1.802933, 0.000367, 15.0
1489604876.773446, 145.0, 76.591, 400.0, 1.8032717, 0.0002439, 6.0
# 
1489604884.495626, 144.584, 76.596, -1, -1, -1, -1
1489604893.802475, 144.086, 76.594, 1400.0, 1.803164, 0.000344, 15.0
1489604910.238146, 143.216, 76.576, 400.0, 1.8034878, 0.0002507, 6.0
# 
1489604917.950303, 142.81, 76.569, -1, -1, -1, -1
1489604927.230416, 142.325, 76.561, 1400.0, 1.803377, 0.000355, 15.0
1489604943.661419, 141.478, 76.556, 400.0, 1.8036922, 0.0002492, 6.0
# 
1489604951.392922, 141.082, 76.56, -1, -1, -1, -1
# 
1489604960.00624, 140.641, 76.564, -1, -1, -1, -1
