# This data file was created on Wed Mar 15 20:48:01 2017
# 120K GBA120 -60 to 60V DC bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1489632502.836154, 119.343, 76.026, 14000.0, 1.81096, 0.00033, 15.0, 0.5289746815
1489632512.47492, 119.503, 76.025, 1400.0, 1.811794, 0.000458, 15.0, 0.5368698260000001
1489632528.897224, 119.753, 76.032, 400.0, 1.812254, 0.0003686, 6.0, 0.5368698260000001
1489632538.315398, 119.864, 76.029, 14000.0, 1.810949, 0.000319, 15.0, 2.9290986095000004
1489632547.926423, 119.95, 76.025, 1400.0, 1.811787, 0.000444, 15.0, 2.9290986095000004
1489632564.380399, 120.035, 76.024, 400.0, 1.81224, 0.0003896, 6.0, 2.9212034650000005
1489632573.799348, 120.057, 76.028, 14000.0, 1.810903, 0.000333, 15.0, 5.463439994000001
1489632583.414803, 120.064, 76.03, 1400.0, 1.8117552, 0.0004845, 15.0, 5.447649705
1489632599.879869, 120.057, 76.029, 400.0, 1.812214, 0.0004503, 6.0, 5.455544849500001
1489632609.308544, 120.047, 76.031, 14000.0, 1.810952, 0.000331, 15.0, 7.966200800500001
1489632618.930502, 120.035, 76.025, 1400.0, 1.811749, 0.000506, 15.0, 7.958305656
1489632635.382715, 120.017, 76.027, 400.0, 1.812203, 0.0005634, 6.0, 7.9504105115
1489632644.823963, 120.008, 76.031, 14000.0, 1.810929, 0.000335, 15.0, 10.358429584000001
1489632654.46305, 120.001, 76.025, 1400.0, 1.81177, 0.000569, 15.0, 10.358429584000001
1489632670.896848, 119.994, 76.026, 400.0, 1.812196, 0.0006876, 6.0, 10.358429584000001
1489632680.323796, 119.993, 76.025, 14000.0, 1.8109, 0.000342, 15.0, 12.900666113
1489632689.950186, 119.992, 76.032, 1400.0, 1.811735, 0.000647, 15.0, 12.884875824
1489632706.391211, 119.993, 76.026, 400.0, 1.812172, 0.0008647, 6.0, 12.8927709685
1489632715.828926, 119.994, 76.027, 14000.0, 1.810929, 0.000338, 15.0, 15.403426919500001
1489632725.460049, 119.995, 76.025, 1400.0, 1.811768, 0.000715, 15.0, 15.403426919500001
1489632741.905567, 119.997, 76.023, 400.0, 1.812161, 0.0010881, 6.0, 15.403426919500001
1489632751.353871, 119.998, 76.029, 14000.0, 1.810947, 0.00034, 15.0, 17.9298731595
1489632760.969805, 119.999, 76.025, 1400.0, 1.811729, 0.000792, 15.0, 17.921978015
1489632777.402635, 119.999, 76.028, 400.0, 1.812165, 0.001401, 6.0, 17.921978015
1489632786.927866, 120.0, 76.029, 14000.0, 1.810947, 0.000352, 15.0, 20.337892232
1489632796.687843, 120.0, 76.024, 1400.0, 1.811781, 0.000879, 15.0, 20.337892232
1489632813.269979, 119.999, 76.024, 400.0, 1.812174, 0.001746, 6.0, 20.353682521000003
1489632822.822949, 119.999, 76.029, 14000.0, 1.810938, 0.000382, 15.0, 22.864338472
1489632832.576503, 120.0, 76.026, 1400.0, 1.811742, 0.0010452, 15.0, 22.888023905500003
1489632849.153123, 120.0, 76.028, 400.0, 1.8121731, 0.0022578, 6.0, 22.8722336165
1489632858.71101, 120.0, 76.024, 14000.0, 1.810947, 0.00038, 15.0, 25.406575001000004
1489632868.462395, 119.999, 76.028, 1400.0, 1.811752, 0.001184, 15.0, 25.4144701455
1489632885.052182, 119.999, 76.024, 400.0, 1.812192, 0.0026746, 6.0, 25.4144701455
1489632894.57917, 120.0, 76.024, 14000.0, 1.810958, 0.0003892, 15.0, 27.909335807500003
1489632904.300583, 120.0, 76.021, 1400.0, 1.811786, 0.001359, 15.0, 27.8935455185
1489632920.896144, 120.0, 76.021, 400.0, 1.812212, 0.003203, 6.0, 27.917230952000004
1489632930.421232, 119.999, 76.026, 14000.0, 1.81097, 0.00041, 15.0, 30.301564591
1489632940.169334, 119.999, 76.027, 1400.0, 1.81176, 0.001589, 15.0, 30.301564591
1489632956.765521, 120.0, 76.027, 400.0, 1.812223, 0.004029, 6.0, 30.301564591
1489632966.312387, 120.0, 76.028, 14000.0, 1.810997, 0.000438, 15.0, 32.835905975500005
1489632976.067334, 120.0, 76.023, 1400.0, 1.81181, 0.001771, 15.0, 32.8516962645
1489632992.665241, 120.0, 76.022, 400.0, 1.812249, 0.004812, 6.0, 32.835905975500005
1489633002.229529, 120.0, 76.025, 14000.0, 1.811041, 0.000464, 15.0, 35.378142504500005
1489633011.973376, 120.0, 76.024, 1400.0, 1.81185, 0.002069, 15.0, 35.378142504500005
1489633028.532559, 120.0, 76.024, 400.0, 1.812276, 0.005501, 6.0, 35.37024736
1489633038.06347, 120.0, 76.028, 14000.0, 1.811051, 0.000486, 15.0, 37.912483889
1489633047.806948, 120.0, 76.023, 1400.0, 1.811854, 0.002354, 15.0, 37.9203790335
1489633064.410295, 120.0, 76.028, 400.0, 1.8122818, 0.0067127, 6.0, 37.9045887445
