# This data file was created on Thu Mar 16 10:41:38 2017
# capacitor 2-19; sample GBA120; Helium cool down
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to OFF
1489682515.522703, 176.757, 181.748, 14000.0, 1.805907, 0.000274, 15.0
1489682525.153701, 176.853, 181.839, 1400.0, 1.806439, 0.000387, 15.0
1489682541.594213, 177.014, 181.994, 400.0, 1.8066892, 0.00037006, 6.0
1489682551.002182, 177.107, 182.084, 14000.0, 1.805842, 0.000276, 15.0
1489682560.615469, 177.201, 182.174, 1400.0, 1.806363, 0.000434, 15.0
1489682577.045323, 177.362, 182.33, 400.0, 1.806639, 0.000368, 6.0
1489682586.469583, 177.455, 182.42, 14000.0, 1.805802, 0.000262, 15.0
1489682596.095946, 177.549, 182.511, 1400.0, 1.806319, 0.000442, 15.0
1489682612.528887, 177.711, 182.667, 400.0, 1.8065976, 0.0003371, 6.0
1489682621.963465, 177.804, 182.757, 14000.0, 1.805742, 0.000273, 15.0
1489682631.57506, 177.899, 182.848, 1400.0, 1.8062759, 0.000393, 15.0
1489682648.038463, 178.06, 183.001, 400.0, 1.80628, 0.00027, 6.0
1489682657.45964, 178.153, 183.075, 14000.0, 1.805301, 0.000276, 15.0
1489682667.080841, 178.247, 183.142, 1400.0, 1.805837, 0.00037, 15.0
1489682683.53551, 178.408, 183.252, 400.0, 1.8061272, 0.0002902, 6.0
1489682692.961884, 178.5, 183.315, 14000.0, 1.805277, 0.000265, 15.0
1489682702.588343, 178.594, 183.38, 1400.0, 1.805819, 0.000331, 15.0
1489682719.019274, 178.753, 183.49, 400.0, 1.8060964, 0.0002794, 6.0
1489682728.437845, 178.844, 183.553, 14000.0, 1.805235, 0.000267, 15.0
1489682738.05572, 178.936, 183.618, 1400.0, 1.805793, 0.0003277, 15.0
1489682754.509826, 179.096, 183.729, 400.0, 1.8060544, 0.0002762, 6.0
1489682763.944275, 179.186, 183.793, 14000.0, 1.805178, 0.000266, 15.0
1489682773.572488, 179.277, 183.857, 1400.0, 1.805734, 0.000355, 15.0
1489682790.019532, 179.435, 183.97, 400.0, 1.8060012, 0.00029878, 6.0
1489682799.447669, 179.524, 184.033, 14000.0, 1.805135, 0.000276, 15.0
1489682809.204075, 179.617, 184.1, 1400.0, 1.80568, 0.000351, 15.0
1489682825.785533, 179.774, 184.214, 400.0, 1.8059524, 0.0003354, 6.0
1489682835.326345, 179.864, 184.28, 14000.0, 1.805091, 0.000285, 15.0
1489682845.071219, 179.956, 184.347, 1400.0, 1.805637, 0.000375, 15.0
1489682861.637131, 180.111, 184.462, 400.0, 1.8059123, 0.000336, 6.0
1489682871.179261, 180.2, 184.528, 14000.0, 1.805047, 0.000256, 15.0
1489682880.9119, 180.29, 184.595, 1400.0, 1.805611, 0.000376, 15.0
