# This data file was created on Thu Mar 16 13:03:31 2017
# capacitor 2-19; sample GBA120; Helium cool down... Frequencies: 400Hz, 1400Hz, 14000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1489682541.594213, 177.01400000000001, 181.994, 1.8066892000000001, 0.00037006000000000002, 6.0, 400, 1489682525.1537011, 176.85300000000001, 181.839, 1.8064389999999999, 0.00038699999999999997, 15.0, 1400, 1489682515.5227029, 176.75700000000001, 181.74799999999999, 1.8059069999999999, 0.00027399999999999999, 15.0, 14000
1489682577.0453229, 177.36199999999999, 182.33000000000001, 1.8066390000000001, 0.000368, 6.0, 400, 1489682560.615469, 177.20099999999999, 182.17400000000001, 1.8063629999999999, 0.00043399999999999998, 15.0, 1400, 1489682551.002182, 177.107, 182.084, 1.8058419999999999, 0.00027599999999999999, 15.0, 14000
1489682612.528887, 177.71100000000001, 182.667, 1.8065975999999999, 0.00033710000000000001, 6.0, 400, 1489682596.0959461, 177.54900000000001, 182.511, 1.806319, 0.00044200000000000001, 15.0, 1400, 1489682586.469583, 177.45500000000001, 182.41999999999999, 1.8058019999999999, 0.00026200000000000003, 15.0, 14000
1489682648.0384631, 178.06, 183.001, 1.8062800000000001, 0.00027, 6.0, 400, 1489682631.5750599, 177.899, 182.84800000000001, 1.8062758999999999, 0.00039300000000000001, 15.0, 1400, 1489682621.963465, 177.804, 182.75700000000001, 1.805742, 0.00027300000000000002, 15.0, 14000
1489682683.5355101, 178.40799999999999, 183.25200000000001, 1.8061271999999999, 0.00029020000000000001, 6.0, 400, 1489682667.0808411, 178.24700000000001, 183.142, 1.8058369999999999, 0.00036999999999999999, 15.0, 1400, 1489682657.45964, 178.15299999999999, 183.07499999999999, 1.805301, 0.00027599999999999999, 15.0, 14000
1489682719.019274, 178.75299999999999, 183.49000000000001, 1.8060963999999999, 0.00027940000000000002, 6.0, 400, 1489682702.5883429, 178.59399999999999, 183.38, 1.8058190000000001, 0.00033100000000000002, 15.0, 1400, 1489682692.961884, 178.5, 183.315, 1.805277, 0.00026499999999999999, 15.0, 14000
1489682754.5098259, 179.096, 183.72900000000001, 1.8060544000000001, 0.00027619999999999999, 6.0, 400, 1489682738.0557201, 178.93600000000001, 183.61799999999999, 1.805793, 0.0003277, 15.0, 1400, 1489682728.437845, 178.84399999999999, 183.553, 1.8052349999999999, 0.00026699999999999998, 15.0, 14000
1489682790.019532, 179.435, 183.97, 1.8060012000000001, 0.00029878000000000001, 6.0, 400, 1489682773.5724881, 179.27699999999999, 183.857, 1.805734, 0.00035500000000000001, 15.0, 1400, 1489682763.9442749, 179.18600000000001, 183.79300000000001, 1.8051779999999999, 0.00026600000000000001, 15.0, 14000
1489682825.785533, 179.774, 184.214, 1.8059524, 0.00033540000000000002, 6.0, 400, 1489682809.2040751, 179.61699999999999, 184.09999999999999, 1.80568, 0.00035100000000000002, 15.0, 1400, 1489682799.447669, 179.524, 184.03299999999999, 1.8051349999999999, 0.00027599999999999999, 15.0, 14000
1489682861.637131, 180.11099999999999, 184.46199999999999, 1.8059122999999999, 0.00033599999999999998, 6.0, 400, 1489682845.071219, 179.95599999999999, 184.34700000000001, 1.8056369999999999, 0.00037500000000000001, 15.0, 1400, 1489682835.326345, 179.864, 184.28, 1.805091, 0.00028499999999999999, 15.0, 14000
1489682897.5053599, 180.44399999999999, 184.71000000000001, 1.8058685000000001, 0.00034759999999999999, 6.0, 400, 1489682880.9119, 180.28999999999999, 184.595, 1.8056110000000001, 0.00037599999999999998, 15.0, 1400, 1489682871.179261, 180.19999999999999, 184.52799999999999, 1.8050470000000001, 0.00025599999999999999, 15.0, 14000
1489682933.372283, 180.774, 184.959, 1.8058292, 0.00035980000000000002, 6.0, 400, 1489682916.7893231, 180.62100000000001, 184.84299999999999, 1.805561, 0.00036650000000000002, 15.0, 1400, 1489682907.047426, 180.53100000000001, 184.77600000000001, 1.8050330000000001, 0.00027300000000000002, 15.0, 14000
1489682969.271755, 181.10300000000001, 185.21000000000001, 1.8057920999999999, 0.00034160000000000001, 6.0, 400, 1489682952.683336, 180.95099999999999, 185.09399999999999, 1.8055049999999999, 0.0003903, 15.0, 1400, 1489682942.9232731, 180.86099999999999, 185.02500000000001, 1.8049759999999999, 0.00027900000000000001, 15.0, 14000
1489683005.165431, 181.429, 185.46299999999999, 1.8057496, 0.00037110000000000002, 6.0, 400, 1489682988.5670781, 181.27799999999999, 185.346, 1.8054749999999999, 0.00037300000000000001, 15.0, 1400, 1489682978.8229251, 181.19, 185.27699999999999, 1.8049360000000001, 0.00027799999999999998, 15.0, 14000
1489683041.074832, 181.75299999999999, 185.71899999999999, 1.8057125000000001, 0.00036529999999999999, 6.0, 400, 1489683024.4819491, 181.60400000000001, 185.59999999999999, 1.805429, 0.00039439999999999999, 15.0, 1400, 1489683014.7144721, 181.51599999999999, 185.53100000000001, 1.804881, 0.00027700000000000001, 15.0, 14000
1489683076.979142, 182.07599999999999, 185.97499999999999, 1.8056824, 0.00034745000000000002, 6.0, 400, 1489683060.397397, 181.92699999999999, 185.85599999999999, 1.8053950000000001, 0.00038939999999999998, 15.0, 1400, 1489683050.6390491, 181.84, 185.78700000000001, 1.804848, 0.00028200000000000002, 15.0, 14000
1489683112.905416, 182.39699999999999, 186.23500000000001, 1.8056482, 0.0003435, 6.0, 400, 1489683096.2966909, 182.249, 186.114, 1.8053573000000001, 0.00038519999999999998, 15.0, 1400, 1489683086.5579641, 182.16200000000001, 186.04400000000001, 1.80481, 0.00027, 15.0, 14000
1489683148.8281641, 182.71600000000001, 186.495, 1.8056042999999999, 0.000379, 6.0, 400, 1489683132.2328169, 182.56899999999999, 186.375, 1.8053170000000001, 0.00038499999999999998, 15.0, 1400, 1489683122.4606471, 182.482, 186.304, 1.8047569999999999, 0.00027399999999999999, 15.0, 14000
1489683184.727313, 183.03399999999999, 186.75700000000001, 1.8055661000000001, 0.00038020000000000003, 6.0, 400, 1489683168.1431069, 182.88800000000001, 186.636, 1.8052779999999999, 0.00042680000000000002, 15.0, 1400, 1489683158.367358, 182.80099999999999, 186.56399999999999, 1.8047181999999999, 0.00027540000000000003, 15.0, 14000
1489683220.6244891, 183.34999999999999, 187.02000000000001, 1.8055315000000001, 0.0003857, 6.0, 400, 1489683204.043474, 183.20400000000001, 186.898, 1.8052368999999999, 0.0004328, 15.0, 1400, 1489683194.2935729, 183.11799999999999, 186.827, 1.8046599999999999, 0.000261, 15.0, 14000
1489683256.552808, 183.66399999999999, 187.285, 1.8054983, 0.0003857, 6.0, 400, 1489683239.9579329, 183.51900000000001, 187.16200000000001, 1.8051919999999999, 0.00042299999999999998, 15.0, 1400, 1489683230.1937499, 183.434, 187.09, 1.804637, 0.000281, 15.0, 14000
1489683292.4497631, 183.977, 187.55000000000001, 1.8054714000000001, 0.00034640000000000002, 6.0, 400, 1489683275.8487041, 183.833, 187.428, 1.8051666, 0.00042329999999999999, 15.0, 1400, 1489683266.1024771, 183.74799999999999, 187.35599999999999, 1.804613, 0.00027470000000000001, 15.0, 14000
1489683328.370595, 184.28899999999999, 187.81700000000001, 1.8054303, 0.00038440000000000002, 6.0, 400, 1489683311.7619381, 184.14599999999999, 187.69399999999999, 1.805132, 0.00041399999999999998, 15.0, 1400, 1489683302.012696, 184.06100000000001, 187.62100000000001, 1.8045629999999999, 0.00027530000000000002, 15.0, 14000
1489683364.289736, 184.59999999999999, 188.08600000000001, 1.8054190999999999, 0.00032513000000000003, 6.0, 400, 1489683347.6872261, 184.45699999999999, 187.96100000000001, 1.8051096, 0.00041520000000000001, 15.0, 1400, 1489683337.9311039, 184.37200000000001, 187.88800000000001, 1.8045230000000001, 0.000272, 15.0, 14000
1489683400.1633029, 184.90899999999999, 188.35400000000001, 1.80537857, 0.00034422000000000001, 6.0, 400, 1489683383.5816469, 184.76599999999999, 188.22999999999999, 1.8050710000000001, 0.00035799999999999997, 15.0, 1400, 1489683373.838311, 184.68199999999999, 188.15700000000001, 1.804503, 0.00027599999999999999, 15.0, 14000
1489683436.0579031, 185.21700000000001, 188.624, 1.80535193, 0.00033964999999999999, 6.0, 400, 1489683419.4651599, 185.07400000000001, 188.499, 1.8050489999999999, 0.00036200000000000002, 15.0, 1400, 1489683409.7211189, 184.99199999999999, 188.42599999999999, 1.8044560000000001, 0.00027500000000000002, 15.0, 14000
1489683471.9569719, 185.524, 188.89500000000001, 1.8053075000000001, 0.00039199999999999999, 6.0, 400, 1489683455.35359, 185.38200000000001, 188.76900000000001, 1.8050040000000001, 0.00040989999999999999, 15.0, 1400, 1489683445.614208, 185.29900000000001, 188.696, 1.804435, 0.00027799999999999998, 15.0, 14000
1489683507.850919, 185.83000000000001, 189.167, 1.8052744000000001, 0.00039540000000000002, 6.0, 400, 1489683491.258096, 185.68899999999999, 189.041, 1.8049580000000001, 0.00043800000000000002, 15.0, 1400, 1489683481.523279, 185.60599999999999, 188.96700000000001, 1.8044020000000001, 0.00027599999999999999, 15.0, 14000
1489683543.707186, 186.13499999999999, 189.441, 1.8052508, 0.00038489999999999998, 6.0, 400, 1489683527.1260509, 185.994, 189.315, 1.8049390000000001, 0.00042400000000000001, 15.0, 1400, 1489683517.3804071, 185.91200000000001, 189.24000000000001, 1.80437, 0.000281, 15.0, 14000
1489683579.5802679, 186.43799999999999, 189.715, 1.8052220999999999, 0.00036440000000000002, 6.0, 400, 1489683562.9934299, 186.298, 189.58799999999999, 1.8049010000000001, 0.00042400000000000001, 15.0, 1400, 1489683553.2491491, 186.21600000000001, 189.51400000000001, 1.804322, 0.00027300000000000002, 15.0, 14000
1489683615.47949, 186.74199999999999, 189.99100000000001, 1.8051834, 0.0003948, 6.0, 400, 1489683598.881974, 186.602, 189.863, 1.804872, 0.00042900000000000002, 15.0, 1400, 1489683589.132045, 186.51900000000001, 189.78899999999999, 1.8042929999999999, 0.00027930000000000001, 15.0, 14000
