# This data file was created on Thu Mar 16 16:15:47 2017
# capacitor 2-19; sample GBA120; Helium cool down with 60V bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to LOW
1489702564.854097, 150.018, 68.378, 14000.0, 1.813146, 0.000671, 15.0
1489702574.488413, 150.018, 68.466, 1400.0, 1.8137, 0.004421, 15.0
1489702590.907877, 150.017, 68.617, 400.0, 1.813838, 0.014802, 6.0
1489702600.332058, 150.017, 68.704, 14000.0, 1.81315, 0.000687, 15.0
1489702609.947935, 150.016, 68.792, 1400.0, 1.81369, 0.004399, 15.0
1489702626.39113, 150.016, 68.943, 400.0, 1.81385, 0.015232, 6.0
1489702635.823452, 150.015, 69.03, 14000.0, 1.813133, 0.000684, 15.0
1489702645.452395, 150.016, 69.116, 1400.0, 1.81371, 0.004542, 15.0
1489702661.883108, 150.016, 69.264, 400.0, 1.8139, 0.014939, 6.0
1489702671.290816, 150.016, 69.35, 14000.0, 1.813149, 0.000684, 15.0
1489702680.920361, 149.972, 69.436, 1400.0, 1.8137, 0.004685, 15.0
1489702697.352759, 149.616, 69.583, 400.0, 1.813896, 0.01543, 6.0
1489702706.776255, 149.246, 69.666, 14000.0, 1.813216, 0.0007153, 15.0
1489702716.392666, 148.762, 69.75, 1400.0, 1.813809, 0.004648, 15.0
1489702732.835448, 147.758, 69.889, 400.0, 1.81407, 0.01507, 6.0
1489702742.259619, 147.137, 69.964, 14000.0, 1.813448, 0.000708, 15.0
1489702751.868149, 146.49, 70.039, 1400.0, 1.814035, 0.00451, 15.0
1489702768.285097, 145.374, 70.16, 400.0, 1.814358, 0.014492, 6.0
1489702777.678836, 144.739, 70.227, 14000.0, 1.813701, 0.000716, 15.0
1489702787.287975, 144.091, 70.292, 1400.0, 1.81436, 0.004652, 15.0
1489702803.733058, 142.998, 70.398, 400.0, 1.814636, 0.015542, 6.0
1489702813.147049, 142.377, 70.456, 14000.0, 1.813979, 0.000729, 15.0
1489702822.746133, 141.754, 70.513, 1400.0, 1.81464, 0.004661, 15.0
1489702839.173704, 140.7, 70.604, 400.0, 1.81498, 0.014903, 6.0
1489702848.597286, 140.105, 70.654, 14000.0, 1.81422, 0.000732, 15.0
1489702858.216649, 139.502, 70.703, 1400.0, 1.814935, 0.004775, 15.0
1489702874.642498, 138.479, 70.783, 400.0, 1.81525, 0.015783, 6.0
1489702884.05912, 137.899, 70.827, 14000.0, 1.814466, 0.0007469, 15.0
1489702893.68612, 137.316, 70.87, 1400.0, 1.81518, 0.004699, 15.0
1489702910.150766, 136.327, 70.94, 400.0, 1.815531, 0.015421, 6.0
1489702919.578056, 135.77, 70.978, 14000.0, 1.814683, 0.000744, 15.0
1489702929.204033, 135.203, 71.016, 1400.0, 1.815449, 0.004576, 15.0
1489702945.639802, 134.246, 71.077, 400.0, 1.8158, 0.014572, 6.0
1489702955.063401, 133.702, 71.111, 14000.0, 1.814912, 0.000735, 15.0
1489702964.669061, 133.154, 71.144, 1400.0, 1.815694, 0.004395, 15.0
1489702981.128247, 132.227, 71.199, 400.0, 1.816049, 0.014316, 6.0
1489702990.554709, 131.7, 71.228, 14000.0, 1.815064, 0.000743, 15.0
1489703000.17916, 131.167, 71.258, 1400.0, 1.81592, 0.004339, 15.0
1489703016.635776, 130.269, 71.306, 400.0, 1.8162671, 0.0138703, 6.0
1489703026.148016, 129.758, 71.333, 14000.0, 1.815255, 0.000732, 15.0
1489703035.902268, 129.233, 71.36, 1400.0, 1.816117, 0.004241, 15.0
1489703052.50031, 128.347, 71.403, 400.0, 1.8165, 0.013916, 6.0
1489703062.041339, 127.845, 71.426, 14000.0, 1.815409, 0.000718, 15.0
1489703071.769171, 127.339, 71.45, 1400.0, 1.81629, 0.004289, 15.0
1489703088.367157, 126.481, 71.49, 400.0, 1.816694, 0.0136996, 6.0
1489703097.898233, 125.997, 71.511, 14000.0, 1.81556, 0.000703, 15.0
1489703107.652699, 125.505, 71.533, 1400.0, 1.816466, 0.004253, 15.0
1489703124.261303, 124.672, 71.568, 400.0, 1.816878, 0.013807, 6.0
1489703133.802449, 124.197, 71.587, 14000.0, 1.8157016, 0.0007167, 15.0
1489703143.557404, 123.716, 71.606, 1400.0, 1.8166, 0.004254, 15.0
1489703160.130985, 122.908, 71.638, 400.0, 1.81706, 0.013317, 6.0
1489703169.675045, 122.449, 71.656, 14000.0, 1.815847, 0.000683, 15.0
1489703179.435938, 121.983, 71.673, 1400.0, 1.816721, 0.0041079, 15.0
1489703196.022529, 121.201, 71.702, 400.0, 1.817182, 0.012813, 6.0
1489703205.558489, 120.755, 71.718, 14000.0, 1.815951, 0.0006734, 15.0
1489703215.291955, 120.307, 71.734, 1400.0, 1.816819, 0.004022, 15.0
1489703231.900907, 119.543, 71.761, 400.0, 1.817309, 0.012896, 6.0
1489703241.463303, 119.108, 71.777, 14000.0, 1.8160474, 0.0006526, 15.0
1489703251.228862, 118.666, 71.792, 1400.0, 1.816908, 0.004052, 15.0
1489703267.811656, 117.925, 71.817, 400.0, 1.817406, 0.012859, 6.0
