# This data file was created on Thu Mar 16 21:41:55 2017
# Chip ID: 2-19... Sample: GBA120... testing
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1489722136.438909, 300.002, 279.198, 14000.0, 1.799162, 0.000426, 15.0
1489722146.000363, 300.002, 279.235, 1400.0, 1.79969, 0.002316, 15.0
1489722162.355834, 300.002, 279.296, 400.0, 1.799997, 0.002942, 6.0
1489722171.702081, 300.003, 279.332, 14000.0, 1.79918, 0.000431, 15.0
1489722181.249973, 300.003, 279.367, 1400.0, 1.799687, 0.002279, 15.0
1489722197.599103, 300.003, 279.428, 400.0, 1.799983, 0.002794, 6.0
1489722206.956547, 300.003, 279.463, 14000.0, 1.799195, 0.0004219, 15.0
1489722216.5105, 300.003, 279.499, 1400.0, 1.79966, 0.00232, 15.0
1489722232.869276, 300.003, 279.559, 400.0, 1.799977, 0.00317, 6.0
1489722242.215984, 300.003, 279.594, 14000.0, 1.799182, 0.000436, 15.0
1489722251.766998, 300.004, 279.629, 1400.0, 1.799669, 0.002359, 15.0
1489722268.129805, 300.005, 279.689, 400.0, 1.799988, 0.002705, 6.0
1489722277.478918, 300.005, 279.724, 14000.0, 1.799199, 0.000435, 15.0
1489722287.02741, 300.005, 279.758, 1400.0, 1.799672, 0.002211, 15.0
1489722303.381946, 300.007, 279.818, 400.0, 1.799978, 0.002793, 6.0
1489722312.728199, 300.007, 279.853, 14000.0, 1.7991748, 0.0004243, 15.0
1489722322.277803, 300.008, 279.887, 1400.0, 1.799669, 0.002228, 15.0
1489722338.634545, 300.009, 279.946, 400.0, 1.799983, 0.002774, 6.0
1489722347.985093, 300.009, 279.981, 14000.0, 1.79919, 0.0004352, 15.0
1489722357.530226, 300.009, 280.015, 1400.0, 1.799665, 0.002269, 15.0
1489722373.892589, 300.009, 280.074, 400.0, 1.799972, 0.003116, 6.0
1489722383.252487, 300.009, 280.107, 14000.0, 1.799183, 0.000426, 15.0
