# This data file was created on Thu Mar 16 13:03:45 2017
# 50K GBA120 -60 to 60V DC bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1489691047.661557, 48.027, 26.787, 14000.0, 1.772108, 0.001448, 15.0, 0.5368698260000001
1489691057.278074, 48.377, 26.665, 1400.0, 1.7760584, 0.0014554, 15.0, 0.5368698260000001
1489691073.715726, 48.989, 26.588, 400.0, 1.778293, 0.0014834, 6.0, 0.552660115
1489691083.145382, 49.345, 26.586, 14000.0, 1.772899, 0.001523, 15.0, 2.9290986095000004
1489691092.782336, 49.673, 26.602, 1400.0, 1.77706, 0.001513, 15.0, 2.9369937540000004
1489691109.232672, 49.918, 26.633, 400.0, 1.779223, 0.001576, 6.0, 2.9448888985
1489691118.671302, 49.981, 26.646, 14000.0, 1.773482, 0.001548, 15.0, 5.463439994000001
1489691128.298722, 50.02, 26.658, 1400.0, 1.777451, 0.001545, 15.0, 5.455544849500001
1489691144.717282, 50.053, 26.677, 400.0, 1.77947, 0.0016, 6.0, 5.463439994000001
1489691154.143605, 50.061, 26.688, 14000.0, 1.773594, 0.001563, 15.0, 7.966200800500001
1489691163.750659, 50.064, 26.698, 1400.0, 1.777566, 0.001554, 15.0, 7.974095945000001
1489691180.196975, 50.061, 26.717, 400.0, 1.779535, 0.001607, 6.0, 7.974095945000001
1489691189.619201, 50.057, 26.73, 14000.0, 1.773614, 0.001557, 15.0, 10.3663247285
1489691199.243394, 50.053, 26.743, 1400.0, 1.77752, 0.001563, 15.0, 10.374219873000001
1489691215.685761, 50.045, 26.766, 400.0, 1.779541, 0.0016046, 6.0, 10.374219873000001
1489691225.099634, 50.041, 26.782, 14000.0, 1.773615, 0.001564, 15.0, 12.8927709685
1489691234.736425, 50.037, 26.797, 1400.0, 1.777573, 0.0015627, 15.0, 12.8927709685
1489691251.200585, 50.032, 26.825, 400.0, 1.7795342, 0.0016126, 6.0, 12.884875824
1489691260.628521, 50.029, 26.843, 14000.0, 1.773634, 0.001574, 15.0, 15.411322064000002
1489691270.251458, 50.027, 26.862, 1400.0, 1.77759, 0.001579, 15.0, 15.411322064000002
1489691286.707371, 50.024, 26.894, 400.0, 1.7795253, 0.001633, 6.0, 15.419217208500003
1489691296.137785, 50.023, 26.914, 14000.0, 1.773608, 0.0015663, 15.0, 17.937768304000002
1489691305.762161, 50.022, 26.935, 1400.0, 1.777586, 0.001577, 15.0, 17.9298731595
1489691322.204556, 50.02, 26.971, 400.0, 1.7795038, 0.0016616, 6.0, 17.9298731595
1489691331.639543, 50.021, 26.991, 14000.0, 1.773608, 0.001573, 15.0, 20.353682521000003
1489691341.261071, 50.02, 27.013, 1400.0, 1.777547, 0.001596, 15.0, 20.345787376500002
1489691357.687763, 50.02, 27.049, 400.0, 1.779491, 0.001711, 6.0, 20.345787376500002
1489691367.113128, 50.019, 27.07, 14000.0, 1.773576, 0.00157, 15.0, 22.880128761
1489691376.733081, 50.019, 27.092, 1400.0, 1.777519, 0.001609, 15.0, 22.880128761
1489691393.162867, 50.019, 27.128, 400.0, 1.779497, 0.0017634, 6.0, 22.888023905500003
1489691402.579629, 50.019, 27.149, 14000.0, 1.77361, 0.001579, 15.0, 25.422365290000005
1489691412.206841, 50.018, 27.171, 1400.0, 1.777503, 0.001642, 15.0, 25.430260434500003
1489691428.657906, 50.018, 27.208, 400.0, 1.7794917, 0.0018581, 6.0, 25.422365290000005
1489691438.081042, 50.019, 27.229, 14000.0, 1.773575, 0.00157, 15.0, 27.9251260965
1489691447.702418, 50.019, 27.251, 1400.0, 1.777505, 0.001672, 15.0, 27.917230952000004
1489691464.142949, 50.019, 27.289, 400.0, 1.779525, 0.0019679, 6.0, 27.917230952000004
1489691473.582999, 50.02, 27.314, 14000.0, 1.773593, 0.001577, 15.0, 30.309459735500006
1489691483.20412, 50.019, 27.34, 1400.0, 1.77756, 0.0017124, 15.0, 30.309459735500006
1489691499.643919, 50.02, 27.386, 400.0, 1.7795379, 0.0020816, 6.0, 30.301564591
1489691509.062969, 50.02, 27.413, 14000.0, 1.773647, 0.001572, 15.0, 32.835905975500005
1489691518.672104, 50.02, 27.44, 1400.0, 1.777571, 0.001751, 15.0, 32.859591409000004
1489691535.125023, 50.02, 27.486, 400.0, 1.779551, 0.002242, 6.0, 32.835905975500005
1489691544.554505, 50.02, 27.513, 14000.0, 1.773612, 0.001596, 15.0, 35.378142504500005
1489691554.232335, 50.021, 27.539, 1400.0, 1.777582, 0.001838, 15.0, 35.378142504500005
1489691570.832362, 50.021, 27.581, 400.0, 1.779564, 0.002481, 6.0, 35.39393279350001
1489691580.400073, 50.021, 27.605, 14000.0, 1.773738, 0.001599, 15.0, 37.928274178
1489691590.130658, 50.02, 27.631, 1400.0, 1.777731, 0.001864, 15.0, 37.912483889
1489691606.734696, 50.02, 27.674, 400.0, 1.779754, 0.0025772, 6.0, 37.9203790335
1489691616.283855, 50.02, 27.7, 14000.0, 1.773794, 0.001592, 15.0, 40.328398106
1489691626.050438, 50.02, 27.725, 1400.0, 1.777796, 0.001972, 15.0, 40.328398106
1489691642.66315, 50.02, 27.771, 400.0, 1.779773, 0.002942, 6.0, 40.312607817
1489691652.188299, 50.02, 27.798, 14000.0, 1.773828, 0.001605, 15.0, 42.862739490500005
1489691661.941565, 50.02, 27.826, 1400.0, 1.777773, 0.002057, 15.0, 42.839054057000006
1489691678.535403, 50.021, 27.872, 400.0, 1.779742, 0.0033623, 6.0, 42.84694920150001
1489691688.087829, 50.021, 27.9, 14000.0, 1.773836, 0.001625, 15.0, 45.365500297000004
1489691697.85081, 50.021, 27.928, 1400.0, 1.777781, 0.002159, 15.0, 45.3576051525
