# This data file was created on Thu Jul 14 18:31:02 2016
# bare cap with tpp 121 helium
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1468542690.040484, 324.043, 311.551, 100.0, 6.3, 2.03
1468542695.154442, 325.047, 311.519, 1000.0, 1.38, 1.0079
1468542698.254542, 325.632, 311.498, 10000.0, 1.273, 0.07357
1468542736.002734, 332.454, 311.366, 1000.0, 9822.5, 0.23732
1468542739.119597, 332.979, 311.366, 10000.0, 7248.1, 0.20384000000000002
1468542765.761168, 337.298, 311.369, 100.0, 9.1, 1.02
1468542770.858669, 338.096, 311.381, 1000.0, 1.429, 1.003
1468542773.9587, 338.577, 311.389, 10000.0, 1.31771, 0.07640000000000001
1468542800.616131, 342.489, 311.464, 100.0, 1.502, 0.623
1468542805.71423, 343.21, 311.49, 1000.0, 1.315, 0.07
1468542808.830467, 343.637, 311.503, 10000.0, 1.297008, 0.009891
1468542846.562702, 348.468, 311.716, 1000.0, 11331.9, 0.25499
1468542849.679308, 348.839, 311.741, 10000.0, 7738.900000000001, 0.24361000000000002
1468542876.352464, 351.245, 311.966, 100.0, 18.9, 1.46
1468542923.147366, 351.271, 312.334, 100.0, 121.87, 1.3548
1468542990.126306, 350.171, 312.795, 10000.0, 1.38, 0.01
1468543016.780363, 349.998, 312.965, 100.0, 1.4244, 0.0854
1468543030.985804, 349.96, 313.038, 10000.0, 1.369101, 0.007042
1468543068.749, 349.893, 313.218, 1000.0, 12600.0, 0.3713
1468543071.865806, 349.891, 313.229, 10000.0, 28.0, 1.57
1468543098.570286, 349.965, 313.344, 100.0, 2.02, 0.91
1468543103.700236, 349.972, 313.37, 1000.0, 12700.0, 0.322
1468543106.81638, 349.971, 313.388, 10000.0, 7720.0, 0.33930000000000005
1468543144.581429, 349.993, 313.54, 1000.0, 3.05, 2.78
1468543147.697698, 349.998, 313.551, 10000.0, 1.477, 0.26260000000000006
1468543174.371838, 350.049, 313.646, 100.0, 1.9, 1.0
1468543179.501534, 350.058, 313.667, 1000.0, 1.432, 0.127
1468543182.61749, 350.061, 313.676, 10000.0, 1.40413, 0.015134
1468543209.275589, 350.059, 313.757, 100.0, 1.474, 0.1542
1468543214.389053, 350.047, 313.777, 1000.0, 1.41479, 0.024640000000000002
1468543217.505085, 350.042, 313.789, 10000.0, 1.395581, 0.007227000000000001
1468543244.162837, 350.034, 313.863, 100.0, 1.44414, 0.06057
1468543249.276985, 350.029, 313.883, 1000.0, 1.406882, 0.014947
1468543252.393305, 350.019, 313.89, 10000.0, 1.392504, 0.005537
1468543279.066432, 350.01, 313.968, 100.0, 1.43428, 0.041600000000000005
1468543284.19685, 350.012, 313.977, 1000.0, 1.404055, 0.01288
1468543287.313152, 350.0, 313.986, 10000.0, 7490.0, 0.359
1468543325.047221, 349.957, 314.071, 1000.0, 13972.9, 0.35462
1468543328.163217, 349.958, 314.084, 10000.0, -100.0, 0.0
1468543354.851086, 350.021, 314.133, 100.0, 3.19, 1.72
1468543369.027356, 350.037, 314.168, 10000.0, 1.4621, 0.0225
1468543395.700611, 350.053, 314.233, 100.0, 1.573, 0.2358
1468543400.830659, 350.05, 314.244, 1000.0, 1.47885, 0.039130000000000005
1468543403.94754, 350.047, 314.246, 10000.0, 1.452829, 0.009813
1468543430.621803, 350.036, 314.283, 100.0, 1.5179, 0.0852
1468543435.751566, 350.028, 314.295, 1000.0, 1.46814, 0.020399999999999998
1468543438.867943, 350.023, 314.305, 10000.0, 1.44957, 0.00876
1468543465.572936, 350.025, 314.35, 100.0, 1.50532, 0.05768
1468543470.703246, 350.018, 314.343, 1000.0, 1.464, 0.0234
1468543473.81905, 350.019, 314.348, 10000.0, 1.446952, 0.006752500000000001
1468543500.477723, 350.006, 314.394, 100.0, 1.49829, 0.04818
1468543505.591742, 350.006, 314.405, 1000.0, 1.4585, 0.0156
1468543508.708086, 350.013, 314.414, 10000.0, 1.44331, 0.0066
1468543535.39797, 350.026, 314.451, 100.0, 1.49784, 0.044605
1468543549.57398, 350.001, 314.461, 10000.0, 1.577, 0.115
1468543576.36088, 350.004, 314.484, 100.0, 1.553, 0.09609999999999999
1468543581.490815, 350.01, 314.491, 1000.0, 1.477, 0.020649999999999998
1468543584.623449, 350.006, 314.492, 10000.0, 1.45469, 0.00735
1468543611.473482, 349.996, 314.527, 100.0, 1.5229, 0.0643
1468543616.603252, 350.005, 314.531, 1000.0, 1.47102, 0.016870000000000003
1468543619.735884, 350.011, 314.53, 10000.0, 1.4532, 0.0068
1468543646.554326, 349.999, 314.561, 100.0, 1.5076, 0.04937
1468543651.700362, 350.013, 314.565, 1000.0, 1.444, 0.108
1468543654.816623, 350.013, 314.57, 10000.0, 1.456939, 0.006893
1468543681.650587, 350.004, 314.593, 100.0, 1.5043, 0.04539
1468543686.796609, 350.006, 314.6, 1000.0, 1.46685, 0.013730000000000001
1468543689.912783, 350.008, 314.601, 10000.0, 1.45113, 0.005823000000000001
1468543716.778834, 350.184, 314.68, 100.0, 1.500882, 0.043482
1468543721.893473, 350.197, 314.692, 1000.0, 1.465341, 0.013616
1468543725.009601, 350.202, 314.699, 10000.0, 1.45083, 0.00575
1468543751.890965, 350.19, 314.765, 100.0, 1.498305, 0.041477
1468543757.021112, 350.181, 314.778, 1000.0, 1.464469, 0.013233
