# This data file was created on Fri Aug 26 10:47:05 2016
# GBA 121 cooldown
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1472230053.43229, 330.0, 313.497, 100.0, 1.378564, 0.005084
1472230058.526203, 330.0, 313.497, 1000.0, 1.37304, 0.0022719999999999997
1472230061.639749, 329.968, 313.497, 10000.0, 1.369839, 0.0013640000000000002
1472230088.270129, 329.47, 313.496, 100.0, 1.378386, 0.0049579
1472230093.364088, 329.374, 313.496, 1000.0, 1.3728833, 0.00220696
1472230096.461921, 329.315, 313.496, 10000.0, 1.369744, 0.001342
1472230123.122038, 328.821, 313.492, 100.0, 1.377969, 0.004672
1472230128.219478, 328.727, 313.491, 1000.0, 1.372694, 0.0021160000000000003
1472230131.335379, 328.67, 313.49, 10000.0, 1.369642, 0.0013157000000000002
1472230158.00619, 328.194, 313.48, 100.0, 1.377568, 0.004407
1472230163.119774, 328.105, 313.477, 1000.0, 1.372506, 0.002047
1472230166.235525, 328.05, 313.476, 10000.0, 1.369546, 0.001268
1472230192.890376, 327.591, 313.46, 100.0, 1.377193, 0.00417
1472230198.003804, 327.505, 313.456, 1000.0, 1.372325, 0.001983
1472230201.119735, 327.452, 313.454, 10000.0, 1.369442, 0.001251
1472230227.791072, 327.013, 313.433, 100.0, 1.376859, 0.0039581
1472230232.888668, 326.929, 313.428, 1000.0, 1.3721714, 0.0019135
1472230236.004794, 326.879, 313.425, 10000.0, 1.369361, 0.001238
1472230262.695299, 326.454, 313.399, 100.0, 1.3765495, 0.0037656
1472230267.808934, 326.374, 313.393, 1000.0, 1.371999, 0.0018560000000000002
1472230270.925039, 326.326, 313.39, 10000.0, 1.369284, 0.0012050000000000001
1472230297.615851, 325.917, 313.358, 100.0, 1.376242, 0.0035946
1472230302.729231, 325.84, 313.352, 1000.0, 1.371854, 0.001794
1472230305.845332, 325.793, 313.348, 10000.0, 1.369172, 0.001192
1472230332.567667, 325.399, 313.312, 100.0, 1.3759902, 0.0034456000000000005
1472230337.713518, 325.324, 313.305, 1000.0, 1.371743, 0.0017569999999999999
1472230340.829751, 325.279, 313.301, 10000.0, 1.369088, 0.0011690000000000001
1472230367.599959, 324.898, 313.261, 100.0, 1.3757364, 0.0033105
1472230372.713969, 324.826, 313.253, 1000.0, 1.371617, 0.001708
1472230375.846381, 324.781, 313.248, 10000.0, 1.369028, 0.001145
1472230402.616285, 324.413, 313.205, 100.0, 1.375499, 0.0031764000000000002
1472230407.762163, 324.343, 313.197, 1000.0, 1.371501, 0.00166
1472230410.878466, 324.301, 313.191, 10000.0, 1.36897, 0.001129
1472230437.631178, 323.945, 313.144, 100.0, 1.3752926, 0.0030661
1472230442.760978, 323.878, 313.135, 1000.0, 1.371398, 0.001621
1472230445.893273, 323.838, 313.13, 10000.0, 1.368886, 0.001119
1472230472.679422, 323.493, 313.08, 100.0, 1.3750935, 0.0029581
1472230477.809315, 323.428, 313.07, 1000.0, 1.371282, 0.0015860000000000002
1472230480.941572, 323.389, 313.064, 10000.0, 1.368829, 0.001091
1472230507.727887, 323.057, 313.012, 100.0, 1.3749074, 0.0028645999999999997
1472230512.85782, 322.995, 313.001, 1000.0, 1.371179, 0.001562
1472230515.990148, 322.957, 312.995, 10000.0, 1.368771, 0.001085
1472230542.727769, 322.636, 312.94, 100.0, 1.374742, 0.002779
1472230547.857992, 322.576, 312.93, 1000.0, 1.371091, 0.001531
1472230550.97435, 322.539, 312.923, 10000.0, 1.368729, 0.001069
1472230577.71262, 322.229, 312.866, 100.0, 1.374569, 0.0027010000000000003
1472230582.858397, 322.171, 312.855, 1000.0, 1.371007, 0.001492
1472230585.974745, 322.136, 312.848, 10000.0, 1.368674, 0.0010600000000000002
1472230612.728561, 321.836, 312.789, 100.0, 1.374418, 0.00263
1472230617.874597, 321.779, 312.777, 1000.0, 1.370917, 0.001477
1472230620.97484, 321.745, 312.77, 10000.0, 1.368603, 0.001056
1472230647.728924, 321.455, 312.709, 100.0, 1.374279, 0.0025525
1472230652.874884, 321.401, 312.697, 1000.0, 1.370845, 0.001451
1472230656.023187, 321.367, 312.69, 10000.0, 1.368547, 0.001031
1472230682.74541, 321.087, 312.628, 100.0, 1.374133, 0.0025063
1472230687.907376, 321.034, 312.615, 1000.0, 1.37078, 0.001433
1472230691.023503, 321.001, 312.608, 10000.0, 1.368513, 0.00102
1472230717.826247, 320.729, 312.543, 100.0, 1.374009, 0.0024381
1472230722.972256, 320.678, 312.531, 1000.0, 1.3707, 0.0014039999999999999
1472230726.056452, 320.647, 312.523, 10000.0, 1.368476, 0.001011
1472230752.778763, 320.384, 312.458, 100.0, 1.3738847, 0.0023807999999999998
1472230757.909348, 320.335, 312.445, 1000.0, 1.370651, 0.0013859999999999999
1472230761.041446, 320.304, 312.437, 10000.0, 1.368438, 0.001002
1472230787.811818, 320.049, 312.37, 100.0, 1.3737793, 0.0023336000000000003
1472230792.925754, 320.001, 312.357, 1000.0, 1.37059, 0.0013740000000000002
1472230796.058053, 319.971, 312.35, 10000.0, 1.368362, 0.0009883
1472230822.796575, 319.724, 312.282, 100.0, 1.3736722, 0.0022890000000000002
