# This data file was created on Mon Aug 29 10:49:47 2016
# GBA 121 cooldown to test some stuff with dc bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1472489414.907271, 330.0, 313.535, 100.0, 1.347214, 0.0032764
1472489420.037268, 330.0, 313.535, 1000.0, 1.343419, 0.00158
1472489423.153038, 330.0, 313.535, 10000.0, 1.341219, 0.0010149999999999998
1472489449.824672, 330.0, 313.535, 100.0, 1.347217, 0.003281
1472489454.970567, 330.0, 313.535, 1000.0, 1.343428, 0.00159
1472489458.102798, 330.0, 313.535, 10000.0, 1.341227, 0.001019
1472489484.791193, 329.649, 313.535, 100.0, 1.347161, 0.0032437
1472489489.888644, 329.552, 313.535, 1000.0, 1.343376, 0.001565
1472489493.004874, 329.493, 313.535, 10000.0, 1.341165, 0.001009
1472489519.677581, 328.992, 313.532, 100.0, 1.346915, 0.0030937
1472489524.807341, 328.898, 313.531, 1000.0, 1.343253, 0.001526
1472489527.939351, 328.839, 313.53, 10000.0, 1.34111, 0.000987
1472489554.628124, 328.355, 313.521, 100.0, 1.346661, 0.002942
1472489559.757768, 328.263, 313.519, 1000.0, 1.343146, 0.001472
1472489562.873734, 328.208, 313.518, 10000.0, 1.341026, 0.0009839999999999998
1472489589.546471, 327.743, 313.502, 100.0, 1.346204, 0.00263
1472489594.659997, 327.655, 313.499, 1000.0, 1.342992, 0.001371
1472489597.776515, 327.602, 313.497, 10000.0, 1.340949, 0.0009379999999999999
1472489624.449344, 327.154, 313.476, 100.0, 1.346103, 0.0025429
1472489629.579025, 327.07, 313.471, 1000.0, 1.342899, 0.001358
1472489632.711017, 327.019, 313.468, 10000.0, 1.340877, 0.000937
1472489659.383975, 326.587, 313.442, 100.0, 1.345966, 0.0025371
1472489664.497931, 326.506, 313.437, 1000.0, 1.342798, 0.0013380000000000002
1472489667.613921, 326.457, 313.434, 10000.0, 1.340796, 0.000918
1472489694.270464, 326.043, 313.402, 100.0, 1.3457692, 0.0024147
1472489699.384252, 325.965, 313.396, 1000.0, 1.3426815, 0.0013067999999999999
1472489702.516384, 325.917, 313.392, 10000.0, 1.340728, 0.000899
1472489729.204442, 325.517, 313.356, 100.0, 1.345569, 0.002305
