# This data file was created on Tue Aug 30 12:57:39 2016
# GBA 121 cooldown to test some stuff with dc bias 2
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1472583486.741863, 80.127, 41.838, 100.0, 1.312899, 0.000215
1472583491.870959, 80.121, 41.832, 1000.0, 1.312488, 0.000312
1472583494.98662, 80.117, 41.83, 10000.0, 1.311902, 0.000589
1472583521.671778, 80.078, 41.797, 100.0, 1.312919, 0.00025
1472583526.784816, 80.07, 41.787, 1000.0, 1.312495, 0.000308
1472583529.900625, 80.066, 41.78, 10000.0, 1.3119028, 0.0005866
1472583556.586119, 80.027, 41.738, 100.0, 1.3128, 0.00027299999999999997
1472583561.715348, 80.021, 41.721, 1000.0, 1.312492, 0.000301
1472583564.830978, 80.017, 41.71, 10000.0, 1.311899, 0.000592
1472583591.516617, 79.991, 41.648, 100.0, 1.312874, 0.000236
1472583596.645448, 79.987, 41.638, 1000.0, 1.312433, 0.000309
1472583599.7453, 79.985, 41.628, 10000.0, 1.311854, 0.0005949999999999999
1472583626.430666, 79.973, 41.565, 100.0, 1.312864, 0.00022799999999999999
1472583631.543437, 79.973, 41.559, 1000.0, 1.31245, 0.00029499999999999996
1472583634.659111, 79.972, 41.558, 10000.0, 1.311843, 0.0005909999999999999
1472583661.313257, 79.971, 41.494, 100.0, 1.312916, 0.000226
1472583666.44225, 79.971, 41.485, 1000.0, 1.312452, 0.000307
1472583669.573993, 79.971, 41.477, 10000.0, 1.311831, 0.0005909999999999999
1472583696.227259, 79.976, 41.407, 100.0, 1.312804, 0.000245
1472583701.356167, 79.977, 41.402, 1000.0, 1.312407, 0.000316
1472583704.471907, 79.977, 41.401, 10000.0, 1.311827, 0.000594
1472583731.157163, 79.983, 41.341, 100.0, 1.312877, 0.000242
1472583736.285627, 79.984, 41.33, 1000.0, 1.31238, 0.00031999999999999997
1472583739.39768, 79.985, 41.322, 10000.0, 1.311819, 0.000593
1472583766.073946, 79.989, 41.264, 100.0, 1.312801, 0.000235
1472583771.185434, 79.989, 41.26, 1000.0, 1.312413, 0.000323
1472583774.301277, 79.99, 41.251, 10000.0, 1.311801, 0.000593
1472583800.987326, 79.992, 41.185, 100.0, 1.312789, 0.00027
