# This data file was created on Mon Mar 27 17:16:33 2017
# Chip ID: 2-20... Sample: GBA122... Helium cooldown with new fancy probes
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1490656617.567364, 300.001, 297.496, 14000.0, 1.71051, 0.00013, 15.0
1490656628.762803, 300.001, 297.497, 1400.0, 1.710847, 0.000204, 15.0
1490656646.946741, 300.001, 297.499, 400.0, 1.7110575, 0.0002393, 6.0
1490656653.886959, 300.0, 297.5, 14000.0, 1.71049, 0.00022, 15.0
1490656665.083382, 300.001, 297.501, 1400.0, 1.710843, 0.000205, 15.0
1490656683.289916, 300.001, 297.503, 400.0, 1.7110556, 0.0002375, 6.0
1490656690.249424, 300.001, 297.503, 14000.0, 1.71042, 0.00012, 15.0
1490656701.465837, 300.001, 297.505, 1400.0, 1.710816, 0.000215, 15.0
1490656719.685116, 300.001, 297.507, 400.0, 1.711052, 0.0002376, 6.0
1490656726.661651, 300.001, 297.508, 14000.0, 1.71054, 0.00018, 15.0
1490656737.875988, 300.0, 297.509, 1400.0, 1.710859, 0.000207, 15.0
1490656756.126505, 300.001, 297.51, 400.0, 1.7110576, 0.0002379, 6.0
1490656763.053277, 300.001, 297.511, 14000.0, 1.710342, 0.000237, 15.0
1490656774.26832, 300.001, 297.512, 1400.0, 1.710835, 0.0002162, 15.0
1490656792.503145, 300.001, 297.514, 400.0, 1.7110501, 0.000237, 6.0
1490656799.431564, 300.001, 297.515, 14000.0, 1.71036, 0.00013, 15.0
1490656810.645954, 300.0, 297.516, 1400.0, 1.710856, 0.000198, 15.0
1490656828.883468, 300.0, 297.518, 400.0, 1.7110433, 0.0002408, 6.0
1490656835.87461, 300.0, 297.519, 14000.0, 1.71043, 0.000245, 15.0
1490656847.105235, 300.0, 297.52, 1400.0, 1.710824, 0.000203, 15.0
1490656865.295026, 300.001, 297.521, 400.0, 1.711048, 0.0002379, 6.0
1490656872.270712, 300.001, 297.522, 14000.0, 1.7103, 0.00017, 15.0
1490656883.48473, 300.0, 297.524, 1400.0, 1.710802, 0.000212, 15.0
