# This data file was created on Mon Mar 27 19:09:00 2017
# Chip ID: 2-20... Sample: GBA122... Helium cooldown with new fancy probes... Frequencies: 400Hz, 1400Hz, 14000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1490656646.9467411, 300.00099999999998, 297.49900000000002, 1.7110574999999999, 0.00023929999999999999, 6.0, 400, 1490656628.7628031, 300.00099999999998, 297.49700000000001, 1.710847, 0.000204, 15.0, 1400, 1490656617.567364, 300.00099999999998, 297.49599999999998, 1.71051, 0.00012999999999999999, 15.0, 14000
1490656683.289916, 300.00099999999998, 297.50299999999999, 1.7110555999999999, 0.0002375, 6.0, 400, 1490656665.0833819, 300.00099999999998, 297.50099999999998, 1.7108429999999999, 0.000205, 15.0, 1400, 1490656653.8869591, 300.0, 297.5, 1.7104900000000001, 0.00022000000000000001, 15.0, 14000
1490656719.6851161, 300.00099999999998, 297.50700000000001, 1.711052, 0.0002376, 6.0, 400, 1490656701.465837, 300.00099999999998, 297.505, 1.7108159999999999, 0.00021499999999999999, 15.0, 1400, 1490656690.249424, 300.00099999999998, 297.50299999999999, 1.7104200000000001, 0.00012, 15.0, 14000
1490656756.1265049, 300.00099999999998, 297.50999999999999, 1.7110576, 0.00023790000000000001, 6.0, 400, 1490656737.875988, 300.0, 297.50900000000001, 1.7108589999999999, 0.00020699999999999999, 15.0, 1400, 1490656726.6616509, 300.00099999999998, 297.50799999999998, 1.7105399999999999, 0.00018000000000000001, 15.0, 14000
1490656792.503145, 300.00099999999998, 297.51400000000001, 1.7110501, 0.00023699999999999999, 6.0, 400, 1490656774.2683201, 300.00099999999998, 297.512, 1.7108350000000001, 0.0002162, 15.0, 1400, 1490656763.053277, 300.00099999999998, 297.51100000000002, 1.710342, 0.00023699999999999999, 15.0, 14000
1490656828.8834679, 300.0, 297.51799999999997, 1.7110433, 0.0002408, 6.0, 400, 1490656810.6459539, 300.0, 297.51600000000002, 1.7108559999999999, 0.00019799999999999999, 15.0, 1400, 1490656799.4315641, 300.00099999999998, 297.51499999999999, 1.7103600000000001, 0.00012999999999999999, 15.0, 14000
1490656865.2950261, 300.00099999999998, 297.52100000000002, 1.7110479999999999, 0.00023790000000000001, 6.0, 400, 1490656847.1052351, 300.0, 297.51999999999998, 1.7108239999999999, 0.000203, 15.0, 1400, 1490656835.8746099, 300.0, 297.51900000000001, 1.7104299999999999, 0.00024499999999999999, 15.0, 14000
1490656901.6894131, 300.00099999999998, 297.52499999999998, 1.7110342999999999, 0.00023949999999999999, 6.0, 400, 1490656883.48473, 300.0, 297.524, 1.7108019999999999, 0.000212, 15.0, 1400, 1490656872.2707119, 300.00099999999998, 297.52199999999999, 1.7102999999999999, 0.00017000000000000001, 15.0, 14000
1490656938.1636169, 300.00099999999998, 297.529, 1.711036, 0.00024020000000000001, 6.0, 400, 1490656919.9110119, 300.0, 297.52699999999999, 1.710844, 0.00020699999999999999, 15.0, 1400, 1490656908.6653481, 300.00099999999998, 297.52600000000001, 1.7104600000000001, 0.00021000000000000001, 15.0, 14000
1490656974.6412179, 300.0, 297.53300000000002, 1.7110540000000001, 0.00023699999999999999, 6.0, 400, 1490656956.353405, 300.00099999999998, 297.53100000000001, 1.7108140000000001, 0.00020799999999999999, 15.0, 1400, 1490656945.1064711, 300.00099999999998, 297.52999999999997, 1.7103600000000001, 0.00025000000000000001, 15.0, 14000
1490657011.2117281, 300.00099999999998, 297.53399999999999, 1.713454, 0.00022819999999999999, 6.0, 400, 1490656992.927084, 300.0, 297.53399999999999, 1.710836, 0.00020599999999999999, 15.0, 1400, 1490656981.630816, 300.0, 297.53300000000002, 1.7102999999999999, 0.00016000000000000001, 15.0, 14000
1490657047.830775, 299.91199999999998, 297.51999999999998, 1.7134499999999999, 0.00024459999999999998, 6.0, 400, 1490657029.5456929, 299.959, 297.52800000000002, 1.713233, 0.00020430000000000001, 15.0, 1400, 1490657018.2847581, 299.988, 297.53199999999998, 1.7128099999999999, 0.00013999999999999999, 15.0, 14000
1490657084.402658, 299.81999999999999, 297.50200000000001, 1.7134659999999999, 0.00024159999999999999, 6.0, 400, 1490657066.133321, 299.86599999999999, 297.51100000000002, 1.7132309999999999, 0.00020540000000000001, 15.0, 1400, 1490657054.8540881, 299.89400000000001, 297.51600000000002, 1.71285, 0.00015200000000000001, 15.0, 14000
1490657120.9574411, 299.733, 297.483, 1.7134317999999999, 0.00023470000000000001, 6.0, 400, 1490657102.6560941, 299.77600000000001, 297.49299999999999, 1.7132339999999999, 0.00020900000000000001, 15.0, 1400, 1490657091.3936269, 299.803, 297.49900000000002, 1.7128099999999999, 0.00011, 15.0, 14000
1490657157.4800169, 299.649, 297.46199999999999, 1.7134480000000001, 0.00024459999999999998, 6.0, 400, 1490657139.1960559, 299.69, 297.47300000000001, 1.713228, 0.000205, 15.0, 1400, 1490657127.9333379, 299.71699999999998, 297.47899999999998, 1.71282, 0.00012, 15.0, 14000
1490657194.0343471, 299.56799999999998, 297.41699999999997, 1.713441, 0.00023929999999999999, 6.0, 400, 1490657175.7658811, 299.60899999999998, 297.44999999999999, 1.7131959999999999, 0.00020799999999999999, 15.0, 1400, 1490657164.471796, 299.63299999999998, 297.45800000000003, 1.7126600000000001, 0.00019000000000000001, 15.0, 14000
1490657230.573993, 299.47899999999998, 296.077, 1.7134290000000001, 0.00023350000000000001, 6.0, 400, 1490657212.3055301, 299.52800000000002, 297.21600000000001, 1.7131970000000001, 0.0002107, 15.0, 1400, 1490657201.0427041, 299.553, 297.37900000000002, 1.7129000000000001, 0.00016000000000000001, 15.0, 14000
1490657267.1269691, 299.19799999999998, 283.875, 1.7134745, 0.0002375, 6.0, 400, 1490657248.8594501, 299.392, 292.14499999999998, 1.7132270000000001, 0.000184, 15.0, 1400, 1490657237.581079, 299.45400000000001, 295.02499999999998, 1.71288, 0.00017000000000000001, 15.0, 14000
1490657303.7191551, 298.21699999999998, 259.90899999999999, 1.7134689999999999, 0.0002253, 6.0, 400, 1490657285.4142399, 298.82100000000003, 272.387, 1.7132799999999999, 0.000204, 15.0, 1400, 1490657274.1517689, 299.07900000000001, 279.74000000000001, 1.7128099999999999, 0.00012999999999999999, 15.0, 14000
1490657340.2606759, 296.31099999999998, 235.078, 1.7133685999999999, 0.00022020000000000001, 6.0, 400, 1490657321.975574, 297.37700000000001, 247.376, 1.713214, 0.00019100000000000001, 15.0, 1400, 1490657310.6954811, 297.92200000000003, 255.08199999999999, 1.7127699999999999, 0.00012, 15.0, 14000
1490657376.8510799, 293.601, 211.821, 1.713265, 0.00021499999999999999, 6.0, 400, 1490657358.531528, 295.04399999999998, 223.20500000000001, 1.7131110000000001, 0.000184, 15.0, 1400, 1490657347.2691801, 295.846, 230.499, 1.7125900000000001, 0.00018000000000000001, 15.0, 14000
1490657413.4429319, 290.267, 190.52199999999999, 1.7131361000000001, 0.00019120000000000001, 6.0, 400, 1490657395.137898, 292.005, 200.91900000000001, 1.7130050000000001, 0.00018799999999999999, 15.0, 1400, 1490657383.859817, 293.00400000000002, 207.55600000000001, 1.71251, 0.00017000000000000001, 15.0, 14000
