# This data file was created on Mon Mar 27 11:33:18 2017
# 
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1490636022.47329, 300.021, 297.586, 14000.0, 1.692704, 0.000199, 15.0, 0.552660115
1490636033.764157, 300.013, 297.586, 1400.0, 1.692973, 9.17e-05, 15.0, 0.5447649705000001
1490636052.092813, 300.002, 297.587, 400.0, 1.6930979, 0.0001024, 6.0, 0.552660115
1490636059.115324, 299.998, 297.588, 14000.0, 1.69291, 9e-05, 15.0, 5.455544849500001
1490636070.421352, 299.993, 297.588, 1400.0, 1.692984, 0.000101, 15.0, 5.463439994000001
1490636088.715684, 299.986, 297.589, 400.0, 1.693115, 9.98e-05, 6.0, 5.455544849500001
1490636095.771513, 299.985, 297.589, 14000.0, 1.6929, 0.00016, 15.0, 10.374219873000001
1490636107.047532, 299.982, 297.589, 1400.0, 1.693017, 9.3e-05, 15.0, 10.374219873000001
1490636125.343888, 299.981, 297.59, 400.0, 1.69313, 0.0001, 6.0, 10.3663247285
1490636132.350674, 299.981, 297.59, 14000.0, 1.69284, 1e-05, 15.0, 15.411322064000002
1490636143.641971, 299.981, 297.591, 1400.0, 1.69301, 9.9e-05, 15.0, 15.419217208500003
1490636161.961397, 299.983, 297.592, 400.0, 1.693152, 0.0001, 6.0, 15.419217208500003
1490636168.986565, 299.984, 297.592, 14000.0, 1.69295, 8e-05, 15.0, 20.353682521000003
1490636180.29487, 299.986, 297.593, 1400.0, 1.69302, 0.000101, 15.0, 20.353682521000003
1490636198.611877, 299.989, 297.594, 400.0, 1.6931735, 0.0001035, 6.0, 20.353682521000003
1490636205.63534, 299.99, 297.594, 14000.0, 1.69299, 0.000106, 15.0, 25.430260434500003
1490636216.947465, 299.992, 297.595, 1400.0, 1.69305, 0.000109, 15.0, 25.430260434500003
1490636235.24325, 299.996, 297.596, 400.0, 1.693185, 0.0001021, 6.0, 25.430260434500003
1490636242.2643, 299.997, 297.597, 14000.0, 1.69287, 1e-05, 15.0, 30.309459735500006
1490636253.577156, 299.999, 297.597, 1400.0, 1.69306, 9.6e-05, 15.0, 30.309459735500006
1490636271.879182, 300.001, 297.599, 400.0, 1.6931973, 9.92e-05, 6.0, 30.309459735500006
1490636278.901601, 300.002, 297.599, 14000.0, 1.69277, 1e-05, 15.0, 35.386037649
1490636290.196925, 300.003, 297.6, 1400.0, 1.693095, 0.000104, 15.0, 35.39393279350001
1490636308.530287, 300.004, 297.602, 400.0, 1.693213, 0.0001027, 6.0, 35.39393279350001
1490636315.588516, 300.005, 297.602, 14000.0, 1.69281, 1e-05, 15.0, 40.344188395
1490636326.914444, 300.005, 297.603, 1400.0, 1.6931, 0.0001065, 15.0, 40.344188395
1490636345.226293, 300.006, 297.605, 400.0, 1.6932279, 0.000103, 6.0, 40.336293250500006
1490636352.266715, 300.005, 297.605, 14000.0, 1.69301, 0.00014, 15.0, 45.404976019500005
1490636363.560876, 300.005, 297.606, 1400.0, 1.693119, 0.0001035, 15.0, 45.404976019500005
1490636381.912588, 300.005, 297.608, 400.0, 1.693247, 0.0001057, 6.0, 45.404976019500005
1490636388.96421, 300.004, 297.609, 14000.0, 1.69282, 0.0002, 15.0, 50.33154618750001
1490636400.280654, 300.004, 297.609, 1400.0, 1.693115, 8.3e-05, 15.0, 50.339441332
1490636418.630376, 300.003, 297.611, 400.0, 1.6932695, 0.0001073, 6.0, 50.3157558985
1490636425.701942, 300.003, 297.611, 14000.0, 1.69281, 0.00017, 15.0, 55.447599823500006
1490636437.128002, 300.003, 297.613, 1400.0, 1.693149, 0.000105, 15.0, 55.439704679
1490636455.622901, 300.002, 297.614, 400.0, 1.6932768, 0.0001075, 6.0, 55.439704679
1490636462.800737, 300.002, 297.615, 14000.0, 1.69304, 6.4e-05, 15.0, 60.41364571400001
1490636474.1722, 300.001, 297.616, 1400.0, 1.69315, 0.000105, 15.0, 60.40575056950001
1490636492.633709, 300.001, 297.618, 400.0, 1.693298, 0.0001088, 6.0, 60.41364571400001
1490636499.738498, 300.001, 297.618, 14000.0, 1.69295, 0.00019, 15.0, 60.41364571400001
1490636511.13416, 300.0, 297.619, 1400.0, 1.693175, 0.0001041, 15.0, 60.41364571400001
1490636529.606358, 300.0, 297.621, 400.0, 1.6933128, 0.0001103, 6.0, 60.41364571400001
1490636536.726582, 300.0, 297.622, 14000.0, 1.69285, 0.0, 15.0, 55.439704679
1490636548.160567, 300.0, 297.623, 1400.0, 1.69317, 0.000103, 15.0, 55.439704679
1490636566.629667, 300.0, 297.625, 400.0, 1.6933254, 0.0001157, 6.0, 55.439704679
1490636573.782276, 300.0, 297.625, 14000.0, 1.69311, 0.000136, 15.0, 50.323651043000005
1490636585.217248, 300.0, 297.626, 1400.0, 1.693188, 0.000112, 15.0, 50.33154618750001
1490636603.710816, 300.0, 297.628, 400.0, 1.6933336, 0.0001102, 6.0, 50.323651043000005
1490636610.882645, 300.0, 297.629, 14000.0, 1.693115, 7.7e-05, 15.0, 45.404976019500005
1490636622.302409, 300.0, 297.63, 1400.0, 1.693198, 0.00011, 15.0, 45.404976019500005
1490636640.741176, 300.0, 297.632, 400.0, 1.693342, 0.0001148, 6.0, 45.404976019500005
1490636647.835275, 300.0, 297.633, 14000.0, 1.6929, 0.00019, 15.0, 40.344188395
1490636659.220855, 300.0, 297.634, 1400.0, 1.693218, 9.9e-05, 15.0, 40.336293250500006
1490636677.604946, 300.0, 297.636, 400.0, 1.6933584, 0.0001121, 6.0, 40.336293250500006
1490636684.709156, 300.001, 297.636, 14000.0, 1.69281, 0.00011, 15.0, 35.39393279350001
1490636696.115838, 300.001, 297.638, 1400.0, 1.693227, 0.0001082, 15.0, 35.386037649
1490636714.545435, 300.001, 297.639, 400.0, 1.6933665, 0.0001152, 6.0, 35.401827938000004
1490636721.689043, 300.001, 297.64, 14000.0, 1.69288, 0.00018, 15.0, 30.317354880000003
1490636733.08624, 300.001, 297.641, 1400.0, 1.693247, 0.000116, 15.0, 30.317354880000003
1490636751.532215, 300.001, 297.643, 400.0, 1.6933745, 0.0001138, 6.0, 30.309459735500006
1490636758.670836, 300.001, 297.644, 14000.0, 1.69303, 1e-05, 15.0, 25.422365290000005
1490636770.105758, 300.001, 297.645, 1400.0, 1.693257, 0.000108, 15.0, 25.438155579000004
1490636788.526699, 300.001, 297.647, 400.0, 1.69339218, 0.00011805, 6.0, 25.438155579000004
1490636795.67258, 300.001, 297.648, 14000.0, 1.69311, 0.000189, 15.0, 20.353682521000003
1490636807.11907, 300.001, 297.649, 1400.0, 1.693258, 0.00011, 15.0, 20.361577665500004
1490636825.589716, 300.001, 297.651, 400.0, 1.6934017, 0.0001199, 6.0, 20.345787376500002
1490636832.701965, 300.001, 297.651, 14000.0, 1.69311, 0.00019, 15.0, 15.411322064000002
1490636844.118965, 300.001, 297.652, 1400.0, 1.6932765, 0.0001133, 15.0, 15.411322064000002
1490636862.599023, 300.001, 297.655, 400.0, 1.6934127, 0.0001186, 6.0, 15.419217208500003
1490636869.738347, 300.001, 297.655, 14000.0, 1.69293, 0.00017, 15.0, 10.3663247285
1490636881.141006, 300.001, 297.656, 1400.0, 1.693262, 0.000121, 15.0, 10.3663247285
