# This data file was created on Tue Mar 28 11:34:09 2017
# Chip ID: 2-20... Sample: GBA122... Cooling with liquid nitro for DC measurements
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1490722473.381761, 326.293, 316.712, 12000.0, 0.097139, 8e-05, 15.0
1490722484.591635, 325.986, 316.617, 1400.0, 0.097108, 6e-05, 15.0
1490722502.812183, 325.501, 316.462, 400.0, 0.0971061, -3e-05, 6.0
1490722509.690358, 325.322, 316.403, 12000.0, 0.097124, 0.0002, 15.0
1490722520.920031, 325.034, 316.305, 1400.0, 0.097112, -3e-05, 15.0
1490722539.106409, 324.578, 316.145, 400.0, 0.0970996, -3.2e-05, 6.0
1490722545.968531, 324.41, 316.085, 12000.0, 0.097095, 0.00021, 15.0
1490722557.181877, 324.142, 315.986, 1400.0, 0.097114, 1e-05, 15.0
1490722575.365935, 323.714, 315.824, 400.0, 0.0970938, -3.9e-05, 6.0
1490722582.278346, 323.556, 315.763, 12000.0, 0.097092, 0.00024, 15.0
1490722593.456376, 323.303, 315.662, 1400.0, 0.09711, 0.0, 15.0
1490722611.628695, 322.904, 315.499, 400.0, 0.097087, -3.5e-05, 6.0
1490722618.538613, 322.756, 315.436, 12000.0, 0.097093, 0.00027, 15.0
1490722629.718417, 322.518, 315.336, 1400.0, 0.097094, 7e-05, 15.0
1490722647.954635, 322.14, 315.171, 400.0, 0.0970884, -4e-05, 6.0
1490722654.833365, 322.0, 315.109, 12000.0, 0.05432, 0.0, 15.0
1490722666.046092, 321.776, 315.008, 1400.0, 0.053824, -0.00031, 15.0
1490722684.236613, 321.392, 314.828, 400.0, 0.0538093, -5.7e-05, 6.0
1490722691.162771, 321.241, 314.758, 12000.0, 0.07222, 0.00041, 15.0
1490722702.378358, 320.997, 314.647, 1400.0, 0.073075, -0.00012, 15.0
1490722720.568057, 320.684, 314.506, 400.0, 0.0730474, -2.7e-05, 6.0
1490722727.462309, 320.598, 314.466, 12000.0, 0.073045, 0.00049, 15.0
