# This data file was created on Tue Mar 28 11:44:50 2017
# Chip ID: 2-20... Sample: gba122... dc
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1490723115.034314, 316.883, 311.77, 12000.0, 1.710692, 0.0005317, 15.0
1490723126.247071, 316.79, 311.704, 1400.0, 1.712254, 0.0011133, 15.0
1490723144.437715, 316.64, 311.598, 400.0, 1.713831, 0.0017927, 6.0
1490723151.363197, 316.583, 311.559, 12000.0, 1.710683, 0.000529, 15.0
1490723162.524546, 316.492, 311.495, 1400.0, 1.712191, 0.001075, 15.0
1490723180.709008, 316.346, 311.391, 400.0, 1.7137173, 0.0017375, 6.0
1490723187.59768, 316.29, 311.353, 12000.0, 1.710661, 0.000514, 15.0
1490723198.827872, 316.202, 311.291, 1400.0, 1.7121242, 0.0010533, 15.0
1490723217.065719, 316.058, 311.19, 400.0, 1.7136106, 0.0016876, 6.0
1490723224.007763, 316.004, 311.152, 12000.0, 1.710611, 0.000502, 15.0
1490723235.206157, 315.917, 311.092, 1400.0, 1.712052, 0.001037, 15.0
1490723253.428178, 315.776, 310.994, 400.0, 1.7135025, 0.0016378, 6.0
1490723260.354063, 315.723, 310.957, 12000.0, 1.710604, 0.000494, 15.0
1490723271.570857, 315.639, 310.898, 1400.0, 1.711993, 0.000987, 15.0
1490723289.758647, 315.502, 310.804, 400.0, 1.7134059, 0.001593, 6.0
1490723296.654392, 315.451, 310.768, 12000.0, 1.710564, 0.000476, 15.0
1490723307.86965, 315.368, 310.711, 1400.0, 1.711936, 0.00097, 15.0
1490723326.09, 315.234, 310.618, 400.0, 1.71330938, 0.00154818, 6.0
1490723333.017711, 315.184, 310.583, 12000.0, 1.710553, 0.000476, 15.0
1490723344.216911, 315.103, 310.527, 1400.0, 1.711861, 0.000946, 15.0
1490723362.404629, 314.972, 310.438, 400.0, 1.7132171, 0.0015066, 6.0
1490723369.34877, 314.923, 310.403, 12000.0, 1.71053, 0.000455, 15.0
1490723380.580028, 314.844, 310.349, 1400.0, 1.711834, 0.000931, 15.0
1490723398.800633, 314.716, 310.262, 400.0, 1.7131344, 0.0014667, 6.0
1490723405.743029, 314.667, 310.228, 12000.0, 1.71049, 0.000456, 15.0
1490723416.958088, 314.59, 310.176, 1400.0, 1.711768, 0.000904, 15.0
1490723435.209864, 314.466, 310.09, 400.0, 1.71305, 0.00142821, 6.0
1490723442.12166, 314.419, 310.057, 12000.0, 1.710476, 0.0004356, 15.0
1490723453.3217, 314.343, 310.006, 1400.0, 1.711716, 0.00087, 15.0
1490723471.545121, 314.222, 309.923, 400.0, 1.7129719, 0.0013905, 6.0
1490723478.504532, 314.176, 309.891, 12000.0, 1.710482, 0.000432, 15.0
1490723489.721306, 314.102, 309.841, 1400.0, 1.711668, 0.000855, 15.0
1490723507.989619, 313.983, 309.759, 400.0, 1.7128953, 0.0013568, 6.0
1490723514.962875, 313.938, 309.728, 12000.0, 1.710444, 0.000431, 15.0
1490723526.226692, 313.865, 309.679, 1400.0, 1.711628, 0.000817, 15.0
1490723544.510536, 313.748, 309.599, 400.0, 1.7128232, 0.0013236, 6.0
1490723551.472473, 313.704, 309.569, 12000.0, 1.710407, 0.000408, 15.0
1490723562.765136, 313.634, 309.521, 1400.0, 1.711592, 0.000822, 15.0
1490723581.03631, 313.519, 309.443, 400.0, 1.7127533, 0.0012918, 6.0
1490723587.994513, 313.477, 309.414, 12000.0, 1.710394, 0.000422, 15.0
1490723599.242443, 313.408, 309.367, 1400.0, 1.711561, 0.0008049, 15.0
1490723617.510693, 313.296, 309.291, 400.0, 1.712687, 0.001262, 6.0
1490723624.471871, 313.254, 309.262, 12000.0, 1.710405, 0.000403, 15.0
1490723635.735472, 313.186, 309.216, 1400.0, 1.711505, 0.000785, 15.0
