# This data file was created on Tue Mar 28 13:51:13 2017
# Chip ID: 2-20... Sample: gba122... dc... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1490723144.4377151, 316.63999999999999, 311.59800000000001, 1.7138310000000001, 0.0017926999999999999, 6.0, 400, 1490723126.247071, 316.79000000000002, 311.70400000000001, 1.7122539999999999, 0.0011133, 15.0, 1400, 1490723115.0343139, 316.88299999999998, 311.76999999999998, 1.7106920000000001, 0.00053169999999999997, 15.0, 12000
1490723180.709008, 316.346, 311.39100000000002, 1.7137173000000001, 0.0017374999999999999, 6.0, 400, 1490723162.5245459, 316.49200000000002, 311.495, 1.712191, 0.001075, 15.0, 1400, 1490723151.3631971, 316.58300000000003, 311.55900000000003, 1.710683, 0.00052899999999999996, 15.0, 12000
1490723217.0657189, 316.05799999999999, 311.19, 1.7136106, 0.0016876, 6.0, 400, 1490723198.827872, 316.202, 311.291, 1.7121242000000001, 0.0010533000000000001, 15.0, 1400, 1490723187.5976801, 316.29000000000002, 311.35300000000001, 1.710661, 0.00051400000000000003, 15.0, 12000
1490723253.4281781, 315.77600000000001, 310.99400000000003, 1.7135024999999999, 0.0016378, 6.0, 400, 1490723235.206157, 315.91699999999997, 311.09199999999998, 1.7120519999999999, 0.0010369999999999999, 15.0, 1400, 1490723224.0077629, 316.00400000000002, 311.15199999999999, 1.7106110000000001, 0.00050199999999999995, 15.0, 12000
1490723289.758647, 315.50200000000001, 310.80399999999997, 1.7134058999999999, 0.001593, 6.0, 400, 1490723271.570857, 315.63900000000001, 310.89800000000002, 1.7119930000000001, 0.00098700000000000003, 15.0, 1400, 1490723260.354063, 315.72300000000001, 310.95699999999999, 1.710604, 0.00049399999999999997, 15.0, 12000
1490723326.0899999, 315.23399999999998, 310.61799999999999, 1.7133093800000001, 0.0015481799999999999, 6.0, 400, 1490723307.8696499, 315.36799999999999, 310.71100000000001, 1.7119359999999999, 0.00097000000000000005, 15.0, 1400, 1490723296.654392, 315.45100000000002, 310.76799999999997, 1.710564, 0.00047600000000000002, 15.0, 12000
1490723362.404629, 314.97199999999998, 310.43799999999999, 1.7132171, 0.0015066000000000001, 6.0, 400, 1490723344.2169111, 315.10300000000001, 310.52699999999999, 1.7118610000000001, 0.00094600000000000001, 15.0, 1400, 1490723333.0177109, 315.18400000000003, 310.58300000000003, 1.710553, 0.00047600000000000002, 15.0, 12000
1490723398.800633, 314.71600000000001, 310.262, 1.7131343999999999, 0.0014667, 6.0, 400, 1490723380.5800281, 314.84399999999999, 310.34899999999999, 1.7118340000000001, 0.00093099999999999997, 15.0, 1400, 1490723369.3487699, 314.923, 310.40300000000002, 1.7105300000000001, 0.000455, 15.0, 12000
1490723435.2098639, 314.46600000000001, 310.08999999999997, 1.71305, 0.0014282100000000001, 6.0, 400, 1490723416.9580879, 314.58999999999997, 310.17599999999999, 1.711768, 0.00090399999999999996, 15.0, 1400, 1490723405.7430291, 314.66699999999997, 310.22800000000001, 1.7104900000000001, 0.00045600000000000003, 15.0, 12000
1490723471.545121, 314.22199999999998, 309.923, 1.7129719000000001, 0.0013905, 6.0, 400, 1490723453.3217001, 314.34300000000002, 310.00599999999997, 1.711716, 0.00087000000000000001, 15.0, 1400, 1490723442.12166, 314.41899999999998, 310.05700000000002, 1.7104760000000001, 0.00043560000000000002, 15.0, 12000
1490723507.989619, 313.983, 309.75900000000001, 1.7128953, 0.0013568, 6.0, 400, 1490723489.7213061, 314.10199999999998, 309.84100000000001, 1.711668, 0.00085499999999999997, 15.0, 1400, 1490723478.5045321, 314.17599999999999, 309.89100000000002, 1.7104820000000001, 0.00043199999999999998, 15.0, 12000
1490723544.510536, 313.74799999999999, 309.59899999999999, 1.7128232000000001, 0.0013236000000000001, 6.0, 400, 1490723526.226692, 313.86500000000001, 309.67899999999997, 1.7116279999999999, 0.00081700000000000002, 15.0, 1400, 1490723514.9628749, 313.93799999999999, 309.72800000000001, 1.7104440000000001, 0.00043100000000000001, 15.0, 12000
1490723581.03631, 313.51900000000001, 309.44299999999998, 1.7127532999999999, 0.0012918000000000001, 6.0, 400, 1490723562.765136, 313.63400000000001, 309.52100000000002, 1.711592, 0.00082200000000000003, 15.0, 1400, 1490723551.4724729, 313.70400000000001, 309.56900000000002, 1.710407, 0.000408, 15.0, 12000
1490723617.5106931, 313.29599999999999, 309.291, 1.7126870000000001, 0.0012620000000000001, 6.0, 400, 1490723599.2424431, 313.40800000000002, 309.36700000000002, 1.7115610000000001, 0.00080489999999999999, 15.0, 1400, 1490723587.994513, 313.47699999999998, 309.41399999999999, 1.710394, 0.00042200000000000001, 15.0, 12000
1490723654.0199189, 313.07799999999997, 309.142, 1.7126276, 0.0012333999999999999, 6.0, 400, 1490723635.735472, 313.18599999999998, 309.21600000000001, 1.7115050000000001, 0.000785, 15.0, 1400, 1490723624.4718709, 313.25400000000002, 309.262, 1.710405, 0.00040299999999999998, 15.0, 12000
1490723690.525732, 312.86399999999998, 308.99700000000001, 1.7125679, 0.0012074, 6.0, 400, 1490723672.2567611, 312.971, 309.06999999999999, 1.7114830000000001, 0.000767, 15.0, 1400, 1490723660.9766541, 313.03699999999998, 309.11399999999998, 1.710372, 0.000397, 15.0, 12000
1490723727.03144, 312.65600000000001, 308.85500000000002, 1.712507, 0.0011791, 6.0, 400, 1490723708.7632411, 312.75999999999999, 308.92599999999999, 1.711416, 0.00075000000000000002, 15.0, 1400, 1490723697.5004849, 312.82400000000001, 308.96899999999999, 1.7103539999999999, 0.00039530000000000001, 15.0, 12000
1490723763.5269749, 312.452, 308.71600000000001, 1.7124547999999999, 0.0011559000000000001, 6.0, 400, 1490723745.2540269, 312.55399999999997, 308.78500000000003, 1.7114027999999999, 0.00073999999999999999, 15.0, 1400, 1490723733.9927139, 312.61700000000002, 308.82799999999997, 1.710307, 0.00039500000000000001, 15.0, 12000
1490723800.064739, 312.25299999999999, 308.57900000000001, 1.7123956, 0.0011305, 6.0, 400, 1490723781.764565, 312.351, 308.64699999999999, 1.711376, 0.00072000000000000005, 15.0, 1400, 1490723770.502259, 312.41399999999999, 308.69, 1.710321, 0.00037100000000000002, 15.0, 12000
1490723836.6250329, 312.05700000000002, 308.44600000000003, 1.7123461, 0.0011081000000000001, 6.0, 400, 1490723818.3225231, 312.15499999999997, 308.512, 1.7113339999999999, 0.00070699999999999995, 15.0, 1400, 1490723807.0580389, 312.21499999999997, 308.553, 1.7102919999999999, 0.00038000000000000002, 15.0, 12000
1490723873.151937, 311.86599999999999, 308.315, 1.7123006000000001, 0.0010873, 6.0, 400, 1490723854.8816719, 311.96100000000001, 308.38, 1.711292, 0.00070299999999999996, 15.0, 1400, 1490723843.5854321, 312.01999999999998, 308.42000000000002, 1.710299, 0.00036499999999999998, 15.0, 12000
1490723909.741044, 311.68000000000001, 308.18599999999998, 1.7122512000000001, 0.001062, 6.0, 400, 1490723891.425931, 311.77300000000002, 308.25, 1.7112890000000001, 0.000678, 15.0, 1400, 1490723880.1603479, 311.82999999999998, 308.29000000000002, 1.7103010000000001, 0.000368, 15.0, 12000
1490723946.2333789, 311.49700000000001, 308.06099999999998, 1.7122055, 0.0010452, 6.0, 400, 1490723927.9971001, 311.58800000000002, 308.12400000000002, 1.711257, 0.00066699999999999995, 15.0, 1400, 1490723916.7330389, 311.64400000000001, 308.16300000000001, 1.7102569999999999, 0.000359, 15.0, 12000
1490723982.579282, 311.31999999999999, 307.93900000000002, 1.7121583, 0.0010242000000000001, 6.0, 400, 1490723964.3582411, 311.40800000000002, 308.0, 1.7112369999999999, 0.00066399999999999999, 15.0, 1400, 1490723953.1587319, 311.46300000000002, 308.03800000000001, 1.7102470000000001, 0.00035799999999999997, 15.0, 12000
1490724018.9572859, 311.14600000000002, 307.85399999999998, 1.7121179, 0.0010059999999999999, 6.0, 400, 1490724000.7204289, 311.233, 307.88499999999999, 1.7112000000000001, 0.00064899999999999995, 15.0, 1400, 1490723989.490617, 311.286, 307.916, 1.7102489999999999, 0.00036299999999999999, 15.0, 12000
1490724055.316555, 310.97899999999998, 307.80599999999998, 1.7120782999999999, 0.00098769999999999999, 6.0, 400, 1490724037.1305699, 311.06200000000001, 307.82999999999998, 1.7111730000000001, 0.00063699999999999998, 15.0, 1400, 1490724025.9152391, 311.11399999999998, 307.84500000000003, 1.710205, 0.00035500000000000001, 15.0, 12000
1490724091.60128, 310.81799999999998, 307.74599999999998, 1.7120451999999999, 0.00097150000000000003, 6.0, 400, 1490724073.4031761, 310.89800000000002, 307.77699999999999, 1.7111559999999999, 0.00062699999999999995, 15.0, 1400, 1490724062.2082701, 310.94799999999998, 307.79500000000002, 1.7102059999999999, 0.00034150000000000001, 15.0, 12000
1490724127.8866479, 310.66300000000001, 307.68700000000001, 1.7120088, 0.00095580000000000003, 6.0, 400, 1490724109.685344, 310.74000000000001, 307.71600000000001, 1.711138, 0.00062200000000000005, 15.0, 1400, 1490724098.474297, 310.78800000000001, 307.73500000000001, 1.710226, 0.00034299999999999999, 15.0, 12000
