# This data file was created on Tue Mar 28 13:51:43 2017
# 
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1490740444.614702, 100.0, 75.72, 400.0, 1.7036939, 4.066e-05, 6.0, 10.390010162000001
1490740451.698101, 100.0, 75.72, 12000.0, 1.703573, 6.35e-05, 15.0, 15.427112353000002
1490740463.078962, 100.0, 75.721, 1400.0, 1.703685, 4.8e-05, 15.0, 15.427112353000002
1490740481.526712, 100.0, 75.724, 400.0, 1.7036968, 3.78e-05, 6.0, 15.427112353000002
1490740488.614675, 100.0, 75.722, 12000.0, 1.703599, 6.4e-05, 15.0, 20.361577665500004
1490740500.04908, 100.0, 75.722, 1400.0, 1.703671, 3.4e-05, 15.0, 20.36947281
1490740518.51625, 99.999, 75.721, 400.0, 1.7036947, 4e-05, 6.0, 20.36947281
1490740525.614632, 100.0, 75.72, 12000.0, 1.703586, 6.3e-05, 15.0, 25.4460507235
1490740537.05562, 99.999, 75.72, 1400.0, 1.703681, 4.1e-05, 15.0, 25.430260434500003
1490740555.535289, 100.0, 75.721, 400.0, 1.703692, 4.02e-05, 6.0, 25.4460507235
1490740562.650218, 100.0, 75.718, 12000.0, 1.703593, 7e-05, 15.0, 30.317354880000003
1490740574.113698, 100.0, 75.721, 1400.0, 1.703662, 4.47e-05, 15.0, 30.325250024500004
1490740592.600669, 100.001, 75.718, 400.0, 1.7036907, 3.97e-05, 6.0, 30.333145169
1490740599.745846, 100.0, 75.718, 12000.0, 1.703611, 5.5e-05, 15.0, 35.40972308250001
1490740611.19279, 100.0, 75.72, 1400.0, 1.703656, 4.5e-05, 15.0, 35.40972308250001
1490740629.693171, 100.0, 75.723, 400.0, 1.7036885, 4.04e-05, 6.0, 35.40972308250001
1490740636.799803, 100.0, 75.721, 12000.0, 1.703579, 6.3e-05, 15.0, 40.35208353950001
1490740648.213477, 100.0, 75.719, 1400.0, 1.703687, 5.1e-05, 15.0, 40.35208353950001
1490740666.663722, 100.0, 75.723, 400.0, 1.7036939, 3.914e-05, 6.0, 40.35208353950001
1490740673.748235, 100.0, 75.721, 12000.0, 1.70358, 7.6e-05, 15.0, 45.420766308500006
1490740685.108275, 100.0, 75.722, 1400.0, 1.703675, 4e-05, 15.0, 45.420766308500006
1490740703.555842, 100.0, 75.721, 400.0, 1.7036958, 3.8e-05, 6.0, 45.41287116400001
1490740710.649205, 100.0, 75.724, 12000.0, 1.70357, 8.4e-05, 15.0, 50.347336476500004
1490740722.034272, 100.0, 75.723, 1400.0, 1.703672, 4.9e-05, 15.0, 50.339441332
1490740740.530859, 100.0, 75.722, 400.0, 1.7036942, 3.897e-05, 6.0, 50.339441332
1490740747.635294, 100.0, 75.723, 12000.0, 1.703593, 7.4e-05, 15.0, 55.45549496800001
1490740759.02053, 100.0, 75.724, 1400.0, 1.703678, 3.6e-05, 15.0, 55.45549496800001
1490740777.468908, 100.0, 75.723, 400.0, 1.7036924, 3.94e-05, 6.0, 55.45549496800001
1490740784.554137, 100.0, 75.722, 12000.0, 1.703588, 6.6e-05, 15.0, 60.429436003000006
1490740796.020171, 100.0, 75.721, 1400.0, 1.703668, 4.52e-05, 15.0, 60.429436003000006
1490740814.509685, 100.0, 75.721, 400.0, 1.7036937, 3.96e-05, 6.0, 60.437331147500004
1490740821.641061, 100.0, 75.721, 12000.0, 1.703589, 7.8e-05, 15.0, 60.429436003000006
1490740833.055044, 100.0, 75.722, 1400.0, 1.703679, 3.5e-05, 15.0, 60.437331147500004
1490740851.520744, 100.0, 75.721, 400.0, 1.7036984, 3.91e-05, 6.0, 60.429436003000006
1490740858.634632, 100.0, 75.723, 12000.0, 1.703579, 5.5e-05, 15.0, 55.46339011250001
1490740870.059839, 100.0, 75.724, 1400.0, 1.703675, 4e-05, 15.0, 55.471285257000005
1490740888.522889, 100.0, 75.726, 400.0, 1.7037, 3.84e-05, 6.0, 55.46339011250001
1490740895.639545, 100.0, 75.726, 12000.0, 1.703592, 6.3e-05, 15.0, 50.339441332
1490740907.11085, 100.0, 75.723, 1400.0, 1.703668, 4.9e-05, 15.0, 50.339441332
1490740925.604017, 100.0, 75.723, 400.0, 1.7036956, 3.89e-05, 6.0, 50.339441332
1490740932.743166, 100.0, 75.72, 12000.0, 1.703579, 6.1e-05, 15.0, 45.420766308500006
1490740944.147166, 99.999, 75.719, 1400.0, 1.703681, 4.8e-05, 15.0, 45.420766308500006
1490740962.607375, 100.0, 75.725, 400.0, 1.7036942, 3.96e-05, 6.0, 45.420766308500006
1490740969.696763, 100.0, 75.724, 12000.0, 1.703601, 6.47e-05, 15.0, 40.359978684000005
1490740981.039135, 100.0, 75.726, 1400.0, 1.703672, 4.8e-05, 15.0, 40.344188395
1490740999.507854, 100.0, 75.724, 400.0, 1.7036949, 3.95e-05, 6.0, 40.359978684000005
1490741006.591533, 100.0, 75.722, 12000.0, 1.703602, 7.8e-05, 15.0, 35.401827938000004
1490741017.999816, 100.0, 75.723, 1400.0, 1.703672, 4.2e-05, 15.0, 35.40972308250001
1490741036.511556, 100.0, 75.724, 400.0, 1.7036885, 3.77e-05, 6.0, 35.40972308250001
1490741043.608993, 100.0, 75.721, 12000.0, 1.703589, 5.7e-05, 15.0, 30.333145169
1490741054.991687, 100.001, 75.725, 1400.0, 1.703678, 3.8e-05, 15.0, 30.325250024500004
1490741073.43751, 100.0, 75.721, 400.0, 1.7037001, 3.88e-05, 6.0, 30.325250024500004
1490741080.557035, 99.999, 75.721, 12000.0, 1.703569, 7e-05, 15.0, 25.453945867999998
1490741091.966464, 100.0, 75.725, 1400.0, 1.703663, 4.7e-05, 15.0, 25.438155579000004
1490741110.39862, 100.0, 75.723, 400.0, 1.7036974, 3.796e-05, 6.0, 25.453945867999998
1490741117.458662, 100.0, 75.723, 12000.0, 1.703602, 7.9e-05, 15.0, 20.377367954500002
1490741128.877217, 100.0, 75.723, 1400.0, 1.703681, 4.6e-05, 15.0, 20.36947281
1490741147.344164, 100.0, 75.723, 400.0, 1.7036972, 3.93e-05, 6.0, 20.377367954500002
1490741154.475413, 100.0, 75.722, 12000.0, 1.703586, 7.8e-05, 15.0, 15.435007497500001
1490741165.865662, 100.0, 75.724, 1400.0, 1.703656, 5.1e-05, 15.0, 15.442902642
1490741184.296536, 100.0, 75.721, 400.0, 1.7036943, 3.95e-05, 6.0, 15.427112353000002
1490741191.357599, 100.0, 75.724, 12000.0, 1.703593, 6.8e-05, 15.0, 10.390010162000001
1490741202.728327, 100.0, 75.727, 1400.0, 1.703663, 4e-05, 15.0, 10.382115017500002
1490741221.178779, 100.0, 75.721, 400.0, 1.7036945, 4.08e-05, 6.0, 10.382115017500002
1490741228.312035, 100.0, 75.72, 12000.0, 1.703585, 5.64e-05, 15.0, 5.471335138500001
1490741239.736651, 100.0, 75.722, 1400.0, 1.703683, 4e-05, 15.0, 5.479230283000001
1490741258.195945, 100.0, 75.722, 400.0, 1.703685, 3.87e-05, 6.0, 5.463439994000001
1490741265.30801, 100.0, 75.723, 12000.0, 1.703583, 6.2e-05, 15.0, 0.5605552595000001
1490741276.760358, 100.0, 75.724, 1400.0, 1.703666, 3.6e-05, 15.0, 0.5605552595000001
1490741295.256645, 100.0, 75.726, 400.0, 1.7036982, 3.74e-05, 6.0, 0.5447649705000001
1490741302.389654, 100.0, 75.725, 12000.0, 1.703593, 6.2e-05, 15.0, 0.5605552595000001
1490741313.847156, 100.0, 75.722, 1400.0, 1.703662, 4.8e-05, 15.0, 0.5447649705000001
1490741332.29679, 100.0, 75.722, 400.0, 1.7036958, 3.84e-05, 6.0, 0.5605552595000001
1490741339.397756, 100.0, 75.723, 12000.0, 1.703563, 5.3e-05, 15.0, -4.51602294
1490741350.797857, 100.0, 75.722, 1400.0, 1.703639, 4.3e-05, 15.0, -4.51602294
1490741369.277, 100.0, 75.723, 400.0, 1.703691, 4.06e-05, 6.0, -4.51602294
1490741376.347596, 100.0, 75.723, 12000.0, 1.703563, 6.2e-05, 15.0, -9.42680313
1490741387.789073, 100.0, 75.725, 1400.0, 1.703678, 3.8e-05, 15.0, -9.434698275
1490741406.170814, 100.0, 75.724, 400.0, 1.7036942, 3.99e-05, 6.0, -9.42680313
1490741413.225466, 100.001, 75.723, 12000.0, 1.70355, 7e-05, 15.0, -14.487591075000001
1490741424.634722, 100.0, 75.725, 1400.0, 1.7036614, 4.65e-05, 15.0, -14.487591075000001
1490741443.082366, 99.999, 75.729, 400.0, 1.703691, 3.802e-05, 6.0, -14.487591075000001
1490741450.167029, 100.0, 75.727, 12000.0, 1.703559, 6.6e-05, 15.0, -19.414161555
1490741461.546114, 99.999, 75.727, 1400.0, 1.703655, 4.1e-05, 15.0, -19.40626641
1490741479.983382, 100.0, 75.726, 400.0, 1.7036884, 3.896e-05, 6.0, -19.422056700000002
1490741487.054472, 100.0, 75.725, 12000.0, 1.703589, 7.4e-05, 15.0, -24.498634935
