# This data file was created on Wed Mar 29 10:36:01 2017
# Chip ID: 2-20... Sample: GBA122... cooling past peaks
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1490805385.627841, 95.45, 75.786, 12000.0, 1.703491, 6.2e-05, 15.0
1490805396.857033, 95.194, 75.784, 1400.0, 1.703319, 5.11e-05, 15.0
1490805415.06973, 94.782, 75.776, 400.0, 1.7033288, 4.104e-05, 6.0
1490805422.0036, 94.628, 75.783, 12000.0, 1.70324, 8.1e-05, 15.0
1490805433.2017, 94.381, 75.846, 1400.0, 1.703311, 4.5e-05, 15.0
1490805451.431403, 93.989, 76.117, 400.0, 1.7033067, 4.17e-05, 6.0
1490805458.396552, 93.843, 76.264, 12000.0, 1.703207, 6.3e-05, 15.0
1490805469.594878, 93.613, 76.5, 1400.0, 1.703333, 5.29e-05, 15.0
1490805487.791543, 93.256, 76.86, 400.0, 1.70334712, 3.738e-05, 6.0
1490805494.742284, 93.124, 76.979, 12000.0, 1.703218, 9.1e-05, 15.0
1490805505.956377, 92.916, 77.17, 1400.0, 1.703316, 4.29e-05, 15.0
1490805524.169271, 92.592, 77.491, 400.0, 1.7033283, 3.695e-05, 6.0
1490805531.070557, 92.473, 77.612, 12000.0, 1.703218, 7.6e-05, 15.0
1490805542.315012, 92.285, 77.81, 1400.0, 1.703307, 4.4e-05, 15.0
1490805560.53953, 91.991, 78.124, 400.0, 1.70331367, 3.729e-05, 6.0
1490805567.449877, 91.885, 78.24, 12000.0, 1.703199, 8.4e-05, 15.0
1490805578.66381, 91.716, 78.426, 1400.0, 1.703265, 5.1e-05, 15.0
1490805596.882209, 91.453, 78.72, 400.0, 1.7032941, 3.891e-05, 6.0
1490805603.761089, 91.357, 78.83, 12000.0, 1.703165, 9.1e-05, 15.0
1490805614.974581, 91.205, 79.005, 1400.0, 1.703254, 3.9e-05, 15.0
1490805633.160343, 90.97, 79.283, 400.0, 1.7032745, 3.84e-05, 6.0
1490805640.102605, 90.883, 79.388, 12000.0, 1.703169, 7.1e-05, 15.0
1490805651.29982, 90.748, 79.554, 1400.0, 1.703261, 4.9e-05, 15.0
1490805669.534998, 90.539, 79.819, 400.0, 1.7032587, 3.93e-05, 6.0
1490805676.444889, 90.461, 79.919, 12000.0, 1.703115, 9.7e-05, 15.0
1490805687.641402, 90.341, 80.076, 1400.0, 1.703251, 5.3e-05, 15.0
1490805705.891021, 90.154, 80.33, 400.0, 1.7032392, 3.95e-05, 6.0
1490805712.850905, 90.086, 80.425, 12000.0, 1.70306, 9.4e-05, 15.0
1490805724.127151, 89.98, 80.576, 1400.0, 1.703212, 4.8e-05, 15.0
1490805742.392065, 89.812, 80.819, 400.0, 1.703225, 3.85e-05, 6.0
1490805749.36555, 89.751, 80.911, 12000.0, 1.703091, 7.6e-05, 15.0
1490805760.627598, 89.656, 81.056, 1400.0, 1.703199, 4.4e-05, 15.0
1490805778.908325, 89.509, 81.285, 400.0, 1.7032021, 3.85e-05, 6.0
1490805785.867237, 89.456, 81.37, 12000.0, 1.703056, 8.4e-05, 15.0
1490805797.127604, 89.373, 81.508, 1400.0, 1.703172, 4.8e-05, 15.0
1490805815.395152, 89.248, 81.728, 400.0, 1.7031682, 3.928e-05, 6.0
1490805822.417534, 89.203, 81.812, 12000.0, 1.703031, 8.2e-05, 15.0
1490805833.678748, 89.131, 81.945, 1400.0, 1.703148, 4.8e-05, 15.0
1490805851.943798, 89.023, 82.157, 400.0, 1.7031488, 3.92e-05, 6.0
1490805858.951652, 88.984, 82.238, 12000.0, 1.703024, 8.7e-05, 15.0
1490805870.213494, 88.922, 82.367, 1400.0, 1.703126, 5.2e-05, 15.0
1490805888.495001, 88.831, 82.573, 400.0, 1.7031333, 3.87e-05, 6.0
1490805895.485542, 88.797, 82.65, 12000.0, 1.702994, 8.4e-05, 15.0
1490805906.730155, 88.746, 82.775, 1400.0, 1.703119, 4.4e-05, 15.0
1490805925.013377, 88.669, 82.976, 400.0, 1.7031203, 3.88e-05, 6.0
1490805931.97035, 88.642, 83.051, 12000.0, 1.70301, 9.5e-05, 15.0
1490805943.232844, 88.601, 83.172, 1400.0, 1.703094, 5.3e-05, 15.0
1490805961.50025, 88.539, 83.367, 400.0, 1.7031031, 3.98e-05, 6.0
1490805968.490819, 88.517, 83.441, 12000.0, 1.70296, 8.1e-05, 15.0
1490805979.750322, 88.484, 83.558, 1400.0, 1.703074, 5.5e-05, 15.0
1490805998.017808, 88.436, 83.748, 400.0, 1.7030903, 3.95e-05, 6.0
1490806004.991271, 88.418, 83.821, 12000.0, 1.702965, 9.6e-05, 15.0
1490806016.28513, 88.394, 83.936, 1400.0, 1.7030732, 4.97e-05, 15.0
1490806034.588393, 88.358, 84.122, 400.0, 1.7030809, 3.945e-05, 6.0
1490806041.548673, 88.345, 84.192, 12000.0, 1.70294, 0.0001, 15.0
1490806052.811383, 88.327, 84.305, 1400.0, 1.703064, 5.1e-05, 15.0
1490806071.109055, 88.303, 84.487, 400.0, 1.7030695, 3.699e-05, 6.0
1490806078.066821, 88.296, 84.555, 12000.0, 1.702927, 9.7e-05, 15.0
1490806089.34619, 88.285, 84.666, 1400.0, 1.703035, 4.9e-05, 15.0
1490806107.614168, 88.271, 84.845, 400.0, 1.70305403, 3.695e-05, 6.0
1490806114.603928, 88.268, 84.912, 12000.0, 1.702898, 9.1e-05, 15.0
1490806125.883592, 88.262, 85.021, 1400.0, 1.703009, 4.6e-05, 15.0
1490806144.148112, 88.259, 85.055, 400.0, 1.7030315, 3.84e-05, 6.0
