# This data file was created on Wed Mar 29 11:47:01 2017
# Chip ID: 2-20... Sample: GBA122... cooling past peaks... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1490805415.06973, 94.781999999999996, 75.775999999999996, 1.7033288, 4.104e-05, 6.0, 400, 1490805396.857033, 95.194000000000003, 75.784000000000006, 1.703319, 5.1100000000000002e-05, 15.0, 1400, 1490805385.627841, 95.450000000000003, 75.786000000000001, 1.7034910000000001, 6.2000000000000003e-05, 15.0, 12000
1490805451.4314029, 93.989000000000004, 76.117000000000004, 1.7033067, 4.1699999999999997e-05, 6.0, 400, 1490805433.2017, 94.381, 75.846000000000004, 1.703311, 4.5000000000000003e-05, 15.0, 1400, 1490805422.0035999, 94.628, 75.783000000000001, 1.7032400000000001, 8.1000000000000004e-05, 15.0, 12000
1490805487.791543, 93.256, 76.859999999999999, 1.7033471200000001, 3.7379999999999998e-05, 6.0, 400, 1490805469.594878, 93.613, 76.5, 1.703333, 5.2899999999999998e-05, 15.0, 1400, 1490805458.3965521, 93.843000000000004, 76.263999999999996, 1.7032069999999999, 6.3e-05, 15.0, 12000
1490805524.169271, 92.591999999999999, 77.491, 1.7033282999999999, 3.6949999999999997e-05, 6.0, 400, 1490805505.956377, 92.915999999999997, 77.170000000000002, 1.7033160000000001, 4.2899999999999999e-05, 15.0, 1400, 1490805494.7422841, 93.123999999999995, 76.978999999999999, 1.7032179999999999, 9.1000000000000003e-05, 15.0, 12000
1490805560.53953, 91.991, 78.123999999999995, 1.70331367, 3.7289999999999997e-05, 6.0, 400, 1490805542.315012, 92.284999999999997, 77.810000000000002, 1.7033069999999999, 4.3999999999999999e-05, 15.0, 1400, 1490805531.0705571, 92.472999999999999, 77.611999999999995, 1.7032179999999999, 7.6000000000000004e-05, 15.0, 12000
1490805596.8822091, 91.453000000000003, 78.719999999999999, 1.7032940999999999, 3.8909999999999998e-05, 6.0, 400, 1490805578.66381, 91.715999999999994, 78.426000000000002, 1.703265, 5.1e-05, 15.0, 1400, 1490805567.449877, 91.885000000000005, 78.239999999999995, 1.7031989999999999, 8.3999999999999995e-05, 15.0, 12000
1490805633.1603429, 90.969999999999999, 79.283000000000001, 1.7032745, 3.8399999999999998e-05, 6.0, 400, 1490805614.974581, 91.204999999999998, 79.004999999999995, 1.703254, 3.8999999999999999e-05, 15.0, 1400, 1490805603.7610891, 91.356999999999999, 78.829999999999998, 1.703165, 9.1000000000000003e-05, 15.0, 12000
1490805669.5349979, 90.539000000000001, 79.819000000000003, 1.7032586999999999, 3.93e-05, 6.0, 400, 1490805651.2998199, 90.748000000000005, 79.554000000000002, 1.7032609999999999, 4.8999999999999998e-05, 15.0, 1400, 1490805640.1026051, 90.882999999999996, 79.388000000000005, 1.7031689999999999, 7.1000000000000005e-05, 15.0, 12000
1490805705.891021, 90.153999999999996, 80.329999999999998, 1.7032392000000001, 3.9499999999999998e-05, 6.0, 400, 1490805687.641402, 90.340999999999994, 80.075999999999993, 1.7032510000000001, 5.3000000000000001e-05, 15.0, 1400, 1490805676.4448891, 90.460999999999999, 79.918999999999997, 1.7031149999999999, 9.7e-05, 15.0, 12000
1490805742.392065, 89.811999999999998, 80.819000000000003, 1.703225, 3.8500000000000001e-05, 6.0, 400, 1490805724.127151, 89.980000000000004, 80.575999999999993, 1.7032119999999999, 4.8000000000000001e-05, 15.0, 1400, 1490805712.8509049, 90.085999999999999, 80.424999999999997, 1.70306, 9.3999999999999994e-05, 15.0, 12000
1490805778.908325, 89.509, 81.284999999999997, 1.7032020999999999, 3.8500000000000001e-05, 6.0, 400, 1490805760.627598, 89.656000000000006, 81.055999999999997, 1.7031989999999999, 4.3999999999999999e-05, 15.0, 1400, 1490805749.36555, 89.751000000000005, 80.911000000000001, 1.7030909999999999, 7.6000000000000004e-05, 15.0, 12000
1490805815.3951521, 89.248000000000005, 81.727999999999994, 1.7031681999999999, 3.9279999999999997e-05, 6.0, 400, 1490805797.127604, 89.373000000000005, 81.507999999999996, 1.7031719999999999, 4.8000000000000001e-05, 15.0, 1400, 1490805785.8672371, 89.456000000000003, 81.370000000000005, 1.7030559999999999, 8.3999999999999995e-05, 15.0, 12000
1490805851.9437981, 89.022999999999996, 82.156999999999996, 1.7031487999999999, 3.9199999999999997e-05, 6.0, 400, 1490805833.6787479, 89.131, 81.944999999999993, 1.7031480000000001, 4.8000000000000001e-05, 15.0, 1400, 1490805822.4175341, 89.203000000000003, 81.811999999999998, 1.703031, 8.2000000000000001e-05, 15.0, 12000
1490805888.4950011, 88.831000000000003, 82.572999999999993, 1.7031333, 3.8699999999999999e-05, 6.0, 400, 1490805870.2134941, 88.921999999999997, 82.367000000000004, 1.7031259999999999, 5.1999999999999997e-05, 15.0, 1400, 1490805858.9516521, 88.983999999999995, 82.238, 1.7030240000000001, 8.7000000000000001e-05, 15.0, 12000
1490805925.013377, 88.668999999999997, 82.975999999999999, 1.7031202999999999, 3.8800000000000001e-05, 6.0, 400, 1490805906.730155, 88.745999999999995, 82.775000000000006, 1.703119, 4.3999999999999999e-05, 15.0, 1400, 1490805895.4855421, 88.796999999999997, 82.650000000000006, 1.7029939999999999, 8.3999999999999995e-05, 15.0, 12000
1490805961.5002501, 88.539000000000001, 83.367000000000004, 1.7031031000000001, 3.9799999999999998e-05, 6.0, 400, 1490805943.2328441, 88.600999999999999, 83.171999999999997, 1.7030940000000001, 5.3000000000000001e-05, 15.0, 1400, 1490805931.97035, 88.641999999999996, 83.051000000000002, 1.7030099999999999, 9.5000000000000005e-05, 15.0, 12000
1490805998.017808, 88.436000000000007, 83.748000000000005, 1.7030902999999999, 3.9499999999999998e-05, 6.0, 400, 1490805979.7503221, 88.483999999999995, 83.558000000000007, 1.703074, 5.5000000000000002e-05, 15.0, 1400, 1490805968.490819, 88.516999999999996, 83.441000000000003, 1.70296, 8.1000000000000004e-05, 15.0, 12000
1490806034.588393, 88.358000000000004, 84.122, 1.7030809, 3.9449999999999997e-05, 6.0, 400, 1490806016.28513, 88.394000000000005, 83.936000000000007, 1.7030732, 4.9700000000000002e-05, 15.0, 1400, 1490806004.991271, 88.418000000000006, 83.820999999999998, 1.7029650000000001, 9.6000000000000002e-05, 15.0, 12000
1490806071.109055, 88.302999999999997, 84.486999999999995, 1.7030695, 3.6990000000000003e-05, 6.0, 400, 1490806052.811383, 88.326999999999998, 84.305000000000007, 1.7030639999999999, 5.1e-05, 15.0, 1400, 1490806041.5486729, 88.344999999999999, 84.191999999999993, 1.7029399999999999, 0.0001, 15.0, 12000
1490806107.6141679, 88.271000000000001, 84.844999999999999, 1.7030540300000001, 3.6949999999999997e-05, 6.0, 400, 1490806089.34619, 88.284999999999997, 84.665999999999997, 1.7030350000000001, 4.8999999999999998e-05, 15.0, 1400, 1490806078.0668211, 88.296000000000006, 84.555000000000007, 1.7029270000000001, 9.7e-05, 15.0, 12000
1490806144.1481121, 88.259, 85.055000000000007, 1.7030315, 3.8399999999999998e-05, 6.0, 400, 1490806125.8835919, 88.262, 85.021000000000001, 1.703009, 4.6e-05, 15.0, 1400, 1490806114.6039281, 88.268000000000001, 84.912000000000006, 1.702898, 9.1000000000000003e-05, 15.0, 12000
1490806180.7037489, 88.257000000000005, 85.284999999999997, 1.7030007, 4.2299999999999998e-05, 6.0, 400, 1490806162.403091, 88.257999999999996, 85.122, 1.7029810000000001, 4.5000000000000003e-05, 15.0, 1400, 1490806151.141685, 88.257999999999996, 85.042000000000002, 1.7028760000000001, 9.8999999999999994e-05, 15.0, 12000
1490806217.1581049, 88.275999999999996, 86.572999999999993, 1.7029829999999999, 4.409e-05, 6.0, 400, 1490806198.9590421, 88.262, 85.591999999999999, 1.7029639999999999, 4.8999999999999998e-05, 15.0, 1400, 1490806187.6779511, 88.259, 85.372, 1.702861, 9.1000000000000003e-05, 15.0, 12000
1490806253.556771, 88.405000000000001, 90.742999999999995, 1.7029827, 4.3099999999999997e-05, 6.0, 400, 1490806235.326057, 88.316000000000003, 88.457999999999998, 1.702947, 5.8999999999999998e-05, 15.0, 1400, 1490806224.101203, 88.287000000000006, 87.230000000000004, 1.70285, 6.9999999999999994e-05, 15.0, 12000
1490806289.8879361, 88.747, 95.855000000000004, 1.7029783999999999, 4.3900000000000003e-05, 6.0, 400, 1490806271.688683, 88.546000000000006, 93.247, 1.702958, 5.3000000000000001e-05, 15.0, 1400, 1490806260.47385, 88.451999999999998, 91.679000000000002, 1.702888, 7.7999999999999999e-05, 15.0, 12000
1490806326.3131571, 89.322999999999993, 101.18899999999999, 1.7030084999999999, 4.4029999999999997e-05, 6.0, 400, 1490806308.0670581, 89.006, 98.522999999999996, 1.70299, 4.8000000000000001e-05, 15.0, 1400, 1490806296.8367491, 88.838999999999999, 96.867999999999995, 1.7028840000000001, 8.7000000000000001e-05, 15.0, 12000
1490806362.643631, 90.116, 106.327, 1.703012, 4.1449999999999998e-05, 6.0, 400, 1490806344.4298079, 89.694000000000003, 103.777, 1.702974, 5.1e-05, 15.0, 1400, 1490806333.2161009, 89.459999999999994, 102.182, 1.70289, 8.2999999999999998e-05, 15.0, 12000
1490806398.9414771, 91.085999999999999, 111.367, 1.7030252100000001, 4.3069999999999999e-05, 6.0, 400, 1490806380.727216, 90.576999999999998, 108.839, 1.7029939999999999, 5.1e-05, 15.0, 1400, 1490806369.528954, 90.286000000000001, 107.282, 1.702895, 7.7999999999999999e-05, 15.0, 12000
1490806435.2523201, 92.231999999999999, 116.759, 1.70300885, 4.18e-05, 6.0, 400, 1490806417.0567551, 91.635999999999996, 114.004, 1.7029810000000001, 4.6e-05, 15.0, 1400, 1490806405.826273, 91.292000000000002, 112.358, 1.7028620000000001, 7.8999999999999996e-05, 15.0, 12000
1490806471.6304021, 93.545000000000002, 120.949, 1.7030289000000001, 4.1919999999999998e-05, 6.0, 400, 1490806453.3847611, 92.867999999999995, 119.29000000000001, 1.7030069999999999, 4.1e-05, 15.0, 1400, 1490806442.1541741, 92.468999999999994, 117.782, 1.702917, 7.7999999999999999e-05, 15.0, 12000
1490806508.038938, 94.915999999999997, 120.488, 1.7030673999999999, 4.1220000000000002e-05, 6.0, 400, 1490806489.776674, 94.236000000000004, 121.271, 1.703033, 4.0000000000000003e-05, 15.0, 1400, 1490806478.596014, 93.810000000000002, 121.23, 1.7029337, 7.5199999999999998e-05, 15.0, 12000
1490806544.3346381, 96.138999999999996, 117.095, 1.7031442000000001, 4.2570000000000001e-05, 6.0, 400, 1490806526.1528959, 95.552000000000007, 119.024, 1.7030540000000001, 4.8999999999999998e-05, 15.0, 1400, 1490806514.9400921, 95.162999999999997, 119.996, 1.7029810000000001, 7.3999999999999996e-05, 15.0, 12000
1490806580.616482, 97.144999999999996, 112.66800000000001, 1.7031759, 4.1499999999999999e-05, 6.0, 400, 1490806562.4329319, 96.670000000000002, 114.925, 1.7031149999999999, 4.8999999999999998e-05, 15.0, 1400, 1490806551.2193129, 96.349000000000004, 116.285, 1.7030179999999999, 7.3999999999999996e-05, 15.0, 12000
1490806616.9930029, 97.918999999999997, 108.12, 1.70316365, 4.282e-05, 6.0, 400, 1490806598.778893, 97.561000000000007, 110.401, 1.7031339999999999, 5.52e-05, 15.0, 1400, 1490806587.5655069, 97.311000000000007, 111.801, 1.7030590000000001, 4.8999999999999998e-05, 15.0, 12000
1490806653.3707039, 98.465000000000003, 103.633, 1.7031756, 4.2700000000000001e-05, 6.0, 400, 1490806635.1417789, 98.218999999999994, 105.85899999999999, 1.703155, 4.8999999999999998e-05, 15.0, 1400, 1490806623.925277, 98.040000000000006, 107.251, 1.7030592, 6.1400000000000002e-05, 15.0, 12000
1490806689.7335291, 98.793999999999997, 99.334000000000003, 1.7031856000000001, 4.2209999999999997e-05, 6.0, 400, 1490806671.486264, 98.655000000000001, 101.477, 1.7031670000000001, 5.5999999999999999e-05, 15.0, 1400, 1490806660.2726591, 98.543999999999997, 102.806, 1.7030719999999999, 6.4999999999999994e-05, 15.0, 12000
1490806726.108916, 98.923000000000002, 95.203999999999994, 1.7031855, 4.286e-05, 6.0, 400, 1490806707.8968179, 98.882999999999996, 97.238, 1.703152, 4.6e-05, 15.0, 1400, 1490806696.6824889, 98.834000000000003, 98.522000000000006, 1.703084, 8.3999999999999995e-05, 15.0, 12000
1490806762.5338221, 98.861999999999995, 90.930999999999997, 1.7031925000000001, 4.1900000000000002e-05, 6.0, 400, 1490806744.2877669, 98.915999999999997, 93.126999999999995, 1.703184, 5.5000000000000002e-05, 15.0, 1400, 1490806733.042737, 98.926000000000002, 94.441000000000003, 1.7030590000000001, 7.1000000000000005e-05, 15.0, 12000
1490806798.9286001, 98.608999999999995, 86.736999999999995, 1.7031826999999999, 4.2330000000000003e-05, 6.0, 400, 1490806780.6992431, 98.759, 88.802000000000007, 1.703149, 4.1e-05, 15.0, 1400, 1490806769.468153, 98.828000000000003, 90.111000000000004, 1.703049, 6.3e-05, 15.0, 12000
