# This data file was created on Wed Mar 29 12:20:43 2017
# Chip ID: 2-20... Sample: GVA122... cycle temperature
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1490811666.525746, 50.211, 12.223, 12000.0, 1.694807, 0.000702, 15.0
1490811677.74013, 50.705, 12.367, 1400.0, 1.696737, 0.000816, 15.0
1490811695.97059, 51.613, 12.402, 400.0, 1.6981353, 0.0007753, 6.0
1490811702.935199, 51.966, 12.426, 12000.0, 1.695309, 0.000773, 15.0
1490811714.16556, 52.536, 12.608, 1400.0, 1.69738, 0.000842, 15.0
1490811732.36191, 53.476, 12.766, 400.0, 1.6988143, 0.0007414, 6.0
1490811739.322191, 53.832, 12.824, 12000.0, 1.695878, 0.00085, 15.0
1490811750.521168, 54.413, 12.889, 1400.0, 1.698098, 0.000842, 15.0
1490811768.754421, 55.346, 13.085, 400.0, 1.6994442, 0.0006758, 6.0
1490811775.665553, 55.702, 13.213, 12000.0, 1.69649, 0.000917, 15.0
1490811786.895185, 56.274, 13.249, 1400.0, 1.698764, 0.000812, 15.0
1490811805.14576, 57.205, 13.552, 400.0, 1.6999879, 0.0005912, 6.0
1490811812.057968, 57.559, 13.555, 12000.0, 1.697137, 0.000956, 15.0
1490811823.2705, 58.127, 13.717, 1400.0, 1.699387, 0.000751, 15.0
1490811841.491374, 59.046, 13.97, 400.0, 1.7004394, 0.0004936, 6.0
1490811848.386245, 59.395, 14.043, 12000.0, 1.69776, 0.000947, 15.0
1490811859.567369, 59.963, 14.197, 1400.0, 1.699942, 0.000671, 15.0
1490811877.76906, 60.883, 14.475, 400.0, 1.7007904, 0.0003937, 6.0
1490811884.72806, 61.234, 14.566, 12000.0, 1.698456, 0.000962, 15.0
1490811895.973415, 61.804, 14.66, 1400.0, 1.700399, 0.00057, 15.0
1490811914.192774, 62.726, 15.023, 400.0, 1.7010595, 0.0003038, 6.0
1490811921.136295, 63.074, 15.077, 12000.0, 1.699064, 0.000907, 15.0
1490811932.383804, 63.641, 15.152, 1400.0, 1.700769, 0.00047, 15.0
1490811950.651277, 64.583, 15.533, 400.0, 1.7012553, 0.0002287, 6.0
1490811957.626623, 64.944, 15.574, 12000.0, 1.699629, 0.000852, 15.0
1490811968.887709, 65.512, 15.688, 1400.0, 1.701058, 0.000374, 15.0
1490811987.155319, 66.435, 15.989, 400.0, 1.701407, 0.0001687, 6.0
1490811994.145621, 66.789, 16.054, 12000.0, 1.700148, 0.000761, 15.0
1490812005.421731, 67.361, 16.241, 1400.0, 1.7012964, 0.0002908, 15.0
1490812023.69051, 68.281, 16.54, 400.0, 1.7015246, 0.0001267, 6.0
1490812030.697571, 68.635, 16.751, 12000.0, 1.7005694, 0.0006667, 15.0
1490812041.959122, 69.205, 16.634, 1400.0, 1.701445, 0.00021, 15.0
1490812060.257071, 70.12, 16.986, 400.0, 1.7016285, 9.894e-05, 6.0
1490812067.232286, 70.464, 17.15, 12000.0, 1.70092, 0.000566, 15.0
1490812078.494145, 71.023, 17.229, 1400.0, 1.701594, 0.0001686, 15.0
1490812096.758286, 71.939, 17.567, 400.0, 1.7017145, 7.861e-05, 6.0
1490812103.715154, 72.287, 17.666, 12000.0, 1.7012, 0.000452, 15.0
1490812114.978304, 72.853, 17.768, 1400.0, 1.701713, 0.000134, 15.0
1490812133.293954, 73.773, 18.084, 400.0, 1.7017925, 6.57e-05, 6.0
1490812140.268245, 74.125, 18.159, 12000.0, 1.701422, 0.000386, 15.0
1490812151.545235, 74.691, 18.283, 1400.0, 1.701785, 0.0001041, 15.0
1490812169.832573, 75.606, 18.574, 400.0, 1.7018694, 5.799e-05, 6.0
1490812176.821574, 75.953, 18.678, 12000.0, 1.701609, 0.000311, 15.0
1490812188.116494, 76.519, 18.796, 1400.0, 1.701887, 8.1e-05, 15.0
1490812206.383893, 77.437, 19.071, 400.0, 1.7019466, 5.317e-05, 6.0
1490812213.391404, 77.787, 19.196, 12000.0, 1.70177, 0.000247, 15.0
1490812224.65102, 78.355, 19.222, 1400.0, 1.701962, 6.6e-05, 15.0
1490812242.95285, 79.272, 19.485, 400.0, 1.702021, 4.94e-05, 6.0
1490812249.92721, 79.62, 19.59, 12000.0, 1.70183, 0.000176, 15.0
1490812261.187208, 80.199, 19.756, 1400.0, 1.702031, 6.6e-05, 15.0
1490812279.489062, 81.155, 19.98, 400.0, 1.70210422, 4.667e-05, 6.0
1490812286.449534, 81.513, 20.178, 12000.0, 1.701977, 0.000156, 15.0
1490812297.661567, 82.079, 20.242, 1400.0, 1.702111, 6.1e-05, 15.0
1490812315.897249, 82.991, 20.496, 400.0, 1.7021627, 4.53e-05, 6.0
1490812322.839398, 83.337, 20.594, 12000.0, 1.7020582, 0.0001432, 15.0
1490812334.085545, 83.897, 20.723, 1400.0, 1.702183, 5.5e-05, 15.0
1490812352.304931, 84.808, 20.951, 400.0, 1.7022407, 4.453e-05, 6.0
1490812359.216291, 85.153, 21.05, 12000.0, 1.70211, 0.000129, 15.0
1490812370.414134, 85.709, 21.183, 1400.0, 1.702227, 5.5e-05, 15.0
1490812388.611735, 86.62, 21.457, 400.0, 1.7023052, 4.33e-05, 6.0
1490812395.503269, 86.965, 21.541, 12000.0, 1.702218, 0.000103, 15.0
1490812406.743746, 87.525, 21.624, 1400.0, 1.702322, 4.5e-05, 15.0
1490812424.945921, 88.436, 21.829, 400.0, 1.7023753, 4.271e-05, 6.0
1490812431.872707, 88.781, 21.926, 12000.0, 1.702265, 9.41e-05, 15.0
1490812443.102575, 89.341, 22.07, 1400.0, 1.7023964, 4.52e-05, 15.0
1490812461.353147, 90.25, 22.29, 400.0, 1.7024372, 4.07e-05, 6.0
1490812468.279905, 90.594, 22.327, 12000.0, 1.702323, 9.4e-05, 15.0
1490812479.477086, 91.152, 22.454, 1400.0, 1.702451, 5.1e-05, 15.0
1490812497.694168, 92.065, 22.728, 400.0, 1.7025002, 3.93e-05, 6.0
1490812504.620255, 92.412, 22.776, 12000.0, 1.70244, 7e-05, 15.0
1490812515.866297, 92.976, 22.896, 1400.0, 1.702528, 4.58e-05, 15.0
1490812534.115867, 93.894, 23.119, 400.0, 1.702571, 3.963e-05, 6.0
1490812541.027697, 94.241, 23.169, 12000.0, 1.702501, 7.4e-05, 15.0
1490812552.224971, 94.8, 23.286, 1400.0, 1.702595, 4.6e-05, 15.0
1490812570.443007, 95.701, 23.505, 400.0, 1.70263392, 3.993e-05, 6.0
1490812577.352881, 96.044, 23.595, 12000.0, 1.702555, 6.7e-05, 15.0
1490812588.52756, 96.593, 23.675, 1400.0, 1.702657, 5.1e-05, 15.0
1490812606.721882, 97.193, 23.855, 400.0, 1.70268996, 3.84e-05, 6.0
1490812613.662904, 97.401, 23.949, 12000.0, 1.702622, 6.7e-05, 15.0
1490812624.845165, 97.594, 24.042, 1400.0, 1.702679, 3.2e-05, 15.0
