# This data file was created on Wed Mar 29 13:34:10 2017
# Chip ID: 2-20... Sample: GBA122... check loss peaks with 60V bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to low
1490816074.111006, 49.898, 31.513, 12000.0, 1.69476, 0.000701, 15.0
1490816085.325315, 49.535, 31.71, 1400.0, 1.696534, 0.0008, 15.0
1490816103.569658, 48.124, 18.031, 400.0, 1.697292, 0.0007701, 6.0
1490816110.504404, 47.252, 15.706, 12000.0, 1.694225, 0.000593, 15.0
1490816121.750733, 46.063, 14.866, 1400.0, 1.69548, 0.0006997, 15.0
1490816139.948121, 44.979, 14.439, 400.0, 1.6959698, 0.0006985, 6.0
1490816146.897535, 44.728, 14.333, 12000.0, 1.693621, 0.000515, 15.0
1490816158.142769, 44.375, 14.183, 1400.0, 1.6948421, 0.0006219, 15.0
1490816176.39077, 43.778, 13.967, 400.0, 1.6955295, 0.0006564, 6.0
1490816183.307338, 43.527, 13.901, 12000.0, 1.69343, 0.000465, 15.0
1490816194.554635, 43.088, 13.798, 1400.0, 1.694507, 0.0005622, 15.0
1490816212.767848, 42.324, 13.611, 400.0, 1.6950901, 0.0006054, 6.0
1490816219.71703, 42.023, 13.553, 12000.0, 1.693186, 0.000394, 15.0
1490816230.962096, 41.528, 13.44, 1400.0, 1.694138, 0.000496, 15.0
1490816249.144238, 40.712, 13.278, 400.0, 1.6946316, 0.0005417, 6.0
1490816256.076747, 40.396, 13.221, 12000.0, 1.692969, 0.000344, 15.0
1490816267.324373, 39.881, 13.131, 1400.0, 1.69378, 0.0004409, 15.0
1490816285.553274, 39.029, 12.969, 400.0, 1.6942033, 0.0004783, 6.0
1490816292.518429, 38.711, 12.888, 12000.0, 1.692749, 0.000298, 15.0
1490816303.749201, 38.19, 12.798, 1400.0, 1.69347, 0.00038, 15.0
1490816322.009848, 37.316, 12.578, 400.0, 1.6938196, 0.0004132, 6.0
1490816328.959317, 36.978, 12.551, 12000.0, 1.692606, 0.000273, 15.0
1490816340.173485, 36.437, 12.437, 1400.0, 1.693175, 0.000333, 15.0
1490816358.403096, 35.569, 12.299, 400.0, 1.6934748, 0.0003563, 6.0
1490816365.368656, 35.236, 12.236, 12000.0, 1.692414, 0.000256, 15.0
1490816376.582497, 34.686, 12.129, 1400.0, 1.692931, 0.000286, 15.0
1490816394.814598, 33.798, 12.005, 400.0, 1.6931795, 0.0003046, 6.0
1490816401.748125, 33.465, 11.919, 12000.0, 1.692279, 0.000201, 15.0
1490816412.961762, 32.913, 11.826, 1400.0, 1.69273, 0.000255, 15.0
1490816431.254966, 32.059, 11.66, 400.0, 1.6929228, 0.0002624, 6.0
1490816438.236719, 31.77, 11.615, 12000.0, 1.69214, 0.00022, 15.0
1490816449.498492, 31.262, 11.536, 1400.0, 1.692543, 0.0002167, 15.0
1490816467.776588, 30.396, 11.368, 400.0, 1.6927166, 0.0002283, 6.0
