# This data file was created on Wed Mar 29 15:42:17 2017
# Chip ID: 2-20... Sample: GBA122... warm up and cool back to 50K
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1490823761.266266, 50.14, 13.032, 12000.0, 1.69608, 0.000752, 15.0
1490823772.462785, 50.532, 13.116, 1400.0, 1.698075, 0.000866, 15.0
1490823790.678056, 51.435, 13.27, 400.0, 1.6995786, 0.0008311, 6.0
1490823797.651214, 51.81, 13.303, 12000.0, 1.696589, 0.000811, 15.0
1490823808.849151, 52.411, 13.361, 1400.0, 1.698777, 0.0009, 15.0
1490823827.051899, 53.39, 13.505, 400.0, 1.7003416, 0.0007961, 6.0
1490823833.978935, 53.763, 13.522, 12000.0, 1.697167, 0.000914, 15.0
1490823845.225032, 54.36, 13.597, 1400.0, 1.699574, 0.000902, 15.0
1490823863.459931, 55.31, 13.735, 400.0, 1.7010435, 0.0007267, 6.0
1490823870.403027, 55.669, 13.728, 12000.0, 1.697891, 0.000961, 15.0
1490823881.616725, 56.239, 13.756, 1400.0, 1.700308, 0.000865, 15.0
1490823899.804995, 57.167, 13.942, 400.0, 1.7016296, 0.0006367, 6.0
1490823906.747646, 57.525, 13.98, 12000.0, 1.698572, 0.001012, 15.0
1490823917.945287, 58.107, 14.053, 1400.0, 1.700992, 0.000807, 15.0
1490823936.13137, 59.039, 14.183, 400.0, 1.7021237, 0.0005316, 6.0
1490823943.123943, 59.396, 14.216, 12000.0, 1.69927, 0.001031, 15.0
1490823954.371372, 59.973, 14.262, 1400.0, 1.701575, 0.000706, 15.0
1490823972.591143, 60.904, 14.408, 400.0, 1.7025155, 0.0004238, 6.0
1490823979.582065, 61.258, 14.404, 12000.0, 1.699974, 0.001019, 15.0
1490823990.812111, 61.827, 14.491, 1400.0, 1.702068, 0.000608, 15.0
1490824009.064383, 62.754, 14.578, 400.0, 1.7028045, 0.000326, 6.0
1490824015.975472, 63.105, 14.634, 12000.0, 1.700633, 0.00099, 15.0
1490824027.188683, 63.671, 14.677, 1400.0, 1.702487, 0.000513, 15.0
1490824045.440831, 64.601, 14.793, 400.0, 1.7030234, 0.0002466, 6.0
1490824052.383406, 64.958, 14.844, 12000.0, 1.70128, 0.000911, 15.0
1490824063.612385, 65.537, 14.88, 1400.0, 1.702819, 0.000402, 15.0
1490824081.816174, 66.474, 14.995, 400.0, 1.7031892, 0.000181, 6.0
1490824088.792472, 66.828, 15.004, 12000.0, 1.701775, 0.000823, 15.0
1490824100.053866, 67.396, 15.089, 1400.0, 1.703048, 0.000319, 15.0
1490824118.319243, 68.312, 15.185, 400.0, 1.7033167, 0.0001361, 6.0
1490824125.296247, 68.658, 15.214, 12000.0, 1.702258, 0.000702, 15.0
1490824136.58779, 69.223, 15.288, 1400.0, 1.703243, 0.000235, 15.0
1490824154.872643, 70.13, 15.228, 400.0, 1.7034182, 0.00010516, 6.0
1490824161.879016, 70.474, 15.313, 12000.0, 1.702634, 0.000612, 15.0
1490824173.141264, 71.03, 15.373, 1400.0, 1.703381, 0.000186, 15.0
1490824191.408945, 71.929, 15.463, 400.0, 1.7035088, 8.35e-05, 6.0
1490824198.383386, 72.276, 15.476, 12000.0, 1.702961, 0.000503, 15.0
1490824209.645199, 72.837, 15.556, 1400.0, 1.703487, 0.00014, 15.0
1490824227.944557, 73.761, 15.622, 400.0, 1.7035954, 6.93e-05, 6.0
1490824234.903118, 74.118, 15.657, 12000.0, 1.703198, 0.000409, 15.0
1490824246.198527, 74.694, 15.728, 1400.0, 1.70359, 0.000117, 15.0
1490824264.446773, 75.621, 15.873, 400.0, 1.7036766, 5.921e-05, 6.0
1490824271.381912, 75.971, 15.914, 12000.0, 1.703375, 0.0003329, 15.0
1490824282.597127, 76.537, 15.966, 1400.0, 1.703672, 9.1e-05, 15.0
1490824300.827026, 77.456, 15.945, 400.0, 1.7037518, 5.47e-05, 6.0
1490824307.760374, 77.802, 15.987, 12000.0, 1.70354, 0.000256, 15.0
1490824318.989792, 78.361, 16.055, 1400.0, 1.703765, 7.41e-05, 15.0
1490824337.204008, 79.268, 16.095, 400.0, 1.7038217, 5.05e-05, 6.0
1490824344.170125, 79.615, 16.156, 12000.0, 1.703656, 0.0002012, 15.0
1490824355.415263, 80.185, 16.226, 1400.0, 1.7038206, 6.66e-05, 15.0
1490824373.646048, 81.15, 16.293, 400.0, 1.7038984, 4.67e-05, 6.0
1490824380.610743, 81.52, 16.329, 12000.0, 1.703757, 0.000165, 15.0
1490824391.840793, 82.11, 16.369, 1400.0, 1.703895, 5.88e-05, 15.0
1490824410.103245, 83.046, 16.431, 400.0, 1.7039683, 4.42e-05, 6.0
1490824417.052113, 83.396, 16.509, 12000.0, 1.703836, 0.0001329, 15.0
1490824428.282202, 83.948, 16.545, 1400.0, 1.70396, 5.1e-05, 15.0
1490824446.49607, 84.835, 16.6, 400.0, 1.7040377, 4.21e-05, 6.0
1490824453.461078, 85.171, 16.638, 12000.0, 1.703919, 0.000119, 15.0
1490824464.690496, 85.716, 16.664, 1400.0, 1.704047, 5.8e-05, 15.0
1490824482.936975, 86.618, 16.768, 400.0, 1.7041035, 4.207e-05, 6.0
1490824489.901989, 86.971, 16.786, 12000.0, 1.704005, 0.000112, 15.0
1490824501.132606, 87.542, 16.84, 1400.0, 1.704101, 5.2e-05, 15.0
1490824519.347603, 88.474, 16.916, 400.0, 1.7041706, 4.043e-05, 6.0
1490824526.328614, 88.826, 16.956, 12000.0, 1.704063, 8.4e-05, 15.0
1490824537.55903, 89.4, 17.0, 1400.0, 1.704172, 5.21e-05, 15.0
1490824555.773153, 90.312, 17.058, 400.0, 1.7042368, 3.896e-05, 6.0
1490824562.772071, 90.656, 17.091, 12000.0, 1.704131, 8e-05, 15.0
1490824574.06619, 91.206, 17.153, 1400.0, 1.704243, 3.5e-05, 15.0
1490824592.359927, 92.108, 17.213, 400.0, 1.7043005, 3.96e-05, 6.0
1490824599.358168, 92.459, 17.24, 12000.0, 1.704213, 6.6e-05, 15.0
1490824610.62205, 93.023, 17.281, 1400.0, 1.704309, 3.8e-05, 15.0
1490824628.883833, 93.933, 17.357, 400.0, 1.7043655, 3.97e-05, 6.0
1490824635.863705, 94.18, 17.393, 12000.0, 1.70427, 8.2e-05, 15.0
1490824647.143146, 94.383, 17.4, 1400.0, 1.704356, 4.7e-05, 15.0
1490824665.45188, 93.65, 17.386, 400.0, 1.70437713, 3.888e-05, 6.0
1490824672.434436, 93.112, 17.366, 12000.0, 1.704233, 8.6e-05, 15.0
1490824683.728378, 91.991, 17.276, 1400.0, 1.704282, 3.5e-05, 15.0
1490824702.004442, 89.7, 17.124, 400.0, 1.7042324, 4.06e-05, 6.0
1490824709.002715, 88.862, 17.083, 12000.0, 1.70401, 0.000111, 15.0
1490824720.265041, 87.849, 16.975, 1400.0, 1.704088, 3.6e-05, 15.0
1490824738.526715, 87.048, 16.918, 400.0, 1.7040891, 4.213e-05, 6.0
1490824745.474067, 86.903, 16.906, 12000.0, 1.703957, 0.000106, 15.0
1490824756.735875, 86.729, 16.889, 1400.0, 1.704044, 5.5e-05, 15.0
1490824775.030169, 86.413, 16.914, 400.0, 1.7040623, 4.125e-05, 6.0
1490824782.01203, 86.237, 16.901, 12000.0, 1.703939, 9.4e-05, 15.0
1490824793.306601, 85.856, 16.868, 1400.0, 1.704004, 4.23e-05, 15.0
1490824811.568758, 84.97, 16.835, 400.0, 1.7040139, 4.424e-05, 6.0
1490824818.551025, 84.543, 16.815, 12000.0, 1.703847, 0.000118, 15.0
1490824829.84425, 83.797, 16.738, 1400.0, 1.70392, 4.9e-05, 15.0
1490824848.122584, 82.589, 16.654, 400.0, 1.7039241, 4.4e-05, 6.0
1490824855.070949, 82.171, 16.632, 12000.0, 1.703728, 0.000142, 15.0
1490824866.334645, 81.567, 16.576, 1400.0, 1.703852, 6.8e-05, 15.0
1490824884.64542, 80.734, 16.524, 400.0, 1.7038451, 4.782e-05, 6.0
1490824891.64204, 80.435, 16.499, 12000.0, 1.703635, 0.000186, 15.0
1490824902.936674, 79.952, 16.453, 1400.0, 1.703766, 5.5e-05, 15.0
1490824921.246851, 79.12, 16.405, 400.0, 1.7037799, 4.94e-05, 6.0
1490824928.243738, 78.79, 16.37, 12000.0, 1.703528, 0.000227, 15.0
1490824939.504368, 78.25, 16.32, 1400.0, 1.703696, 7.82e-05, 15.0
1490824957.782485, 77.349, 16.255, 400.0, 1.7037037, 5.446e-05, 6.0
1490824964.779798, 76.998, 16.23, 12000.0, 1.703428, 0.000275, 15.0
1490824976.042015, 76.429, 16.183, 1400.0, 1.703613, 8.2e-05, 15.0
