# This data file was created on Wed Mar 29 15:00:54 2017
# 
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V], DC Voltage [V]
# DC bias set to LO
1490821277.837714, 50.286, 12.59, 12000.0, 1.69549, 0.000721, 15.0, 0.5605552595000001
1490821289.145347, 50.216, 12.589, 1400.0, 1.697324, 0.00083, 15.0, 0.552660115
1490821307.458602, 50.122, 12.519, 400.0, 1.6984451, 0.0008013, 6.0, 0.5447649705000001
1490821314.46923, 50.097, 12.632, 12000.0, 1.69542, 0.000714, 15.0, 5.479230283000001
1490821325.74885, 50.071, 12.642, 1400.0, 1.6972865, 0.000828, 15.0, 5.471335138500001
1490821344.079488, 50.045, 12.617, 400.0, 1.6984042, 0.0008002, 6.0, 5.471335138500001
1490821351.068092, 50.041, 12.583, 12000.0, 1.695441, 0.000714, 15.0, 10.374219873000001
1490821362.379615, 50.033, 12.636, 1400.0, 1.69727, 0.000813, 15.0, 10.374219873000001
1490821380.709489, 50.024, 12.603, 400.0, 1.6983983, 0.0008041, 6.0, 10.374219873000001
1490821387.713336, 50.022, 12.574, 12000.0, 1.695419, 0.000736, 15.0, 15.411322064000002
1490821399.008006, 50.018, 12.602, 1400.0, 1.697271, 0.000828, 15.0, 15.411322064000002
1490821417.324778, 50.012, 12.645, 400.0, 1.6984012, 0.0008008, 6.0, 15.411322064000002
1490821424.328523, 50.011, 12.626, 12000.0, 1.695428, 0.00072, 15.0, 20.353682521000003
1490821435.625651, 50.01, 12.666, 1400.0, 1.697266, 0.000836, 15.0, 20.36947281
1490821453.952697, 50.006, 12.629, 400.0, 1.6984115, 0.0007995, 6.0, 20.345787376500002
1490821460.962911, 50.006, 12.624, 12000.0, 1.695441, 0.00073, 15.0, 25.438155579000004
1490821472.236096, 50.005, 12.631, 1400.0, 1.697302, 0.000827, 15.0, 25.4460507235
1490821490.553803, 50.003, 12.594, 400.0, 1.6984233, 0.0008025, 6.0, 25.438155579000004
1490821497.546999, 50.004, 12.636, 12000.0, 1.69546, 0.000717, 15.0, 30.317354880000003
1490821508.843002, 50.002, 12.625, 1400.0, 1.697308, 0.000821, 15.0, 30.317354880000003
1490821527.187488, 50.003, 12.717, 400.0, 1.6984359, 0.0008025, 6.0, 30.325250024500004
1490821534.128887, 50.003, 12.632, 12000.0, 1.695438, 0.000719, 15.0, 35.39393279350001
1490821545.438642, 50.002, 12.61, 1400.0, 1.697329, 0.000841, 15.0, 35.401827938000004
1490821563.826037, 50.002, 12.635, 400.0, 1.6984704, 0.0008051, 6.0, 35.401827938000004
1490821570.884071, 50.002, 12.696, 12000.0, 1.695479, 0.000745, 15.0, 40.344188395
1490821582.271976, 50.001, 12.654, 1400.0, 1.69738, 0.000826, 15.0, 40.336293250500006
1490821600.662724, 50.0, 12.648, 400.0, 1.6985034, 0.0008047, 6.0, 40.336293250500006
1490821607.755482, 50.0, 12.667, 12000.0, 1.69568, 0.000735, 15.0, 45.41287116400001
1490821619.139374, 50.001, 12.607, 1400.0, 1.697638, 0.000851, 15.0, 45.41287116400001
1490821637.612942, 49.999, 12.631, 400.0, 1.6988139, 0.0008176, 6.0, 45.41287116400001
1490821644.689887, 50.0, 12.705, 12000.0, 1.69576, 0.000762, 15.0, 50.33154618750001
1490821656.072826, 49.999, 12.712, 1400.0, 1.697707, 0.000847, 15.0, 50.339441332
1490821674.516742, 50.001, 12.73, 400.0, 1.698885, 0.0008227, 6.0, 50.33154618750001
1490821681.641263, 50.001, 12.656, 12000.0, 1.695864, 0.000763, 15.0, 55.439704679
1490821693.026175, 50.001, 12.647, 1400.0, 1.698072, 0.000868, 15.0, 55.439704679
1490821711.490988, 50.001, 12.679, 400.0, 1.6992469, 0.0008346, 6.0, 55.45549496800001
1490821718.596482, 50.002, 12.637, 12000.0, 1.696119, 0.000762, 15.0, 60.429436003000006
1490821730.03301, 50.002, 12.655, 1400.0, 1.698211, 0.000872, 15.0, 60.41364571400001
1490821748.486179, 50.001, 12.66, 400.0, 1.699413, 0.0008391, 6.0, 60.41364571400001
1490821755.623143, 50.001, 12.635, 12000.0, 1.69621, 0.000759, 15.0, 60.41364571400001
1490821767.060505, 50.001, 12.661, 1400.0, 1.69821, 0.00087, 15.0, 60.41364571400001
1490821785.521004, 50.001, 12.679, 400.0, 1.6993917, 0.000841, 6.0, 60.42154085850001
1490821792.609234, 50.0, 12.642, 12000.0, 1.696135, 0.000761, 15.0, 55.447599823500006
1490821804.008833, 50.001, 12.71, 1400.0, 1.698163, 0.00087, 15.0, 55.45549496800001
1490821822.497658, 50.0, 12.777, 400.0, 1.6993446, 0.0008389, 6.0, 55.447599823500006
1490821829.568582, 50.001, 12.734, 12000.0, 1.69613, 0.000764, 15.0, 50.339441332
1490821840.931184, 50.001, 12.669, 1400.0, 1.69813, 0.000866, 15.0, 50.323651043000005
1490821859.33879, 50.002, 12.688, 400.0, 1.699299, 0.000836, 6.0, 50.33154618750001
1490821866.480957, 50.001, 12.641, 12000.0, 1.69613, 0.000738, 15.0, 45.404976019500005
1490821877.89994, 50.001, 12.691, 1400.0, 1.698093, 0.00086, 15.0, 45.41287116400001
1490821896.371576, 50.0, 12.696, 400.0, 1.6992622, 0.0008384, 6.0, 45.41287116400001
1490821903.510905, 50.0, 12.766, 12000.0, 1.6961, 0.000764, 15.0, 40.344188395
1490821914.887417, 50.0, 12.701, 1400.0, 1.698072, 0.000855, 15.0, 40.344188395
1490821933.361744, 50.001, 12.664, 400.0, 1.6992344, 0.0008367, 6.0, 40.336293250500006
1490821940.496435, 50.001, 12.713, 12000.0, 1.696087, 0.000749, 15.0, 35.401827938000004
1490821951.943121, 50.001, 12.737, 1400.0, 1.698004, 0.00086, 15.0, 35.386037649
1490821970.406503, 50.0, 12.805, 400.0, 1.6992081, 0.000833, 6.0, 35.401827938000004
1490821977.485507, 50.001, 12.682, 12000.0, 1.696022, 0.000738, 15.0, 30.317354880000003
1490821988.89617, 50.0, 12.708, 1400.0, 1.6979991, 0.0008598, 15.0, 30.317354880000003
1490822007.360296, 50.001, 12.765, 400.0, 1.6991772, 0.0008335, 6.0, 30.325250024500004
1490822014.563304, 50.0, 12.746, 12000.0, 1.696059, 0.000758, 15.0, 25.430260434500003
1490822025.963386, 50.001, 12.695, 1400.0, 1.697969, 0.000865, 15.0, 25.4460507235
1490822044.413307, 49.999, 12.705, 400.0, 1.6991516, 0.000834, 6.0, 25.4460507235
1490822051.547123, 50.0, 12.711, 12000.0, 1.696016, 0.000743, 15.0, 20.361577665500004
1490822062.990764, 50.0, 12.77, 1400.0, 1.697961, 0.000857, 15.0, 20.36947281
1490822081.504037, 50.0, 12.737, 400.0, 1.6991367, 0.0008344, 6.0, 20.361577665500004
1490822088.631148, 50.0, 12.707, 12000.0, 1.696015, 0.000751, 15.0, 15.419217208500003
1490822100.092867, 50.002, 12.694, 1400.0, 1.697961, 0.000857, 15.0, 15.411322064000002
1490822118.58084, 50.001, 12.709, 400.0, 1.6991223, 0.0008321, 6.0, 15.427112353000002
1490822125.701154, 50.001, 12.742, 12000.0, 1.696029, 0.000732, 15.0, 10.374219873000001
1490822137.082268, 50.001, 12.679, 1400.0, 1.697925, 0.000852, 15.0, 10.374219873000001
1490822155.565041, 50.0, 12.721, 400.0, 1.6991076, 0.0008342, 6.0, 10.374219873000001
1490822162.67601, 50.001, 12.671, 12000.0, 1.696016, 0.000728, 15.0, 5.471335138500001
1490822174.116031, 50.001, 12.68, 1400.0, 1.697927, 0.000853, 15.0, 5.463439994000001
1490822192.563785, 50.002, 12.707, 400.0, 1.6991061, 0.0008321, 6.0, 5.471335138500001
1490822199.633423, 50.001, 12.733, 12000.0, 1.696032, 0.000742, 15.0, 0.552660115
1490822211.04365, 50.001, 12.743, 1400.0, 1.697929, 0.000858, 15.0, 0.5605552595000001
1490822229.483184, 50.0, 12.72, 400.0, 1.6990984, 0.0008346, 6.0, 0.5605552595000001
1490822236.625478, 50.0, 12.733, 12000.0, 1.696002, 0.000738, 15.0, 0.552660115
1490822248.065957, 50.0, 12.845, 1400.0, 1.697914, 0.00086, 15.0, 0.5605552595000001
1490822266.567958, 50.0, 12.724, 400.0, 1.6990953, 0.0008342, 6.0, 0.5605552595000001
1490822273.704829, 50.0, 12.735, 12000.0, 1.696002, 0.000751, 15.0, -4.523918085
1490822285.114218, 50.0, 12.757, 1400.0, 1.69792, 0.000856, 15.0, -4.53181323
1490822303.601618, 50.001, 12.755, 400.0, 1.6990945, 0.0008297, 6.0, -4.523918085
1490822310.747782, 50.001, 12.775, 12000.0, 1.696012, 0.000763, 15.0, -9.42680313
1490822322.146139, 50.001, 12.825, 1400.0, 1.697925, 0.000849, 15.0, -9.450488564999999
1490822340.599902, 50.001, 12.7, 400.0, 1.6990941, 0.0008339, 6.0, -9.442593420000001
1490822347.668631, 50.001, 12.828, 12000.0, 1.696038, 0.000744, 15.0, -14.49548622
1490822359.112083, 50.001, 12.755, 1400.0, 1.697933, 0.000853, 15.0, -14.487591075000001
1490822377.53642, 50.001, 12.738, 400.0, 1.6991002, 0.0008337, 6.0, -14.487591075000001
1490822384.636728, 50.001, 12.74, 12000.0, 1.695999, 0.000726, 15.0, -19.422056700000002
1490822396.081253, 50.001, 12.796, 1400.0, 1.697927, 0.000855, 15.0, -19.422056700000002
1490822414.513021, 50.001, 12.803, 400.0, 1.6991116, 0.0008362, 6.0, -19.422056700000002
1490822421.648781, 50.0, 12.885, 12000.0, 1.696029, 0.000741, 15.0, -24.50653008
1490822433.054017, 50.001, 12.843, 1400.0, 1.697948, 0.0008586, 15.0, -24.50653008
1490822451.546527, 50.001, 12.845, 400.0, 1.6991257, 0.0008366, 6.0, -24.50653008
1490822458.634098, 50.001, 12.878, 12000.0, 1.696023, 0.000754, 15.0, -29.38572969
1490822470.090154, 50.001, 12.804, 1400.0, 1.697964, 0.000854, 15.0, -29.38572969
1490822488.528114, 50.001, 12.754, 400.0, 1.6991404, 0.0008331, 6.0, -29.393624834999997
1490822495.668974, 50.001, 12.777, 12000.0, 1.69608, 0.000758, 15.0, -34.47020307
1490822507.072273, 50.001, 12.866, 1400.0, 1.6979717, 0.0008644, 15.0, -34.478098215
1490822525.522521, 50.001, 12.733, 400.0, 1.6991635, 0.0008355, 6.0, -34.47020307
1490822532.672803, 50.002, 12.763, 12000.0, 1.696036, 0.000752, 15.0, -39.388878405
1490822544.068734, 50.002, 12.828, 1400.0, 1.698016, 0.000867, 15.0, -39.388878405
1490822562.522786, 50.0, 12.81, 400.0, 1.6991908, 0.0008335, 6.0, -39.388878405
1490822569.631026, 50.001, 12.737, 12000.0, 1.696081, 0.000749, 15.0, -44.489142075
1490822581.069758, 50.0, 12.724, 1400.0, 1.698053, 0.000856, 15.0, -44.489142075
1490822599.534692, 50.002, 12.732, 400.0, 1.6992156, 0.0008343, 6.0, -44.49703722
1490822606.711618, 50.001, 12.868, 12000.0, 1.696109, 0.000746, 15.0, -49.47097857
1490822618.151464, 50.002, 12.793, 1400.0, 1.698075, 0.000868, 15.0, -49.463083425
