# This data file was created on Thu Mar 30 10:56:35 2017
# Chip ID: 2-20... Sample: GBA122... put 100V on it while cooling, turn off bias for coming up
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to low
1490893039.002987, 296.798, 296.007, 12000.0, 1.715713, 0.000201, 15.0
1490893050.18485, 296.799, 296.007, 1400.0, 1.716191, 0.000238, 15.0
1490893068.398796, 296.799, 296.007, 400.0, 1.7165016, 0.0002967, 6.0
1490893075.316409, 296.8, 296.007, 12000.0, 1.715751, 0.000206, 15.0
1490893086.530804, 296.8, 296.008, 1400.0, 1.716182, 0.00024, 15.0
1490893104.744898, 296.801, 296.009, 400.0, 1.7165003, 0.0002952, 6.0
1490893111.646461, 296.801, 296.009, 12000.0, 1.715723, 0.000204, 15.0
1490893122.860526, 296.801, 296.009, 1400.0, 1.716179, 0.0002377, 15.0
1490893141.056957, 296.802, 296.009, 400.0, 1.7164988, 0.00029484, 6.0
1490893147.990038, 296.802, 296.01, 12000.0, 1.715726, 0.000195, 15.0
1490893159.221195, 296.802, 296.01, 1400.0, 1.716192, 0.000231, 15.0
1490893177.43354, 296.803, 296.011, 400.0, 1.7164958, 0.0002988, 6.0
1490893184.38331, 296.803, 296.011, 12000.0, 1.71569, 0.000191, 15.0
1490893195.630223, 296.804, 296.012, 1400.0, 1.716195, 0.000231, 15.0
1490893213.858355, 296.804, 296.012, 400.0, 1.7164995, 0.0002947, 6.0
1490893220.808313, 296.804, 296.012, 12000.0, 1.715745, 0.000192, 15.0
1490893232.038723, 296.805, 296.012, 1400.0, 1.716179, 0.0002412, 15.0
1490893250.253338, 296.805, 296.013, 400.0, 1.7164971, 0.0002968, 6.0
1490893257.218276, 296.806, 296.013, 12000.0, 1.715729, 0.000194, 15.0
1490893268.464912, 296.806, 296.013, 1400.0, 1.716169, 0.000235, 15.0
1490893286.694326, 296.806, 296.014, 400.0, 1.7165011, 0.000297, 6.0
1490893293.613159, 296.807, 296.015, 12000.0, 1.71573, 0.000203, 15.0
1490893304.859153, 296.807, 296.015, 1400.0, 1.716191, 0.000242, 15.0
1490893323.058232, 296.808, 296.015, 400.0, 1.7165009, 0.0002975, 6.0
1490893330.023955, 296.808, 296.016, 12000.0, 1.715739, 0.000205, 15.0
1490893341.269219, 296.809, 296.016, 1400.0, 1.716192, 0.000234, 15.0
1490893359.530364, 296.809, 296.017, 400.0, 1.7164975, 0.000296, 6.0
1490893366.480243, 296.809, 296.017, 12000.0, 1.71572, 0.000209, 15.0
1490893377.742857, 296.81, 296.017, 1400.0, 1.716194, 0.000231, 15.0
1490893396.02039, 296.81, 296.018, 400.0, 1.7165001, 0.0002967, 6.0
1490893403.000894, 296.81, 296.018, 12000.0, 1.715722, 0.000205, 15.0
1490893414.277671, 296.811, 296.018, 1400.0, 1.716183, 0.0002412, 15.0
1490893432.588707, 296.811, 296.019, 400.0, 1.7164971, 0.0002954, 6.0
1490893439.570536, 296.812, 296.019, 12000.0, 1.715715, 0.000205, 15.0
1490893450.833287, 296.812, 296.019, 1400.0, 1.716171, 0.000234, 15.0
1490893469.094606, 296.813, 296.02, 400.0, 1.7164968, 0.0002981, 6.0
1490893476.059336, 296.813, 296.02, 12000.0, 1.71578, 0.000208, 15.0
1490893487.322463, 296.813, 296.02, 1400.0, 1.716182, 0.000233, 15.0
1490893505.618341, 296.814, 296.021, 400.0, 1.7164978, 0.0002974, 6.0
1490893512.58283, 296.814, 296.021, 12000.0, 1.715752, 0.000192, 15.0
1490893523.844704, 296.814, 296.022, 1400.0, 1.716191, 0.00024, 15.0
1490893542.106576, 296.815, 296.022, 400.0, 1.7164972, 0.0002977, 6.0
1490893549.071945, 296.815, 296.022, 12000.0, 1.7157511, 0.0001978, 15.0
1490893560.334806, 296.815, 296.023, 1400.0, 1.716169, 0.000236, 15.0
1490893578.59647, 296.816, 296.023, 400.0, 1.7164997, 0.000295, 6.0
1490893585.561079, 296.816, 296.023, 12000.0, 1.715745, 0.000209, 15.0
1490893596.822555, 296.817, 296.024, 1400.0, 1.716185, 0.000236, 15.0
1490893615.101309, 296.817, 296.024, 400.0, 1.7164994, 0.0002947, 6.0
1490893622.09697, 296.817, 296.024, 12000.0, 1.715738, 0.00019, 15.0
1490893633.359458, 296.818, 296.025, 1400.0, 1.716192, 0.0002311, 15.0
1490893651.637733, 296.818, 296.025, 400.0, 1.7164935, 0.0002975, 6.0
1490893658.619485, 296.818, 296.026, 12000.0, 1.715715, 0.000204, 15.0
1490893669.89711, 296.819, 296.026, 1400.0, 1.716182, 0.0002412, 15.0
1490893688.177589, 296.819, 296.026, 400.0, 1.7164969, 0.0002999, 6.0
1490893695.159013, 296.82, 296.027, 12000.0, 1.715716, 0.000192, 15.0
1490893706.45146, 296.82, 296.027, 1400.0, 1.716175, 0.000244, 15.0
1490893724.748412, 296.82, 296.028, 400.0, 1.7164885, 0.0002976, 6.0
1490893731.745308, 296.82, 296.028, 12000.0, 1.71571, 0.000186, 15.0
1490893743.007602, 296.821, 296.028, 1400.0, 1.716162, 0.000234, 15.0
1490893761.287022, 296.821, 296.029, 400.0, 1.71649, 0.0002966, 6.0
1490893768.250075, 296.822, 296.029, 12000.0, 1.715712, 0.00021, 15.0
1490893779.530799, 296.822, 296.029, 1400.0, 1.716173, 0.000234, 15.0
1490893797.808623, 296.823, 296.03, 400.0, 1.7164884, 0.0002977, 6.0
1490893804.790521, 296.823, 296.03, 12000.0, 1.715736, 0.000202, 15.0
1490893816.083696, 296.823, 296.03, 1400.0, 1.716166, 0.00024, 15.0
1490893834.345545, 296.824, 296.03, 400.0, 1.7164877, 0.0002953, 6.0
1490893841.376311, 296.824, 296.031, 12000.0, 1.71522, 0.000193, 15.0
1490893852.638876, 296.825, 296.031, 1400.0, 1.715659, 0.000232, 15.0
1490893870.916325, 296.825, 296.032, 400.0, 1.7159706, 0.0002957, 6.0
1490893877.880566, 296.825, 296.032, 12000.0, 1.71523, 0.000191, 15.0
1490893889.126171, 296.826, 296.032, 1400.0, 1.715658, 0.000233, 15.0
1490893907.325303, 296.826, 296.032, 400.0, 1.7159713, 0.0002935, 6.0
1490893914.242697, 296.826, 296.032, 12000.0, 1.715227, 0.000198, 15.0
1490893925.440185, 296.827, 296.033, 1400.0, 1.715648, 0.000237, 15.0
1490893943.653976, 296.827, 296.034, 400.0, 1.7159727, 0.00029318, 6.0
1490893950.57195, 296.828, 296.033, 12000.0, 1.715238, 0.000198, 15.0
1490893961.770057, 296.828, 296.034, 1400.0, 1.715652, 0.00024, 15.0
1490893980.00049, 296.828, 296.034, 400.0, 1.7159762, 0.0002925, 6.0
1490893986.900029, 296.829, 296.034, 12000.0, 1.715248, 0.000194, 15.0
1490893998.131219, 296.829, 296.035, 1400.0, 1.715664, 0.00023, 15.0
1490894016.342894, 296.829, 296.036, 400.0, 1.7159753, 0.0002907, 6.0
1490894023.277374, 296.83, 296.036, 12000.0, 1.715208, 0.000195, 15.0
1490894034.44193, 296.83, 296.036, 1400.0, 1.715667, 0.000227, 15.0
1490894052.625615, 296.831, 296.038, 400.0, 1.7159791, 0.0002938, 6.0
1490894059.560037, 296.831, 296.039, 12000.0, 1.715225, 0.000199, 15.0
1490894070.758783, 296.831, 296.04, 1400.0, 1.715657, 0.00023, 15.0
1490894088.955613, 296.832, 296.041, 400.0, 1.7159769, 0.0002941, 6.0
1490894095.905186, 296.832, 296.042, 12000.0, 1.715238, 0.000208, 15.0
1490894107.103652, 296.832, 296.044, 1400.0, 1.715659, 0.00023, 15.0
1490894125.317424, 296.833, 296.047, 400.0, 1.7159739, 0.00029277, 6.0
