# This data file was created on Thu Mar 30 12:33:26 2017
# Chip ID: 2-20... Sample: GBA122... Cool with 100V
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to low
1490898850.300779, 199.992, 22.679, 12000.0, 1.711276, 9.8e-05, 15.0
1490898861.514831, 199.992, 22.664, 1400.0, 1.711567, 9.18e-05, 15.0
1490898879.730628, 199.993, 22.621, 400.0, 1.7116499, 8.78e-05, 6.0
1490898886.710546, 199.993, 22.575, 12000.0, 1.71137, 0.000105, 15.0
1490898897.940846, 199.994, 22.538, 1400.0, 1.711542, 9.2e-05, 15.0
1490898916.155372, 199.994, 22.49, 400.0, 1.711645, 8.94e-05, 6.0
1490898923.08894, 199.994, 22.43, 12000.0, 1.711303, 0.000121, 15.0
1490898934.319517, 199.994, 22.445, 1400.0, 1.711527, 8.9e-05, 15.0
1490898952.566996, 199.992, 22.403, 400.0, 1.7116326, 8.75e-05, 6.0
1490898959.469284, 199.991, 22.352, 12000.0, 1.711279, 9.2e-05, 15.0
1490898970.715155, 199.991, 22.317, 1400.0, 1.711535, 9.2e-05, 15.0
1490898988.959309, 199.79, 22.29, 400.0, 1.7116157, 9.33e-05, 6.0
1490898995.925297, 199.513, 22.286, 12000.0, 1.71129, 8.8e-05, 15.0
1490899007.154708, 198.905, 22.203, 1400.0, 1.711495, 9.6e-05, 15.0
1490899025.368695, 197.662, 22.095, 400.0, 1.7115725, 8.14e-05, 6.0
1490899032.31848, 197.139, 22.111, 12000.0, 1.71126, 0.000106, 15.0
1490899043.548432, 196.266, 22.029, 1400.0, 1.71148, 8.8e-05, 15.0
1490899061.778226, 194.84, 21.877, 400.0, 1.7115343, 8.03e-05, 6.0
1490899068.727787, 194.297, 21.782, 12000.0, 1.711199, 8.8e-05, 15.0
1490899079.940002, 193.438, 21.691, 1400.0, 1.711418, 8.4e-05, 15.0
1490899098.186377, 192.08, 21.565, 400.0, 1.7114932, 7.44e-05, 6.0
1490899105.120202, 191.578, 21.499, 12000.0, 1.71115, 7.9e-05, 15.0
1490899116.381035, 190.778, 21.424, 1400.0, 1.711377, 8e-05, 15.0
1490899134.677025, 189.506, 21.317, 400.0, 1.7114612, 7.33e-05, 6.0
1490899141.641278, 189.031, 21.236, 12000.0, 1.71113, 8.4e-05, 15.0
1490899152.935627, 188.266, 21.187, 1400.0, 1.711357, 7.9e-05, 15.0
1490899171.19699, 187.045, 20.987, 400.0, 1.7114235, 6.74e-05, 6.0
1490899178.179382, 186.582, 20.945, 12000.0, 1.711138, 9e-05, 15.0
1490899189.441023, 185.838, 20.891, 1400.0, 1.711318, 7.2e-05, 15.0
1490899207.699912, 184.628, 20.775, 400.0, 1.7113885, 6.95e-05, 6.0
1490899214.697815, 184.161, 20.685, 12000.0, 1.71108, 8.2e-05, 15.0
1490899225.962191, 183.43, 20.633, 1400.0, 1.711298, 7.2e-05, 15.0
1490899244.272985, 182.227, 20.527, 400.0, 1.7113505, 6.55e-05, 6.0
1490899251.237893, 181.769, 20.492, 12000.0, 1.711076, 7.7e-05, 15.0
1490899262.533077, 181.021, 20.424, 1400.0, 1.711247, 7.5e-05, 15.0
1490899280.795481, 179.805, 20.297, 400.0, 1.711318, 6.08e-05, 6.0
1490899287.727769, 179.341, 20.233, 12000.0, 1.711073, 8.2e-05, 15.0
1490899298.990269, 178.59, 20.239, 1400.0, 1.711212, 4.3e-05, 15.0
1490899317.268559, 177.374, 20.033, 400.0, 1.7112796, 6.24e-05, 6.0
1490899324.216085, 176.913, 20.013, 12000.0, 1.711033, 9.6e-05, 15.0
1490899335.495167, 176.16, 19.93, 1400.0, 1.711192, 7e-05, 15.0
1490899353.789632, 174.948, 19.82, 400.0, 1.711237, 5.9e-05, 6.0
1490899360.739193, 174.484, 19.795, 12000.0, 1.710939, 8e-05, 15.0
1490899372.032892, 173.735, 19.703, 1400.0, 1.711162, 6.9e-05, 15.0
1490899390.328168, 172.52, 19.557, 400.0, 1.711206, 5.8e-05, 6.0
1490899397.261913, 172.055, 19.549, 12000.0, 1.710982, 7.1e-05, 15.0
1490899408.556187, 171.307, 19.478, 1400.0, 1.711143, 7.5e-05, 15.0
1490899426.850849, 170.092, 19.357, 400.0, 1.71116, 5.84e-05, 6.0
1490899433.815478, 169.628, 19.337, 12000.0, 1.710889, 9.1e-05, 15.0
1490899445.09398, 168.873, 19.273, 1400.0, 1.711042, 6.37e-05, 15.0
1490899463.388472, 167.655, 19.182, 400.0, 1.7110653, 5.32e-05, 6.0
1490899470.383989, 167.187, 19.148, 12000.0, 1.710808, 7.9e-05, 15.0
1490899481.631671, 166.439, 19.068, 1400.0, 1.711522, 5.8e-05, 15.0
1490899499.924582, 165.227, 18.963, 400.0, 1.71154, 5.73e-05, 6.0
1490899506.952903, 164.76, 18.92, 12000.0, 1.711347, 6.6e-05, 15.0
1490899518.216148, 164.009, 18.846, 1400.0, 1.711479, 6.4e-05, 15.0
1490899536.526475, 162.797, 18.754, 400.0, 1.7115129, 5.71e-05, 6.0
1490899543.539044, 162.33, 18.737, 12000.0, 1.71124, 7e-05, 15.0
1490899554.818197, 161.58, 18.654, 1400.0, 1.711425, 5.9e-05, 15.0
# EXCESS NOISE
1490899573.047694, 160.368, 18.551, -1, -1, -1, -1
1490899580.123846, 159.899, 18.538, 12000.0, 0.0792, 0.0, 15.0
1490899591.370804, 159.15, 18.436, 1400.0, 0.0783, 0.0, 15.0
1490899609.617565, 158.793, 18.357, 400.0, 0.077381, -4e-05, 6.0
1490899616.534929, 158.851, 18.363, 12000.0, 0.068153, 0.00029, 15.0
1490899627.766223, 159.0, 18.348, 1400.0, 1.7108192, 5.92e-05, 15.0
1490899645.996214, 159.119, 18.356, 400.0, 1.7108799, 5.42e-05, 6.0
1490899652.928985, 158.963, 18.302, 12000.0, 1.710659, 7.6e-05, 15.0
1490899664.14373, 158.521, 18.31, 1400.0, 1.710804, 5e-05, 15.0
1490899682.372377, 157.466, 18.268, 400.0, 1.7108698, 5.32e-05, 6.0
1490899689.306058, 156.999, 18.141, 12000.0, 1.710642, 7.3e-05, 15.0
1490899700.521014, 156.204, 18.124, 1400.0, 1.71078, 6e-05, 15.0
1490899718.767631, 154.849, 18.059, 400.0, 1.710856, 5.08e-05, 6.0
1490899725.74763, 154.325, 18.043, 12000.0, 1.710642, 9.1e-05, 15.0
1490899736.964469, 153.487, 17.975, 1400.0, 1.71073, 4.4e-05, 15.0
1490899755.193334, 152.146, 17.857, 400.0, 1.7108262, 4.94e-05, 6.0
1490899762.111184, 151.649, 17.822, 12000.0, 1.710611, 7.9e-05, 15.0
1490899773.29293, 150.851, 17.782, 1400.0, 1.71078, 2.8e-05, 15.0
1490899791.522966, 149.576, 17.699, 400.0, 1.710797, 4.5e-05, 6.0
1490899798.456579, 149.098, 17.629, 12000.0, 1.710587, 7.3e-05, 15.0
1490899809.671113, 148.334, 17.582, 1400.0, 1.71073, 5.5e-05, 15.0
1490899827.918707, 147.108, 17.482, 400.0, 1.710765, 5.6e-05, 6.0
1490899834.883027, 146.647, 17.505, 12000.0, 1.71057, 7.9e-05, 15.0
1490899846.113797, 145.901, 17.401, 1400.0, 1.710711, 5.4e-05, 15.0
1490899864.360309, 144.692, 17.319, 400.0, 1.710765, 4.8e-05, 6.0
1490899871.260859, 144.232, 17.291, 12000.0, 1.710508, 8.1e-05, 15.0
1490899882.490346, 143.49, 17.226, 1400.0, 1.710657, 4.96e-05, 15.0
1490899900.753699, 142.283, 17.149, 400.0, 1.710704, 5.14e-05, 6.0
1490899907.686551, 141.824, 17.107, 12000.0, 1.710452, 8.5e-05, 15.0
1490899918.962494, 141.08, 17.043, 1400.0, 1.71061, 7e-05, 15.0
1490899937.258114, 139.867, 16.973, 400.0, 1.71065, 4.47e-05, 6.0
1490899944.23961, 139.398, 16.948, 12000.0, 1.71042, 7.7e-05, 15.0
1490899955.497094, 138.648, 16.908, 1400.0, 1.71057, 4.85e-05, 15.0
1490899973.779748, 137.435, 16.836, 400.0, 1.7106054, 4.79e-05, 6.0
