# This data file was created on Thu Mar 30 13:29:56 2017
# Chip ID: 2-20... Sample: GBA122... Cool with 100V... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1490898879.730628, 199.99299999999999, 22.620999999999999, 1.7116499000000001, 8.7800000000000006e-05, 6.0, 400, 1490898861.5148311, 199.99199999999999, 22.664000000000001, 1.7115670000000001, 9.1799999999999995e-05, 15.0, 1400, 1490898850.3007791, 199.99199999999999, 22.678999999999998, 1.711276, 9.7999999999999997e-05, 15.0, 12000
1490898916.1553719, 199.994, 22.489999999999998, 1.7116450000000001, 8.9400000000000005e-05, 6.0, 400, 1490898897.940846, 199.994, 22.538, 1.7115419999999999, 9.2e-05, 15.0, 1400, 1490898886.710546, 199.99299999999999, 22.574999999999999, 1.7113700000000001, 0.000105, 15.0, 12000
1490898952.5669961, 199.99199999999999, 22.402999999999999, 1.7116325999999999, 8.7499999999999999e-05, 6.0, 400, 1490898934.3195169, 199.994, 22.445, 1.711527, 8.8999999999999995e-05, 15.0, 1400, 1490898923.0889399, 199.994, 22.43, 1.711303, 0.000121, 15.0, 12000
1490898988.9593091, 199.78999999999999, 22.289999999999999, 1.7116157000000001, 9.3300000000000005e-05, 6.0, 400, 1490898970.7151549, 199.99100000000001, 22.317, 1.711535, 9.2e-05, 15.0, 1400, 1490898959.4692841, 199.99100000000001, 22.352, 1.711279, 9.2e-05, 15.0, 12000
1490899025.368695, 197.66200000000001, 22.094999999999999, 1.7115724999999999, 8.14e-05, 6.0, 400, 1490899007.1547079, 198.905, 22.202999999999999, 1.711495, 9.6000000000000002e-05, 15.0, 1400, 1490898995.925297, 199.51300000000001, 22.286000000000001, 1.71129, 8.7999999999999998e-05, 15.0, 12000
1490899061.7782259, 194.84, 21.876999999999999, 1.7115343000000001, 8.03e-05, 6.0, 400, 1490899043.5484321, 196.26599999999999, 22.029, 1.7114799999999999, 8.7999999999999998e-05, 15.0, 1400, 1490899032.31848, 197.13900000000001, 22.111000000000001, 1.71126, 0.000106, 15.0, 12000
1490899098.186377, 192.08000000000001, 21.565000000000001, 1.7114932, 7.4400000000000006e-05, 6.0, 400, 1490899079.940002, 193.43799999999999, 21.690999999999999, 1.7114180000000001, 8.3999999999999995e-05, 15.0, 1400, 1490899068.727787, 194.297, 21.782, 1.7111989999999999, 8.7999999999999998e-05, 15.0, 12000
1490899134.6770251, 189.506, 21.317, 1.7114612, 7.3300000000000006e-05, 6.0, 400, 1490899116.3810351, 190.77799999999999, 21.423999999999999, 1.7113769999999999, 8.0000000000000007e-05, 15.0, 1400, 1490899105.1202021, 191.578, 21.498999999999999, 1.7111499999999999, 7.8999999999999996e-05, 15.0, 12000
1490899171.19699, 187.04499999999999, 20.986999999999998, 1.7114235, 6.7399999999999998e-05, 6.0, 400, 1490899152.935627, 188.26599999999999, 21.187000000000001, 1.711357, 7.8999999999999996e-05, 15.0, 1400, 1490899141.641278, 189.03100000000001, 21.236000000000001, 1.71113, 8.3999999999999995e-05, 15.0, 12000
1490899207.6999121, 184.62799999999999, 20.774999999999999, 1.7113885, 6.9499999999999995e-05, 6.0, 400, 1490899189.4410231, 185.83799999999999, 20.890999999999998, 1.7113179999999999, 7.2000000000000002e-05, 15.0, 1400, 1490899178.1793821, 186.58199999999999, 20.945, 1.711138, 9.0000000000000006e-05, 15.0, 12000
