# This data file was created on Thu Mar 30 13:30:13 2017
# Chip ID: 2-20... Sample: GBA122... Warming with no bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1490902237.458175, 10.806, 6.188, 12000.0, 1.694814, 0.0001005, 15.0
1490902248.65671, 10.799, 6.1748, 1400.0, 1.694944, 7.4e-05, 15.0
1490902266.875016, 10.791, 6.1924, 400.0, 1.69501793, 6.985e-05, 6.0
1490902273.801749, 10.785, 6.1973, 12000.0, 1.694801, 7.7e-05, 15.0
1490902285.031706, 10.78, 6.1964, 1400.0, 1.69496, 6.6e-05, 15.0
1490902303.249744, 10.77, 6.1763, 400.0, 1.6950112, 6.98e-05, 6.0
1490902310.20793, 10.763, 6.1858, 12000.0, 1.694825, 9.5e-05, 15.0
1490902321.42115, 10.758, 6.1862, 1400.0, 1.694936, 7.2e-05, 15.0
1490902339.607556, 10.75, 6.186, 400.0, 1.6949999, 7.06e-05, 6.0
1490902346.549836, 10.757, 6.1939, 12000.0, 1.694783, 8.8e-05, 15.0
1490902357.779163, 11.038, 6.1903, 1400.0, 1.694942, 7.51e-05, 15.0
1490902375.996782, 11.82, 6.2589, 400.0, 1.6950283, 7.091e-05, 6.0
1490902382.922816, 12.159, 6.251, 12000.0, 1.69482, 8.2e-05, 15.0
1490902394.137069, 12.733, 6.294, 1400.0, 1.694991, 7.1e-05, 15.0
1490902412.321344, 13.727, 6.3558, 400.0, 1.695088, 5.8e-05, 6.0
1490902419.248309, 14.12, 6.3663, 12000.0, 1.694897, 9e-05, 15.0
1490902430.461254, 15.28, 6.4538, 1400.0, 1.6951, 7.5e-05, 15.0
1490902448.693974, 16.479, 6.5237, 400.0, 1.6952067, 7.91e-05, 6.0
1490902455.605557, 16.931, 6.5608, 12000.0, 1.69503, 8.8e-05, 15.0
1490902466.801199, 17.674, 6.6028, 1400.0, 1.695176, 8.3e-05, 15.0
1490902484.987572, 18.874, 6.6965, 400.0, 1.6953003, 8.6e-05, 6.0
1490902491.928247, 19.332, 6.7456, 12000.0, 1.695078, 8.7e-05, 15.0
1490902503.166363, 20.071, 6.8, 1400.0, 1.69526, 9.5e-05, 15.0
1490902521.363949, 21.274, 6.9024, 400.0, 1.6954098, 9.442e-05, 6.0
1490902528.242397, 21.733, 6.9395, 12000.0, 1.695143, 9.9e-05, 15.0
1490902539.45671, 22.466, 7.0187, 1400.0, 1.695393, 0.000104, 15.0
1490902557.690917, 23.671, 7.1432, 400.0, 1.695532, 0.0001073, 6.0
1490902564.63443, 24.131, 7.197, 12000.0, 1.695216, 9.7e-05, 15.0
1490902575.880583, 24.839, 7.2807, 1400.0, 1.695476, 0.000108, 15.0
1490902594.0813, 26.019, 7.3899, 400.0, 1.6956761, 0.0001231, 6.0
1490902601.04035, 26.517, 7.4581, 12000.0, 1.695336, 0.0001227, 15.0
1490902612.222359, 27.249, 7.5494, 1400.0, 1.695615, 0.0001288, 15.0
1490902630.471167, 28.457, 7.6666, 400.0, 1.6958465, 0.0001444, 6.0
1490902637.414416, 28.906, 7.722, 12000.0, 1.695444, 0.000131, 15.0
1490902648.659023, 29.66, 7.7962, 1400.0, 1.695783, 0.000149, 15.0
1490902666.862047, 31.047, 7.957, 400.0, 1.696047, 0.0001863, 6.0
1490902673.788399, 31.64, 8.0138, 12000.0, 1.695609, 0.00015, 15.0
1490902684.984808, 32.456, 8.1114, 1400.0, 1.6959904, 0.000193, 15.0
1490902703.172202, 33.709, 8.2597, 400.0, 1.6963939, 0.0002488, 6.0
1490902710.099975, 34.185, 8.3222, 12000.0, 1.695777, 0.000175, 15.0
1490902721.28175, 34.953, 8.4089, 1400.0, 1.696222, 0.000255, 15.0
1490902739.501818, 36.189, 8.6385, 400.0, 1.696778, 0.0003282, 6.0
1490902746.460374, 36.667, 8.5827, 12000.0, 1.695982, 0.000237, 15.0
1490902757.660464, 37.426, 8.6751, 1400.0, 1.6966012, 0.0003187, 15.0
1490902775.911553, 38.656, 8.8186, 400.0, 1.6972905, 0.0004303, 6.0
1490902782.822121, 39.129, 8.8847, 12000.0, 1.696233, 0.000299, 15.0
1490902794.020225, 39.901, 8.969, 1400.0, 1.697033, 0.000415, 15.0
1490902812.240133, 41.134, 9.0962, 400.0, 1.6979472, 0.0005635, 6.0
1490902819.21373, 41.607, 9.1455, 12000.0, 1.69655, 0.000354, 15.0
1490902830.508365, 42.368, 9.2351, 1400.0, 1.697616, 0.000525, 15.0
1490902848.758481, 43.605, 9.3678, 400.0, 1.698794, 0.0007104, 6.0
1490902855.748443, 44.078, 9.4317, 12000.0, 1.696978, 0.000449, 15.0
1490902867.01105, 44.844, 9.5087, 1400.0, 1.698331, 0.000684, 15.0
1490902885.29448, 46.089, 9.6043, 400.0, 1.699822, 0.0008539, 6.0
1490902892.284282, 46.557, 9.6625, 12000.0, 1.697445, 0.000577, 15.0
1490902903.546434, 47.324, 9.7459, 1400.0, 1.699238, 0.000828, 15.0
1490902921.859974, 48.693, 9.8954, 400.0, 1.701037, 0.000978, 6.0
1490902928.865915, 49.195, 9.9379, 12000.0, 1.69813, 0.000737, 15.0
1490902940.127592, 49.985, 10.02, 1400.0, 1.700396, 0.000981, 15.0
1490902958.410691, 51.202, 10.158, 400.0, 1.702386, 0.0010423, 6.0
1490902965.384843, 51.675, 10.171, 12000.0, 1.698966, 0.000908, 15.0
1490902976.646972, 52.437, 10.371, 1400.0, 1.701568, 0.001082, 15.0
1490902994.946161, 53.682, 10.359, 400.0, 1.703664, 0.0010187, 6.0
1490903001.935009, 54.159, 10.408, 12000.0, 1.699916, 0.001056, 15.0
1490903013.197183, 54.928, 10.478, 1400.0, 1.702828, 0.001144, 15.0
1490903031.479643, 56.177, 10.61, 400.0, 1.704856, 0.000933, 6.0
1490903038.439814, 56.649, 10.637, 12000.0, 1.700991, 0.001186, 15.0
1490903049.718337, 57.417, 10.69, 1400.0, 1.704075, 0.001076, 15.0
1490903067.983107, 58.644, 10.789, 400.0, 1.705833, 0.0007696, 6.0
1490903074.97391, 59.112, 10.846, 12000.0, 1.702152, 0.00127, 15.0
1490903086.235367, 59.868, 10.934, 1400.0, 1.705149, 0.00097, 15.0
1490903104.519588, 61.097, 10.981, 400.0, 1.706556, 0.0005899, 6.0
1490903111.51023, 61.565, 11.019, 12000.0, 1.70328, 0.001268, 15.0
1490903122.771877, 62.321, 11.078, 1400.0, 1.706067, 0.000798, 15.0
1490903141.073955, 63.546, 11.162, 400.0, 1.7070954, 0.0004059, 6.0
1490903148.048647, 64.023, 11.188, 12000.0, 1.704406, 0.0012071, 15.0
1490903159.346528, 64.795, 11.298, 1400.0, 1.706758, 0.000634, 15.0
1490903177.628684, 66.012, 11.359, 400.0, 1.7074317, 0.0002738, 6.0
1490903184.587998, 66.466, 11.41, 12000.0, 1.705393, 0.001084, 15.0
1490903195.835483, 67.179, 11.449, 1400.0, 1.707239, 0.000444, 15.0
1490903214.136011, 68.155, 11.535, 400.0, 1.707622, 0.0001879, 6.0
1490903221.110735, 68.267, 11.545, 12000.0, 1.706017, 0.000993, 15.0
1490903232.406266, 68.741, 11.588, 1400.0, 1.707454, 0.000351, 15.0
1490903250.6922, 70.176, 11.695, 400.0, 1.707762, 0.0001364, 6.0
1490903257.716123, 70.828, 11.728, 12000.0, 1.706759, 0.000812, 15.0
1490903269.011652, 71.958, 11.825, 1400.0, 1.70776, 0.000222, 15.0
1490903287.296082, 73.72, 11.942, 400.0, 1.7079736, 8.99e-05, 6.0
1490903294.316801, 74.34, 11.992, 12000.0, 1.707428, 0.00055, 15.0
1490903305.582684, 75.267, 12.039, 1400.0, 1.707999, 0.000149, 15.0
1490903323.882885, 76.574, 12.141, 400.0, 1.7081288, 6.93e-05, 6.0
1490903330.842704, 77.022, 12.192, 12000.0, 1.707793, 0.000382, 15.0
1490903342.12167, 77.7, 12.223, 1400.0, 1.708083, 8.2e-05, 15.0
1490903360.407086, 78.71, 12.279, 400.0, 1.7082353, 6.194e-05, 6.0
1490903367.397458, 79.091, 12.308, 12000.0, 1.707962, 0.000299, 15.0
1490903378.662994, 79.713, 12.407, 1400.0, 1.708235, 8.7e-05, 15.0
1490903396.979346, 80.785, 12.37, 400.0, 1.7083236, 5.38e-05, 6.0
1490903403.954896, 81.232, 12.549, 12000.0, 1.708125, 0.000233, 15.0
1490903415.266994, 81.992, 12.454, 1400.0, 1.7083347, 7.12e-05, 15.0
1490903433.535739, 83.275, 12.585, 400.0, 1.708425, 6.02e-05, 6.0
1490903440.59202, 83.775, 12.626, 12000.0, 1.708267, 0.000178, 15.0
1490903451.872709, 84.578, 12.669, 1400.0, 1.708452, 6.4e-05, 15.0
1490903470.173415, 85.83, 12.744, 400.0, 1.708564, 4.7e-05, 6.0
1490903477.181163, 86.295, 12.767, 12000.0, 1.708419, 0.000132, 15.0
1490903488.461515, 87.04, 12.826, 1400.0, 1.708561, 5.3e-05, 15.0
1490903506.746993, 88.23, 12.864, 400.0, 1.708659, 4.79e-05, 6.0
1490903513.735751, 88.686, 12.899, 12000.0, 1.70851, 0.000113, 15.0
1490903525.016294, 89.422, 12.96, 1400.0, 1.708661, 5.29e-05, 15.0
1490903543.318827, 90.617, 13.016, 400.0, 1.7087572, 3.83e-05, 6.0
1490903550.31008, 91.085, 13.049, 12000.0, 1.708626, 9.1e-05, 15.0
1490903561.57494, 91.846, 13.123, 1400.0, 1.708768, 5.32e-05, 15.0
1490903579.891592, 93.091, 13.163, 400.0, 1.70884654, 4.318e-05, 6.0
1490903586.883647, 93.569, 13.191, 12000.0, 1.708737, 9.8e-05, 15.0
1490903598.177553, 94.332, 13.232, 1400.0, 1.708848, 5.3e-05, 15.0
1490903616.465158, 95.549, 13.306, 400.0, 1.7089289, 4.183e-05, 6.0
1490903623.423742, 96.005, 13.321, 12000.0, 1.708792, 9.8e-05, 15.0
1490903634.616877, 96.736, 13.38, 1400.0, 1.708945, 4.7e-05, 15.0
1490903652.85968, 97.938, 13.452, 400.0, 1.7090185, 4.2e-05, 6.0
1490903659.785154, 98.394, 13.485, 12000.0, 1.708926, 8.5e-05, 15.0
1490903670.997683, 99.15, 13.528, 1400.0, 1.709042, 5.3e-05, 15.0
1490903689.18722, 100.361, 13.604, 400.0, 1.70913, 4.8e-05, 6.0
1490903696.160725, 100.832, 13.704, 12000.0, 1.709011, 7.9e-05, 15.0
1490903707.375031, 101.602, 13.656, 1400.0, 1.709136, 5.3e-05, 15.0
1490903725.626854, 102.831, 13.706, 400.0, 1.7092008, 4.05e-05, 6.0
1490903732.519466, 103.294, 13.742, 12000.0, 1.7091154, 6.13e-05, 15.0
1490903743.748916, 104.03, 13.784, 1400.0, 1.709204, 5.2e-05, 15.0
1490903761.936013, 105.219, 13.867, 400.0, 1.70928039, 4.123e-05, 6.0
1490903768.847458, 105.666, 13.861, 12000.0, 1.709154, 6.4e-05, 15.0
1490903780.077711, 106.406, 13.92, 1400.0, 1.70927, 4.3e-05, 15.0
1490903798.297503, 107.65, 13.977, 400.0, 1.70935468, 4.038e-05, 6.0
1490903805.208547, 108.105, 14.012, 12000.0, 1.70923, 6.1e-05, 15.0
1490903816.422144, 108.851, 14.053, 1400.0, 1.709351, 4.6e-05, 15.0
1490903834.608602, 110.082, 14.105, 400.0, 1.7094265, 4.04e-05, 6.0
1490903841.551554, 110.549, 14.143, 12000.0, 1.709322, 6.9e-05, 15.0
1490903852.765576, 111.281, 14.221, 1400.0, 1.709427, 5.1e-05, 15.0
1490903871.016028, 112.496, 14.256, 400.0, 1.7095, 4.23e-05, 6.0
1490903877.943178, 112.972, 14.275, 12000.0, 1.709364, 6.4e-05, 15.0
1490903889.189413, 113.756, 14.338, 1400.0, 1.709491, 5e-05, 15.0
1490903907.424927, 115.004, 14.366, 400.0, 1.709563, 4.6e-05, 6.0
1490903914.383555, 115.466, 14.404, 12000.0, 1.709437, 4.4e-05, 15.0
1490903925.613052, 116.204, 14.442, 1400.0, 1.709563, 5.1e-05, 15.0
1490903943.86164, 117.38, 14.522, 400.0, 1.7096212, 4.163e-05, 6.0
1490903950.807211, 117.807, 14.557, 12000.0, 1.709522, 7.1e-05, 15.0
1490903962.051557, 118.538, 14.601, 1400.0, 1.709608, 4e-05, 15.0
1490903980.351935, 119.725, 14.619, 400.0, 1.709669, 4.03e-05, 6.0
1490903987.327894, 120.184, 14.672, 12000.0, 1.70955, 5.5e-05, 15.0
1490903998.589277, 120.93, 23.817, 1400.0, 1.709667, 3.7e-05, 15.0
1490904016.808758, 122.492, 33.212, 400.0, 1.709721, 4.44e-05, 6.0
