# This data file was created on Thu Mar 30 14:12:01 2017
# Chip ID: 2-20... Sample: GBA122... Warming with no bias... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1490902266.875016, 10.791, 6.1924000000000001, 1.6950179299999999, 6.9850000000000004e-05, 6.0, 400, 1490902248.6567099, 10.798999999999999, 6.1748000000000003, 1.694944, 7.3999999999999996e-05, 15.0, 1400, 1490902237.4581749, 10.805999999999999, 6.1879999999999997, 1.694814, 0.0001005, 15.0, 12000
1490902303.2497439, 10.77, 6.1763000000000003, 1.6950111999999999, 6.9800000000000003e-05, 6.0, 400, 1490902285.0317061, 10.779999999999999, 6.1963999999999997, 1.69496, 6.6000000000000005e-05, 15.0, 1400, 1490902273.801749, 10.785, 6.1973000000000003, 1.694801, 7.7000000000000001e-05, 15.0, 12000
1490902339.6075561, 10.75, 6.1859999999999999, 1.6949999, 7.0599999999999995e-05, 6.0, 400, 1490902321.42115, 10.757999999999999, 6.1862000000000004, 1.694936, 7.2000000000000002e-05, 15.0, 1400, 1490902310.2079301, 10.763, 6.1858000000000004, 1.694825, 9.5000000000000005e-05, 15.0, 12000
1490902375.9967821, 11.82, 6.2588999999999997, 1.6950282999999999, 7.0909999999999997e-05, 6.0, 400, 1490902357.7791629, 11.038, 6.1902999999999997, 1.6949419999999999, 7.5099999999999996e-05, 15.0, 1400, 1490902346.5498359, 10.757, 6.1939000000000002, 1.6947829999999999, 8.7999999999999998e-05, 15.0, 12000
1490902412.3213439, 13.727, 6.3558000000000003, 1.6950879999999999, 5.8e-05, 6.0, 400, 1490902394.137069, 12.733000000000001, 6.2939999999999996, 1.6949909999999999, 7.1000000000000005e-05, 15.0, 1400, 1490902382.922816, 12.159000000000001, 6.2510000000000003, 1.69482, 8.2000000000000001e-05, 15.0, 12000
1490902448.693974, 16.478999999999999, 6.5236999999999998, 1.6952067, 7.9099999999999998e-05, 6.0, 400, 1490902430.4612539, 15.279999999999999, 6.4538000000000002, 1.6951000000000001, 7.4999999999999993e-05, 15.0, 1400, 1490902419.2483089, 14.119999999999999, 6.3662999999999998, 1.6948970000000001, 9.0000000000000006e-05, 15.0, 12000
1490902484.987572, 18.873999999999999, 6.6965000000000003, 1.6953003, 8.6000000000000003e-05, 6.0, 400, 1490902466.801199, 17.673999999999999, 6.6028000000000002, 1.695176, 8.2999999999999998e-05, 15.0, 1400, 1490902455.605557, 16.931000000000001, 6.5608000000000004, 1.69503, 8.7999999999999998e-05, 15.0, 12000
1490902521.3639491, 21.274000000000001, 6.9024000000000001, 1.6954098, 9.4419999999999994e-05, 6.0, 400, 1490902503.166363, 20.071000000000002, 6.7999999999999998, 1.69526, 9.5000000000000005e-05, 15.0, 1400, 1490902491.928247, 19.332000000000001, 6.7455999999999996, 1.6950780000000001, 8.7000000000000001e-05, 15.0, 12000
1490902557.690917, 23.670999999999999, 7.1432000000000002, 1.695532, 0.00010730000000000001, 6.0, 400, 1490902539.4567101, 22.466000000000001, 7.0186999999999999, 1.6953929999999999, 0.00010399999999999999, 15.0, 1400, 1490902528.2423971, 21.733000000000001, 6.9394999999999998, 1.6951430000000001, 9.8999999999999994e-05, 15.0, 12000
1490902594.0813, 26.018999999999998, 7.3898999999999999, 1.6956761, 0.00012310000000000001, 6.0, 400, 1490902575.880583, 24.838999999999999, 7.2807000000000004, 1.695476, 0.000108, 15.0, 1400, 1490902564.6344299, 24.131, 7.1970000000000001, 1.6952160000000001, 9.7e-05, 15.0, 12000
