# This data file was created on Thu Mar 30 14:47:31 2017
# Chip ID: 2-20... Sample: GBA122... Checking loss peaks with no bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1490906875.391022, 178.953, 20.915, 12000.0, 1.712675, 9.5e-05, 15.0
1490906886.636158, 177.724, 20.785, 1400.0, 1.712792, 7.2e-05, 15.0
1490906904.867278, 176.338, 20.556, 400.0, 1.7128803, 5.34e-05, 6.0
1490906911.815675, 175.939, 20.481, 12000.0, 1.712688, 7.4e-05, 15.0
1490906923.062333, 175.366, 20.354, 1400.0, 1.712844, 4.8e-05, 15.0
1490906941.3106, 174.486, 20.203, 400.0, 1.7128865, 6.38e-05, 6.0
1490906948.228432, 174.138, 20.054, 12000.0, 1.712692, 8.8e-05, 15.0
1490906959.458445, 173.53, 19.939, 1400.0, 1.71282, 6.08e-05, 15.0
1490906977.719781, 172.422, 19.764, 400.0, 1.7128936, 6.04e-05, 6.0
1490906984.669504, 171.957, 19.699, 12000.0, 1.7127, 7.3e-05, 15.0
1490906995.867799, 171.171, 19.58, 1400.0, 1.712831, 7e-05, 15.0
1490907014.098883, 169.803, 19.445, 400.0, 1.712901, 5.96e-05, 6.0
1490907021.032251, 169.256, 19.345, 12000.0, 1.712717, 8.8e-05, 15.0
1490907032.278938, 168.348, 19.209, 1400.0, 1.712846, 5e-05, 15.0
1490907050.509673, 166.841, 19.041, 400.0, 1.712874, 5.3e-05, 6.0
1490907057.475226, 166.261, 18.981, 12000.0, 1.712707, 5.6e-05, 15.0
1490907068.721452, 165.316, 18.887, 1400.0, 1.71282, 5.6e-05, 15.0
1490907086.966198, 163.779, 18.738, 400.0, 1.712859, 5.8e-05, 6.0
1490907093.867993, 163.194, 18.659, 12000.0, 1.71259, 7e-05, 15.0
1490907105.112853, 162.249, 18.568, 1400.0, 1.712756, 6e-05, 15.0
1490907123.312347, 160.715, 18.47, 400.0, 1.7128007, 5.73e-05, 6.0
