# This data file was created on Thu Mar 30 15:43:36 2017
# Chip ID: 2-20... Sample: GBA122... Checking loss peaks with no bias... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1490906904.8672781, 176.33799999999999, 20.556000000000001, 1.7128802999999999, 5.3399999999999997e-05, 6.0, 400, 1490906886.636158, 177.72399999999999, 20.785, 1.7127920000000001, 7.2000000000000002e-05, 15.0, 1400, 1490906875.391022, 178.953, 20.914999999999999, 1.7126749999999999, 9.5000000000000005e-05, 15.0, 12000
1490906941.3106, 174.48599999999999, 20.202999999999999, 1.7128865, 6.3800000000000006e-05, 6.0, 400, 1490906923.0623331, 175.36600000000001, 20.353999999999999, 1.712844, 4.8000000000000001e-05, 15.0, 1400, 1490906911.815675, 175.93899999999999, 20.481000000000002, 1.712688, 7.3999999999999996e-05, 15.0, 12000
1490906977.7197809, 172.422, 19.763999999999999, 1.7128935999999999, 6.0399999999999998e-05, 6.0, 400, 1490906959.4584451, 173.53, 19.939, 1.71282, 6.0800000000000001e-05, 15.0, 1400, 1490906948.2284319, 174.13800000000001, 20.053999999999998, 1.7126920000000001, 8.7999999999999998e-05, 15.0, 12000
1490907014.0988829, 169.803, 19.445, 1.712901, 5.9599999999999999e-05, 6.0, 400, 1490906995.867799, 171.17099999999999, 19.579999999999998, 1.712831, 6.9999999999999994e-05, 15.0, 1400, 1490906984.6695039, 171.95699999999999, 19.699000000000002, 1.7126999999999999, 7.2999999999999999e-05, 15.0, 12000
1490907050.5096731, 166.84100000000001, 19.041, 1.712874, 5.3000000000000001e-05, 6.0, 400, 1490907032.2789381, 168.34800000000001, 19.209, 1.7128460000000001, 5.0000000000000002e-05, 15.0, 1400, 1490907021.0322509, 169.256, 19.344999999999999, 1.712717, 8.7999999999999998e-05, 15.0, 12000
1490907086.966198, 163.779, 18.738, 1.7128589999999999, 5.8e-05, 6.0, 400, 1490907068.721452, 165.316, 18.887, 1.71282, 5.5999999999999999e-05, 15.0, 1400, 1490907057.4752259, 166.261, 18.981000000000002, 1.712707, 5.5999999999999999e-05, 15.0, 12000
1490907123.3123469, 160.715, 18.469999999999999, 1.7128007000000001, 5.7299999999999997e-05, 6.0, 400, 1490907105.1128531, 162.249, 18.568000000000001, 1.7127559999999999, 6.0000000000000002e-05, 15.0, 1400, 1490907093.8679931, 163.19399999999999, 18.658999999999999, 1.7125900000000001, 6.9999999999999994e-05, 15.0, 12000
1490907159.7861519, 157.65199999999999, 18.190999999999999, 1.7127829999999999, 5.5999999999999999e-05, 6.0, 400, 1490907141.5080619, 159.184, 18.282, 1.712744, 5.1999999999999997e-05, 15.0, 1400, 1490907130.277112, 160.13300000000001, 18.347000000000001, 1.7125900000000001, 7.6000000000000004e-05, 15.0, 12000
1490907196.3566871, 154.602, 17.873000000000001, 1.7127680000000001, 5.7000000000000003e-05, 6.0, 400, 1490907178.078135, 156.125, 17.984000000000002, 1.712718, 6.0000000000000002e-05, 15.0, 1400, 1490907166.7997789, 157.06399999999999, 18.076000000000001, 1.712639, 8.1000000000000004e-05, 15.0, 12000
1490907232.892385, 151.56700000000001, 17.550999999999998, 1.712766, 5.1400000000000003e-05, 6.0, 400, 1490907214.5991731, 153.08600000000001, 17.696000000000002, 1.712707, 5.8999999999999998e-05, 15.0, 1400, 1490907203.322355, 154.02099999999999, 17.827000000000002, 1.71262, 6.3999999999999997e-05, 15.0, 12000
