# This data file was created on Tue Jul 19 14:18:04 2016
# GBA 124
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1468959512.701996, 339.451, 311.588, 100.0, 1.303436, 0.000426
1468959517.816405, 340.003, 311.603, 1000.0, 1.30293, 0.00037999999999999997
1468959520.933074, 340.335, 311.612, 10000.0, 1.302249, 0.0003553
1468959547.625002, 343.105, 311.712, 100.0, 1.30319, 0.00052
1468959552.73924, 343.633, 311.734, 1000.0, 1.30276, 0.00047999999999999996
1468959555.839992, 343.947, 311.749, 10000.0, 1.302153, 0.000381
1468959582.499824, 346.638, 311.883, 100.0, 1.30346, 0.00033299999999999996
1468959587.614396, 347.152, 311.912, 1000.0, 1.30259, 0.00054
1468959590.730991, 347.464, 311.93, 10000.0, 1.301811, 0.000479
1468959617.423219, 350.136, 312.097, 100.0, 1.30338, 0.00083
1468959622.537707, 350.647, 312.132, 1000.0, 1.30263, 0.000576
1468959625.654187, 350.958, 312.154, 10000.0, 1.30172, 0.0005
1468959652.346241, 353.62, 312.351, 100.0, 1.3037, 0.0008799999999999999
1468959657.460618, 354.131, 312.392, 1000.0, 1.302609, 0.000627
1468959660.577155, 354.441, 312.417, 10000.0, 1.301639, 0.000536
1468959687.269412, 357.101, 312.644, 100.0, 1.30399, 0.00102
1468959692.399857, 357.613, 312.691, 1000.0, 1.302618, 0.0007289999999999999
1468959695.500244, 357.924, 312.719, 10000.0, 1.30156, 0.00058
1468959722.192519, 360.58, 312.975, 100.0, 1.30379, 0.00115
1468959727.322841, 361.091, 313.027, 1000.0, 1.30268, 0.0008399999999999999
1468959730.439297, 361.4, 313.058, 10000.0, 1.301626, 0.000548
1468959757.147267, 364.058, 313.343, 100.0, 1.304473, 0.00177
1468959762.24577, 364.57, 313.399, 1000.0, 1.3028, 0.0009599999999999999
1468959765.362191, 364.881, 313.434, 10000.0, 1.301323, 0.000609
1468959792.038358, 367.533, 313.744, 100.0, 1.30497, 0.00215
1468959797.16861, 368.043, 313.806, 1000.0, 1.302833, 0.001134
1468959800.284593, 368.354, 313.844, 10000.0, 1.30144, 0.0007199999999999999
1468959826.96083, 371.01, 314.18, 100.0, 1.30529, 0.0025099999999999996
1468959832.09131, 371.521, 314.247, 1000.0, 1.30287, 0.001343
1468959835.207882, 371.832, 314.288, 10000.0, 1.301301, 0.000766
1468959861.883757, 374.491, 314.649, 100.0, 1.306117, 0.0022440000000000003
1468959867.014266, 375.002, 314.721, 1000.0, 1.302919, 0.001482
1468959870.130711, 375.313, 314.765, 10000.0, 1.301141, 0.000841
1468959896.804199, 377.973, 315.151, 100.0, 1.3062, 0.00331
