# This data file was created on Mon Oct  3 09:05:49 2016
# GBA 124 in Dessert Cryo
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1475507159.217965, 330.0, 330.0, 10000.0, 1.219218, 0.000669
1475507206.781212, 330.0, 330.0, 1000.0, 1.2200869, 0.0006293
1475507278.947223, 330.0, 330.0, 100.0, 1.220544, 0.000508
1475507337.109252, 330.0, 330.0, 10000.0, 1.2192131, 0.0006663
1475507402.818905, 330.0, 330.0, 1000.0, 1.2200852, 0.0006284
1475507486.571038, 330.0, 330.0, 100.0, 1.2205434, 0.0005122
1475507551.06855, 330.0, 330.0, 10000.0, 1.219211, 0.000668
1475507624.49902, 330.0, 330.0, 1000.0, 1.220083, 0.000632
1475507714.595303, 330.0, 330.0, 100.0, 1.2205179, 0.0005021
1475507784.623564, 330.0, 330.0, 10000.0, 1.2191991, 0.0006663
1475507856.91862, 330.0, 330.0, 1000.0, 1.2200798, 0.0006316
1475507941.420891, 330.0, 330.0, 100.0, 1.2205135, 0.0004995
1475508012.844059, 330.0, 330.0, 10000.0, 1.2192005, 0.000668
1475508091.441202, 329.621, 329.62, 1000.0, 1.2200684, 0.0006313
1475508181.288207, 328.355, 328.354, 100.0, 1.220468, 0.000495
1475508251.814718, 327.106, 327.105, 10000.0, 1.219152, 0.0006669
1475508324.356519, 326.151, 326.151, 1000.0, 1.2200009, 0.0006247
1475508408.984461, 325.236, 325.236, 100.0, 1.2203903, 0.0004827
1475508478.749132, 324.27, 324.27, 10000.0, 1.219109, 0.0006677
1475508551.023482, 323.516, 323.515, 1000.0, 1.2199567, 0.0006213
1475508634.811981, 322.793, 322.792, 100.0, 1.220344, 0.000484
1475508698.519321, 322.072, 322.072, 10000.0, 1.2190773, 0.0006692
1475508771.065089, 321.458, 321.458, 1000.0, 1.21992, 0.000617
1475508854.616753, 320.868, 320.868, 100.0, 1.2203056, 0.0004729
1475508918.865083, 320.272, 320.272, 10000.0, 1.219049, 0.000669
1475508990.877761, 319.767, 319.767, 1000.0, 1.2198961, 0.0006139
1475509075.504823, 319.269, 319.269, 100.0, 1.2202766, 0.0004555
1475509145.51536, 318.733, 318.733, 10000.0, 1.219033, 0.000667
1475509217.293881, 318.311, 318.311, 1000.0, 1.219872, 0.000613
1475509301.826682, 317.887, 317.887, 100.0, 1.220257, 0.0004581
1475509373.31748, 317.409, 317.408, 10000.0, 1.2190149, 0.0006657
1475509452.182333, 316.984, 316.984, 1000.0, 1.2198583, 0.0006112
1475509542.83954, 316.558, 316.557, 100.0, 1.220232, 0.0004565
1475509612.864561, 316.114, 316.114, 10000.0, 1.2189978, 0.0006681
1475509684.638991, 315.748, 315.747, 1000.0, 1.2198464, 0.0006088
1475509767.917475, 315.374, 315.374, 100.0, 1.220216, 0.00045
1475509831.884051, 314.973, 314.973, 10000.0, 1.2189877, 0.0006666
1475509905.370618, 314.596, 314.596, 1000.0, 1.219831, 0.000608
1475509996.027907, 313.93, 313.929, 100.0, 1.220193, 0.0004577
1475510066.829936, 312.867, 312.867, 10000.0, 1.2189619, 0.0006717
1475510139.381288, 311.864, 311.864, 1000.0, 1.2197993, 0.0006052
1475510223.923707, 310.835, 310.834, 100.0, 1.220144, 0.0004409
1475510294.19769, 309.69, 309.69, 10000.0, 1.218928, 0.0006702
1475510365.970401, 308.78, 308.78, 1000.0, 1.2197617, 0.0006023
1475510449.786894, 307.868, 307.867, 100.0, 1.2201141, 0.0004361
1475510514.266358, 306.909, 306.908, 10000.0, 1.2189, 0.0006726
1475510586.305843, 306.079, 306.079, 1000.0, 1.2197378, 0.000604
1475510669.596545, 305.275, 305.274, 100.0, 1.220072, 0.000429
1475510733.825, 304.443, 304.443, 10000.0, 1.2188848, 0.0006783
1475510805.616218, 303.717, 303.717, 1000.0, 1.219717, 0.0006024
1475510890.174251, 302.998, 302.998, 100.0, 1.2200583, 0.0004269
1475510960.440104, 302.23, 302.23, 10000.0, 1.2188675, 0.0006773
1475511033.242797, 301.642, 301.642, 1000.0, 1.219706, 0.0006016
1475511117.048299, 301.051, 301.051, 100.0, 1.2200486, 0.0004275
1475511180.773233, 300.387, 300.387, 10000.0, 1.218862, 0.000681
1475511252.534057, 299.768, 299.767, 1000.0, 1.2196978, 0.000599
1475511337.093925, 299.171, 299.171, 100.0, 1.220045, 0.0004114
1475511408.586578, 298.542, 298.542, 10000.0, 1.2188517, 0.0006788
1475511486.933122, 298.027, 298.026, 1000.0, 1.219691, 0.0006032
1475511577.080136, 297.547, 297.547, 100.0, 1.2200283, 0.000418
1475511646.840841, 297.049, 297.049, 10000.0, 1.21885, 0.000678
1475511719.102192, 296.618, 296.617, 1000.0, 1.2196891, 0.0006037
1475511802.376606, 296.147, 296.147, 100.0, 1.220024, 0.00041
1475511866.868823, 295.558, 295.558, 10000.0, 1.2188378, 0.0006866
1475511938.906928, 294.947, 294.947, 1000.0, 1.219677, 0.0006008
1475512023.528735, 294.266, 294.266, 100.0, 1.220009, 0.0004109
1475512094.320595, 293.427, 293.427, 10000.0, 1.2188262, 0.0006862
1475512166.611913, 292.714, 292.714, 1000.0, 1.2196693, 0.0006016
1475512251.182097, 291.951, 291.951, 100.0, 1.219992, 0.0004106
1475512321.967335, 291.049, 291.049, 10000.0, 1.2188189, 0.0006844
1475512394.770091, 290.287, 290.287, 1000.0, 1.2196612, 0.0006008
1475512478.576866, 289.582, 289.582, 100.0, 1.219997, 0.00041
1475512543.05226, 289.682, 289.683, 10000.0, 1.2188195, 0.0006878
1475512615.074079, 290.006, 290.006, 1000.0, 1.219665, 0.000602
1475512698.848306, 290.051, 290.051, 100.0, 1.2199895, 0.0004073
1475512762.824316, 289.556, 289.556, 10000.0, 1.218811, 0.0006882
1475512835.11197, 288.702, 288.702, 1000.0, 1.219647, 0.000604
1475512919.694368, 287.878, 287.878, 100.0, 1.219969, 0.0004073
1475512990.478793, 287.036, 287.036, 10000.0, 1.2187946, 0.0006898
1475513062.243098, 286.399, 286.399, 1000.0, 1.2196464, 0.0006038
1475513146.799895, 285.735, 285.735, 100.0, 1.2199798, 0.0004102
1475513216.81795, 284.948, 284.948, 10000.0, 1.218794, 0.000696
1475513289.430375, 284.281, 284.281, 1000.0, 1.2196506, 0.0006044
1475513373.403636, 283.673, 283.673, 100.0, 1.219983, 0.000402
