# This data file was created on Tue Oct  4 13:42:28 2016
# GBA 124 in Dessert Cryo
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1475610158.706838, 119.633, 119.634, 10000.0, 1.219553, 0.000678
1475610206.491076, 119.517, 119.517, 1000.0, 1.220481, 0.000686
1475610278.898063, 118.507, 118.506, 100.0, 1.22077, 0.000433
1475610336.779882, 115.563, 115.56, 10000.0, 1.219443, 0.000668
# +112.298E+0+112.294E+0+112.294E+0+112.290E+0+020.022E+0AC ON L INPUT
1475610402.612123, 112.302, 112.302, -1, -1, -1
# +111.159E+0+019.041E+0AC ON L INPUT
1475610455.907433, 111.158, 111.159, -1, -1, -1
1475610476.344901, 111.775, 111.775, 10000.0, 1.219346, 0.000653
1475610523.623694, 111.991, 111.991, 1000.0, 1.22036, 0.0007
1475610595.276704, 111.992, 111.992, 100.0, 1.223, 0.0033
# +111.994E+0+111.995E+0+111.995E+0+016.384E+0AC ON L INPUT
1475610654.206439, 111.995, 111.994, -1, -1, -1
1475610689.128464, 111.995, 111.995, 1000.0, 1.22, 0.001
# +111.996E+0+111.996E+0+015.567E+0AC ON L INPUT
1475610754.575295, 111.996, 111.996, -1, -1, -1
1475610781.87146, 111.997, 111.997, 10000.0, 1.22016, 0.00114
# +111.997E+0+111.997E+0+015.208E+0AC ON L INPUT
1475610830.24519, 111.997, 111.997, -1, -1, -1
# AC ON L INPUT
1475610870.646284, 111.996, 15.057, -1, -1, -1
# AC ON L INPUT
1475610879.339911, 111.996, 14.985, -1, -1, -1
# AC ON L INPUT
1475610890.059137, 111.996, 14.951, -1, -1, -1
# AC ON L INPUT
1475610921.689148, 111.997, 14.897, -1, -1, -1
1475610930.640277, 111.997, 14.79, 10000.0, 1.22035, 0.00103
# +111.999E+0+111.999E+0+014.758E+0AC ON L INPUT
1475610972.442566, 111.999, 111.999, -1, -1, -1
# AC ON L INPUT
1475611012.841306, 112.0, 14.613, -1, -1, -1
1475611022.005422, 111.999, 14.678, 10000.0, 1.21992, 0.00081
1475611063.975875, 111.998, 111.998, 1000.0, 1.221, 0.0024
# +111.999E+0+111.999E+0+014.494E+0AC ON L INPUT
1475611134.978761, 111.999, 111.999, -1, -1, -1
1475611162.249598, 111.998, 111.998, 10000.0, 1.220181, 0.000902
1475611209.752883, 111.998, 111.998, 1000.0, 1.222, 0.0014
# +112.000E+0+112.000E+0+014.349E+0AC ON L INPUT
1475611280.736405, 112.0, 112.0, -1, -1, -1
1475611308.527427, 111.999, 111.999, 10000.0, 1.22021, 0.00078
1475611356.036046, 111.999, 111.999, 1000.0, 1.221, 0.0006
1475611431.950806, 111.998, 111.998, 100.0, 1.2217, 0.0008
1475611486.629136, 111.998, 111.998, 10000.0, 1.22, 0.0005
1475611553.399873, 111.999, 111.999, 1000.0, 1.2209, 0.0005
# +111.999E+0+111.999E+0+111.999E+0+014.172E+0
1475611636.976516, 111.999, 111.999, -1, -1, -1
