# This data file was created on Tue Oct 11 16:00:07 2016
# measure GBA 124 with DC Bias off
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
1476223224.746071, 295.841, 278.297, 10000.0, 1.22116, 0.000831, 15.0
1476223237.178378, 295.841, 278.298, 1000.0, 1.22223, 0.000774, 15.0
1476223284.707642, 295.84, 278.297, 100.0, 1.22243, 0.00053, 1.5
1476223295.127984, 295.84, 278.297, 10000.0, 1.221153, 0.000839, 15.0
1476223307.545637, 295.84, 278.297, 1000.0, 1.222231, 0.000721, 15.0
1476223355.074447, 295.84, 278.297, 100.0, 1.22261, 0.00044, 1.5
1476223365.500866, 295.84, 278.297, 10000.0, 1.221147, 0.000825, 15.0
1476223377.91972, 295.84, 278.297, 1000.0, 1.22223, 0.00072, 15.0
1476223425.440753, 295.84, 278.297, 100.0, 1.2242, 0.0008, 1.5
1476223435.871256, 295.84, 278.297, 10000.0, 1.221133, 0.00083, 15.0
