# This data file was created on Tue Oct 11 16:04:13 2016
# measure GBA 124 with 100V DC bias on "low" with filter
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
1476223473.560661, 295.84, 278.297, 10000.0, 1.22109, 0.00088, 15.0
1476223485.995284, 295.84, 278.297, 1000.0, 1.221, 0.0, 15.0
# 
1476223532.539296, 295.84, 278.296, -1, -1, -1, -1
1476223542.97302, 295.84, 278.296, 10000.0, 1.2211, 0.00069, 15.0
1476223555.477882, 295.84, 278.296, 1000.0, 1.226, 0.001, 15.0
# 
1476223602.00521, 295.84, 278.297, -1, -1, -1, -1
1476223612.446153, 295.84, 278.296, 10000.0, 1.2211, 0.0007, 15.0
1476223624.888836, 295.84, 278.296, 1000.0, 1.2231, -0.0021, 15.0
# 
1476223671.415666, 295.84, 278.296, -1, -1, -1, -1
1476223681.873927, 295.84, 278.296, 10000.0, 1.22119, 0.00096, 15.0
1476223694.30312, 295.84, 278.297, 1000.0, 1.218, -0.003, 15.0
# 
1476223740.799231, 295.84, 278.296, -1, -1, -1, -1
1476223751.205116, 295.84, 278.296, 10000.0, 1.2211, 0.00075, 15.0
1476223763.624353, 295.84, 278.296, 1000.0, 1.221, 0.0, 15.0
# 
1476223810.129887, 295.84, 278.296, -1, -1, -1, -1
1476223820.559375, 295.84, 278.296, 10000.0, 1.22132, 0.00073, 15.0
1476223832.973525, 295.84, 278.296, 1000.0, 1.228, 0.003, 15.0
# 
1476223879.485332, 295.84, 278.296, -1, -1, -1, -1
1476223889.888538, 295.84, 278.296, 10000.0, 1.2211, 0.0008, 15.0
1476223902.305627, 295.84, 278.296, 1000.0, 1.219, 0.0006, 15.0
