# This data file was created on Tue Oct 11 16:12:25 2016
# measure GBA 124 with 100V DC bias on "high" with filter
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# AC ON L INPUT
1476223961.914411, 295.84, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476223974.368833, 295.84, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224021.893931, 295.84, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224032.322609, 295.841, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224044.742302, 295.84, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224092.22729, 295.84, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224102.632995, 295.84, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224115.044161, 295.84, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224162.570458, 295.841, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224172.97899, 295.84, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224185.412127, 295.841, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224232.919585, 295.841, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224243.321486, 295.841, 278.296, -1, -1, -1, -1
# AC ON L INPUT
1476224255.750433, 295.841, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224303.287848, 295.841, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224313.710127, 295.841, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224326.128996, 295.841, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224373.675585, 295.841, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224384.098925, 295.84, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224396.514016, 295.841, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224444.041006, 295.841, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224454.453805, 295.841, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224466.897455, 295.841, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224514.423558, 295.841, 278.298, -1, -1, -1, -1
# AC ON L INPUT
1476224524.849908, 295.841, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224537.273736, 295.842, 278.297, -1, -1, -1, -1
# AC ON L INPUT
1476224584.778213, 295.842, 278.298, -1, -1, -1, -1
# AC ON L INPUT
1476224595.194563, 295.842, 278.298, -1, -1, -1, -1
# AC ON L INPUT
1476224607.61359, 295.842, 278.298, -1, -1, -1, -1
# AC ON L INPUT
1476224655.105871, 295.842, 278.298, -1, -1, -1, -1
# AC ON L INPUT
1476224665.517363, 295.842, 278.298, -1, -1, -1, -1
