# This data file was created on Wed Oct 12 17:29:41 2016
# measure GBA 124 with DC bias high and shorted
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# 
1476314998.736728, 297.355, 279.749, -1, -1, -1, -1
1476315011.164482, 297.355, 279.749, 1000.0, 1.23, 50.0, 0.25
1476315058.667556, 297.356, 279.75, 100.0, 1.2, 0.003
# 
1476315068.067869, 297.356, 279.75, -1, -1, -1, -1
1476315080.478607, 297.356, 279.75, 1000.0, 1.2, 51.0, 0.25
1476315127.971398, 297.356, 279.751, 100.0, 1.3, 500.0, 0.003
# 
1476315137.379462, 297.357, 279.751, -1, -1, -1, -1
1476315149.816145, 297.356, 279.751, 1000.0, 1.2, 58.0, 0.25
1476315197.304601, 297.357, 279.751, 100.0, 1.2, 0.003
# 
1476315206.720298, 297.357, 279.751, -1, -1, -1, -1
1476315219.122471, 297.357, 279.751, 1000.0, 1.2, 0.25
1476315266.612999, 297.358, 279.752, 100.0, 1.4, 420.0, 0.003
# 
1476315276.028443, 297.358, 279.752, -1, -1, -1, -1
1476315288.480088, 297.358, 279.752, 1000.0, 1.2, 49.0, 0.25
1476315335.982418, 297.359, 279.752, 100.0, 1.2, 0.003
# 
1476315345.377359, 297.359, 279.752, -1, -1, -1, -1
1476315357.786777, 297.359, 279.752, 1000.0, 1.2, 54.0, 0.25
1476315405.25222, 297.359, 279.753, 100.0, 1.4, 0.003
# 
1476315414.661196, 297.359, 279.753, -1, -1, -1, -1
1476315427.080437, 297.359, 279.753, 1000.0, 1.2, 0.25
1476315474.536219, 297.36, 279.753, 100.0, 1.0, 0.003
# 
1476315483.967365, 297.359, 279.753, -1, -1, -1, -1
1476315496.398012, 297.36, 279.753, 1000.0, 1.2, 0.25
1476315543.92834, 297.36, 279.754, 100.0, 1.3, 460.0, 0.003
# 
1476315553.328918, 297.36, 279.754, -1, -1, -1, -1
1476315565.748875, 297.36, 279.754, 1000.0, 1.24, 53.3, 0.25
1476315613.240386, 297.361, 279.755, 100.0, 1.3, 460.0, 0.003
# 
1476315622.644822, 297.361, 279.755, -1, -1, -1, -1
1476315635.068674, 297.361, 279.755, 1000.0, 1.3, 46.0, 0.25
