# This data file was created on Wed Nov  9 10:29:18 2016
# GBA 124 Helium run with DC Bias set to OFF
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to OFF
1478712576.21354, 329.918, 297.82, 10000.0, 1.295399, 0.000337, 15.0
1478712588.64018, 329.856, 297.82, 1000.0, 1.296022, 0.000333, 15.0
1478712636.162974, 329.023, 297.817, 100.0, 1.296536, 0.000156, 1.5
1478712646.593875, 328.818, 297.815, 10000.0, 1.2953772, 0.0003244, 15.0
1478712659.041608, 328.579, 297.812, 1000.0, 1.2959833, 0.0003252, 15.0
1478712706.568508, 327.705, 297.788, 100.0, 1.296512, 0.000167, 1.5
1478712717.000517, 327.522, 297.78, 10000.0, 1.295336, 0.000316, 15.0
1478712729.426495, 327.306, 297.771, 1000.0, 1.295935, 0.000325, 15.0
1478712776.961426, 326.514, 297.727, 100.0, 1.296473, 0.000193, 1.5
1478712787.393113, 326.347, 297.715, 10000.0, 1.295305, 0.00031, 15.0
1478712799.830469, 326.151, 297.702, 1000.0, 1.295892, 0.0003202, 15.0
1478712847.359065, 325.43, 297.642, 100.0, 1.2964313, 0.0001858, 1.5
1478712857.788726, 325.277, 297.627, 10000.0, 1.295279, 0.000307, 15.0
1478712870.271891, 325.098, 297.61, 1000.0, 1.295854, 0.000314, 15.0
1478712917.982547, 324.433, 297.536, 100.0, 1.2963969, 0.0001906, 1.5
1478712928.487592, 324.292, 297.518, 10000.0, 1.295251, 0.000306, 15.0
1478712941.024585, 324.126, 297.496, 1000.0, 1.2958238, 0.0003114, 15.0
1478712988.75742, 323.515, 297.41, 100.0, 1.296366, 0.000199, 1.5
1478712999.261088, 323.385, 297.39, 10000.0, 1.295242, 0.00031, 15.0
1478713011.794724, 323.232, 297.366, 1000.0, 1.295793, 0.000307, 15.0
1478713059.494705, 322.67, 297.269, 100.0, 1.296343, 0.000211, 1.5
1478713070.017566, 322.55, 297.247, 10000.0, 1.2952174, 0.0002995, 15.0
1478713082.58761, 322.409, 297.221, 1000.0, 1.295765, 0.000305, 15.0
1478713130.309941, 321.89, 297.116, 100.0, 1.2963198, 0.0002104, 1.5
1478713140.794114, 321.779, 297.093, 10000.0, 1.295197, 0.000297, 15.0
1478713153.328577, 321.649, 297.064, 1000.0, 1.295742, 0.000304, 15.0
1478713201.017452, 321.168, 296.953, 100.0, 1.296288, 0.0002157, 1.5
1478713211.537982, 321.065, 296.929, 10000.0, 1.295196, 0.000292, 15.0
1478713224.024898, 320.945, 296.899, 1000.0, 1.2957274, 0.0002975, 15.0
1478713271.772824, 320.498, 296.783, 100.0, 1.296277, 0.000216, 1.5
1478713282.295928, 320.402, 296.757, 10000.0, 1.295182, 0.000289, 15.0
1478713294.84083, 320.289, 296.726, 1000.0, 1.295706, 0.000301, 15.0
1478713342.604921, 319.873, 296.607, 100.0, 1.2962467, 0.0002244, 1.5
1478713353.142529, 319.784, 296.58, 10000.0, 1.295168, 0.000287, 15.0
1478713365.687069, 319.679, 296.549, 1000.0, 1.2956903, 0.0002958, 15.0
1478713413.390076, 319.292, 296.427, 100.0, 1.2962398, 0.0002302, 1.5
1478713423.948677, 319.208, 296.399, 10000.0, 1.295162, 0.000286, 15.0
1478713436.509897, 319.11, 296.361, 1000.0, 1.295674, 0.000293, 15.0
1478713484.232979, 318.744, 296.034, 100.0, 1.2962199, 0.0002389, 1.5
1478713494.75516, 318.664, 295.934, 10000.0, 1.295144, 0.000292, 15.0
1478713507.276387, 318.568, 295.811, 1000.0, 1.295658, 0.000292, 15.0
1478713554.992356, 318.204, 295.315, 100.0, 1.2961971, 0.0002297, 1.5
1478713565.52189, 318.123, 295.204, 10000.0, 1.295129, 0.000286, 15.0
1478713578.062685, 318.026, 295.069, 1000.0, 1.295645, 0.000289, 15.0
1478713625.834637, 317.657, 294.537, 100.0, 1.296176, 0.0002415, 1.5
1478713636.339022, 317.575, 294.414, 10000.0, 1.295137, 0.000283, 15.0
1478713648.892199, 317.477, 294.262, 1000.0, 1.2956347, 0.0002846, 15.0
1478713696.626765, 317.097, 293.199, 100.0, 1.296162, 0.0002469, 1.5
1478713707.169592, 317.006, 292.375, 10000.0, 1.295116, 0.000275, 15.0
1478713719.707093, 316.885, 290.649, 1000.0, 1.295623, 0.000289, 15.0
1478713767.406806, 316.14, 277.347, 100.0, 1.296143, 0.0002523, 1.5
1478713777.939375, 315.89, 273.58, 10000.0, 1.295111, 0.000281, 15.0
1478713790.537465, 315.542, 268.949, 1000.0, 1.295597, 0.000279, 15.0
1478713838.289139, 313.772, 251.639, 100.0, 1.296095, 0.000253, 1.5
1478713848.835943, 313.293, 247.966, 10000.0, 1.295084, 0.000269, 15.0
1478713861.385812, 312.68, 243.679, 1000.0, 1.295544, 0.000272, 15.0
1478713909.102275, 310.001, 228.331, 100.0, 1.296023, 0.000258, 1.5
1478713919.650765, 309.347, 225.149, 10000.0, 1.295028, 0.000266, 15.0
1478713932.184127, 308.537, 221.438, 1000.0, 1.2954838, 0.0002551, 15.0
1478713979.912622, 305.232, 208.167, 100.0, 1.2959162, 0.0002546, 1.5
1478713990.464853, 304.463, 205.433, 10000.0, 1.294983, 0.000263, 15.0
1478714003.025316, 303.52, 202.208, 1000.0, 1.295431, 0.0002432, 15.0
1478714050.786421, 299.805, 190.784, 100.0, 1.2958369, 0.0002439, 1.5
1478714061.309882, 298.959, 188.417, 10000.0, 1.2949494, 0.0002601, 15.0
1478714073.854622, 297.946, 185.649, 1000.0, 1.2953887, 0.0002421, 15.0
1478714121.58491, 293.992, 175.795, 100.0, 1.295779, 0.000233, 1.5
1478714132.127328, 293.102, 173.749, 10000.0, 1.2949029, 0.0002708, 15.0
1478714144.671149, 292.039, 171.386, 1000.0, 1.2953484, 0.0002476, 15.0
1478714192.445404, 287.922, 162.881, 100.0, 1.2957645, 0.0002444, 1.5
1478714202.995248, 287.002, 161.116, 10000.0, 1.29485, 0.000273, 15.0
1478714215.532391, 285.904, 159.057, 1000.0, 1.295299, 0.000246, 15.0
1478714263.275404, 281.684, 151.685, 100.0, 1.295705, 0.00023, 1.5
1478714273.804136, 280.751, 150.162, 10000.0, 1.294798, 0.000264, 15.0
1478714286.344162, 279.635, 148.371, 1000.0, 1.295245, 0.000247, 15.0
1478714334.081265, 275.388, 141.962, 100.0, 1.295644, 0.00023, 1.5
1478714344.609336, 274.454, 140.634, 10000.0, 1.294749, 0.000273, 15.0
1478714357.175314, 273.337, 139.078, 1000.0, 1.295199, 0.000242, 15.0
1478714404.882686, 269.107, 133.483, 100.0, 1.295582, 0.000242, 1.5
1478714415.409789, 268.177, 132.316, 10000.0, 1.294715, 0.000267, 15.0
1478714427.972489, 267.066, 130.952, 1000.0, 1.295151, 0.000235, 15.0
1478714475.729289, 262.841, 126.03, 100.0, 1.295521, 0.000222, 1.5
1478714486.260704, 261.908, 125.001, 10000.0, 1.2946667, 0.0002751, 15.0
1478714498.821126, 260.8, 123.794, 1000.0, 1.295112, 0.000233, 15.0
1478714546.544429, 256.608, 119.466, 100.0, 1.2954897, 0.0002125, 1.5
1478714557.071258, 255.691, 118.558, 10000.0, 1.2946483, 0.0002709, 15.0
1478714569.61265, 254.596, 117.491, 1000.0, 1.295087, 0.000234, 15.0
1478714617.342632, 250.463, 113.634, 100.0, 1.295455, 0.000209, 1.5
1478714627.869775, 249.557, 112.819, 10000.0, 1.294618, 0.000281, 15.0
1478714640.413683, 248.474, 111.87, 1000.0, 1.2950756, 0.0002344, 15.0
