# This data file was created on Wed Nov  9 16:58:35 2016
# GBA 124 Helium run with DC Bias set to LOW 100V
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO
1478735932.917434, 143.905, 21.126, 10000.0, 1.293899, 0.000233, 15.0
1478735945.350877, 144.313, 21.133, 1000.0, 1.294255, 0.000197, 15.0
1478735992.897334, 145.875, 21.243, 100.0, 1.294525, 0.000184, 1.5
1478736003.329289, 146.221, 21.277, 10000.0, 1.293877, 0.000233, 15.0
1478736015.767233, 146.632, 21.291, 1000.0, 1.29422, 0.000192, 15.0
1478736063.32185, 146.545, 21.389, 100.0, 1.294492, 0.000157, 1.5
1478736073.760229, 146.142, 21.386, 10000.0, 1.293867, 0.000233, 15.0
1478736086.191734, 145.579, 21.366, 1000.0, 1.294239, 0.00019, 15.0
1478736133.735463, 143.27, 21.269, 100.0, 1.29455, 0.000158, 1.5
1478736144.17027, 142.804, 21.241, 10000.0, 1.29393, 0.00024, 15.0
1478736156.633301, 142.28, 21.208, 1000.0, 1.294306, 0.000202, 15.0
1478736204.141268, 140.546, 21.096, 100.0, 1.294597, 0.000148, 1.5
1478736214.567638, 140.204, 21.079, 10000.0, 1.293997, 0.0002349, 15.0
1478736227.010933, 139.801, 21.056, 1000.0, 1.294391, 0.000199, 15.0
1478736274.695729, 138.282, 20.95, 100.0, 1.294677, 0.000221, 1.5
1478736285.182706, 137.947, 20.912, 10000.0, 1.2940535, 0.0002451, 15.0
1478736297.680996, 137.543, 20.887, 1000.0, 1.294443, 0.000212, 15.0
1478736345.385432, 135.981, 20.796, 100.0, 1.294758, 0.000163, 1.5
1478736355.924266, 135.631, 20.771, 10000.0, 1.294101, 0.000253, 15.0
1478736368.434984, 135.216, 20.738, 1000.0, 1.294503, 0.000207, 15.0
1478736416.137842, 133.629, 20.629, 100.0, 1.294838, 0.000168, 1.5
1478736426.630774, 133.281, 20.61, 10000.0, 1.2941359, 0.0002585, 15.0
1478736439.161603, 132.867, 20.579, 1000.0, 1.294547, 0.000214, 15.0
1478736486.92209, 131.285, 20.47, 100.0, 1.294858, 0.000189, 1.5
1478736497.446567, 130.938, 20.426, 10000.0, 1.29416, 0.0002565, 15.0
1478736509.97077, 130.524, 20.416, 1000.0, 1.294601, 0.000222, 15.0
1478736557.710804, 128.941, 20.307, 100.0, 1.294898, 0.000179, 1.5
1478736568.223962, 128.592, 20.279, 10000.0, 1.29419, 0.000255, 15.0
1478736580.759877, 128.178, 20.249, 1000.0, 1.2946283, 0.0002171, 15.0
1478736628.525715, 126.577, 20.143, 100.0, 1.2949, 0.000139, 1.5
1478736639.016544, 126.224, 20.097, 10000.0, 1.294211, 0.000261, 15.0
1478736651.565416, 125.806, 20.08, 1000.0, 1.294639, 0.000238, 15.0
1478736699.276221, 124.216, 19.951, 100.0, 1.295015, 0.000176, 1.5
1478736709.809696, 123.868, 19.93, 10000.0, 1.29421, 0.00026, 15.0
1478736722.348906, 123.452, 19.888, 1000.0, 1.294669, 0.00024, 15.0
1478736769.960667, 121.868, 19.755, 100.0, 1.294977, 0.000184, 1.5
1478736780.385158, 121.521, 19.734, 10000.0, 1.294214, 0.000257, 15.0
1478736792.83112, 121.108, 19.707, 1000.0, 1.294668, 0.000244, 15.0
1478736840.348289, 119.528, 19.994, 100.0, 1.295014, 0.000175, 1.5
1478736850.771471, 119.185, 19.591, 10000.0, 1.2942225, 0.000257, 15.0
1478736863.19991, 118.77, 19.5, 1000.0, 1.2946623, 0.000259, 15.0
1478736910.685628, 117.185, 19.373, 100.0, 1.295043, 0.0002, 1.5
1478736921.069684, 116.839, 19.361, 10000.0, 1.294218, 0.000247, 15.0
1478736933.440758, 116.425, 19.339, 1000.0, 1.294656, 0.000257, 15.0
1478736980.878593, 114.852, 19.234, 100.0, 1.295075, 0.000228, 1.5
1478736991.258095, 114.506, 19.214, 10000.0, 1.2942124, 0.0002522, 15.0
1478737003.652388, 114.093, 19.192, 1000.0, 1.29463, 0.000259, 15.0
1478737051.101837, 112.521, 19.065, 100.0, 1.29505, 0.000247, 1.5
1478737061.486866, 112.176, 19.031, 10000.0, 1.294198, 0.0002519, 15.0
1478737073.868007, 111.765, 19.0, 1000.0, 1.294607, 0.000259, 15.0
1478737121.316626, 110.192, 18.836, 100.0, 1.294999, 0.000257, 1.5
1478737131.701674, 109.846, 18.789, 10000.0, 1.2941798, 0.0002533, 15.0
1478737144.093677, 109.432, 18.775, 1000.0, 1.294561, 0.000254, 15.0
1478737191.551726, 107.851, 18.657, 100.0, 1.294956, 0.00021, 1.5
1478737201.99442, 107.506, 18.617, 10000.0, 1.2941454, 0.000256, 15.0
1478737214.429293, 107.091, 18.607, 1000.0, 1.294516, 0.00024, 15.0
1478737261.95059, 105.511, 18.497, 100.0, 1.294898, 0.000254, 1.5
1478737272.359751, 105.165, 18.438, 10000.0, 1.2941239, 0.0002698, 15.0
1478737284.773263, 104.75, 19.233, 1000.0, 1.294465, 0.000234, 15.0
1478737332.307357, 103.166, 18.273, 100.0, 1.29484, 0.00023, 1.5
1478737342.737316, 102.82, 18.272, 10000.0, 1.2940643, 0.0002855, 15.0
1478737355.171844, 102.407, 18.243, 1000.0, 1.294401, 0.000224, 15.0
1478737402.687138, 100.83, 18.113, 100.0, 1.294728, 0.000229, 1.5
1478737413.113887, 100.485, 18.079, 10000.0, 1.293991, 0.00031, 15.0
1478737425.553064, 100.071, 18.06, 1000.0, 1.294324, 0.000222, 15.0
1478737473.075214, 98.48, 17.93, 100.0, 1.294656, 0.000234, 1.5
1478737483.500301, 98.134, 17.895, 10000.0, 1.293897, 0.0003559, 15.0
1478737495.933885, 97.724, 17.852, 1000.0, 1.294264, 0.00022, 15.0
1478737543.556246, 96.15, 17.723, 100.0, 1.294508, 0.000209, 1.5
1478737554.096768, 95.799, 17.703, 10000.0, 1.2937862, 0.0004191, 15.0
1478737566.651755, 95.383, 17.664, 1000.0, 1.294163, 0.0002238, 15.0
1478737614.403211, 93.796, 17.538, 100.0, 1.294451, 0.000224, 1.5
1478737624.925821, 93.446, 17.477, 10000.0, 1.293656, 0.000505, 15.0
1478737637.442784, 93.025, 17.444, 1000.0, 1.2940564, 0.0002417, 15.0
